,name,ra,dec,Class,F_b,F_h,F_m,F_s,P_inter,P_intra,Signif.,G,BP,RP,J,H,K,W1,W2,W3
0, 2CXO J110355.5-584754,165.98162499999998,-58.798366666666666,LM-STAR,8.799224327550767e-15,2.660319153824321e-15,5.6610728916564365e-16,5.572797884560803e-15,,0.473,6.05,10.676302,10.861904,10.353867,10.019,9.849,9.832,9.643,9.682,9.75
1, 2CXO J110414.8-585305,166.06174999999996,-58.884927777777776,LM-STAR,1.8358546195047692e-14,7.275579209591511e-16,2.922797884560803e-15,1.470819038952774e-14,,0.987,12.15,12.473644,12.772521,12.010019,11.48,11.179,11.092,11.032,11.092,10.264
2, 2CXO J110415.1-584545,166.0629583333333,-58.76266111111112,LM-STAR,9.1977616707291e-15,1.2170711663298097e-15,1.056148769973081e-15,6.924541734426208e-15,,0.81,8.01,15.649481,16.425692,14.775111,13.639,12.993,12.823,12.726,12.843,12.123
3, 2CXO J110418.5-584728,166.0774583333333,-58.79137222222222,LM-STAR,4.919632780293888e-15,6.80914684189166e-16,1.1629202115439196e-15,3.075797884560803e-15,,1.0,7.26,14.955913,15.51604,14.214423,13.296,12.79,12.645,12.555,12.715,12.936
7, 2CXO J110424.3-584835,166.1015,-58.80980833333333,LM-STAR,3.321806983288687e-15,5.476679625350868e-16,4.014797884560803e-16,2.3726592322975202e-15,,0.458,5.7,13.287255,13.631284,12.77194,12.188,11.893,11.802,11.363,11.445,8.852
14, 2CXO J110432.8-584405,166.13679166666662,-58.73486666666667,YSO,3.312941480807438e-15,1.0676010577195986e-15,1.45e-15,7.953404230878401e-16,,0.999,7.32,16.05,16.86154,15.134711,13.812,13.193,12.935,12.836,13.016,12.356
16, 2CXO J110434.8-584908,166.14516666666665,-58.81900555555556,AGN,5.984783282353841e-15,4.901e-15,9.94819153824321e-16,8.896412852951951e-17,,0.497,6.79,,,,,,,,,
17, 2CXO J110435.5-584824,166.14804166666664,-58.806925,LM-STAR,3.3573276155811104e-14,4.399797884560803e-15,6.543478271250295e-15,2.263e-14,,0.998,20.68,12.34267,12.645993,11.873609,11.39,11.034,10.962,10.896,10.93,
18, 2CXO J110435.9-584520,166.14966666666663,-58.75575833333333,LM-STAR,1.1078062314460444e-14,4.242371350574968e-15,1.6710000000000001e-15,5.164690963885477e-15,,0.997,9.37,7.413162,7.89957,6.762435,6.006,5.548,5.381,5.362,5.259,5.357
20, 2CXO J110436.7-584757,166.15312499999996,-58.79936388888888,LM-STAR,2.23112021154392e-15,4.2822021154391976e-16,2.769e-16,1.526e-15,,0.351,5.35,13.437493,13.790999,12.896311,12.284,11.965,11.851,11.628,11.722,11.002
