name,ra,dec,PU_X,significance,F_b,HR_hms,P_inter,P_intra,G,J,W1,cp_counts,CSC_flags,Class,Class_prob,Class_prob_e,conf_flag,CT,P_AGN,P_CV,P_HM-STAR,P_LM-STAR,P_HMXB,P_LMXB,P_NS,P_YSO,e_P_AGN,e_P_CV,e_P_HM-STAR,e_P_LM-STAR,e_P_HMXB,e_P_LMXB,e_P_NS,e_P_YSO
 2CXO J110355.5-584754,165.98162499999998,-58.798366666666666,2.339643110037932,6.05,8.799224327550767e-15,-0.3953287119877733,,0.473,10.676302,10.019,9.643,9,,LM-STAR,0.88405,0.08711766173966667,1,4.617774615134316,5e-05,0.00151,0.105985,0.88405,0.00016,0.0005899999999999999,1e-05,0.007645000000000001,0.0007056897321046961,0.004673514923667383,0.0813758367195189,0.08711766173966667,0.001405836539707364,0.003400509294717991,0.0003162277660168379,0.011162597304327457
 2CXO J110414.8-585305,166.06174999999996,-58.884927777777776,0.6238999991864482,12.15,1.8358546195047692e-14,-0.9207390483724236,,0.987,12.473644,11.48,11.032,9,,LM-STAR,0.98469,0.02035972540135102,1,30.473996877327725,5.9999999999999995e-05,0.00195,0.00594,0.98469,0.0001,0.0,0.0,0.00726,0.000772655807586403,0.00466038831206362,0.010374199922115634,0.02035972540135102,0.0009954853042566675,0.0,0.0,0.011714505095377676
 2CXO J110415.1-584545,166.0629583333333,-58.76266111111112,1.458537871947992,8.01,9.1977616707291e-15,-0.7353549244044865,,0.81,15.649481,13.639,12.726,9,conf,LM-STAR,0.7144400000000001,0.11475214357237283,1,2.135019085053118,0.00046,0.02137,0.0034,0.7144400000000001,0.00122,0.00484,0.00020999999999999998,0.25406,0.00227894571975587,0.031474016485248814,0.007272750022714441,0.11475214357237283,0.003940447579543109,0.010270339813262266,0.001630508680920945,0.10088058927907427
 2CXO J110418.5-584728,166.0774583333333,-58.79137222222222,1.1179787291326102,7.26,4.919632780293888e-15,-0.723184751952771,,1.0,14.955913,13.296,12.555,9,,LM-STAR,0.79791,0.12302954185141134,1,2.772988342350781,0.00022,0.00423,0.02973,0.79791,0.0012900000000000001,0.00521,7.000000000000001e-05,0.16134,0.001534260067248689,0.009586396559656752,0.025664874552309546,0.12302954185141134,0.003853667182146213,0.010112277594991061,0.000946570650292938,0.1065314664939582
 2CXO J110420.3-585010,166.084625,-58.836194444444445,0.7163730138231972,9.34,9.498573466014164e-15,0.05504964310647075,,1.0,16.600018,,,3,,CV,0.50088,0.09721845003407023,0,1.6247734698720908,0.0034100000000000003,0.50088,0.03825,0.013035,0.0005600000000000001,0.242035,0.001075,0.200755,0.006396312438648759,0.09721845003407023,0.03200565359216808,0.012879427574805284,0.0024274044352543085,0.06209298925252607,0.0035471054335834114,0.07502822275123681
 2CXO J110423.1-585445,166.09645833333332,-58.91271666666667,0.5515291788852119,16.52,4.141206346317591e-14,0.5183981367147672,,0.963,,,,1,,AGN,0.48036,0.07591530500191336,0,0.1846843054144493,0.48036,0.0209,0.0058674999999999995,0.002255,0.0,0.4525025,0.03426,0.003855,0.07591530500191336,0.018994757192467637,0.008522107724622481,0.005183323435966721,0.0,0.0749231754931408,0.021272162675781338,0.006473475178053976
 2CXO J110423.6-584935,166.09854166666665,-58.82648888888889,1.0159745315251338,5.68,2.547305610689008e-15,-0.5392900100354532,,1.0,19.613007,,,3,,LMXB,0.48488,0.08166918302184399,0,1.8588773216021597,0.0248,0.106965,0.04771,0.106325,0.0009400000000000001,0.48488,0.05869,0.16969,0.022842543242419005,0.0603523502539974,0.02565860994411555,0.08094610334442696,0.00302084847775017,0.08166918302184399,0.05783968645600812,0.08789015063463357
 2CXO J110424.3-584835,166.1015,-58.80980833333333,1.0579076198877675,5.7,3.321806983288687e-15,-0.6702590094546196,,0.458,13.287255,12.188,11.363,9,,LM-STAR,0.94384,0.0548932388156107,1,10.140067470130665,0.00015,0.00354,0.02662,0.94384,0.00022,5.9999999999999995e-05,0.0,0.02557,0.0012161327966052798,0.007995769652280656,0.03556178061121574,0.0548932388156107,0.0016596247631179627,0.0007726558075864028,0.0,0.025046005717527145
 2CXO J110424.9-585059,166.10412499999998,-58.84981944444445,1.0097232228477109,5.58,2.4525839044629275e-15,-0.7180932327159651,,1.0,19.378048,16.06,,6,,LM-STAR,0.33648,0.10372062267248283,0,0.20499403962829255,0.011439999999999999,0.191805,0.013689999999999999,0.33648,0.009290000000000001,0.130835,0.009625,0.29683499999999996,0.014638671069830442,0.06737363120079831,0.014652596991612046,0.10372062267248283,0.012781207269239448,0.06551732820632487,0.015821969210869723,0.08967524421167988
 2CXO J110428.3-585400,166.118125,-58.90016388888889,0.726085435174431,8.77,1.3162180961047223e-14,0.634437804543087,,0.419,,,,0,,AGN,0.614005,0.2877740413481972,0,0.6301389388569573,0.614005,0.00086,0.03056333333333333,2e-05,0.0,0.07039,0.2811666666666667,0.0029950000000000003,0.2877740413481972,0.003531695467176195,0.03066296328337035,0.00044698970882985637,0.0,0.09038593650296219,0.2404242857335836,0.005795564128155565
