P_median_AGN,P_median_CV,P_median_HM-STAR,P_median_HMXB,P_median_LM-STAR,P_median_LMXB,P_median_NS,P_median_YSO,P_2sig_upp_AGN,P_2sig_upp_CV,P_2sig_upp_HM-STAR,P_2sig_upp_HMXB,P_2sig_upp_LM-STAR,P_2sig_upp_LMXB,P_2sig_upp_NS,P_2sig_upp_YSO,P_2sig_low_AGN,P_2sig_low_CV,P_2sig_low_HM-STAR,P_2sig_low_HMXB,P_2sig_low_LM-STAR,P_2sig_low_LMXB,P_2sig_low_NS,P_2sig_low_YSO,P_AGN,P_CV,P_HM-STAR,P_HMXB,P_LM-STAR,P_LMXB,P_NS,P_YSO,e_P_AGN,e_P_CV,e_P_HM-STAR,e_P_HMXB,e_P_LM-STAR,e_P_LMXB,e_P_NS,e_P_YSO,Class_median,Class_prob_median,Class_prob_2sig_upp,Class_prob_2sig_low,Class,Class_prob,Class_prob_e,name,true_Class,P_CO,e_P_CO,CT_8,Class5,Class5_prob,Class5_prob_e,true_Class5,CT_5
0.98,0.0,0.0,0.0,0.01,0.0,0.0,0.0,1.0,0.02,0.02,0.0,0.11,0.02,0.01,0.15,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.950255,0.00212,0.0016899999999999999,0.00020999999999999998,0.020115,0.00283,0.0010400000000000001,0.021740000000000002,0.07715544658634242,0.005170331936378197,0.005716342937278744,0.001502716925491345,0.03220712769052953,0.00630323970913615,0.0037056891575160665,0.0424537951745745,AGN,0.98,1.0,0.71,AGN,0.950255,0.07715544658634242,2CXO J000009.3+135618,AGN,0.0062,0.009080388397720298,7.762903487474478,AGN,0.950255,0.07715544658634242,AGN,7.762903487474478
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.002727499999999736,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9996499999999999,0.00024,0.0,0.0,7.000000000000001e-05,2.9999999999999997e-05,0.0,1e-05,0.0018923744558308397,0.0015952883579293579,0.0,0.0,0.0008341437500789634,0.00054717401199198,0.0,0.00031622776601683794,AGN,1.0,1.0,0.99,AGN,0.9996499999999999,0.0018923744558308397,2CXO J000230.7+004959,AGN,0.00027,0.001686518409132953,286.55579778438886,AGN,0.9996499999999999,0.0018923744558308397,AGN,279.24278197417084
0.98,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05,0.01,0.0,0.0,0.02,0.01,0.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.979475,0.013875,0.00026000000000000003,5e-05,0.0,0.004415,0.001885,4e-05,0.016449010454885886,0.013678321222703871,0.001653824396704539,0.0007056897321046961,0.0,0.006773378304336295,0.004346339340832198,0.0006315051850925684,AGN,0.98,1.0,0.94,AGN,0.979475,0.016449010454885886,2CXO J000622.6-000424,AGN,0.020225,0.015885962003882183,32.05063131157621,AGN,0.979475,0.016449010454885886,AGN,29.666021866051913
0.98,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09,0.0,0.0,0.01,0.04272749999999974,0.01,0.01,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96973,0.02095,0.0,2e-05,0.001095,0.0070350000000000005,0.0005200000000000001,0.00065,0.031706188392526535,0.02617408226820153,0.0,0.0004469897088298565,0.004477278305066711,0.011881706525156643,0.0025565868137296124,0.003389541117760486,AGN,0.98,1.0,0.89,AGN,0.96973,0.031706188392526535,2CXO J000659.2-001740,AGN,0.028525000000000002,0.028861626227024487,16.392114086013596,AGN,0.96973,0.031706188392526535,AGN,15.53968895711458
0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.0,0.01,0.0,0.03,0.0,0.01,0.0,0.03,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9831799999999999,0.00051,5e-05,0.00785,1e-05,0.0007099999999999999,8e-05,0.0076100000000000004,0.01550251360031424,0.002201078086925756,0.0007056897321046962,0.010028862252423158,0.00031622776601683794,0.0028642807306729044,0.0008912880535463238,0.009459248245890232,AGN,0.99,1.0,0.95,AGN,0.9831799999999999,0.01550251360031424,2CXO J000703.6+155423,AGN,0.00915,0.01069679023451995,38.201231520996465,AGN,0.9831799999999999,0.01550251360031424,AGN,37.17770541310891
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,0.0,0.0,0.01,0.01,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99801,0.0005899999999999999,0.0,0.0,0.0005600000000000001,0.00054,0.00021,8.999999999999999e-05,0.0055831058624274,0.003124365801512629,0.0,0.0,0.0025085240068001536,0.0028135949097758033,0.0015679152905556984,0.0012220447591612155,AGN,1.0,1.0,0.98,AGN,0.99801,0.0055831058624274,2CXO J000856.7+155045,AGN,0.00134,0.004487352932000816,114.54760216224224,AGN,0.99801,0.0055831058624274,AGN,98.96967162523298
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,0.0,0.01,0.01,0.01,0.0,0.03,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9938149999999999,0.00055,1e-05,0.00025,0.00040500000000000003,0.00146,0.00016,0.00335,0.013651268517325862,0.0026085061441952382,0.000316227766016838,0.00156203071030628,0.002562721706027119,0.004109170875649404,0.001255378817718372,0.009019914570485626,AGN,1.0,1.0,0.95,AGN,0.9938149999999999,0.013651268517325862,2CXO J001306.1+000431,AGN,0.00242,0.005263601951658724,43.68828023503083,AGN,0.9938149999999999,0.013651268517325862,AGN,43.68828023503083
0.94,0.04,0.0,0.0,0.0,0.01,0.0,0.0,1.0,0.28272749999999974,0.0,0.0,0.01,0.13,0.01,0.02,0.6272725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.898605,0.06883,8e-05,1e-05,0.00146,0.02795,0.0009599999999999999,0.002105,0.103080573240449,0.0765669223202395,0.0008912880535463237,0.000316227766016838,0.00401054665656497,0.035157980368382726,0.003448230022821894,0.0047345951665788075,AGN,0.94,1.0,0.6272725,AGN,0.898605,0.103080573240449,2CXO J001837.3+163446,AGN,0.09775,0.08432418079926697,4.618906583752989,AGN,0.898605,0.103080573240449,AGN,4.273397460505606
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.997755,0.00015,1e-05,0.0,0.00029000000000000006,0.001315,0.00044,4e-05,0.015333626286534289,0.001590606811889737,0.00031622776601683794,0.0,0.0027245776412727395,0.011225943024833011,0.0032197463823672103,0.0006315051850925681,AGN,1.0,1.0,0.98,AGN,0.997755,0.015333626286534289,2CXO J001854.8+162952,AGN,0.001905,0.011786373216286412,37.517174631801396,AGN,0.997755,0.015333626286534289,AGN,36.720133416537244
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99971,5e-05,0.0,0.0,1e-05,0.00022,0.0,1e-05,0.0017375036457282472,0.0007056897321046959,0.0,0.0,0.00031622776601683794,0.0014675672910479266,0.0,0.0003162277660168378,AGN,1.0,1.0,0.99,AGN,0.99971,0.0017375036457282472,2CXO J002025.2+154054,AGN,0.00027,0.0016284200169955376,311.84645198690635,AGN,0.99971,0.0017375036457282472,AGN,296.9288968339911
