name,usrid,ra,dec,err_ellipse_r0,err_ellipse_r1,err_ellipse_ang,significance,extent_flag,pileup_flag,sat_src_flag,streak_src_flag,conf_flag,flux_aper90_mean_b,e_flux_aper90_mean_b,flux_aper90_mean_h,e_flux_aper90_mean_h,flux_aper90_mean_m,e_flux_aper90_mean_m,flux_aper90_mean_s,e_flux_aper90_mean_s,kp_intra_prob_b,ks_intra_prob_b,var_inter_prob_b,nh_gal,flux_powlaw_mean,e_flux_powlaw_mean,powlaw_gamma_mean,e_powlaw_gamma_mean,powlaw_nh_mean,e_powlaw_nh_mean,powlaw_ampl_mean,e_powlaw_ampl_mean,powlaw_stat,PU_kim95,remove_code,flux_significance_b_max,flux_aper90_ave_s,e_flux_aper90_ave_s,flux_aper90_ave_m,e_flux_aper90_ave_m,flux_aper90_ave_h,e_flux_aper90_ave_h,chisqr,dof,kp_prob_b_max,var_inter_prob,significance_max,flux_flag,flux_aper90_ave_b,e_flux_aper90_ave_b,src_cnts_aper90_b_max,src_cnts_aper90_b_max_hi,src_cnts_aper90_b_max_lo
 2CXO J110355.5-584754,5,165.98162499999998,-58.798366666666666,2.66,1.62,169.6,6.05,False,False,False,False,False,8.799224327550767e-15,2.2113441594706027e-15,2.660319153824321e-15,1.9738000045954093e-15,5.661072891656431e-16,2.36989810126259e-16,5.572797884560803e-15,9.685000585339312e-16,0.473,0.27,,90.58,,,,,,,,,,2.3323393186296664,0,4.97,5.572797884560803e-15,9.685000585339312e-16,5.661072891656431e-16,2.36989810126259e-16,2.660319153824321e-15,1.9738000045954093e-15,,0.0,0.473,,4.97,0,8.799224327550767e-15,2.2113441594706027e-15,74.982,86.925,62.292
 2CXO J110414.8-585305,10,166.06174999999996,-58.884927777777776,0.9,0.78,163.3,12.15,False,False,False,False,False,1.8358546195047695e-14,1.5980057666835679e-15,7.275579209591511e-16,7.161191850033673e-16,2.922797884560803e-15,4.515001255594815e-16,1.470819038952774e-14,1.355338843184177e-15,0.987,0.994,,91.77,1.434403082162925e-14,2.6001713823873297e-15,7.37221728749706,1.4294396640512248,58.67400545975224,22.087667930321025,5.1032379643755095e-05,2.6360811900579873e-05,1.685,0.5959261899453494,0,12.15,1.470819038952774e-14,1.355338843184177e-15,2.922797884560803e-15,4.515001255594815e-16,7.275579209591511e-16,7.161191850033673e-16,,0.0,0.987,,12.15,0,1.8358546195047695e-14,1.5980057666835679e-15,237.69,256.66,218.71
 2CXO J110415.1-584545,11,166.0629583333333,-58.762661111111115,1.32,1.07,172.8,8.01,False,False,False,False,True,9.197761670729099e-15,1.5914932610777222e-15,1.2170711663298095e-15,1.1804076310355916e-15,1.056148769973081e-15,2.738382931711759e-16,6.924541734426208e-15,1.03174668104232e-15,0.81,0.631,,88.85,,,,,,,,,,1.4467928458436983,0,8.01,6.924541734426208e-15,1.03174668104232e-15,1.056148769973081e-15,2.738382931711759e-16,1.2170711663298095e-15,1.1804076310355916e-15,,0.0,0.81,,8.01,0,9.197761670729099e-15,1.5914932610777222e-15,98.72,111.26,85.341
 2CXO J110418.5-584728,12,166.0774583333333,-58.79137222222222,1.02,1.0,160.3,7.26,False,False,False,False,False,4.919632780293888e-15,7.956791563624119e-16,6.809146841891654e-16,5.144382886756869e-16,1.1629202115439196e-15,2.8205000200993137e-16,3.075797884560803e-15,5.3750010546996905e-16,1.0,1.0,,89.38,,,,,,,,,,1.1026120141150726,0,7.26,3.075797884560803e-15,5.3750010546996905e-16,1.1629202115439196e-15,2.8205000200993137e-16,6.809146841891654e-16,5.144382886756869e-16,,0.0,1.0,,7.26,0,4.919632780293888e-15,7.956791563624119e-16,85.173,96.211,73.445
 2CXO J110420.3-585010,13,166.084625,-58.836194444444445,0.89,0.8,105.0,9.34,False,False,False,False,False,9.498573466014164e-15,1.3046441799914827e-15,5.010733272669419e-15,1.1706922123784171e-15,1.6618401933447456e-15,3.225634515288044e-16,2.8259999999999998e-15,4.769999999999999e-16,1.0,1.0,,90.37,,,,,,,,,,0.6921467400862776,0,9.34,2.8259999999999998e-15,4.769999999999999e-16,1.6618401933447456e-15,3.225634515288044e-16,5.010733272669419e-15,1.1706922123784171e-15,,0.0,1.0,,9.34,0,9.498573466014164e-15,1.3046441799914827e-15,127.94,141.51,114.38
 2CXO J110423.1-585445,15,166.09645833333332,-58.91271666666667,0.88,0.8,141.3,16.52,False,False,False,False,False,4.141206346317591e-14,3.0263205326190503e-15,3.1439999999999997e-14,2.8899999999999977e-15,8.258202115439197e-15,7.655000740563178e-16,1.713861347736717e-15,4.696015361680996e-16,0.963,0.977,,92.05,3.697552311622194e-14,3.239085721311593e-15,2.1691598066552547,0.25957885172366285,103.64258447565534,22.036865672318555,2.3698224850991822e-05,7.402299406165739e-06,0.663,0.5196741768067051,0,16.52,1.713861347736717e-15,4.696015361680996e-16,8.258202115439197e-15,7.655000740563178e-16,3.1439999999999997e-14,2.8899999999999977e-15,,0.0,0.963,,16.52,0,4.141206346317591e-14,3.0263205326190503e-15,380.32,403.96,356.69
 2CXO J110423.6-584935,16,166.09854166666665,-58.82648888888889,0.9,0.85,165.9,5.68,False,False,False,False,False,2.5473056106890077e-15,6.516671816389188e-16,5.8678457116858325e-16,5.191350079607602e-16,7.499202115439197e-16,2.1245000266839792e-16,1.2106008279765046e-15,3.317136649295455e-16,1.0,1.0,,90.0,,,,,,,,,,0.9990400710610389,0,5.68,1.2106008279765046e-15,3.317136649295455e-16,7.499202115439197e-16,2.1245000266839792e-16,5.8678457116858325e-16,5.191350079607602e-16,,0.0,1.0,,5.68,0,2.5473056106890077e-15,6.516671816389188e-16,50.908,59.801,42.014
 2CXO J110424.3-584835,17,166.1015,-58.80980833333333,1.02,0.84,172.8,5.7,False,False,False,False,False,3.321806983288687e-15,6.455801395217584e-16,5.476679625350868e-16,4.1376897275250925e-16,4.014797884560803e-16,1.5375000368716184e-16,2.37265923229752e-15,4.71094353711084e-16,0.458,0.191,,89.57,,,,,,,,,,1.0416550998744891,0,5.7,2.37265923229752e-15,4.71094353711084e-16,4.014797884560803e-16,1.5375000368716184e-16,5.476679625350868e-16,4.1376897275250925e-16,,0.0,0.458,,5.7,0,3.321806983288687e-15,6.455801395217584e-16,52.018,61.086,42.95
 2CXO J110424.9-585059,18,166.10412499999998,-58.84981944444445,0.99,0.89,136.7,5.58,False,False,False,False,False,2.4525839044629275e-15,5.444456171384487e-16,3.457e-16,3.457e-16,6.188839044629276e-16,1.9628688193882538e-16,1.488e-15,3.7199999999999993e-16,1.0,0.982,,90.49,,,,,,,,,,0.9926821251719498,0,5.58,1.488e-15,3.7199999999999993e-16,6.188839044629276e-16,1.9628688193882538e-16,3.457e-16,3.457e-16,,0.0,1.0,,5.58,0,2.4525839044629275e-15,5.444456171384487e-16,44.316,52.595,35.55
 2CXO J110428.3-585400,19,166.118125,-58.90016388888889,0.87,0.79,113.6,8.77,False,False,False,False,False,1.3162180961047225e-14,1.7185999737329213e-15,1.0756383076486422e-14,1.6660021777700563e-15,1.994797884560803e-15,3.685001538401682e-16,4.1099999999999997e-16,2.0549999999999996e-16,0.419,0.259,,91.52,,,,,,,,,,0.7021943278397893,0,8.77,4.1099999999999997e-16,2.0549999999999996e-16,1.994797884560803e-15,3.685001538401682e-16,1.0756383076486422e-14,1.6660021777700563e-15,,0.0,0.419,,8.77,0,1.3162180961047225e-14,1.7185999737329213e-15,119.67,132.77,106.57
 2CXO J110429.5-584406,20,166.1232083333333,-58.735194444444446,1.34,1.07,7.8,7.49,True,False,False,False,False,1.4567328237690196e-14,1.895592342624059e-15,1.3232232698311683e-14,1.825375824523364e-15,8.928157509224316e-16,2.882061849211673e-16,4.422797884560803e-16,4.2215000134289026e-16,0.897,0.967,,87.56,,,,,,,,,,1.3302304924928414,0,7.49,4.422797884560803e-16,4.2215000134289026e-16,8.928157509224316e-16,2.882061849211673e-16,1.3232232698311683e-14,1.825375824523364e-15,,0.0,0.897,,7.49,0,1.4567328237690196e-14,1.895592342624059e-15,108.96,122.13,95.788
 2CXO J110430.1-585147,21,166.12579166666666,-58.86307222222222,0.78,0.72,171.5,15.53,False,False,False,False,False,2.2539924810912634e-14,1.6162900520017141e-15,5.546e-15,1.0249999999999999e-15,3.911797884560803e-15,4.645001220454391e-16,1.3082126926351829e-14,1.1601759214961654e-15,1.0,1.0,,90.57,2.1039471140200716e-14,1.6571394824295952e-15,3.1536603810129895,0.34471710759921226,8.463691873844184,6.741844822207246,1.0001753039589159e-05,2.194121605513057e-06,1.152,0.3350763573987179,0,15.53,1.3082126926351829e-14,1.1601759214961654e-15,3.911797884560803e-15,4.645001220454391e-16,5.546e-15,1.0249999999999999e-15,,0.0,1.0,,15.53,0,2.2539924810912634e-14,1.6162900520017141e-15,330.82,352.18,308.12
 2CXO J110430.3-584948,22,166.12645833333332,-58.830136111111116,0.88,0.78,162.0,7.81,False,False,False,False,False,4.936343642195254e-15,7.52539573478838e-16,4.3466808461756794e-16,4.1492000021860647e-16,1.1288776730168831e-15,2.5545026852613685e-16,3.3727978845608028e-15,5.735000988493616e-16,0.941,0.971,,89.78,,,,,,,,,,0.6098116003515348,0,7.81,3.3727978845608028e-15,5.735000988493616e-16,1.1288776730168831e-15,2.5545026852613685e-16,4.3466808461756794e-16,4.1492000021860647e-16,,0.0,0.941,,7.81,0,4.936343642195254e-15,7.52539573478838e-16,85.651,96.86,74.441
 2CXO J110431.6-585501,23,166.13204166666665,-58.91701666666666,1.56,0.9,153.0,7.63,False,False,False,False,True,7.078964813251966e-15,9.532844405968172e-16,5.200611567313076e-16,3.929117372378868e-16,1.580202115439197e-15,3.425001655185404e-16,4.978701541081462e-15,7.981636599372744e-16,0.719,0.92,,91.77,,,,,,,,,,0.8655657658217826,0,7.63,4.978701541081462e-15,7.981636599372744e-16,1.580202115439197e-15,3.425001655185404e-16,5.200611567313076e-16,3.929117372378868e-16,,0.0,0.719,,7.63,0,7.078964813251966e-15,9.532844405968172e-16,92.054,103.33,80.024
 2CXO J110432.8-584405,24,166.13679166666662,-58.73486666666667,2.0,1.44,7.5,7.32,False,False,False,False,False,3.312941480807438e-15,9.587727861074626e-16,1.0676010577195986e-15,8.542500165906098e-16,1.4499999999999999e-15,3.11e-16,7.953404230878394e-16,3.046000074445322e-16,0.999,1.0,,87.41,,,,,,,,,,1.6231035689684266,0,7.32,7.953404230878394e-16,3.046000074445322e-16,1.4499999999999999e-15,3.11e-16,1.0676010577195986e-15,8.542500165906098e-16,,0.0,0.999,,7.32,0,3.312941480807438e-15,9.587727861074626e-16,64.818,75.608,54.029
