separation,name,ra,dec,err_ellipse_r0,err_ellipse_r1,err_ellipse_ang,significance,likelihood_class,conf_flag,dither_warning_flag,extent_flag,pileup_flag,sat_src_flag,streak_src_flag,var_flag,var_inter_hard_flag,flux_aper90_b,flux_aper90_lolim_b,flux_aper90_hilim_b,flux_aper90_h,flux_aper90_lolim_h,flux_aper90_hilim_h,flux_aper90_m,flux_aper90_lolim_m,flux_aper90_hilim_m,flux_aper90_s,flux_aper90_lolim_s,flux_aper90_hilim_s,var_intra_index_b,var_intra_prob_b,ks_intra_prob_b,kp_intra_prob_b,var_inter_index_b,var_inter_prob_b,var_inter_sigma_b,nh_gal,flux_powlaw,flux_powlaw_lolim,flux_powlaw_hilim,powlaw_gamma,powlaw_gamma_lolim,powlaw_gamma_hilim,powlaw_gamma_rhat,powlaw_nh,powlaw_nh_lolim,powlaw_nh_hilim,powlaw_nh_rhat,powlaw_ampl,powlaw_ampl_lolim,powlaw_ampl_hilim,powlaw_ampl_rhat,powlaw_stat,flux_bb,flux_bb_lolim,flux_bb_hilim,bb_kt,bb_kt_lolim,bb_kt_hilim,bb_kt_rhat,bb_nh,bb_nh_lolim,bb_nh_hilim,bb_nh_rhat,bb_ampl,bb_ampl_lolim,bb_ampl_hilim,bb_ampl_rhat,bb_stat,flux_brems,flux_brems_lolim,flux_brems_hilim,brems_kt,brems_kt_lolim,brems_kt_hilim,brems_kt_rhat,brems_nh,brems_nh_lolim,brems_nh_hilim,brems_nh_rhat,brems_norm,brems_norm_lolim,brems_norm_hilim,brems_norm_rhat,brems_stat,flux_apec,flux_apec_lolim,flux_apec_hilim,apec_kt,apec_kt_lolim,apec_kt_hilim,apec_kt_rhat,apec_abund,apec_abund_lolim,apec_abund_hilim,apec_abund_rhat,apec_z,apec_z_lolim,apec_z_hilim,apec_z_rhat,apec_nh,apec_nh_lolim,apec_nh_hilim,apec_nh_rhat,apec_norm,apec_norm_lolim,apec_norm_hilim,apec_norm_rhat,apec_stat,obsid,region_id,obi,ra_pnt,dec_pnt,gti_obs,gti_end,instrument,grating,datamode,theta,phi,src_cnts_aper90_b,src_cnts_aper90_lolim_b,src_cnts_aper90_hilim_b,flux_significance_b,conf_code,dither_warning_flag.1,edge_code,extent_code,multi_chip_code,pileup_warning,sat_src_flag.1,streak_src_flag.1,var_code,flux_aper90_b.1,flux_aper90_lolim_b.1,flux_aper90_hilim_b.1,flux_aper90_h.1,flux_aper90_lolim_h.1,flux_aper90_hilim_h.1,flux_aper90_m.1,flux_aper90_lolim_m.1,flux_aper90_hilim_m.1,flux_aper90_s.1,flux_aper90_lolim_s.1,flux_aper90_hilim_s.1,var_index_b,var_prob_b,ks_prob_b,kp_prob_b,var_sigma_b,var_mean_b,var_min_b,var_max_b,usrid
0.0, 2CXO J110312.0-590156, 11 03 12.09,-59 01 56.36,4.67,3.19,111.4,16.81,                TRUE,False,False, TRUE,False,False,False, TRUE,False,9.979e-14,8.817e-14,1.114e-13,5.211e-14,3.5e-14,6.844e-14,1.571e-14,1.429e-14,1.713e-14,2.695e-14,2.519e-14,2.872e-14,0,0.039,0.659,0.839,  ,         ,         ,98.79,3.91e-14,3.509e-14,4.254e-14,3.843,3.342,4.447,         ,35.45,26.39,46.16,         ,4.399e-05,3.315e-05,6.071e-05,         ,1.239,3.201e-14,2.897e-14,3.408e-14,0.2939,0.2601,0.3097,         ,0.0001663,         ,7.05,         ,0.0005025,0.0004772,0.000988,         ,1.304,3.189e-14,1.821e-14,3.685e-14,0.7716,0.5906,1.027,         ,16.27,9.978,23.49,         ,6.612e-05,4.185e-05,0.0001142,         ,1.265,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,8941,357,1, 11 05 06.21,-58 50 43.50,2008-10-23T21:44:43,2008-10-25T10:22:21,ACIS,NONE,    VFAINT,18.506,90.65,976.4,918.77,1034.0,16.81,7,False,3,18,0,0.0002172507,False,False,1,9.979e-14,8.817e-14,1.114e-13,5.211e-14,3.5e-14,6.844e-14,1.571e-14,1.429e-14,1.713e-14,2.695e-14,2.519e-14,2.872e-14,0,0.039,0.659,0.839,1.246e-05,0.0172,0.01719,0.01721,1
0.0, 2CXO J110334.4-585926, 11 03 34.43,-58 59 26.32,2.98,1.4,164.8,12.09,                TRUE,False,False, TRUE,False,False,False, TRUE,False,6.603e-14,5.863e-14,7.343e-14,4.543e-14,3.685e-14,5.401e-14,1.001e-14,9.045e-15,1.091e-14,2.347e-15,1.744e-15,2.949e-15,0,0.047,0.46,0.528,  ,         ,         ,96.1,6.857e-14,5.966e-14,7.713e-14,1.461,1.19,1.757,         ,64.53,47.62,84.83,         ,1.546e-05,1.129e-05,2.167e-05,         ,1.1,5.741e-14,4.799e-14,6.385e-14,0.9265,0.834,1.033,         ,18.08,7.595,30.78,         ,9.042e-06,6.364e-06,1.3e-05,         ,1.128,6.872e-14,5.909e-14,7.627e-14,18.37,7.23,292.3,         ,60.37,46.49,76.26,         ,2.222e-05,2.013e-05,3.138e-05,         ,1.1,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,8941,1,1, 11 05 06.21,-58 50 43.50,2008-10-23T21:44:43,2008-10-25T10:22:21,ACIS,NONE,    VFAINT,14.706,91.65,678.46,636.89,720.02,12.09,7,False,1,28,0,0.0002896676,False,False,1,6.603e-14,5.863e-14,7.343e-14,4.543e-14,3.685e-14,5.401e-14,1.001e-14,9.045e-15,1.091e-14,2.347e-15,1.744e-15,2.949e-15,0,0.047,0.46,0.528,1.707e-05,0.0154,0.01538,0.01541,2
0.0, 2CXO J110343.6-585737, 11 03 43.69,-58 57 37.09,5.95,3.73,150.0,6.3,                TRUE,False,False,False,False,False,False, TRUE,False,7.04e-15,2.64e-15,1.126e-14,0.0,0.0,5.987e-15,0.0,0.0,2.996e-16,3.729e-15,3.127e-15,4.295e-15,  ,         ,         ,         ,  ,         ,         ,94.96,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,8941,429,1, 11 05 06.21,-58 50 43.50,2008-10-23T21:44:43,2008-10-25T10:22:21,ACIS,NONE,    VFAINT,12.691,95.11,107.21,82.367,130.74,3.6,7,False,3,0,0,0.0001448338,False,False,1,7.04e-15,2.64e-15,1.126e-14,0.0,0.0,5.987e-15,0.0,0.0,2.996e-16,3.729e-15,3.127e-15,4.295e-15,  ,         ,         ,         ,         ,         ,         ,         ,3
0.0, 2CXO J110351.5-585732, 11 03 51.55,-58 57 32.27,3.84,2.09,145.6,7.29,                TRUE,False,False, TRUE,False,False,False, TRUE,False,6.563e-15,2.834e-15,1.014e-14,0.0,0.0,5.359e-15,1.527e-15,1.056e-15,1.999e-15,3.998e-15,3.419e-15,4.577e-15,0,0.042,0.769,0.899,  ,         ,         ,94.57,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,8941,681,1, 11 05 06.21,-58 50 43.50,2008-10-23T21:44:43,2008-10-25T10:22:21,ACIS,NONE,    VFAINT,11.805,92.77,145.25,121.38,167.72,4.91,7,False,1,18,0,0.0001448338,False,False,1,6.563e-15,2.834e-15,1.014e-14,0.0,0.0,5.359e-15,1.527e-15,1.056e-15,1.999e-15,3.998e-15,3.419e-15,4.577e-15,0,0.042,0.769,0.899,5.641e-06,0.004,0.003992,0.004006,4
0.0, 2CXO J110353.8-590005, 11 03 53.85,-59 00 05.38,5.2,2.7,144.3,8.64,                TRUE,False,False, TRUE,False,False,False, TRUE,False,4.538e-15,7.32e-16,8.345e-15,0.0,0.0,4.65e-15,2.433e-15,1.841e-15,2.995e-15,5.503e-15,4.82e-15,6.186e-15,0,0.075,0.911,0.749,  ,         ,         ,95.45,7.041e-15,5.198e-15,8.438e-15,6.573,4.748,9.015,         ,67.45,39.1,105.8,         ,2.976e-05,1.285e-05,8.784e-05,         ,0.965,6.078e-15,3.787e-15,7.596e-15,0.1849,0.1608,0.2338,         ,16.34,1.334,29.22,         ,0.00179,0.0003557,0.01439,         ,0.953,3.632e-15,2.409e-16,7.363e-15,0.3,0.2044,0.4554,         ,35.23,18.94,57.04,         ,0.0001916,4.185e-05,0.001488,         ,0.953,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,8941,427,1, 11 05 06.21,-58 50 43.50,2008-10-23T21:44:43,2008-10-25T10:22:21,ACIS,NONE,    VFAINT,13.224,82.94,235.37,205.73,263.26,7.26,7,False,0,16,0,0.0001448338,False,False,1,4.538e-15,7.32e-16,8.345e-15,0.0,0.0,4.65e-15,2.433e-15,1.841e-15,2.995e-15,5.503e-15,4.82e-15,6.186e-15,0,0.075,0.911,0.749,2.414e-05,0.006601,0.006571,0.006629,5
0.0, 2CXO J110355.5-584754, 11 03 55.59,-58 47 54.12,2.66,1.62,169.6,6.05,                TRUE,False,False,False,False,False,False,False,False,8.283e-15,6.465e-15,1.01e-14,2.66e-15,6.864e-16,4.634e-15,5.764e-16,3.33e-16,8.069e-16,5.572e-15,4.604e-15,6.541e-15,0,0.136,0.27,0.473,  ,         ,         ,90.58,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,8941,412,1, 11 05 06.21,-58 50 43.50,2008-10-23T21:44:43,2008-10-25T10:22:21,ACIS,NONE,    VFAINT,9.567,145.19,74.982,62.292,86.925,4.97,7,False,1,0,0,0.0001689727,False,False,0,8.283e-15,6.465e-15,1.01e-14,2.66e-15,6.864e-16,4.634e-15,5.764e-16,3.33e-16,8.069e-16,5.572e-15,4.604e-15,6.541e-15,0,0.136,0.27,0.473,1.127e-05,0.001106,0.001095,0.001118,6
0.0, 2CXO J110356.4-590317, 11 03 56.44,-59 03 17.60,3.34,2.53,131.9,13.13,                TRUE,False,False,False,False,False,False, TRUE,False,4.795e-14,3.988e-14,5.555e-14,2.946e-14,1.778e-14,4.114e-14,6.7e-15,5.807e-15,7.54e-15,1.375e-14,1.27e-14,1.48e-14,9,1.0,1.0,1.0,  ,         ,         ,96.94,2.56e-14,2.252e-14,2.903e-14,3.557,2.947,4.303,         ,22.77,13.08,34.38,         ,1.973e-05,1.443e-05,2.823e-05,         ,1.166,1.984e-14,1.825e-14,2.146e-14,0.2519,0.2324,0.2675,         ,8.963e-06,         ,3.781,         ,0.0006082,0.0005716,0.0009514,         ,1.195,2.046e-14,1.212e-14,2.358e-14,0.7422,0.532,1.089,         ,9.214,2.464,16.86,         ,3.678e-05,2.098e-05,7.215e-05,         ,1.172,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,8941,684,1, 11 05 06.21,-58 50 43.50,2008-10-23T21:44:43,2008-10-25T10:22:21,ACIS,NONE,    VFAINT,15.457,73.63,618.73,576.08,661.38,13.13,7,False,1,0,0,0.0001931117,False,False,31,4.795e-14,3.988e-14,5.555e-14,2.946e-14,1.778e-14,4.114e-14,6.7e-15,5.807e-15,7.54e-15,1.375e-14,1.27e-14,1.48e-14,9,1.0,1.0,1.0,0.004553,0.0137,0.009142,0.02688,7
0.0, 2CXO J110405.7-585811, 11 04 05.76,-58 58 11.06,3.24,2.66,100.0,6.76,                TRUE,False,False, TRUE,False,False,False, TRUE,False,1.323e-14,9.143e-15,1.731e-14,5.358e-15,1.005e-15,9.711e-15,4.134e-16,9.335e-17,7.201e-16,5.844e-15,5.059e-15,6.583e-15,0,0.431,0.947,0.93,  ,         ,         ,94.17,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,8941,450,1, 11 05 06.21,-58 50 43.50,2008-10-23T21:44:43,2008-10-25T10:22:21,ACIS,NONE,    VFAINT,10.797,84.35,150.79,127.63,172.58,4.21,7,False,3,16,0,0.0001206948,False,False,1,1.323e-14,9.143e-15,1.731e-14,5.358e-15,1.005e-15,9.711e-15,4.134e-16,9.335e-17,7.201e-16,5.844e-15,5.059e-15,6.583e-15,0,0.431,0.947,0.93,0.000212,0.005051,0.004839,0.005263,8
0.0, 2CXO J110412.7-590359, 11 04 12.75,-59 03 59.18,5.11,2.58,98.0,6.13,                TRUE, TRUE,False, TRUE,False,False,False, TRUE,False,2.782e-14,1.981e-14,3.583e-14,2.922e-14,1.845e-14,3.998e-14,         ,         ,         ,1.168e-15,5.712e-16,1.74e-15,0,0.028,0.068,0.162,  ,         ,         ,96.39,1.484e-14,6.69e-15,2.275e-14,2.284,1.11,3.862,         ,127.3,44.12,238.6,         ,1.473e-05,3.648e-06,7.932e-05,         ,1.046,1.051e-14,1.417e-15,1.95e-14,0.78,0.5047,1.195,         ,35.31,         ,115.1,         ,5.83e-06,1.411e-06,4.019e-05,         ,1.053,1.895e-14,1.08e-14,2.537e-14,3.939,1.279,         ,         ,98.9,39.65,179.1,         ,1.099e-05,6.147e-06,3.883e-05,         ,1.047,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,8941,261,1, 11 05 06.21,-58 50 43.50,2008-10-23T21:44:43,2008-10-25T10:22:21,ACIS,NONE,    VFAINT,14.946,65.52,287.29,251.89,322.7,6.13,15,False,3,20,0,0.0001448338,False,False,1,2.782e-14,1.981e-14,3.583e-14,2.922e-14,1.845e-14,3.998e-14,         ,         ,         ,1.168e-15,5.712e-16,1.74e-15,0,0.028,0.068,0.162,2.454e-06,0.01695,0.01695,0.01696,9
0.0, 2CXO J110414.4-585932, 11 04 14.48,-58 59 32.94,2.85,2.85,0.0,5.18,                TRUE,False,False,False,False,False,False, TRUE,False,5.632e-15,2.414e-15,8.717e-15,0.0,0.0,3.655e-15,3.554e-16,6.347e-17,6.347e-16,2.808e-15,2.22e-15,3.363e-15,  ,         ,         ,         ,  ,         ,         ,94.3,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,8941,461,1, 11 05 06.21,-58 50 43.50,2008-10-23T21:44:43,2008-10-25T10:22:21,ACIS,NONE,    VFAINT,11.066,75.18,73.564,55.173,91.955,4.39,7,False,3,0,0,0.0001448338,False,False,1,5.632e-15,2.414e-15,8.717e-15,0.0,0.0,3.655e-15,3.554e-16,6.347e-17,6.347e-16,2.808e-15,2.22e-15,3.363e-15,  ,         ,         ,         ,         ,         ,         ,         ,10
