name,usrid,ra_pnt,dec_pnt,ra,dec,err_ellipse_r0,err_ellipse_r1,err_ellipse_ang,significance,extent_flag,pileup_flag,sat_src_flag,streak_src_flag,conf_flag,flux_aper90_mean_b,e_flux_aper90_mean_b,flux_aper90_mean_h,e_flux_aper90_mean_h,flux_aper90_mean_m,e_flux_aper90_mean_m,flux_aper90_mean_s,e_flux_aper90_mean_s,kp_intra_prob_b,ks_intra_prob_b,var_inter_prob_b,nh_gal,flux_powlaw_mean,e_flux_powlaw_mean,powlaw_gamma_mean,e_powlaw_gamma_mean,powlaw_nh_mean,e_powlaw_nh_mean,powlaw_ampl_mean,e_powlaw_ampl_mean,powlaw_stat,remove_code,flux_significance_b_max,flux_aper90_ave_s,e_flux_aper90_ave_s,flux_aper90_ave_m,e_flux_aper90_ave_m,flux_aper90_ave_h,e_flux_aper90_ave_h,chisqr,dof,kp_prob_b_max,var_inter_prob,significance_max,flux_flag,flux_aper90_ave_b,e_flux_aper90_ave_b,name_cat,ra_cat,dec_cat,e_Pos,Class,SubClass,ref,sep,CSC_ID,CSC_RA,CSC_DEC,CSC_err_r0,CSC_err_r1,CSC_PA,CSC__2CXO,CSC__r,CSC_fe,CSC_fc,GAIA_RA,GAIA_DEC,GAIA_PU,GAIA_Source,GAIA__r,GAIA_e_Pos,GAIA_Plx,GAIA_e_Plx,GAIA_PM,GAIA_e_PM,GAIA_epsi,Gmag,BPmag,RPmag,e_Gmag,e_BPmag,e_RPmag,TMASS_RA,TMASS_DEC,TMASS_err0,TMASS_err1,TMASS_errPA,TMASS__2MASS,TMASS__r,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag,ALLWISE_RA,ALLWISE_DEC,ALLWISE_err0,ALLWISE_err1,ALLWISE_errPA,ALLWISE_AllWISE,ALLWISE__r,W1mag,W2mag,W3mag,W4mag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,CATWISE_RA,CATWISE_DEC,CATWISE_PU,CATWISE_Name,CATWISE__r,W1mproPM,W2mproPM,e_W1mproPM,e_W2mproPM,Separation_GAIA_CSC,Separation_GAIA_CSC_ra,Separation_GAIA_CSC_dec,Separation_TMASS_CSC,Separation_TMASS_CSC_ra,Separation_TMASS_CSC_dec,Separation_TMASS_GAIA,Separation_TMASS_GAIA_ra,Separation_TMASS_GAIA_dec,Separation_ALLWISE_CSC,Separation_ALLWISE_CSC_ra,Separation_ALLWISE_CSC_dec,Separation_ALLWISE_GAIA,Separation_ALLWISE_GAIA_ra,Separation_ALLWISE_GAIA_dec,Separation_ALLWISE_TMASS,Separation_ALLWISE_TMASS_ra,Separation_ALLWISE_TMASS_dec,Separation_CATWISE_CSC,Separation_CATWISE_CSC_ra,Separation_CATWISE_CSC_dec,Separation_CATWISE_GAIA,Separation_CATWISE_GAIA_ra,Separation_CATWISE_GAIA_dec,Separation_CATWISE_TMASS,Separation_CATWISE_TMASS_ra,Separation_CATWISE_TMASS_dec,Separation_CATWISE_ALLWISE,Separation_CATWISE_ALLWISE_ra,Separation_CATWISE_ALLWISE_dec,Separation_max,ncat,dist_bayesfactor,dist_bayesfactor_corrected,dist_post,p_single,p_any,p_i,match_flag,Gaia,rare-type,remove_regions,GLAT,GLON,comment,rgeo,b_rgeo,B_rgeo,W1mag_comb,e_W1mag_comb,W2mag_comb,e_W2mag_comb
2CXO J174157.2-205412,88, 17 41 57.96,-20 54 17.75,265.4887083333333,-20.90351944444444,0.71,0.71,177.5,98.07,True,False,False,False,False,3.373923384702715e-13,3.68584463907724e-15,9.646797884560805e-14,2.6450021432926575e-15,7.33041480807438e-14,1.235224903859779e-15,1.676202115439197e-13,2.250251941955896e-15,0.986,0.984,1.0,31.13,2.968393653682409e-13,2.851789652216124e-15,2.5765957691216053,0.0340066687711473,,,9.360766152972846e-05,2.6205538601271717e-06,1.395,0,46.83,1.6600493306139705e-13,2.055788803633429e-15,7.326392687285955e-14,1.1805018490304564e-15,9.788872813173577e-14,2.4366460569509987e-15,5.701462240328881,6.0,0.986,0.543,46.83,0,3.371575880659924e-13,3.399572947822085e-15,J1741-2054,265.48868,-20.903278,0.045,NS,HE,2005AJ....129.1993M,0.870608,1,265.4886964,-20.9035194,0.71,0.71,177.5,J174157.2-205412,0.032,1,0,,,,,,,,,,,,,,,,,,,,,,,-99,,,,,,,,,,,,,-99,,,,,,,,,,,,,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1,0.0,0.0,1.0,1.0,0.0,0.0,1,-99,1,|GalacticCenter,6.42186563641857,4.906408750843315,,,,,,,,
2CXO J174722.7-280914,91, 17 47 27.74,-28 16 27.34,266.8449166666667,-28.15415,0.82,0.77,140.5,3.03,False,False,False,False,False,1.867984455846353e-14,5.492014121826645e-15,1.841e-14,5.490000000000001e-15,1.6915152689020746e-16,1.2779577829768643e-16,1.0069303157332162e-16,7.607465670362276e-17,0.556,0.182,0.643,139.2,,,,,,,,,,0,3.03,1.0069303157332162e-16,7.607465670362276e-17,1.6915152689020746e-16,1.2779577829768643e-16,1.7992258531172247e-14,4.997221245931457e-15,,0.0,0.556,,3.03,0,1.8262103089635774e-14,4.999433897465995e-15,J1747-2809,266.845,-28.154166666666665,0.5,NS,,2005AJ....129.1993M,0.305973,1,266.8449053,-28.1541506,0.82,0.769,140.5,J174722.7-280914,0.031,0,0,,,,,,,,,,,,,,,,,,,,,,,-99,,,,,,,,,,,,,-99,,,,,,,,,,,,,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1,0.0,0.0,1.0,1.0,0.0,0.0,1,-99,1,|GalacticCenter,0.868976811826493,0.0760153883855795,,,,,,,,
2CXO J174726.1-295957,92, 17 47 14.79,-29 59 14.37,266.85879166666666,-29.999402777777775,0.77,0.77,0.0,16.71,False,False,False,False,False,,,,,,,,,,,1.0,106.1,,,,,,,,,,0,15.0,1.9379709604409167e-16,9.156234819276103e-17,8.800945969247652e-16,2.7493151875917863e-16,6.209658539699503e-14,5.363817895559639e-15,112.18424736102509,2.0,,1.0,15.0,0,6.31704770899639e-14,5.3716397329251e-15,SLX 1744-299,266.85791667,-29.99938889,,LMXB,B,2007A&A...469..807L,2.714319,1,266.8587871,-29.9994039,0.768,0.768,0.0,J174726.1-295957,0.031,0,0,,,,,,,,,,,,,,,,,,,,,,,-99,,,,,,,,,,,,,-99,,,,,,,,,,,,,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1,0.0,0.0,1.0,1.0,0.0,0.0,1,-99,1,|GalacticCenter,359.2965666633966,-0.8898088655620915,,,,,,,,
2CXO J173413.4-260518,170, 17 34 12.71,-26 05 51.94,263.5560416666666,-26.088527777777777,0.71,0.71,165.6,14.81,False,False,False,False,False,2.071251897183258e-15,5.221955074170584e-16,4.383902048319002e-16,3.8947747740172783e-16,1.2633616923513577e-15,3.024001199790531e-16,3.695e-16,1.719e-16,0.931,0.945,1.0,33.02,,,,,,,,,,0,11.3,5.939963831903723e-16,1.203921531262764e-16,2.179245705737469e-15,2.543119498272307e-16,7.091006403486564e-16,2.2204509108647236e-16,85.07023705007771,6.0,0.931,1.0,11.3,0,3.482342729276497e-15,3.584311103056046e-16,KS 1731-260,263.556125,-26.08855556,,LMXB,"T, B;*|LXB|X|gam",2007A&A...469..807L;SIMBAD,0.310493,1,263.5560341,-26.0885277,0.712,0.711,165.6,J173413.4-260518,0.031,0,0,,,,,,,,,,,,,,,,,,,,,,,-99,,,,,,,,,,,,,-99,,,,,,,,,,,,,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1,0.0,0.0,1.0,1.0,0.0,0.0,1,-99,1,|GalacticCenter,1.0729516167757214,3.6525806079633343,,,,,,,,
2CXO J173953.9-282946,172, 17 39 45.43,-28 31 57.32,264.97475,-28.49623055555556,1.41,1.09,173.5,4.38,False,False,False,False,False,1.8600171987546065e-14,4.2476974706620535e-15,9.983797884560802e-15,3.906500014511741e-15,8.154e-15,1.631e-15,4.623741029852605e-16,3.493285543561759e-16,0.763,0.959,0.958,79.35,,,,,,,,,,0,4.38,8.333744612059544e-16,4.0795142483145483e-16,6.6042153100057215e-15,1.3701226700993306e-15,1.0699608717413371e-14,3.594065970774841e-15,0.0455104377267569,2.0,0.763,0.022,4.38,0,1.8137198488625047e-14,3.867941403178677e-15,XTE J1739-285,264.97479167,-28.49633333,,LMXB,"T, B;LMXB;LMXB (B, NS, T);LXB|N*?|X",2007A&A...469..807L;2018ApJS..235....4O;INTEGRAL General Reference Catalog;SIMBAD,0.39782,1,264.9747463,-28.4962303,1.406,1.094,173.5,J173953.9-282946,0.032,0,0,,,,,,,,,,,,,,,,,,,,,,,-99,,,,,,,,,,,,,-99,,,,,,,,,,,,,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1,0.0,0.0,1.0,1.0,0.0,0.0,1,-99,1,|GalacticCenter,359.7141068963803,1.298137351169335,,,,,,,,
2CXO J174502.3-285449,174, 17 44 51.39,-28 50 20.59,266.25966666666665,-28.913858333333334,0.71,0.71,71.0,376.06,True,False,False,False,False,,,1.6532021154391972e-11,3.5161598694644327e-14,,,,,1.0,1.0,1.0,107.9,,,,,,,,,,0,29.26,1.5791954309078065e-15,5.625575498053566e-16,1.542972007769845e-15,5.646587048971982e-16,7.50200659699878e-15,2.0475057182986333e-15,1061.9533123413903,4.0,0.806,1.0,29.26,0,1.0624174035676433e-14,2.197177761658075e-15,GRS 1741.9-2853,266.25970833,-28.91380556,,LMXB,"T, B;LMXB;LXB|X",2007A&A...469..807L;2018ApJS..235....4O;SIMBAD,0.207509,1,266.2596838,-28.913859,0.712,0.712,71.01,J174502.3-285449,0.032,1,0,,,,,,,,,,,,,,,,,,,,,,,-99,,,,,,,,,,,,,-99,,,,,,,,,,,,,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1,0.0,0.0,1.0,1.0,0.0,0.0,1,-99,1,|GalacticCenter,359.95271252404143,0.1201512773539578,,,,,,,,
2CXO J174621.1-284343,175, 17 46 32.54,-28 36 27.95,266.58825,-28.72874444444444,0.71,0.71,3.3,331.95,True,False,False,False,False,4.604384e-11,1.5002455889845598e-13,4.599e-11,1.5000000000000077e-13,3.546202115439197e-14,1.7850031759139137e-15,1.8377978845608032e-14,2.045002772130825e-15,1.0,1.0,1.0,118.4,5.015606346317592e-11,1.6530892959809898e-13,1.139,0.034,1682.0,20.0,0.0197897884560802,0.0012604498412377,1.181,0,331.95,2.0519050161897057e-14,1.899120522665744e-15,3.5692700305846526e-14,1.5229811040722386e-15,4.624128717730095e-11,1.222543228235886e-13,91.47512548524844,1.0,1.0,1.0,331.95,0,4.629749892776869e-11,1.2227855731589733e-13,1E 1743.1-2843,266.58789167,-28.72841667,,LMXB,;LMXB;NIR,2007A&A...469..807L;2018ApJS..235....4O;SIMBAD,1.605878,1,266.5882352,-28.7287457,0.714,0.713,3.322,J174621.1-284343,0.031,1,0,,,,,,,,,,,,,,,,,,,,,,,-99,,,,,,,,,,,,,-99,,,,,,,,,,,,,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1,0.0,0.0,1.0,1.0,0.0,0.0,1,-99,1,|GalacticCenter,0.2606698846342188,-0.0291418026097138,,,,,,,,
2CXO J174702.5-285259,176, 17 47 36.01,-28 59 39.02,266.7607916666667,-28.88308333333333,0.71,0.71,,42.8,True,False,False,False,False,,,3.583e-15,2.312e-15,2.072961371612393e-16,1.9934202713279763e-16,,,,,1.0,111.2,,,,,,,,,,0,1.8,1.1314003072184632e-15,8.547849699345253e-16,2.3706955108318985e-16,1.9774291044994016e-16,5.587037852680812e-15,2.2637805441714864e-15,,0.0,,,0.0,0,6.955507710982465e-15,2.4278513042664974e-15,SAX J1747.0-2853,266.76083333,-28.88302778,,LMXB,"T, B;LMXB;LXB|N*?|V*|X|gam|smm",2007A&A...469..807L;2018ApJS..235....4O;SIMBAD,0.254454,1,266.760784,-28.8830837,0.711,0.71,,J174702.5-285259,0.032,1,0,,,,,,,,,,,,,,,,,,,,,,,-99,,,,,,,,,,,,,-99,,,,,,,,,,,,,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1,0.0,0.0,1.0,1.0,0.0,0.0,1,-99,1,|GalacticCenter,0.2072396991306651,-0.2384883577072632,,,,,,,,
2CXO J174931.7-280805,177, 17 49 31.43,-28 07 49.79,267.38220833333327,-28.13473611111111,0.72,0.72,21.1,6.98,False,False,False,False,False,,,5.0202021154391974e-14,8.065000702915207e-15,1.502999540513812e-15,6.709194679174375e-16,,,0.559,0.541,,132.2,,,,,,,,,,0,6.76,3.6423430200650804e-15,2.7518289053251817e-15,1.607939555764685e-15,6.612864655657513e-16,5.067267074748176e-14,7.981882743418238e-15,,0.0,,,1.31,0,5.5922953323311526e-14,8.468784696956318e-15,J1749-2808,267.382083,-28.134722,1.0,LMXB,XB;NIR,2003A&A...404..301R;SIMBAD,0.394084,1,267.382206,-28.1347369,0.723,0.719,21.1,J174931.7-280805,0.032,0,0,,,,,,,,,,,,,,,,,,,,,,,-99,,,,,,,,,,,,,-99,,,,,,,,,,,,,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1,0.0,0.0,1.0,1.0,0.0,0.0,1,-99,1,|GalacticCenter,1.13007036183964,-0.3197953692441451,,,,,,,,
2CXO J180632.1-221417,180, 18 06 33.78,-22 17 02.69,271.6340833333333,-22.238097222222223,0.71,0.71,,26.29,True,False,False,False,False,5.9862884943356576e-15,3.4195659275096387e-15,4.3716095086389e-15,3.3027974966652077e-15,9.965578164427788e-16,7.529100334613695e-16,6.181211692539798e-16,4.669971200340457e-16,0.155,0.492,1.0,111.5,,,,,,,,,,0,0.0,7.978845608028655e-18,6.028102749890869e-18,7.978845608028655e-18,6.028102749890869e-18,7.978845608028655e-18,6.028102749890869e-18,,-1.0,,,,7,2.3936536824085967e-17,1.0440980236056649e-17,SAX J1806.5-2215,271.63406,-22.238111,2.196,LMXB,"LMXB (T, NS);X",INTEGRAL General Reference Catalog;SIMBAD,0.065538,1,271.6340718,-22.2380965,0.713,0.712,,J180632.1-221417,0.031,1,0,,,,,,,,,,,,,,,,,,,,,,,-99,,,,,,,,,,,,,-99,,,,,,,,,,,,,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1,0.0,0.0,1.0,1.0,0.0,0.0,1,-99,1,|GalacticCenter,8.15942273883341,-0.6992166073346341,,,,,,,,
