_rs_catwise,_q,_r_catwise,objID_catwise,RA_ICRS_catwise,e_RA_ICRS_catwise,DE_ICRS_catwise,e_DE_ICRS_catwise,Name_catwise,ePos_catwise,Xpos_catwise,Ypos_catwise,skyW1_catwise,e_skyW1_catwise,confW1_catwise,skyW2_catwise,e_skyW2_catwise,confW2_catwise,nW1_catwise,mW1_catwise,nW2_catwise,mW2_catwise,_tab1_20_catwise,RAPMdeg_catwise,e_RAPMdeg_catwise,DEPMdeg_catwise,e_DEPMdeg_catwise,ePosPM_catwise,pmRA_catwise,e_pmRA_catwise,pmDE_catwise,e_pmDE_catwise,snrW1pm_catwise,snrW2pm_catwise,FW1pm_catwise,e_FW1pm_catwise,FW2pm_catwise,e_FW2pm_catwise,W1mproPM_catwise,e_W1mproPM_catwise,chi2W1pm_catwise,W2mproPM_catwise,e_W2mproPM_catwise,chi2W2pm_catwise,chi2pm_catwise,pmQual_catwise,Dist_catwise,dW1mpro_catwise,chi2dW1mpro_catwise,dW2mpro_catwise,chi2dW2mpro_catwise,ELONavg_catwise,e_ELONavg_catwise,ELATavg_catwise,e_ELATavg_catwise,dELON_catwise,e_dELON_catwise,dELAT_catwise,e_dELAT_catwise,snrdELON_catwise,snrdELAT_catwise,chi2pmRA_catwise,chi2pmDE_catwise,ka_catwise,k1_catwise,k2_catwise,km_catwise,plx1_catwise,e_plx1_catwise,plx2_catwise,e_plx2_catwise,Sep_catwise,ccf_catwise,abf_catwise,WISEA_catwise
[0.377],1.0,0.377,0000p136_b0-004375,0.0390469,0.049,13.938422,0.0472,J000009.36+135618.3,-0.0172,974.898,1428.265,-0.42,4.9,0.0,-1.05,17.7,0.73,13,13,13,13,57197.720432,0.0390388,0.0494,13.9384253,0.0477,-0.0175,-0.01588,0.0163,0.01325,0.0169,53.1,50.9,580.0,10.0,1400.0,30.0,15.594,0.02,0.8426,14.668,0.021,0.8329,0.8321,2N000,0.167,-0.065,2.5,-0.003,0.005,5.673613,0.046,12.752449,0.05,0.099,0.093,0.086,0.1,1.056,0.863,2.52,0.22,3,3,3,3,0.051,0.047,0.049,0.047,0.172,0000,00,WISEA
[0.105],2.0,0.105,0000p015_b0-001347,0.627972,0.0284,0.8330979,0.0265,J000230.71+004959.1,-0.0081,202.423,132.584,-0.71,5.7,0.0,-0.77,20.8,0.99,13,13,13,13,57232.933123,0.6279709,0.0283,0.8331015,0.0265,-0.0082,-0.00674,0.0075,-0.00103,0.0072,71.0,100.2,1600.0,20.0,5600.0,60.0,14.459,0.015,0.5869,13.136,0.011,0.8921,0.7347,1N000,0.147,-0.025,0.644,0.003,0.019,0.907533,0.027,0.514574,0.028,0.059,0.055,0.105,0.056,1.071,1.891,2.67,2.53,3,3,3,3,0.033,0.027,0.029,0.027,0.044,0000,00,WISEA
"[0.643, 8.404]",3.0,0.643,0015p000_b0-002818,1.5942361,0.0476,-0.0734223,0.0431,J000622.60-000424.2,-0.0163,917.688,928.391,1.18,5.7,0.0,6.28,20.8,0.85,13,13,13,13,57176.736963,1.5942012,0.0483,-0.0734171,0.0439,-0.0148,0.01455,0.0156,0.00648,0.015,54.2,57.2,730.0,10.0,1800.0,30.0,15.335,0.02,1.076,14.33,0.019,1.243,1.152,2N000,0.136,0.011,0.074,-0.008,0.044,1.433517,0.045,-0.701431,0.046,0.066,0.091,0.079,0.092,0.724,0.854,15.8,1.85,3,3,3,3,0.035,0.047,0.028,0.046,0.021,0000,00,WISEA
[0.172],4.0,0.172,0015p000_b0-010964,1.7470873,0.1046,-0.294675,0.1019,J000659.29-001740.8,-0.0348,717.59,638.745,-1.03,5.8,0.0,-0.29,20.7,0.0,13,13,12,12,57352.487726,1.7470433,0.1095,-0.2946603,0.1061,-0.0372,0.07872,0.0448,-0.08177,0.0441,29.5,19.1,240.0,8.0,550.0,30.0,16.549,0.037,0.7353,15.65,0.057,0.8149,0.8002,1N000,0.461,0.177,5.642,-0.065,0.339,1.485786,0.1,-0.965221,0.107,0.246,0.204,0.358,0.214,1.201,1.674,0.578,0.469,3,3,3,3,0.143,0.109,0.136,0.108,,,00,WISEA
[0.216],5.0,0.216,0015p166_b0-000258,1.7650562,0.0218,15.9066013,0.0187,J000703.61+155423.7,-0.008,781.52,39.754,0.15,5.4,0.0,0.32,18.2,0.09,13,13,13,13,57172.670672,1.7650415,0.0231,15.9066103,0.0198,-0.0074,0.01632,0.0044,0.0149,0.0039,92.3,129.1,20000.0,200.0,52000.0,400.0,11.743,0.012,1.704,10.71,0.008,1.821,1.751,1N000,0.132,0.019,0.622,0.022,1.826,8.064325,0.02,13.867166,0.02,0.039,0.04,0.102,0.041,0.973,2.498,38.4,0.308,3,3,3,3,0.023,0.022,0.017,0.021,0.034,0000,00,WISEA
"[0.085, 8.222, 9.386]",6.0,0.085,0015p151_b0-004124,2.2366828,0.0491,15.8460239,0.0467,J000856.80+155045.7,-0.0166,178.805,1944.34,1.06,5.5,0.0,2.68,19.8,1.51,13,13,13,13,57156.936476,2.2366727,0.0489,15.8460306,0.0466,-0.0162,0.01124,0.016,-0.03901,0.0153,50.3,58.7,570.0,10.0,1900.0,30.0,15.616,0.022,1.166,14.293,0.019,0.9184,1.036,3N000,0.057,-0.018,0.174,0.013,0.116,8.464918,0.047,13.626237,0.049,-0.009,0.094,0.044,0.099,0.096,0.442,2.46,0.0266,3,3,3,3,-0.006,0.047,-0.006,0.047,0.032,0000,00,WISEA
[0.166],7.0,0.166,0030p000_b0-002879,3.2756426,0.0494,0.0755532,0.0465,J001306.14+000432.0,-0.0178,696.703,1123.412,0.17,5.8,0.0,0.8,19.7,0.0,13,13,13,13,57215.856346,3.2756194,0.0496,0.0755557,0.0468,-0.0179,0.00552,0.0151,0.0065,0.0147,52.2,55.4,660.0,10.0,1900.0,40.0,15.459,0.021,0.7684,14.287,0.02,0.8894,0.8238,1N000,0.204,0.009,0.046,0.021,0.269,3.035861,0.047,-1.233029,0.049,0.067,0.095,0.171,0.1,0.703,1.712,0.00597,4.22,3,3,3,3,0.037,0.048,0.032,0.048,0.095,0000,00,WISEA
"[0.875, 9.632]",8.0,0.875,0047p166_b0-010752,4.6553768,0.096,16.5794969,0.0908,J001837.29+163446.1,-0.039,1100.788,920.576,0.03,5.6,0.0,1.33,19.4,0.0,13,13,13,13,57260.004125,4.6553683,0.0972,16.5794875,0.0926,-0.0393,-0.01956,0.0372,0.06446,0.0362,32.8,21.4,280.0,8.0,540.0,20.0,16.385,0.033,0.825,15.661,0.051,0.8761,0.8452,2N000,0.143,-0.189,7.771,0.005,0.002,10.953093,0.089,13.347534,0.098,0.089,0.19,0.05,0.201,0.471,0.251,12.1,0.704,3,3,3,3,0.074,0.098,0.051,0.098,0.369,0000,00,WISEA
[0.464],9.0,0.464,0047p166_b0-037617,4.7285551,0.2739,16.4979248,0.2704,J001854.85+162952.5,-0.1018,1008.968,813.779,0.26,5.4,0.0,3.22,19.6,0.11,6,13,3,13,57327.982809,4.7285241,0.2827,16.4979143,0.2793,-0.0991,-0.00584,0.1133,-0.03685,0.11,11.6,6.8,87.0,8.0,160.0,20.0,17.656,0.094,0.7458,17.012,0.16,0.8329,0.7837,1N000,0.68,0.008,0.002,1.044,5.673,10.984779,0.259,13.244459,0.285,0.592,0.521,0.239,0.573,1.135,0.416,3.5,0.755,3,3,3,3,0.392,0.269,0.303,0.269,1.289,0000,00,WISEA
[0.186],10.0,0.186,0046p151_b0-001396,5.1050906,0.0263,15.6818844,0.0249,J002025.22+154054.7,-0.0029,508.416,1728.583,-1.09,5.2,0.0,-0.67,20.4,1.45,13,13,13,13,57195.99987,5.1050915,0.0263,15.681889,0.025,-0.0026,0.01657,0.0068,-0.01139,0.0065,78.6,100.5,2300.0,30.0,5800.0,60.0,14.093,0.014,0.9674,13.095,0.011,1.16,1.057,2N000,0.093,0.007,0.064,0.006,0.08,10.983665,0.026,12.351824,0.025,0.003,0.052,0.079,0.051,0.06,1.557,7.63,0.021,3,3,3,3,0.005,0.026,0.0,0.026,0.011,0000,00,WISEA
