_rs_gaia,_q,_r_gaia,EDR3Name_gaia,RA_ICRS_gaia,e_RA_ICRS_gaia,DE_ICRS_gaia,e_DE_ICRS_gaia,Source_gaia,SolID_gaia,RandomI_gaia,Epoch_gaia,Plx_gaia,e_Plx_gaia,RPlx_gaia,PM_gaia,pmRA_gaia,e_pmRA_gaia,pmDE_gaia,e_pmDE_gaia,RADEcor_gaia,RAPlxcor_gaia,RApmRAcor_gaia,RApmDEcor_gaia,DEPlxcor_gaia,DEpmRAcor_gaia,DEpmDEcor_gaia,PlxpmRAcor_gaia,PlxpmDEcor_gaia,pmRApmDEcor_gaia,NAL_gaia,NAC_gaia,NgAL_gaia,NbAL_gaia,gofAL_gaia,chi2AL_gaia,epsi_gaia,sepsi_gaia,Solved_gaia,APF_gaia,nueff_gaia,pscol_gaia,e_pscol_gaia,RApscolCorr_gaia,DEpscolCorr_gaia,PlxpscolCorr_gaia,pmRApscolCorr_gaia,pmDEpscolCorr_gaia,MatchObsA_gaia,Nper_gaia,amax_gaia,MatchObs_gaia,NewMatchObs_gaia,MatchObsrm_gaia,IPDgofha_gaia,IPDgofhp_gaia,IPDfmp_gaia,IPDfow_gaia,RUWE_gaia,SDSk1_gaia,SDSk2_gaia,SDSk3_gaia,SDSk4_gaia,SDMk1_gaia,SDMk2_gaia,SDMk3_gaia,SDMk4_gaia,Dup_gaia,o_Gmag_gaia,FG_gaia,e_FG_gaia,RFG_gaia,Gmag_gaia,e_Gmag_gaia,o_BPmag_gaia,FBP_gaia,e_FBP_gaia,RFBP_gaia,BPmag_gaia,e_BPmag_gaia,o_RPmag_gaia,FRP_gaia,e_FRP_gaia,RFRP_gaia,RPmag_gaia,e_RPmag_gaia,NBPcont_gaia,NBPblend_gaia,NRPcont_gaia,NRPblend_gaia,Mode_gaia,E_BP_RP__gaia,BP-RP_gaia,BP-G_gaia,G-RP_gaia,RVDR2_gaia,e_RVDR2_gaia,o_RVDR2_gaia,Tefftemp_gaia,loggtemp_gaia,__Fe_H_temp_gaia,GLON_gaia,GLAT_gaia,ELON_gaia,ELAT_gaia,PS1_gaia,SDSSDR13_gaia,SkyMapper2_gaia,URAT1_gaia,GmagCorr_gaia,e_GmagCorr_gaia,FGCorr_gaia,E_BP_RP_Corr_gaia,RAJ2000_gaia,e_RAJ2000_gaia,DEJ2000_gaia,e_DEJ2000_gaia,RADEcorJ2000_gaia,_r_gaiadist,RA_ICRS_gaiadist,DE_ICRS_gaiadist,rgeo_gaiadist,b_rgeo_gaiadist,B_rgeo_gaiadist,rpgeo_gaiadist,b_rpgeo_gaiadist,B_rpgeo_gaiadist,Flag_gaiadist
[0.17267854297234286],1.0,0.17267854297234286,Gaia EDR3 2767427649937817728,0.03908976009,0.1551,13.93846081459,0.1016,2767427649937817728,1636042515805110272,1754935333,2016.0,-0.1574,0.2045,-0.7696,0.2,-0.2,0.196,-0.008,0.121,0.3088,0.1722,0.0431,-0.1875,-0.234,-0.2746,0.4018,0.2027,-0.3793,0.0586,532,0,526,6,1.9731,611.88,0.421,1.29,31,1,1.566,,,,,,,,60,17,0.27434,77,13,0,0.163,64.0,0,0,1.061,0.178,0.663,0.281,0.138,158.434,-19.975,33.446,-20.128,0,512,754.06,1.0712,703.972,18.49385,0.003158,71,422.35,6.7191,62.858,18.774363,0.017497,75,492.34,6.5693,74.945,18.01724,0.014972,0,2,0,1,0,1.213,0.757122,0.280512,0.47661,,,0,,,,104.4921583166,-47.0889411049,5.6736880575,12.7524554741,124720000390526640,1237652942101545216,,520000014,18.49385,0.003158,754.06,0.017,0.03909067632,3.1263,13.93846084986,1.8942,0.0849,0.173,0.03908976009,13.93846081459,5341.84473,3365.31104,12734.5479,6771.80908,5695.6582,8208.14746,10033.0
[0.12422020613797241],2.0,0.12422020613797241,Gaia EDR3 2738349136498974336,0.62798434096,0.1229,0.83309490225,0.1072,2738349136498974336,1636042515805110272,849874828,2016.0,0.2857,0.1637,1.7448,0.202,0.185,0.204,-0.08,0.1,0.337,-0.0705,-0.0351,0.0609,-0.3822,-0.2773,0.7531,0.3119,-0.3951,0.114,398,0,398,0,-1.6119,363.33,0.0,0.0,31,1,1.574,,,,,,,,48,13,0.287442,60,8,0,0.0722,161.0,1,0,0.942,0.534,0.726,0.554,0.377,-15.576,-17.487,-15.831,-9.349,0,478,1384.4,2.577,537.195,17.834246,0.003417,52,762.3,9.1264,83.527,18.13322,0.013295,51,920.79,9.1534,100.596,17.337488,0.011436,0,0,0,0,0,1.216,0.795732,0.298975,0.496758,,,0,,,,98.1349087846,-59.6622736664,0.9075549495,0.5145572343,109000006279830176,1237657191979221248,16582627,455000154,17.834246,0.003417,1384.4,0.016,0.62798351849,3.2779,0.83309525951,1.5279,0.1376,0.124,0.62798434096,0.83309490225,2676.2002,1935.71948,4579.77588,4197.05273,3410.53809,5053.73486,10033.0
[0.6532161258368407],3.0,0.6532161258368407,Gaia EDR3 2545889285438774528,1.59419109221,0.5714,-0.07345956696,0.4678,2545889285438774528,1636042515805110272,179525207,2016.0,0.0289,0.6527,0.0443,0.034,0.003,0.835,-0.034,0.592,0.4055,-0.072,0.1007,-0.3486,-0.1452,-0.3001,-0.1363,-0.2144,0.0539,0.202,216,0,214,2,0.5269,233.77,0.841,0.427,31,1,1.605,,,,,,,,25,13,1.18953,36,12,0,0.136,140.0,0,0,1.024,0.123,0.469,0.281,0.301,-103.698,-26.944,-46.961,23.438,0,271,181.32,1.6642,108.955,20.041252,0.010339,31,117.99,7.068,16.694,20.15889,0.065097,32,134.46,8.0794,16.643,19.426401,0.065348,0,1,0,1,0,1.392,0.732489,0.117638,0.614851,,,0,,,,99.2807745649,-60.8590909506,1.4335025004,-0.7014716643,107910015941802320,1237657190905937920,13297277,,20.041252,0.010339,181.32,0.198,1.59419107885,13.3137,-0.07345941763,9.5488,0.2316,0.653,1.59419109221,-0.07345956696,1963.5354,1240.3252,2742.6394,11836.8857,9928.94727,14323.5811,10023.0
[0.11846350224344465],4.0,0.11846350224344465,Gaia EDR3 2545776959158460800,1.74705079529,0.317,-0.29469272614,0.3105,2545776959158460800,1636042515805110272,110815242,2016.0,-1.0241,0.3579,-2.8611,0.389,0.358,0.387,0.153,0.354,0.4902,0.036,-0.1848,-0.413,-0.2379,-0.3316,-0.4075,-0.1332,-0.0426,0.3688,206,9,205,1,1.6917,247.42,0.812,1.12,31,0,1.633,,,,,,,,24,13,0.636093,34,13,0,0.133,65.1,0,0,1.084,,,,,,,,,0,263,379.53,1.8548,204.625,19.23924,0.005979,30,256.31,9.8241,26.09,19.316618,0.041708,31,224.91,10.171,22.112,18.867884,0.049247,0,0,0,2,0,1.268,0.448734,0.077377,0.371357,,,0,,,,99.4128632812,-61.1202546728,1.4857883028,-0.9652456344,107640017470196800,1237663783661273344,13296851,,19.23924,0.005979,379.53,0.092,1.7470492038,6.2638,-0.29469340507,5.7915,0.3958,0.118,1.74705079529,-0.29469272614,3304.13647,2272.69238,5593.99512,3908.68726,3113.78271,5125.26807,10022.0
[0.17394662581992648],5.0,0.17394662581992648,Gaia EDR3 2769535856108234880,1.76505023779,0.2009,15.90657564678,0.1886,2769535856108234880,1636042515805110272,130023518,2016.0,0.1572,0.2248,0.6992,0.583,0.58,0.217,-0.055,0.243,0.4936,0.2329,-0.1588,-0.4787,-0.083,-0.3903,-0.5893,-0.0394,-0.0637,0.4076,245,0,244,1,2.028,322.91,0.628,2.09,95,0,,1.2553,0.0521,-0.18,-0.071,0.093,-0.12,0.023,29,14,0.4113,38,11,0,0.168,68.4,5,0,1.093,0.173,0.364,0.324,0.536,-89.873,-31.435,-57.014,25.261,0,313,752.1,5.3235,141.28,18.496683,0.008164,35,620.14,17.168,36.121,18.357317,0.030187,34,1605.6,18.273,87.87,16.73377,0.012921,0,35,0,34,0,2.959,1.623547,-0.139366,1.762913,,,0,,,,107.5840739011,-45.6385482219,8.0643328988,13.8671248529,127080017650598464,1237656496725033216,,530000745,18.493893,0.008145,754.03,1.674,1.76504755743,3.5103,15.90657589342,3.9951,0.4379,0.174,1.76505023779,15.90657564678,3715.78882,1964.88049,5149.33105,1679.33557,1491.05286,1897.44373,10033.0
[0.024324988104179296],6.0,0.024324988104179296,Gaia EDR3 2769540666471561472,2.23666052489,0.2655,15.84604494497,0.2073,2769540666471561472,1636042515805110272,1288564649,2016.0,0.6582,0.3391,1.9409,0.363,-0.353,0.325,0.086,0.323,0.3126,0.3057,0.0868,-0.3288,-0.2353,-0.1663,-0.2145,-0.0958,-0.173,0.2871,244,0,244,0,1.8881,296.12,0.527,0.727,31,1,1.59,,,,,,,,29,15,0.515938,37,10,0,0.0858,151.0,0,0,1.086,0.223,0.423,0.366,0.398,-109.388,-33.194,-55.617,23.855,0,307,435.23,2.569,169.419,19.090563,0.006976,35,248.16,9.697,25.591,19.351732,0.042518,33,275.16,7.9885,34.444,18.648952,0.031748,0,0,0,0,0,1.202,0.70278,0.261169,0.44161,,,0,,,,108.1939985832,-45.8062461881,8.4649273879,13.6262483656,127010022366295792,1237656496725229824,,,19.090563,0.006976,435.23,0.01,2.23666215532,5.1861,15.84604456097,5.2238,0.3093,0.024,2.23666052489,15.84604494497,1440.69666,1054.01428,2005.5603,8015.11523,2295.58594,10340.4707,10123.0
[0.15673460329266528],7.0,0.15673460329266528,Gaia EDR3 2545465385051233664,3.27563213969,0.1392,0.07554041047,0.1167,2545465385051233664,1636042515805110272,921908446,2016.0,-0.0413,0.1636,-0.2527,0.314,-0.245,0.176,-0.196,0.147,0.3308,0.2582,-0.2024,-0.2053,-0.1256,-0.1651,-0.1184,-0.0366,-0.2003,0.2962,299,0,295,4,0.7352,321.25,0.144,0.134,31,1,1.615,,,,,,,,34,16,0.264787,40,12,0,0.0867,69.4,0,0,1.03,0.235,0.364,0.247,0.531,-66.489,-26.491,-49.046,23.537,0,337,782.71,1.7005,460.284,18.45336,0.003627,35,476.61,7.1847,66.337,18.64313,0.016603,34,483.29,10.945,44.158,18.037374,0.024877,0,2,0,1,0,1.226,0.605755,0.18977,0.415985,,,0,,,,102.6612863767,-61.278343692,3.0358798348,-1.2330546292,108090032756031120,1237663784198799360,16608426,,18.45336,0.003627,782.71,0.041,3.27563323023,2.8529,0.07554127937,2.3703,0.3096,0.157,3.27563213969,0.07554041047,3690.96924,2779.38208,4912.48145,7121.09375,5589.93066,8917.57031,10021.0
[0.5915200779080817],8.0,0.5915200779080817,Gaia EDR3 2793520396598023424,4.65546091347,0.3624,16.57949482464,0.3241,2793520396598023424,1636042515805110272,1478046953,2016.0,0.0555,0.5,0.1111,0.525,0.5,0.526,0.161,0.415,0.3668,0.0063,-0.2039,-0.1875,-0.2946,-0.2028,-0.3611,0.2287,-0.1547,0.1749,246,0,245,1,0.2886,261.81,0.0,0.0,31,0,1.62,,,,,,,,28,13,0.760089,34,10,0,0.0481,34.2,0,0,1.012,0.208,0.402,0.373,0.443,-118.55,-25.299,-55.298,21.347,0,296,209.36,1.7765,117.852,19.88511,0.009616,32,124.29,11.508,10.801,20.102427,0.100564,30,147.46,8.6725,17.004,19.326174,0.063965,0,0,0,1,0,1.298,0.776253,0.217316,0.558937,,,0,,,,111.6649996116,-45.5731297199,10.9531863566,13.3474954947,127890046554195984,1237678600233419008,,,19.88511,0.009616,209.36,0.1,4.65545859697,8.4936,16.57949410732,6.7624,0.1883,0.592,4.65546091347,16.57949482464,2373.55591,1569.56006,3513.23413,10054.0635,8172.8833,11731.8936,10033.0
[0.1788825017429373],10.0,0.1788825017429373,Gaia EDR3 2792568082089075584,5.10509601792,0.1001,15.68188149879,0.0815,2792568082089075584,1636042515805110272,1613811485,2016.0,-0.3286,0.1174,-2.7979,0.124,-0.111,0.122,-0.055,0.106,0.2983,0.0887,-0.1466,-0.2189,-0.2931,-0.1954,-0.3563,0.0978,0.0294,0.1753,243,0,242,1,-0.43,236.5,0.0,0.0,31,1,1.558,,,,,,,,29,15,0.179361,38,12,0,0.0127,6.62,0,0,0.979,0.254,0.385,0.347,0.447,-144.829,-18.971,-58.304,17.766,0,310,1447.5,3.5656,405.971,17.785807,0.00384,35,808.76,14.377,56.254,18.068989,0.019501,35,1020.6,10.178,100.275,17.225727,0.011468,0,1,0,0,0,1.264,0.843262,0.283182,0.56008,,,0,,,,112.0472365575,-46.5332915657,10.9836795887,12.3518111614,126810051050798752,1237653652910833664,,529001691,17.785807,0.00384,1447.5,0.061,5.10509652944,1.9707,15.68188174219,1.7298,0.1914,0.179,5.10509601792,15.68188149879,8648.11133,5833.57129,13084.8281,5832.54199,5023.86963,7141.82812,10033.0
[0.38541158454543906],11.0,0.38541158454543906,Gaia EDR3 2857312549413516160,5.15805070032,0.2361,28.70869983542,0.2052,2857312549413516160,1636042515805110272,1436877692,2016.0,-0.2369,0.3013,-0.7862,0.433,0.393,0.311,0.182,0.269,0.2395,0.2515,0.0257,-0.2087,-0.2028,-0.2228,-0.3541,0.0904,0.1344,0.1793,368,0,366,2,1.2007,414.61,0.535,0.592,31,1,1.598,,,,,,,,42,18,0.452534,46,17,0,0.135,73.4,0,0,1.044,0.24,0.38,0.339,0.303,-111.915,-24.811,57.158,15.777,0,375,332.19,2.2727,146.168,19.383894,0.007923,43,226.77,8.9323,25.388,19.449568,0.042857,41,236.15,9.7533,24.212,18.81494,0.045002,0,1,0,1,0,1.394,0.634628,0.065674,0.568954,,,0,,,,114.8122731076,-33.6768952742,16.7812763021,24.1642048655,142450051580671008,1237678791883030784,,594003021,19.383894,0.007923,332.19,0.206,5.15804870719,4.9689,28.70869902548,4.3743,0.1969,0.385,5.15805070032,28.70869983542,3832.36108,2307.30322,5549.8667,10683.2578,9284.86914,12404.2744,10023.0
