name_cat,ra_cat,dec_cat,e_Pos,Class,SubClass,ref,sep,name,ra,dec,r0,PU,remove_code,_r_simbad,main_id,ra_simbad,dec_simbad,coo_err_maj,coo_err_min,coo_err_angle,nbref,ra_sexa,dec_sexa,coo_qual,coo_bibcode,main_type,other_types,radvel,radvel_err,redshift,redshift_err,sp_type,morph_type,plx,plx_err,pmra,pmdec,pm_err_maj,pm_err_min,pm_err_pa,size_maj,size_min,size_angle,B,V,R,J,H,K,u,g,r,i,z
TV Cas,4.8280833,59.1390556,,HM-STAR,B9V,1975MmRAS..79..131H,0.5737,2CXO J001918.7+590820,4.8282504,59.1389212,0.711,0.711,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TV Cas,4.8280833,59.1390556,,HM-STAR,B9,1945ApJ...102..480S,0.5737,2CXO J001918.7+590820,4.8282504,59.1389212,0.711,0.711,2,0.518361,V* TV Cas,4.8280938853,59.1390407287,0.0,0.0,90.0,267.0,00 19 18.74253,+59 08 20.5466,A,2020yCat.1350....0G,EB*,*  |EB*|IR |SB*|V* |X,1.5,2.0,5e-06,6.7e-06,B9V,,4.172,0.0206,34.11,-1.434,0.02,0.02,90,,,,7.29,7.22,,6.9,6.831,6.787,,,,,
[O66] 8: 932,4.8280833,59.1390556,,HM-STAR,B8/9,1966UppAn...5d...1O,0.5737,2CXO J001918.7+590820,4.8282504,59.1389212,0.711,0.711,2,0.518361,V* TV Cas,4.8280938853,59.1390407287,0.0,0.0,90.0,267.0,00 19 18.74253,+59 08 20.5466,A,2020yCat.1350....0G,EB*,*  |EB*|IR |SB*|V* |X,1.5,2.0,5e-06,6.7e-06,B9V,,4.172,0.0206,34.11,-1.434,0.02,0.02,90,,,,7.29,7.22,,6.9,6.831,6.787,,,,,
HD 1486,4.8280833,59.1390556,,LM-STAR,A0,1963ArA.....3..169S,0.5737,2CXO J001918.7+590820,4.8282504,59.1389212,0.711,0.711,2,0.518361,V* TV Cas,4.8280938853,59.1390407287,0.0,0.0,90.0,267.0,00 19 18.74253,+59 08 20.5466,A,2020yCat.1350....0G,EB*,*  |EB*|IR |SB*|V* |X,1.5,2.0,5e-06,6.7e-06,B9V,,4.172,0.0206,34.11,-1.434,0.02,0.02,90,,,,7.29,7.22,,6.9,6.831,6.787,,,,,
V1033 Cas,5.74,61.685556,1.0,CV,NL,2003A&A...404..301R,0.657727,2CXO J002257.6+614107,5.7401864,61.6853961,0.722,2.1263311125034123,2,0.145624,V* V1033 Cas,5.7401859583,61.6854365505,0.0,0.0,90.0,45.0,00 22 57.64463,+61 41 07.5716,A,2020yCat.1350....0G,Nova,*  |CV*|IR |No*|V* |X  |gam,,,,,,,0.6101,0.0431,-6.209,-2.199,0.04,0.045,90,,,,,,,15.122,15.046,14.77,,,,,
NGC 104-W82,6.0057083,-72.0783333,,CV,CV,2005JAD....11....2D,0.320019,2CXO J002401.4-720441,6.0059879,-72.0783109,0.727,0.727,2,0.172384,[CPF2015] COM-47TucY,6.0058375,-72.0782986111,,,172.0,2.0,00 24 01.4010,-72 04 41.875,C,2015ApJ...812...63C,WD*_Candidate,WD*|WD?,,,,,,,,,,,,,,,,,22.51,,,,,,,,,,
J0024-7204Y,6.005844166666667,-72.07828786111111,0.0015,NS_BIN,,2005AJ....129.1993M,0.179543,2CXO J002401.4-720441,6.0059879,-72.0783109,0.727,0.7311149020502864,2,0.172384,[CPF2015] COM-47TucY,6.0058375,-72.0782986111,,,172.0,2.0,00 24 01.4010,-72 04 41.875,C,2015ApJ...812...63C,WD*_Candidate,WD*|WD?,,,,,,,,,,,,,,,,,22.51,,,,,,,,,,
NGC 104-W42,6.0165833,-72.08275,,CV,CV,2005JAD....11....2D,1.128018,2CXO J002403.8-720457,6.0158819,-72.0825228,0.716,0.716,2,0.340248,PSR J0024-72L,6.0156416667,-72.0824638889,0.03,0.023,0.0,36.0,00 24 03.754,-72 04 56.87,D,2005ApJ...625..796H,Pulsar,Psr|X,,,,,,,,,4.4,-2.4,,,32767,,,,,,,,,,,,,,
B0021-72L,6.0157170833333335,-72.08247861111111,0.0045,NS,,2005AJ....129.1993M,0.242138,2CXO J002403.8-720457,6.0158819,-72.0825228,0.716,0.728461392250818,2,0.340248,PSR J0024-72L,6.0156416667,-72.0824638889,0.03,0.023,0.0,36.0,00 24 03.754,-72 04 56.87,D,2005ApJ...625..796H,Pulsar,Psr|X,,,,,,,,,4.4,-2.4,,,32767,,,,,,,,,,,,,,
B0021-72F,6.016064458333333,-72.07856063888889,0.0015,NS,,2005AJ....129.1993M,0.50301,2CXO J002403.9-720442,6.0164685,-72.0784969,0.718,0.7221661858602907,2,0.233242,[CPF2015] COM-47TucS,6.0165708333,-72.0784402778,,,172.0,2.0,00 24 03.9770,-72 04 42.385,C,2015ApJ...812...63C,WD*_Candidate,WD*|WD?,,,,,,,,,,,,,,,,,23.77,,,,,,,,,,
J0024-7204S,6.016580833333333,-72.07843138888889,0.0015,NS_BIN,,2005AJ....129.1993M,0.266571,2CXO J002403.9-720442,6.0164685,-72.0784969,0.718,0.7221661858602907,2,0.233242,[CPF2015] COM-47TucS,6.0165708333,-72.0784402778,,,172.0,2.0,00 24 03.9770,-72 04 42.385,C,2015ApJ...812...63C,WD*_Candidate,WD*|WD?,,,,,,,,,,,,,,,,,23.77,,,,,,,,,,
AKO 9,6.02,-72.081944,1.0,CV,DN,2003A&A...404..301R,0.868765,2CXO J002404.9-720455,6.0205891,-72.0821033,0.712,2.1229564291336738,2,0.2491,CXOGlb J002404.9-720455,6.0204708333,-72.0820444444,0.02,0.014,100.0,33.0,00 24 04.913,-72 04 55.36,D,2005ApJ...625..796H,CataclyV*,*  |CV*|UV |X,,,,,,,,,,,,,,,,,,17.391,,,,,,,,,
J0024-7204aa,6.023625,-72.08128333333333,0.0,NS,,2005AJ....129.1993M,0.305965,2CXO J002405.7-720452,6.0238956,-72.0812662,0.754,0.754,2,0.195897,CXOGlb J002405.6-720452,6.023725,-72.0812805556,0.07,0.056,0.0,2.0,00 24 05.694,-72 04 52.61,D,2005ApJ...625..796H,BYDra,BY*|V* |X  |XB*,,,,,,,,,,,,,,,,,,18.858,,,,,,,,,
J0024-7204V,6.023625,-72.08128333333333,0.0,NS_BIN,,2005AJ....129.1993M,0.305965,2CXO J002405.7-720452,6.0238956,-72.0812662,0.754,0.754,2,0.195897,CXOGlb J002405.6-720452,6.023725,-72.0812805556,0.07,0.056,0.0,2.0,00 24 05.694,-72 04 52.61,D,2005ApJ...625..796H,BYDra,BY*|V* |X  |XB*,,,,,,,,,,,,,,,,,,18.858,,,,,,,,,
NGC 104 CV,6.0265833,-72.08025,,CV,CV:,2005JAD....11....2D,1.384237,2CXO J002406.0-720449,6.025354,-72.0803191,0.714,0.714,2,0.102569,[CPF2015] COM-47TucW,6.0252625,-72.0803147222,,,172.0,1.0,00 24 06.0630,-72 04 49.133,C,2015ApJ...812...63C,WD*_Candidate,WD*|WD?,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0024-7204W,6.025241666666667,-72.08030222222222,0.015,NS_BIN,,2005AJ....129.1993M,0.138426,2CXO J002406.0-720449,6.025354,-72.0803191,0.714,0.7548483291363901,2,0.102569,[CPF2015] COM-47TucW,6.0252625,-72.0803147222,,,172.0,1.0,00 24 06.0630,-72 04 49.133,C,2015ApJ...812...63C,WD*_Candidate,WD*|WD?,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC 104-W27,6.0254167,-72.0785833,,CV,CV,2005JAD....11....2D,1.406281,2CXO J002406.4-720443,6.0266756,-72.0786336,0.71,0.71,2,0.113472,CXOGlb J002406.3-720443,6.0266541667,-72.0786027778,,,172.0,27.0,00 24 06.397,-72 04 42.97,D,2001Sci...292.2290G,CataclyV*,CV*|X,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC 104 CV,6.0275833,-72.08225,,CV,CV:,2005JAD....11....2D,2.61208,2CXO J002406.6-720453,6.0278391,-72.0815287,0.736,0.736,2,0.170091,CXOGlb J002406.6-720453,6.0277333333,-72.0814944444,0.25,0.25,90.0,1.0,00 24 06.656,-72 04 53.38,D,2005ApJ...625..796H,X,GlC|X,,,,,,,,,,,,,,,,,,,,,,,,,,,
