name_cat,ra_cat,dec_cat,e_Pos,Class,SubClass,ref,sep,name,ra,dec,r0,PU,S/N,remove_code,_r_simbad,main_id,ra_simbad,dec_simbad,coo_err_maj,coo_err_min,coo_err_angle,nbref,ra_sexa,dec_sexa,coo_qual,coo_bibcode,main_type,other_types,radvel,radvel_err,redshift,redshift_err,sp_type,morph_type,plx,plx_err,pmra,pmdec,pm_err_maj,pm_err_min,pm_err_pa,size_maj,size_min,size_angle,B,V,R,J,H,K,u,g,r,i,z,remove_4,Gal_Long,Gal_Lat
SDSS J00001+1356,0.039167,13.938333,,AGN,Q,2010A&A...518A..10V,0.604358,2CXO J000009.3+135618,0.0391148,13.9384931,0.79,0.79,1.949,0,0.143471,SDSS J000009.38+135618.4,0.0390906763,13.9384608499,0.0,0.0,90.0,28.0,00 00 09.38176,+13 56 18.4591,A,2020yCat.1350....0G,QSO,*|QSO,247472.589,437.697,2.23419,0.00146,,,0.179,0.2752,-0.2,-0.008,0.196,0.121,90,,,,19.06,18.63,,18.274,18.206,18.183,19.238,18.895,18.439,18.314,18.101,0,104.49221517881644,-47.088915558049905
PB 5698,0.627917,0.833056,,AGN,Q,2010A&A...518A..10V,0.211831,2CXO J000230.7+004959,0.6279737,0.8330717,0.716,0.716,11.074,0,0.091883,QSO B2359+005,0.6279835185,0.8330952595,0.0,0.0,90.0,33.0,00 02 30.71604,+00 49 59.1429,A,2020yCat.1350....0G,QSO,*|IR|QSO|Rad|X,208145.104,662.541,1.35421,0.00221,,,0.2857,0.1637,0.185,-0.08,0.204,0.1,90,,,,19.11,18.65,,16.86,17.545,17.716,19.143,18.67,18.147,17.985,18.006,0,98.13488294645668,-59.662289812880715
SDSS J00036+1602,0.9125,16.038889,,AGN,A,2010A&A...518A..10V,0.552583,2CXO J000338.9+160220,0.9123955,16.039005,0.792,0.792,44.673,0,0.531707,LEDA 1499251,0.9122587351,16.0390723607,0.0,0.0,90.0,13.0,00 03 38.94210,+16 02 20.6605,A,2020yCat.1350....0G,Seyfert_1,*|AGN|G|IR|QSO|Sy1|X,32816.126,8.994,0.11617,3e-05,,,0.1122,0.2402,-0.126,0.164,0.278,0.257,90,0.25,0.17,148,18.41,17.91,,15.398,14.466,13.676,18.583,17.728,17.131,16.628,16.441,0,106.5011807660477,-45.30267150527394
3C   2.0,1.594167,-0.073611,,AGN,Q,2010A&A...518A..10V,0.58328,2CXO J000622.6-000424,1.5943245,-0.073573,0.781,0.781,25.417,0,0.630793,4C -00.01,1.5941910788,-0.0734594176,0.001,0.0,90.0,187.0,00 06 22.60586,-00 04 24.4539,A,2020yCat.1350....0G,QSO,*|G|Q?|QSO|Rad|X|cm,183418.397,,1.0377,,,,0.0289,0.6527,0.003,-0.034,0.835,0.592,90,,,,20.14,19.35,,19.303,19.016,18.748,20.269,20.085,19.649,19.579,19.646,0,99.28095833339579,-60.8592430779435
SDSS J00069-0017,1.747083,-0.294444,,AGN,Q,2010A&A...518A..10V,0.789596,2CXO J000659.2-001740,1.7470514,-0.294661,0.84,0.84,4.111,0,0.116926,SDSS J000659.28-001740.8,1.7470492038,-0.2946934051,0.0,0.0,90.0,19.0,00 06 59.29181,-00 17 40.8963,A,2020yCat.1350....0G,QSO,*|QSO|X,241123.079,,2.0364,,,,,,0.358,0.153,0.387,0.354,90,,,,19.67,19.52,,19.313,19.374,19.319,19.837,19.833,19.837,19.658,19.502,0,99.41289885897484,-61.120223763129914
2MASS J00070+1554,1.765,15.906389,,AGN,A,2010A&A...518A..10V,0.669382,2CXO J000703.6+155423,1.7650067,15.9065748,0.72,0.72,8.626,0,0.14151,2MASS J00070361+1554238,1.7650475574,15.9065758934,0.0,0.0,90.0,21.0,00 07 03.61141,+15 54 23.6732,A,2020yCat.1350....0G,Seyfert_1,*|AGN|G|IR|QSO|Sy1|X,32252.886,2.998,0.11405,1e-05,,,0.1572,0.2248,0.58,-0.055,0.217,0.243,90,,,,17.7,17.12,,15.264,14.278,13.165,18.73,17.617,16.834,16.064,15.923,0,107.58402425988312,-45.63853695416746
SDSS J00089+1550,2.236667,15.845833,,AGN,Q,2010A&A...518A..10V,0.751266,2CXO J000856.7+155045,2.23666,15.8460416,0.905,0.905,4.889,0,0.013013,[VV2006] J000856.8+155045,2.2366621553,15.846044561,0.0,0.0,90.0,20.0,00 08 56.79892,+15 50 45.7604,A,2020yCat.1350....0G,QSO,*|QSO,227011.86,557.614,1.6904,0.00186,,,0.6582,0.3391,-0.353,0.086,0.325,0.323,90,,,,19.34,19.12,,,18.461,18.617,19.288,19.096,18.954,18.696,18.588,0,108.19400546082294,-45.806247461388516
Q 0010-002B,3.275833,0.075556,,AGN,Q,2010A&A...518A..10V,0.595434,2CXO J001306.1+000431,3.275673,0.0755139,0.752,0.752,3.647,0,0.173819,LBQS 0010-0012,3.2756332302,0.0755412794,0.0,0.0,90.0,91.0,00 13 06.15198,+00 04 31.9486,A,2020yCat.1350....0G,QSO,*|IR|Q?|QSO|X,245130.933,242.832,2.15738,0.00081,,,,,-0.245,-0.196,0.176,0.147,90,,,,19.29,19.05,,17.338,16.245,15.884,19.029,18.685,18.486,18.44,18.271,0,102.66136120077827,-61.27837989334307
CXOMP J00186+1634,4.655833,16.579444,,AGN,Q,2010A&A...518A..10V,0.773615,2CXO J001837.3+163446,4.6556088,16.579446,0.821,0.821,9.539,0,0.546422,[VV2006] J001837.4+163446,4.655458597,16.5794941073,0.0,0.0,90.0,4.0,00 18 37.31006,+16 34 46.1788,A,2020yCat.1350....0G,QSO,*|AGN|QSO|X,244866.306,,2.149,,,,0.0555,0.5,0.5,0.161,0.526,0.415,90,,,,,,,,,,20.066,19.774,19.677,19.476,19.158,0,111.66519465174977,-45.57320144704979
CXOMP J00189+1629,4.72875,16.497778,,AGN,Q,2010A&A...518A..10V,0.394198,2CXO J001854.8+162952,4.7286677,16.4978539,0.979,0.979,6.551,0,0.469989,[VV2006] J001854.9+162952,4.728561,16.497935,0.078,0.07,90.0,4.0,00 18 54.855,+16 29 52.57,C,2012ApJS..203...21A,QSO,QSO|X,263678.324,,2.95,,,,,,,,,,,,,,,,,,,,23.466,22.977,22.045,22.383,22.248,0,111.74259161950692,-45.66610995571942
