name,ra,dec,CSC_err_r0,CSC_err_r1,CSC_PA,GAIA_RA,GAIA_DEC,GAIA_PU,GAIA_sep,GAIA_n_srcs,GAIA_Source,GAIA_RA_ICRS,GAIA_DE_ICRS,GAIA__r,GAIA_e_Pos,GAIA_Plx,GAIA_e_Plx,GAIA_PM,GAIA_pmRA,GAIA_pmDE,GAIA_e_PM,GAIA_epsi,Gmag,BPmag,RPmag,e_Gmag,e_BPmag,e_RPmag,GAIA_AllWISE,GAIA_dAllWISE,GAIA_f_AllWISE,GAIA_AllWISEoid,GAIA__2MASS,GAIA_d2MASS,GAIA_f_2MASS,GAIA__2MASScoid,Separation_GAIA_CSC,Separation_GAIA_CSC_ra,Separation_GAIA_CSC_dec,Separation_max,ncat,dist_bayesfactor,dist_post,p_single,p_any,p_i,match_flag,Class,Gaia,_q,E_BP_RP_,rgeo,b_rgeo,B_rgeo,rpgeo,b_rpgeo,B_rpgeo,Flag,AllWISE,ex,W3mag,e_W3mag,_2MASS,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,ALLWISE_n_srcs,ALLWISE_RA,ALLWISE_DEC,ALLWISE_err0,TMASS_n_srcs,TMASS_RA,TMASS_DEC,TMASS_err0,CATWISE_n_srcs,CATWISE_RA,CATWISE_DEC,CATWISE_PU,W1mproPM,W2mproPM,e_W1mproPM,e_W2mproPM,sep_GC,sep_CT,sep_CA,sep_TA,W1mag,e_W1mag,W2mag,e_W2mag,name_cat,ra_cat,dec_cat,SubClass,ref,GLAT,GLON,var_intra_prob,var_inter_prob,significance,Fcsc_s,e_Fcsc_s,Fcsc_m,e_Fcsc_m,Fcsc_h,e_Fcsc_h,Fcsc_b,powlaw_gamma_mean,e_powlaw_gamma_mean
2CXO J000009.3+135618,0.0391148,13.9384931,0.7900000214576721,0.7730000019073486,64.16999816894531,0.0390901253644271,13.938460828770756,0.0033176639204386,0.1446708822157109,2.0,2.7674276499378176e+18,0.03908976009,13.93846081459,0.17,0.0001600168820031,-0.0001574,0.0002045,0.0002,-0.2,-0.008,0.0001962064242434,0.000421,18.49385,18.774363,18.01724,0.003158,0.017497,0.014972,J000009.37+135618.1,0.283396,8.0,467238624.0,,,16959.0,999999.0,0.14467089,-0.08621312,-0.11617643,0.14467089,2.0,11.136433,0.99464774,0.99464774,0.99464774,1.0,1.0,AGN,Gaia DR3 2767427649937817728,1.0,1.213,5341.84473,3365.31104,12734.5479,6771.80908,5695.6582,8208.14746,10033.0,J000009.37+135618.1,0.0,10.847,0.123,,,,,,,,,,,,,,,,10.0,0.0390469,13.938422,0.3419375106328939,15.594,14.668,0.02,0.021,0.2057894857596054,,,,15.594,0.02,14.668,0.021,SDSS J00001+1356,0.039167,13.938333,Q;*|QSO,2010A&A...518A..10V,104.49221517881644,-47.08891555804991,0.923,,1.95,1.6710738106288058e-15,1.09804944436308e-15,4.844e-16,4.844e-16,1.989924094642346e-15,1.5034088258227828e-15,4.145397905271152e-15,,
2CXO J000150.5+233015,0.4605279,23.5043391,0.8069999814033508,0.753000020980835,141.3000030517578,0.4605490975091899,23.504304569683253,0.0128157615584314,0.1426530534413994,3.0,2.8482052988956605e+18,0.46053701981,23.50430584329,0.129,1.0658905038142128e-05,0.0052353,1.53e-05,0.013804,-13.714,1.577,1.301377873676298e-05,5.3e-05,12.588624,13.100761,11.926034,0.002772,0.00294,0.003858,J000150.53+233015.5,0.056251,8.0,521792518.0,00015054+2330153,0.163239,8.0,362522264.0,0.14265305,0.0699795,-0.124309145,0.14265305,2.0,11.13733,0.992891,0.992891,0.992891,1.0,1.0,LM-STAR,Gaia DR3 2848205298895660416,2.0,1.227,190.325455,189.537354,190.87355,190.309402,189.73941,190.800888,10033.0,J000150.53+233015.5,0.0,10.626,0.119,00015054+2330153,11.12,0.023,10.614,0.021,10.548,0.02,,,,,,,,,6.0,0.4605335,23.5042915,0.1986503453580733,10.3,10.523,0.009,0.008,0.0697511943604589,,,,10.3,0.009,10.523,0.008,G17197224783680,0.460598,23.504296,K3,LAMOST-DR8-AFGK,108.4679011794509,-37.9704695653709,,,,2.271e-15,6.439999999999999e-16,1.335e-16,1.335e-16,7.978845608028655e-18,6.028102749890869e-18,2.412478845608029e-15,,
2CXO J000230.7+004959,0.6279737,0.8330717,0.7160000205039978,0.7160000205039978,64.94000244140625,0.627983716352107,0.8330951723221588,0.006143009339667,0.0918709848886845,1.0,2.738349136498974e+18,0.62798434096,0.83309490225,0.076,0.0001345043522575,0.0002857,0.0001637,0.000202,0.185,-0.08,0.0002044166104332,0.0,17.834246,18.13322,17.337488,0.003417,0.013295,0.011436,J000230.71+004959.1,0.067579,8.0,389915499.0,00023072+0049592,0.150978,8.0,295845307.0,0.091870986,0.036055055,0.08450036,0.091870986,2.0,11.216448,0.99702513,0.99702513,0.99702513,1.0,1.0,AGN,Gaia DR3 2738349136498974336,3.0,1.216,2676.2002,1935.71948,4579.77588,4197.05273,3410.53809,5053.73486,10033.0,J000230.71+004959.1,0.0,10.245,0.086,00023072+0049592,16.86,0.15,16.21,,15.532,,,,,,,,,,8.0,0.627972,0.8330979,0.2303298931106633,14.459,13.136,0.015,0.011,0.0433024953539425,,,,14.459,0.015,13.136,0.011,PB 5698,0.627917,0.833056,Q;*|IR|QSO|Rad|X,2010A&A...518A..10V,98.13488294645668,-59.66228981288072,0.318,,11.07,5.675297310203068e-14,6.911735762901172e-15,2.8747978845608026e-14,5.2850010726605126e-15,5.735158657939787e-14,1.4107260590846235e-14,1.4285253852703658e-13,,
2CXO J000622.6-000424,1.5943245,-0.073573,0.781000018119812,0.7570000290870667,40.52999877929688,1.594191082685907,-0.0734594590203669,0.0260504331171733,0.6306857297254678,1.0,2.5458892854387743e+18,1.59419109221,-0.07345956696,0.643,0.0006274464351419,2.89e-05,0.0006527,3.4e-05,0.003,-0.034,0.000850836539049,0.000841,20.041252,20.15889,19.426401,0.010339,0.065097,0.065348,J000622.60-000424.3,0.152173,8.0,384495763.0,,,16959.0,999999.0,0.63068575,-0.48030195,0.40874752,0.63068575,2.0,11.016113,0.99528974,0.99528974,0.99528974,1.0,1.0,AGN,Gaia DR3 2545889285438774528,4.0,1.392,1963.5354,1240.3252,2742.6394,11836.8857,9928.94727,14323.5811,10023.0,J000622.60-000424.3,0.0,11.165,0.165,,,,,,,,,,,,,,,,12.0,1.5942361,-0.0734223,0.3316941942785792,15.335,14.33,0.02,0.019,0.2101409777041433,,,,15.335,0.02,14.33,0.019,3C   2.0,1.594167,-0.073611,Q;*|G|Q?|QSO|Rad|X|cm,2010A&A...518A..10V,99.2809583333958,-60.8592430779435,0.076,,25.42,1.544e-13,1.22e-14,1.1657978845608028e-13,7.650074104365022e-15,4.038e-13,2.710000000000001e-14,6.747797884560802e-13,,
2CXO J000659.2-001740,1.7470514,-0.294661,0.8399999737739563,0.7889999747276306,109.8000030517578,1.7470495598053393,-0.2946932541474101,0.0136802432560273,0.1163037515538235,1.0,2.545776959158461e+18,1.74705079529,-0.29469272614,0.125,0.0003830696486901,-0.0010241,0.0003579,0.000389,0.358,0.153,0.0004353454483481,0.000812,19.23924,19.316618,18.867884,0.005979,0.041708,0.049247,,,16959.0,999999.0,,,16959.0,999999.0,0.11630375,-0.006624613,-0.11611493,0.11630375,2.0,11.103365,0.99614376,0.99614376,0.99614376,1.0,1.0,AGN,Gaia DR3 2545776959158460800,5.0,1.268,3304.13647,2272.69238,5593.99512,3908.68726,3113.78271,5125.26807,10022.0,,,,,,,,,,,,,,,,,,,,6.0,1.7470873,-0.294675,0.5219127876653016,16.549,15.65,0.037,0.057,0.1509211076744169,,,,16.549,0.037,15.65,0.057,SDSS J00069-0017,1.747083,-0.294444,Q;*|QSO|X,2010A&A...518A..10V,99.41289885897484,-61.12022376312992,0.618,,4.11,1.0698454819427383e-14,3.658216402978685e-15,6.2119342393931474e-15,2.7735103071743968e-15,1.3727180961047224e-14,7.62550060217678e-15,3.0637570019867757e-14,,
2CXO J000703.6+155423,1.7650067,15.9065748,0.7200000286102295,0.7170000076293945,25.3700008392334,1.7650477305089698,15.906575875435568,0.0102136055636909,0.1421067510701139,2.0,2.769535856108235e+18,1.76505023779,15.90657564678,0.123,0.0002383705964012,0.0001572,0.00022480001,0.000583,0.58,-0.055,0.0002745515407681,0.000628,18.49391,18.357317,16.73377,0.008164,0.030187,0.012921,J000703.61+155423.7,0.098595,8.0,478620359.0,00070361+1554237,0.093124,8.0,340814888.0,0.14210676,0.142054,0.003871554,0.14210676,2.0,11.208466,0.99546206,0.99546206,0.99546206,1.0,1.0,AGN,Gaia DR3 2769535856108234880,6.0,2.952,3715.78882,1964.88049,5149.33105,1679.33557,1491.05286,1897.44373,10033.0,J000703.61+155423.7,0.0,7.682,0.018,00070361+1554237,15.264,0.053,14.278,0.05,13.165,0.039,,,,,,,,,8.0,1.7650562,15.9066013,0.224509379401123,11.743,10.71,0.012,0.008,0.0961107391873094,,,,11.743,0.012,10.71,0.008,2MASS J00070+1554,1.765,15.906389,A;*|AGN|G|IR|QSO|Sy1|X,2010A&A...518A..10V,107.58402425988312,-45.63853695416747,0.135,,8.63,4.659999999999999e-15,2.824e-15,1.5932021154391972e-14,5.625001007824154e-15,5.35e-13,7e-14,5.55592021154392e-13,,
2CXO J000833.8+512412,2.1409367,51.4035648,0.8889999985694885,0.7630000114440918,119.1999969482422,2.140773187784328,51.40348778215558,0.0057627032951689,0.4601326546967494,8.0,3.95430805659672e+17,2.14076521205,51.40347677931,0.527,1.2991185932693488e-05,0.0023468,1.74e-05,0.00558,-2.299,-5.084,1.882412025874417e-05,0.000115,9.195604,9.27175,9.029895,0.002763,0.002832,0.003794,J000833.78+512412.5,0.012978,8.0,661948927.0,00083378+5124125,0.032426,8.0,432455311.0,0.46013266,-0.36721435,-0.27726465,0.46013266,2.0,11.034013,0.9799728,0.9799728,0.9799728,1.0,1.0,LM-STAR,Gaia DR3 395430805659671936,7.0,1.166,421.940125,419.268036,424.818604,421.611877,418.783508,424.292542,10022.0,J000833.78+512412.5,0.0,8.713,0.025,00083378+5124125,8.828,0.021,8.793,0.024,8.757,0.019,,,,,,,,,6.0,2.1407647,51.4034722,0.1560574711161878,8.724,8.738,0.013,0.008,0.0592459925168526,,,,8.724,0.013,8.738,0.008,HD 232114,2.1407917,51.4035,A0;*|IR,1927AnHar.100...33C,116.14625824808404,-10.90242117151378,,,,3.432712118277449e-15,1.0796475050031004e-15,2.3956010577195983e-16,2.0962500067608962e-16,7.978845608028655e-18,6.028102749890869e-18,3.6802510696574375e-15,,
2CXO J000856.7+155045,2.23666,15.8460416,0.9049999713897704,0.7630000114440918,75.05000305175781,2.236661507381601,15.846044714705412,0.0089799009007381,0.0123685952337011,1.0,2.769540666471561e+18,2.23666052489,15.84604494497,0.026,0.0002806446410866,0.0006582,0.0003391,0.000363,-0.353,0.086,0.0003675898318876,0.000527,19.090563,19.351732,18.648952,0.006976,0.042518,0.031748,J000856.80+155045.7,0.042438,8.0,478265823.0,,,16959.0,999999.0,0.012368595,0.005220358,0.011212939,0.012368595,2.0,11.084317,0.99597156,0.99597156,0.99597156,1.0,1.0,AGN,Gaia DR3 2769540666471561472,8.0,1.202,1440.69666,1054.01428,2005.5603,8015.11523,2295.58594,10340.4707,10123.0,J000856.80+155045.7,0.0,11.255,0.196,,,,,,,,,,,,,,,,9.0,2.2366828,15.8460239,0.3364761512114614,15.616,14.293,0.022,0.019,0.105131387833378,,,,15.616,0.022,14.293,0.019,SDSS J00089+1550,2.236667,15.845833,Q;*|QSO,2010A&A...518A..10V,108.19400546082294,-45.80624746138852,0.103,,4.89,1.444e-14,4.189999999999999e-15,1.1553191538243212e-14,4.0080002263078316e-15,1.0684729826523012e-14,7.36341641709838e-15,3.667792136476623e-14,,
2CXO J001306.1+000431,3.275673,0.0755139,0.7519999742507935,0.7360000014305115,111.0,3.2756329235526342,0.0755410375595625,0.0053354889779959,0.1742402224547466,3.0,2.545465385051234e+18,3.27563213969,0.07554041047,0.191,0.0001503132198339,-4.13e-05,0.0001636,0.000314,-0.245,-0.196,0.0001878128131609,0.0001439999999999,18.45336,18.64313,18.037374,0.003627,0.016603,0.024877,J001306.14+000431.9,0.096058,8.0,385381857.0,00130610+0004321,0.709928,8.0,293511153.0,0.17424022,-0.14427508,0.09769522,0.17424022,2.0,11.174525,0.9934707,0.9934707,0.9934707,1.0,1.0,AGN,Gaia DR3 2545465385051233664,9.0,1.226,3690.96924,2779.38208,4912.48145,7121.09375,5589.93066,8917.57031,10021.0,J001306.14+000431.9,0.0,11.023,0.15,00130610+0004321,17.338,0.222,16.245,0.196,15.884,0.261,,,,,,,,,9.0,3.2756426,0.0755532,0.3470439604692431,15.459,14.287,0.021,0.02,0.0559517401857858,,,,15.459,0.021,14.287,0.02,Q 0010-002B,3.275833,0.075556,Q;*|IR|Q?|QSO|X,2010A&A...518A..10V,102.66136120077827,-61.27837989334307,0.247,,3.65,5.072860199021248e-15,2.15489804386747e-15,3.550403082162925e-15,1.766295816724328e-15,1.4094414808074381e-14,8.543500325137886e-15,2.2717678089258562e-14,,
2CXO J001826.4+300400,4.6100551,30.0667152,0.9120000004768372,0.8159999847412109,79.37999725341797,4.610117066267344,30.066622251626537,0.0021768559522355,0.3863152581764143,4.0,2.8605868263209595e+18,4.61010991399,30.06661209496,0.404,1.3596336659977e-05,0.0008811,1.7100001e-05,0.006623,-3.447,-5.656,1.836442155219901e-05,0.0,13.776108,14.08312,13.298964,0.002773,0.003094,0.003933,,,16959.0,999999.0,00182643+3004000,0.141916,8.0,380188587.0,0.38631526,0.1930617,-0.3346142,0.38631526,2.0,11.016165,0.98830837,0.98830837,0.98830837,1.0,1.0,LM-STAR,Gaia DR3 2860586826320959232,10.0,1.2,1090.34424,1071.46948,1109.24902,1081.56689,1064.83386,1099.73547,10033.0,,,,,00182643+3004000,12.8,0.025,12.559,0.023,12.425,0.021,,,,,,,,,3.0,4.6101329,30.0666886,0.2360585853176278,12.168,12.25,0.011,0.009,0.2438952634317139,,,,12.168,0.011,12.25,0.009,GSC 2261-1462,4.610125,30.0666389,G5,1971PASP...83..810T,114.4875566235586,-32.263400350710484,0.838,,2.1,1.0962819038952774e-15,7.074500649077534e-16,3.585718096104722e-16,3.096550014829081e-16,1.3141595769121609e-15,1.1349000019980657e-15,2.7690132904179103e-15,,
