_rs_allwise,_q,_r_allwise,AllWISE_allwise,RAJ2000_allwise,DEJ2000_allwise,eeMaj_allwise,eeMin_allwise,eePA_allwise,Im_allwise,W1mag_allwise,e_W1mag_allwise,W2mag_allwise,e_W2mag_allwise,W3mag_allwise,e_W3mag_allwise,W4mag_allwise,e_W4mag_allwise,Jmag_allwise,e_Jmag_allwise,Hmag_allwise,e_Hmag_allwise,Kmag_allwise,e_Kmag_allwise,wx_allwise,wy_allwise,ID_allwise,snr1_allwise,chi2W1_allwise,snr2_allwise,chi2W2_allwise,snr3_allwise,chi2W3_allwise,snr4_allwise,chi2W4_allwise,chi2_allwise,nb_allwise,na_allwise,sat1_allwise,sat2_allwise,sat3_allwise,sat4_allwise,ccf_allwise,ex_allwise,var_allwise,nW1_allwise,mW1_allwise,nW2_allwise,mW2_allwise,nW3_allwise,mW3_allwise,nW4_allwise,mW4_allwise,satnum_allwise,RA_pm_allwise,e_RA_pm_allwise,DE_pm_allwise,e_DE_pm_allwise,cosig_pm_allwise,pmRA_allwise,e_pmRA_allwise,pmDE_allwise,e_pmDE_allwise,chi2W1_pm_allwise,chi2W2_pm_allwise,chi2W3_pm_allwise,chi2W4_pm_allwise,chi2pm_allwise,qpm_allwise,qph_allwise,fdet_allwise,fmoon_allwise,covW1_allwise,covW2_allwise,covW3_allwise,covW4_allwise,_2Mkey_allwise,d2M_allwise,_2M_allwise
[0.442],1.0,0.442,J000009.37+135618.1,0.0390666,13.9383855,0.1075,0.0999,151.4,Im,15.489,0.045,14.605,0.059,10.847,0.123,8.827,0.462,,,,,,,1948.728,2855.414,113601351043483.0,24.1,0.888,18.5,0.874,8.8,0.93,2.3,0.967,0.9,1.0,0.0,0.0,0.0,0.0,0.0,0000,0.0,001n,25,25,22,24,6,12,0,12,0.0,0.0390657,0.129,13.9383873,0.1365,-0.0343,224,371,-495,389,0.886,0.87,0.931,0.967,0.898,1N000,AABC,15.0,1111.0,25.45,25.36,12.865,12.888,,,2M
[0.072],2.0,0.072,J000230.71+004959.1,0.6279658,0.8330907,0.0597,0.0576,150.7,Im,14.497,0.03,13.178,0.031,10.245,0.086,7.915,0.235,16.86,0.15,16.21,,15.532,,404.078,264.373,101501351000063.0,35.6,0.966,34.7,1.01,12.6,0.949,4.6,0.793,0.947,1.0,0.0,0.0,0.0,0.0,0.002,0000,0.0,110n,23,23,23,23,11,11,2,11,0.0,0.6279665,0.0842,0.8330927,0.0895,0.0202,-53,187,-214,201,0.957,1.01,0.951,0.794,0.945,3N000,AAAB,15.0,1100.0,24.155,24.399,12.778,12.809,1000881931,0.216,2M
[0.739],3.0,0.739,J000622.60-000424.3,1.5941979,-0.0734178,0.0951,0.0897,142.5,Im,15.299,0.041,14.245,0.049,11.165,0.165,8.398,,,,,,,,1834.391,1855.779,1.5100001351031288e+16,26.3,0.913,22.4,0.93,6.6,0.852,1.2,1.18,0.949,1.0,0.0,0.0,0.0,0.0,0.0,0000,0.0,11nn,24,24,24,24,2,12,2,12,0.0,1.594201,0.1184,-0.0734086,0.1168,-0.022,-81,332,-531,336,0.907,0.926,0.853,1.18,0.946,1N002,AABU,7.0,0.0,23.317,23.432,11.931,11.711,,,2M
[5.364],4.0,5.364,J000659.51-001736.6,1.747986,-0.2935086,0.0879,0.0826,133.9,Im,17.437,0.227,15.343,0.127,9.012,0.048,2.737,0.017,,,,,,,1431.755,1279.545,1.5100001351021542e+16,4.8,1.21,8.5,2.65,22.5,49.3,63.1,1300.0,218.0,1.0,0.0,0.0,0.0,0.0,0.0,00dd,1.0,nnnn,2,22,3,22,3,9,5,9,0.0,1.7476817,0.125,-0.2935147,0.1397,-0.0258,-1984,1147,1496,1389,1.2,2.63,49.0,1290.0,218.0,1N094,BBAA,15.0,0.0,22.774,23.507,9.765,10.749,,,2M
[0.196],5.0,0.196,J000703.61+155423.7,1.7650484,15.9066031,0.0331,0.0321,45.0,Im,11.61,0.023,10.588,0.021,7.682,0.018,5.208,0.039,15.264,0.053,14.278,0.05,13.165,0.039,1562.067,78.67,1.511660135100257e+16,47.6,1.52,51.1,1.25,61.0,0.971,27.7,0.844,1.22,1.0,0.0,0.0,0.0,0.0,0.0,0000,0.0,1000,26,26,26,26,13,13,13,13,0.0,1.7650479,0.0326,15.9066053,0.0326,-0.0072,28,39,-135,39,1.5,1.24,0.969,0.844,1.21,2N000,AAAA,15.0,1111.0,26.036,26.102,13.872,13.826,1240475707,0.032,2M
[0.02],6.0,0.02,J000856.80+155045.7,2.2366722,15.8460399,0.0981,0.0919,140.1,Im,15.431,0.043,14.22,0.048,11.255,0.196,8.431,,,,,,,,356.847,3887.448,1.5115101351050808e+16,25.4,0.983,22.4,1.0,5.5,0.794,1.0,0.966,0.952,1.0,0.0,0.0,0.0,0.0,0.0,0000,0.0,11nn,24,24,24,24,1,12,0,12,0.0,2.2366701,0.1178,15.8460406,0.1193,-0.0272,178,334,-76,343,0.982,1.0,0.794,0.966,0.951,2N000,AABU,7.0,1100.0,24.5,24.106,11.955,11.905,,,2M
[0.229],7.0,0.229,J001306.14+000431.9,3.2756065,0.0755347,0.0954,0.0897,139.1,Im,15.342,0.04,14.236,0.05,11.023,0.15,8.351,0.334,17.338,0.222,16.245,0.196,15.884,0.261,1392.45,2245.763,3.0100001351027652e+16,26.8,1.04,21.9,0.92,7.2,0.84,3.3,0.971,0.951,1.0,0.0,0.0,0.0,0.0,0.0,0000,0.0,00nn,25,25,25,25,4,13,0,13,0.0,3.2756013,0.1209,0.0755405,0.1165,-0.0229,325,330,-769,332,1.03,0.916,0.84,0.97,0.945,1N002,AABB,15.0,0.0,24.507,24.862,12.825,12.826,1320085664,0.625,2M
"[0.748, 9.73]",8.0,0.748,J001837.29+163445.8,4.6554143,16.5793985,0.2174,0.1987,138.8,Im,16.328,0.072,15.805,0.167,11.999,,8.784,,,,,,,,2200.476,1839.903,4.711660135102946e+16,15.0,0.901,6.5,0.85,0.6,1.02,-0.2,1.2,0.928,1.0,0.0,0.0,0.0,0.0,0.0,0000,0.0,0nnn,15,22,1,22,0,7,0,7,0.0,4.6554353,0.2604,16.5793983,0.2553,-0.0698,-826,851,32,852,0.9,0.849,1.02,1.2,0.927,2N001,ABUU,3.0,2344.0,21.926,22.296,6.957,6.945,,,2M
[],9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[0.209],10.0,0.209,J002025.22+154054.8,5.1050963,15.6818899,0.054,0.0521,120.8,Im,14.019,0.028,13.004,0.03,10.162,0.073,8.505,0.389,16.169,0.078,15.637,0.118,14.734,0.097,1015.894,3456.074,4.6115101351052264e+16,38.4,1.03,36.4,0.955,14.8,0.866,2.8,1.04,0.979,1.0,0.0,0.0,0.0,0.0,0.0,0000,0.0,221n,24,24,24,24,9,9,1,9,0.0,5.105093,0.0851,15.6818913,0.0901,0.0217,149,162,-71,175,1.03,0.953,0.865,1.04,0.978,1N000,AAAC,15.0,1122.0,24.401,24.415,8.725,8.977,1321453862,0.129,2M
