CSC_ID,CSC_RA,CSC_DEC,CSC_err_r0,CSC_err_r1,CSC_PA,CSC__2CXO,CSC__r,CSC_fe,CSC_fc,GAIA_RA,GAIA_DEC,GAIA_PU,GAIA_Source,GAIA__r,GAIA_e_Pos,GAIA_Plx,GAIA_e_Plx,GAIA_PM,GAIA_e_PM,GAIA_epsi,GAIA_Gmag,GAIA_BPmag,GAIA_RPmag,GAIA_e_Gmag,GAIA_e_BPmag,GAIA_e_RPmag,TMASS_RA,TMASS_DEC,TMASS_err0,TMASS_err1,TMASS_errPA,TMASS__2MASS,TMASS__r,TMASS_Jmag,TMASS_Hmag,TMASS_Kmag,TMASS_e_Jmag,TMASS_e_Hmag,TMASS_e_Kmag,ALLWISE_RA,ALLWISE_DEC,ALLWISE_err0,ALLWISE_err1,ALLWISE_errPA,ALLWISE_AllWISE,ALLWISE__r,ALLWISE_W1mag,ALLWISE_W2mag,ALLWISE_W3mag,ALLWISE_W4mag,ALLWISE_e_W1mag,ALLWISE_e_W2mag,ALLWISE_e_W3mag,ALLWISE_e_W4mag,CATWISE_RA,CATWISE_DEC,CATWISE_PU,CATWISE_Name,CATWISE__r,CATWISE_W1mproPM,CATWISE_W2mproPM,CATWISE_e_W1mproPM,CATWISE_e_W2mproPM,Separation_GAIA_CSC,Separation_GAIA_CSC_ra,Separation_GAIA_CSC_dec,Separation_TMASS_CSC,Separation_TMASS_CSC_ra,Separation_TMASS_CSC_dec,Separation_TMASS_GAIA,Separation_TMASS_GAIA_ra,Separation_TMASS_GAIA_dec,Separation_ALLWISE_CSC,Separation_ALLWISE_CSC_ra,Separation_ALLWISE_CSC_dec,Separation_ALLWISE_GAIA,Separation_ALLWISE_GAIA_ra,Separation_ALLWISE_GAIA_dec,Separation_ALLWISE_TMASS,Separation_ALLWISE_TMASS_ra,Separation_ALLWISE_TMASS_dec,Separation_CATWISE_CSC,Separation_CATWISE_CSC_ra,Separation_CATWISE_CSC_dec,Separation_CATWISE_GAIA,Separation_CATWISE_GAIA_ra,Separation_CATWISE_GAIA_dec,Separation_CATWISE_TMASS,Separation_CATWISE_TMASS_ra,Separation_CATWISE_TMASS_dec,Separation_CATWISE_ALLWISE,Separation_CATWISE_ALLWISE_ra,Separation_CATWISE_ALLWISE_dec,Separation_max,ncat,dist_bayesfactor,dist_bayesfactor_corrected,dist_post,p_single,p_any,p_i,match_flag,name,Gaia
1,0.4605279,23.5043391,0.807,0.753,141.3,J000150.5+233015,0.03,0,0,0.46053701981,23.50430584329,0.0809479088403741,2848205298895660416,0.129,1.0658905038142128e-05,0.0052353,1.53e-05,0.013804,1.301377873676298e-05,5.3e-05,12.588624,13.100761,11.926034,0.002772,0.00294,0.003858,0.460608,23.504253,0.4169685836083421,0.4106857666217857,90,00015054+2330153,0.396,11.12,10.614,10.548,0.023,0.021,0.02,0.4605433,23.5043099,0.1126642887102378,0.1088615724238072,61.2,J000150.53+233015.5,0.116,10.51,10.582,10.626,8.702,0.021,0.019,0.119,1e+20,0.4605273,23.5043105,0.124937773138635,J000150.52+233015.5,0.181,10.3,10.523,0.009,0.008,0.1234517,0.030107297,-0.119724154,0.40743217,0.26443473,-0.30996007,0.30182624,0.2343275,-0.1902359,0.116768725,0.050840136,-0.10512,0.025360052,0.020732844,0.014604156,0.29594275,-0.21359473,0.20483994,0.10297905,-0.0019807846,-0.10296,0.036203347,-0.03208809,0.016764155,0.3373815,-0.2664157,0.20699993,0.052865077,-0.052820932,0.0021599971,0.40743217,5,47.963524,47.963524,1.0,1.0,0.9766993,0.9923837,1,2CXO J000150.5+233015,Gaia DR3 2848205298895660416
1,1.7565552,73.0522591,0.713,0.713,0.0,J000701.5+730308,0.027,1,0,-99.0,-99.0,-99.0,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1,0.0,0.0,1.0,1.0,0.0,0.0,1,2CXO J000701.5+730308,-99
1,4.6100551,30.0667152,0.912,0.816,79.38,J001826.4+300400,0.031,0,0,4.61010991399,30.06661209496,0.0856490819213074,2860586826320959232,0.404,1.3596336659977e-05,0.0008811,1.7100001e-05,0.006623,1.836442155219901e-05,0.0,13.776108,14.08312,13.298964,0.002773,0.003094,0.003933,4.610152,30.066675,0.2082365745155873,0.2082365745155873,90,00182643+3004000,0.311,12.8,12.559,12.425,0.025,0.023,0.021,4.6101429,30.0666872,0.0864,0.0818,68.4,J001826.43+300400.0,0.266,12.206,12.275,12.267,9.047,0.023,0.025,1e+20,1e+20,4.6101154,30.0667021,0.2037206577998071,J001826.42+300400.1,0.236,12.168,12.25,0.011,0.009,0.40858096,0.17077811,-0.37117818,0.33479565,0.301901,-0.14472012,0.26168022,0.13112304,0.22645812,0.29153004,0.2735491,-0.100800104,0.28925115,0.1027711,0.27037814,0.052276164,-0.028351912,0.04392,0.19369903,0.18787028,-0.047160048,0.32446864,0.017092194,0.32401815,0.15006986,-0.11403076,0.09755998,0.10108468,-0.085678846,0.05363999,0.40858096,5,46.84891,46.84891,1.0,1.0,0.9578202,0.9682321,1,2CXO J001826.4+300400,Gaia DR3 2860586826320959232
1,13.1668097,56.4770029,0.858,0.774,40.07,J005240.0+562837,0.031,0,0,13.16655003376,56.47698348447,0.1563987361555206,423793597149050752,0.552,1.077070231125201e-05,0.003558,1.5799998e-05,0.007695,1.491590378815463e-05,8.7e-05,12.36585,12.829714,11.736919,0.00276,0.002873,0.003809,13.166483,56.477009,0.1665046663293677,0.1500793226891397,7,00523995+5628372,0.68,10.967,10.489,10.424,0.025,0.03,0.018,13.1665342,56.4769914,0.1147395571735749,0.110019843575548,70.4,J005239.96+562837.1,0.58,10.354,10.384,10.516,7.496,0.023,0.022,0.24,1e+20,13.1665468,56.4769888,0.2149885946812625,J005239.97+562837.1,0.548,10.367,10.397,0.014,0.008,0.52097285,-0.5162627,-0.069896884,0.6499088,-0.64953774,0.021958455,0.16186337,-0.1332751,0.09185585,0.54930544,-0.547743,-0.0414011,0.04246209,-0.03148035,0.028495904,0.119902685,0.10179469,-0.063360035,0.525151,-0.52269197,-0.050761,0.020187095,-0.0064292937,0.019135907,0.14621234,0.12684573,-0.07272006,0.026742565,0.02505105,-0.009360002,0.6499088,5,47.817917,47.817917,1.0,1.0,0.8107861,0.96895105,1,2CXO J005240.0+562837,Gaia DR3 423793597149050752
1,13.7957585,-37.6484742,0.719,0.718,36.73,J005510.9-373854,0.007,0,0,-99.0,-99.0,-99.0,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1,0.0,0.0,1.0,1.0,0.0,0.0,1,2CXO J005510.9-373854,-99
1,16.7737172,32.1824875,0.747,0.721,46.15,J010705.6+321056,0.031,0,0,16.77385277304,32.18242591839,1.1070701699363672,313508874324686208,0.443,9.06021458929817e-05,0.002927,0.0001035,0.036511,0.0001152818669368,0.000782,14.686225,15.344809,13.890543,0.00593,0.018646,0.014067,16.773656,32.182487,0.3705633585120447,0.3705633585120447,90,01070567+3210569,0.217,12.743,12.149,12.038,0.022,0.023,0.024,16.7737738,32.1824451,0.7526256289191882,0.7521285643465507,79.2,J010705.70+321056.8,0.21,11.952,11.922,12.064,9.338,0.024,0.023,0.228,1e+20,16.7738249,32.1824336,1.2363799927495815,J010705.71+321056.7,0.388,11.964,11.953,0.013,0.009,0.46880615,0.413075,-0.22169405,0.18647784,-0.18646915,-0.001800053,0.6385975,-0.5995446,0.21989325,0.2303024,0.1724535,-0.15264004,0.25033417,-0.24062167,0.06905371,0.3893305,0.35892266,-0.1508402,0.38122624,0.32814914,-0.19404016,0.08931485,-0.08492591,0.027653785,0.5493527,0.5146183,-0.1922404,0.16110593,0.15569572,-0.041400038,0.6385975,5,43.60794,43.60794,1.0,1.0,0.9805106,0.8412905,1,2CXO J010705.6+321056,Gaia DR3 313508874324686208
1,17.925138,8.8637552,0.793,0.761,58.55,J011142.0+085149,0.026,0,0,17.92523614904,8.86387724701,0.2815130995727589,2579513759765160448,0.543,3.3594507738886685e-05,0.0014663999999999,3.5700003e-05,0.010726,4.745573290720908e-05,0.0,15.401581,15.93305,14.69699,0.003511,0.008842,0.008622,17.925168,8.863935,0.4225652039162139,0.1666174103486202,0,01114204+0851501,0.65,13.755,13.258,13.114,0.029,0.029,0.038,17.9252003,8.8638653,0.2007888282976872,0.1999290713457103,68.4,J011142.04+085149.9,0.44,13.127,13.07,12.722,9.108,0.025,0.028,1e+20,1e+20,17.9251937,8.863891,0.3822979957616946,J011142.04+085150.0,0.505,13.095,13.098,0.012,0.011,0.56118435,0.34911683,0.4393692,0.6560171,0.10671021,0.64728,0.3193553,-0.24240655,0.20791075,0.45410183,0.22160155,0.39635998,0.13457315,-0.12751524,-0.043009244,0.27597255,0.114891276,-0.25092,0.527501,0.1981253,0.48887998,0.15890168,-0.15099148,0.049510755,0.18288594,0.09141504,-0.1584,0.095452,-0.02347624,0.09252,0.6560171,5,46.09145,46.09145,1.0,1.0,0.9787441,0.97776794,1,2CXO J011142.0+085149,Gaia DR3 2579513759765160448
1,22.1161911,28.9706198,0.902,0.819,14.95,J012827.8+285814,0.031,0,1,22.11622657049,28.97070083014,0.3138182536023152,297073408872204544,0.302,3.514137809587281e-05,0.0066136999999999,4.2300002e-05,0.040733,4.3497201215223696e-05,0.0,15.813044,17.343285,14.604759,0.002854,0.007867,0.004213,22.116012,28.970711,1.1757966146489542,1.1735832642847792,175,01282784+2858145,0.679,12.988,12.383,12.212,0.035,0.034,0.039,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,22.1162161,28.9707078,0.3330516265886378,J012827.88+285814.5,0.283,11.964,11.794,0.024,0.022,0.31236857,0.11171521,0.2917085,0.65267146,-0.56408,0.32831958,0.67678565,-0.6757947,0.036610883,,,,,,,,,,0.32643825,0.07873814,0.3168,0.04143753,-0.03297705,0.025091495,0.6429208,0.6428176,-0.011520554,,,,0.67678565,4,33.31614,33.31614,0.99999994,0.99999994,0.9909263,0.9831882,1,2CXO J012827.8+285814,Gaia DR3 297073408872204544
1,25.9895388,2.3161727,0.792,0.74,132.1,J014357.4+021858,0.024,0,0,25.98954741267,2.31620210248,0.1015554052656124,2512198458161658624,0.107,9.607533633256928e-05,0.0041979,9.63e-05,0.009559,0.0001412020923297,0.0,17.260658,18.741112,16.082159,0.002927,0.015703,0.005692,25.989511,2.316211,0.2491147060779248,0.2255174877586435,0,01435748+0218583,0.186,14.437,13.866,13.584,0.036,0.043,0.04,25.9895402,2.3161968,0.102426207341475,0.0974891170867745,98.5,J014357.48+021858.3,0.089,13.509,13.315,12.369,8.443,0.024,0.032,1e+20,1e+20,25.9895384,2.3162047,0.2117942054047134,J014357.48+021858.3,0.073,13.503,13.347,0.013,0.012,0.1102895,0.030980282,0.10584893,0.17032482,-0.099998236,0.13788,0.13483828,-0.13097851,0.03203107,0.08690603,0.0050358824,0.08676,0.03221023,-0.025944399,-0.019088928,0.116813615,0.10503412,-0.05112,0.11520898,-0.0014388235,0.1152,0.03374079,-0.032419104,0.009351072,0.101135254,0.09855941,-0.022680001,0.029167712,-0.006474706,0.02844,0.17032482,5,48.050755,48.050755,1.0,1.0,0.9907728,0.9958647,1,2CXO J014357.4+021858,Gaia DR3 2512198458161658624
1,35.8906633,40.0285937,0.731,0.721,172.9,J022333.7+400142,0.032,0,0,35.89056425324,40.02857909108,0.1636370569036584,338081447378594176,0.308,0.0002320799078278,0.0041061,0.0002911,0.010875,0.0003877190477402,0.001395,16.291542,17.73468,15.023106,0.008205,0.033338,0.006655,35.89062,40.028599,0.2435592066858489,0.2435592066858489,0,02233374+4001429,0.153,13.369,12.781,12.518,0.026,0.027,0.03,35.8904634,40.02862,0.0838,0.0792,79.3,J022333.71+400143.0,0.591,12.271,12.133,12.249,8.36,0.024,0.022,0.359,1e+20,35.8905611,40.0285952,0.3250147675245036,J022333.73+400142.9,0.256,12.373,12.227,0.017,0.016,0.27805188,-0.27303278,-0.052592263,0.12087634,-0.11936099,0.01907997,0.16956389,0.15367182,0.07167207,0.55911994,-0.5510453,0.094679385,0.31461093,-0.27801257,0.14727196,0.43825406,-0.4316843,0.07559962,0.28177676,-0.28172502,0.0053998386,0.058639918,-0.0086922385,0.057992112,0.1629393,-0.162364,-0.013680054,0.2837328,0.2693202,-0.08928015,0.55911994,5,46.328842,46.328842,1.0,1.0,0.95282173,0.9365129,1,2CXO J022333.7+400142,Gaia DR3 338081447378594176
