name,usrid,ra_pnt,dec_pnt,ra,dec,err_ellipse_r0,err_ellipse_r1,err_ellipse_ang,significance,extent_flag,pileup_flag,sat_src_flag,streak_src_flag,conf_flag,flux_aper90_mean_b,e_flux_aper90_mean_b,flux_aper90_mean_h,e_flux_aper90_mean_h,flux_aper90_mean_m,e_flux_aper90_mean_m,flux_aper90_mean_s,e_flux_aper90_mean_s,kp_intra_prob_b,ks_intra_prob_b,var_inter_prob_b,nh_gal,flux_powlaw_mean,e_flux_powlaw_mean,powlaw_gamma_mean,e_powlaw_gamma_mean,powlaw_nh_mean,e_powlaw_nh_mean,powlaw_ampl_mean,e_powlaw_ampl_mean,powlaw_stat,remove_code,flux_significance_b_max,flux_aper90_ave_s,e_flux_aper90_ave_s,flux_aper90_ave_m,e_flux_aper90_ave_m,flux_aper90_ave_h,e_flux_aper90_ave_h,chisqr,dof,kp_prob_b_max,var_inter_prob,significance_max,flux_flag,flux_aper90_ave_b,e_flux_aper90_ave_b
2CXO J000150.5+233015,1, 00 01 40.98,+23 29 24.37,0.4605416666666666,23.50433888888889,0.81,0.75,141.3,3.88,False,False,False,False,False,,,,,1.335e-16,1.335e-16,2.271e-15,6.439999999999999e-16,0.731,0.928,,4.64,,,,,,,,,,0,3.88,2.271e-15,6.439999999999999e-16,1.335e-16,1.335e-16,7.978845608028655e-18,6.028102749890869e-18,,-1.0,,,,4,2.4124788456080287e-15,6.577192319088466e-16
2CXO J000701.5+730308,2, 00 07 07.79,+73 03 09.89,1.7565416666666664,73.05225833333333,0.71,0.71,0.0,15.5,True,False,False,False,False,,,,,,,,,0.732,0.854,,20.79,,,,,,,,,,0,15.5,6.539797884560802e-15,7.795000727262489e-16,5.3890000000000006e-15,8.089999999999999e-16,2.4887978845608028e-14,3.525001608229812e-15,,0.0,0.732,,15.5,0,3.6816776730168834e-14,3.699694271342294e-15
2CXO J001826.4+300400,3, 00 18 20.86,+30 05 39.11,4.610041666666666,30.066713888888888,0.91,0.82,79.4,2.1,False,False,False,False,False,2.7690132904179103e-15,1.3727235077817286e-15,1.3141595769121607e-15,1.1349000019980655e-15,3.585718096104722e-16,3.0965500148290812e-16,1.0962819038952774e-15,7.074500649077534e-16,0.838,0.589,,5.36,,,,,,,,,,0,2.1,1.0962819038952774e-15,7.074500649077534e-16,3.585718096104722e-16,3.0965500148290812e-16,1.3141595769121607e-15,1.1349000019980655e-15,,0.0,0.838,,2.1,0,2.7690132904179103e-15,1.3727235077817286e-15
2CXO J005240.0+562837,4, 00 52 25.24,+56 33 47.56,13.166791666666665,56.47700277777778,0.86,0.77,40.1,8.69,False,False,False,False,False,8.965081903895276e-15,1.2087427712354807e-15,1.4160000000000001e-15,8.350000000000001e-16,9.588797884560804e-16,2.691500021062647e-16,6.590202115439197e-15,8.315000681781254e-16,0.934,0.71,0.06,31.8,,,,,,,,,,0,6.8,6.646381863068826e-15,8.588078830562636e-16,1.0077371891836615e-15,2.834520471184956e-16,1.801144610455788e-15,8.182475534130138e-16,0.25675679352088343,2.0,0.934,0.12,6.8,0,9.455263662708275e-15,1.2196003860616106e-15
2CXO J005510.9-373854,5, 00 54 53.05,-37 38 42.09,13.795749999999998,-37.648475,0.72,0.72,36.7,7.26,False,False,False,False,False,,,,,,,,,0.961,0.901,,3.03,,,,,,,,,,0,3.41,9.80797654817709e-15,2.8796238190312817e-15,7.978845608028655e-18,6.028102749890869e-18,7.978845608028655e-18,6.028102749890869e-18,,-1.0,,,,6,9.823934239393148e-15,2.879636438020923e-15
2CXO J010705.6+321056,6, 01 06 57.72,+32 09 50.86,16.77370833333333,32.18248611111111,0.75,0.72,46.2,18.23,False,False,False,False,False,9.516021154391971e-14,2.0253752237989546e-14,4.539202115439197e-14,2.0075000282391598e-14,1.1868190389527742e-14,1.4953071189036127e-15,3.79e-14,2.2300000000000003e-15,1.0,1.0,1.0,5.46,,,,,,,,,,0,6.39,3.128202115439197e-14,5.515001027925811e-15,6.775797884560803e-15,2.7425000206709624e-15,7.669114051724903e-15,5.039164339358409e-15,,0.0,0.933,,6.39,0,4.572693309067768e-14,7.95799723174521e-15
2CXO J011142.0+085149,7, 01 11 34.32,+08 53 31.05,17.925125,8.863755555555555,0.79,0.76,58.6,4.0,False,False,False,False,False,,,,,2.7623184645950392e-15,9.631845931044863e-16,3.488e-15,1.308e-15,0.781,0.895,,4.28,,,,,,,,,,0,4.0,3.488e-15,1.308e-15,2.7623184645950392e-15,9.631845931044863e-16,7.978845608028655e-18,6.028102749890869e-18,,-1.0,,,,4,6.2582973102030674e-15,1.6243844675496678e-15
2CXO J012827.8+285814,8, 01 28 31.12,+29 02 59.60,22.116208333333333,28.97061944444444,0.9,0.82,14.9,8.21,False,False,False,False,True,7.826363946537778e-14,1.0257811366316961e-14,5.4040188569610325e-15,3.675604706499884e-15,1.1890372499290436e-14,2.7035035437850777e-15,6.096924810912631e-14,9.187148233115588e-15,1.0,1.0,,6.38,,,,,,,,,,0,8.21,6.096924810912631e-14,9.187148233115588e-15,1.1890372499290436e-14,2.7035035437850777e-15,5.4040188569610325e-15,3.675604706499884e-15,,0.0,1.0,,8.21,0,7.826363946537778e-14,1.0257811366316961e-14
2CXO J014357.4+021858,9, 01 43 57.18,+02 21 14.94,25.989541666666668,2.316172222222222,0.79,0.74,132.1,4.47,False,False,False,False,False,1.6095368026489952e-15,3.8202629904981974e-16,2.845256343823018e-16,2.149621440611084e-16,9.905393653682409e-17,7.865500064866954e-17,1.2259572317298694e-15,3.0585741883974533e-16,0.906,0.804,0.841,2.93,,,,,,,,,,0,3.47,1.1747613083368252e-15,2.9501948134393485e-16,1.7532331577978723e-16,1.3404217067557487e-16,3.45005284091159e-16,2.606551629052812e-16,,0.0,0.197,,3.47,0,1.6950899082077714e-15,4.1586645914408985e-16
2CXO J022333.7+400142,10, 02 23 42.54,+40 01 06.71,35.89066666666666,40.028594444444444,0.73,0.72,172.9,7.5,False,False,False,False,False,1.378879788005397e-14,1.9120336837375695e-15,4.587038340055673e-16,3.4655562709122614e-16,3.349510002838251e-15,9.651588367390716e-16,9.98058404321015e-15,1.6137659139239958e-15,0.644,0.925,,6.13,,,,,,,,,,0,7.5,9.98058404321015e-15,1.6137659139239958e-15,3.349510002838251e-15,9.651588367390716e-16,4.587038340055673e-16,3.4655562709122614e-16,,0.0,0.644,,7.5,0,1.378879788005397e-14,1.9120336837375695e-15
2CXO J025404.8+413424,11, 02 54 23.61,+41 35 35.57,43.52012499999999,41.573350000000005,0.88,0.81,127.1,2.8,False,False,False,False,False,1.7117894854173751e-15,5.131377165167452e-16,5.078535229510238e-16,3.836887400305538e-16,1.155e-16,1.155e-16,1.0884359624663513e-15,3.2055111431062865e-16,,,0.816,9.39,,,,,,,,,,0,2.44,1.1518829430508158e-15,3.423262045719986e-16,2.800956522448265e-16,1.0942721723043343e-16,1.3827174336548987e-15,5.311439238829712e-16,0.2629930291235919,3.0,,0.033,2.44,0,2.814696028950541e-15,6.413075814967931e-16
