name,name_cat,ra_cat,dec_cat,e_Pos,Class,SubClass,ref,sep,ra,dec,r0,r1,PA,PU,nbref,coo_bibcode,rare-type,remove_regions,GLAT,GLON,comment
2CXO J000150.5+233015,G17197224783680,0.460598,23.504296,,LM-STAR,K3,LAMOST-DR8-AFGK,0.278577,0.4605279,23.5043391,0.807,0.753,141.3,0.807,,,4,,108.4679011794509,-37.9704695653709,
2CXO J000701.5+730308,J0007+7303,1.757083333333333,73.05205555555555,3.0,NS,NRAD,2005AJ....129.1993M,0.918716,1.7565552,73.0522591,0.713,0.713,0.0,3.536717263225886,,,1,,119.65948315750082,10.463305781556802,
2CXO J001826.4+300400,GSC 2261-1462,4.610125,30.0666389,,LM-STAR,G5,1971PASP...83..810T,0.350398,4.6100551,30.0667152,0.912,0.816,79.38,0.912,,,4,,114.4875566235586,-32.263400350710484,
2CXO J005240.0+562837,G16901528933076,13.16651,56.477011,,LM-STAR,G8,LAMOST-DR8-AFGK,0.596529,13.1668097,56.4770029,0.858,0.774,40.07,0.858,,,4,,123.10271784591298,-6.39433701511951,
2CXO J005510.9-373854,J0055-3738,13.795417,-37.648333,1.0,LMXB,SS,2003A&A...404..301R,1.09821,13.7957585,-37.6484742,0.719,0.718,36.73,2.125314329693375,,,1,|NGC_300,298.8797460597088,-79.45029504318931,
2CXO J010705.6+321056,G17222139826623,16.773656,32.182487,,LM-STAR,K4,LAMOST-DR8-AFGK,0.186472,16.7737172,32.1824875,0.747,0.721,46.15,0.747,,,4,,126.7795416647501,-30.57226287318253,
2CXO J011142.0+085149,G17296106280927,17.925185,8.863935,,LM-STAR,K0,LAMOST-DR8-AFGK,0.668566,17.925138,8.8637552,0.793,0.761,58.55,0.793,,,4,,131.401083216209,-53.67446363654115,
2CXO J012827.8+285814,G17336751155615,22.116158,28.970735,,LM-STAR,dM5,LAMOST-DR8-M,0.427743,22.1161911,28.9706198,0.902,0.819,14.95,0.902,,,4,,132.61457890331786,-33.20401500121036,
2CXO J014357.4+021858,G17146902558114,25.989528,2.3161828,,LM-STAR,dM4,LAMOST-DR8-M,0.053112,25.9895388,2.3161727,0.792,0.74,132.1,0.792,,,4,,148.25522187532866,-57.9499531245846,
2CXO J022333.7+400142,G17545017578632,35.89062,40.028599,,LM-STAR,dM4,LAMOST-DR8-M,0.120736,35.8906633,40.0285937,0.731,0.721,172.9,0.731,,,4,,141.46272267029684,-19.50505609145428,
2CXO J022635.3+621937,,36.64731889,62.32685889,,LM-STAR,GKg_a,2020AJ....160..120J,0.493922,36.6470984,62.3269502,0.974,0.953,90.63,0.974,,,4,,133.73221969366634,1.4672529492870463,
2CXO J025404.8+413424,G17546145515868,43.520157,41.573402,,LM-STAR,G4,LAMOST-DR8-AFGK,0.229238,43.5201057,41.5733512,0.884,0.805,127.1,0.884,,,4,,146.2746816643958,-15.673037462958815,
2CXO J031702.7+421947,G17552534213586,49.261625,42.330144,,LM-STAR,G2,LAMOST-DR8-AFGK,0.55169,49.261582,42.3299941,0.778,0.749,120.0,0.778,,,4,,149.67591460818602,-12.856239710180144,
2CXO J031720.6+422305,G17552540959430,49.336058,42.384915,,LM-STAR,G5,LAMOST-DR8-AFGK,0.452143,49.3360516,42.3847895,0.751,0.733,11.21,0.751,,,4,,149.69287146641625,-12.780361967127464,
2CXO J031725.1+412303,G17551785486628,49.3546233,41.384225,,LM-STAR,F5,LAMOST-DR8-AFGK,0.120945,49.3546371,41.384193,0.724,0.718,53.98,0.724,,,4,,150.26345179745783,-13.612706078718638,
2CXO J033848.2+095337,G16686238093094,54.701073,9.893836,,LM-STAR,F5,LAMOST-DR8-AFGK,0.203143,54.7010318,9.8938752,0.897,0.78,13.39,0.897,,,4,,176.35838848594344,-35.087351976968094,
2CXO J034310.6+010132,G16634542280925,55.794114,1.025826,,LM-STAR,K1,LAMOST-DR8-AFGK,0.24037,55.7941697,1.0257892,0.719,0.715,2.637,0.719,,,4,,185.75160301618865,-40.03981999548858,
2CXO J041442.5+053056,G16663707438367,63.67729,5.5156944,,LM-STAR,K7,LAMOST-DR8-AFGK,0.364761,63.6773672,5.5156284,0.763,0.73,4.177,0.763,,,4,,187.17341710773195,-31.05441380380486,
2CXO J041442.8+053316,G16663707152389,63.678651,5.554444,,LM-STAR,F0,LAMOST-DR8-AFGK,0.117305,63.6786785,5.5544617,0.956,0.941,33.24,0.956,,,4,,187.137825868566,-31.03033394198937,
2CXO J042200.7+265732,Haro 6- 5 B,65.5029167,26.9590278,,LM-STAR,K5,2004ApJ...616..998W,0.26879,65.5029821,26.9589812,0.723,0.721,104.2,0.723,,,4,,170.3936109317977,-15.939105734879512,
