_rs_2mass,_q,_r_2mass,RAJ2000_2mass,DEJ2000_2mass,errMaj_2mass,errMin_2mass,errPA_2mass,_2MASS_2mass,Jmag_2mass,Jcmsig_2mass,e_Jmag_2mass,Jsnr_2mass,Hmag_2mass,Hcmsig_2mass,e_Hmag_2mass,Hsnr_2mass,Kmag_2mass,Kcmsig_2mass,e_Kmag_2mass,Ksnr_2mass,Qflg_2mass,Rflg_2mass,Bflg_2mass,Cflg_2mass,Ndet_2mass,prox_2mass,pxPA_2mass,pxCntr_2mass,Xflg_2mass,Aflg_2mass,Cntr_2mass,Hemis_2mass,Date_2mass,Scan_2mass,GLON_2mass,GLAT_2mass,Xscan_2mass,_tab1_36_2mass,Jpsfchi_2mass,Hpsfchi_2mass,Kpsfchi_2mass,Jstdap_2mass,e_Jstdap_2mass,Hstdap_2mass,e_Hstdap_2mass,Kstdap_2mass,e_Kstdap_2mass,edgeNS_2mass,edgeEW_2mass,edge_2mass,dup_2mass,use_2mass,opt_2mass,Dopt_2mass,PAopt_2mass,Bmag_2mass,Rmag_2mass,Nopt_2mass,extKey_2mass,scanKey_2mass,coaddKey_2mass,coadd_2mass,Opt_2mass
[],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[0.27],2.0,0.27,0.628022,0.833112,0.19,0.16,2.0,00023072+0049592,16.86,0.15,0.15,6.7,16.21,,,,15.532,,,,CUU,200,100,000,050000,52.4,194.0,1000881907.0,0.0,0.0,1000881931.0,s,2000-08-08,138.0,98.135,-59.662,171.1,2451764.877,1.0,,,16.994,0.343,,,,,3019.0,82.0,sw,0.0,1.0,U,0.1,226,18.1,17.2,1.0,,53429.0,1228848.0,44.0,Opt
[],3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[],4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[0.217],5.0,0.217,1.765057,15.9066,0.07,0.06,4.0,00070361+1554237,15.264,0.052,0.053,31.4,14.278,0.05,0.05,39.6,13.165,0.038,0.039,42.7,AAA,222,111,000,666666,44.3,315.0,1240475721.0,0.0,0.0,1240475707.0,n,1997-07-12,98.0,107.584,-45.638,162.5,2450641.9334,1.45,1.62,1.61,14.981,0.038,13.998,0.038,13.001,0.068,7449.0,90.0,nw,0.0,1.0,U,0.3,149,16.8,16.0,1.0,2451080,66766.0,1535611.0,185.0,Opt
[],6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[0.854],7.0,0.854,3.275443,0.075593,0.32,0.31,31.0,00130610+0004321,17.338,0.222,0.222,4.8,16.245,0.196,0.196,5.6,15.884,0.261,0.261,4.3,DCD,222,111,000,060606,13.6,310.0,126539192.0,0.0,0.0,1320085664.0,s,1998-09-17,42.0,102.661,-61.278,-190.4,2451073.7607,1.11,0.84,0.88,17.276,0.338,16.139,0.388,16.566,0.863,265.0,61.0,ne,0.0,0.0,U,0.9,274,18.4,18.7,1.0,,71281.0,1639441.0,9.0,Opt
[],8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[],9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[0.251],10.0,0.251,5.105133,15.681884,0.12,0.11,178.0,00202523+1540547,16.169,0.078,0.078,13.2,15.637,0.118,0.118,9.9,14.734,0.097,0.097,12.0,ABA,222,111,000,160616,59.8,36.0,1321453836.0,0.0,0.0,1321453862.0,n,1998-09-27,60.0,112.047,-46.533,180.5,2451083.751,1.46,1.0,1.3,16.2,0.239,15.465,0.05,14.354,0.221,8363.0,69.0,nw,0.0,1.0,U,0.2,137,17.6,18.0,1.0,,71401.0,1642209.0,103.0,Opt
[],11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[0.26],12.0,0.26,5.420899,0.644919,0.12,0.12,69.0,00214101+0038417,16.512,0.1,0.101,10.7,15.653,0.133,0.134,10.1,14.651,0.089,0.09,15.4,ABA,222,111,000,061636,52.0,74.0,1116841361.0,0.0,0.0,1116841373.0,s,2000-08-26,111.0,107.283,-61.319,-47.1,2451782.8033,1.07,0.93,1.03,16.175,0.14,15.148,0.126,14.3,0.118,2338.0,205.0,se,0.0,1.0,U,0.3,143,18.2,17.4,1.0,,59929.0,1378365.0,245.0,Opt
[],13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[0.1],14.0,0.1,5.614519,1.403449,0.19,0.17,77.0,00222748+0124124,16.383,0.092,0.093,11.6,15.643,0.128,0.128,9.2,15.156,0.126,0.126,9.3,ABB,222,111,000,060606,16.8,235.0,1116860084.0,0.0,0.0,1116860081.0,s,2000-08-26,113.0,108.037,-60.627,126.5,2451782.8125,1.21,1.1,0.86,16.487,0.236,15.31,0.185,14.819,0.195,5067.0,126.0,sw,0.0,1.0,U,0.5,178,17.5,17.5,1.0,,59931.0,1378408.0,209.0,Opt
[],15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[0.223],16.0,0.223,6.890871,-1.581223,0.27,0.18,88.0,00273380-0134524,16.206,0.086,0.086,15.1,15.736,0.102,0.102,10.3,14.942,0.113,0.113,9.9,AAB,222,111,000,260605,23.4,40.0,82606625.0,0.0,0.0,82606632.0,s,1998-09-15,96.0,109.305,-63.819,-104.5,2451071.7759,0.81,1.15,1.0,16.092,0.134,16.171,0.286,15.026,0.09,6228.0,148.0,ne,0.0,1.0,U,0.2,141,17.6,18.2,1.0,,4025.0,92559.0,80.0,Opt
[],17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[],18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[],19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[],20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[],21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[],22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[7.475],23.0,7.475,8.385382,-43.333935,0.08,0.08,90.0,00333249-4320021,15.636,0.072,0.073,18.8,15.046,0.075,0.075,15.3,15.141,0.13,0.13,7.7,AAB,222,111,000,262605,102.7,64.0,531015213.0,0.0,0.0,531015247.0,s,1999-09-15,66.0,314.384,-73.394,25.3,2451436.7134,0.94,0.95,1.03,15.783,0.103,14.952,0.18,15.607,0.405,5350.0,227.0,nw,0.0,1.0,U,0.8,102,19.9,17.8,1.0,,29177.0,671054.0,68.0,Opt
[],24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[],25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[],26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[],27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[],28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[],29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[],30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[0.138],31.0,0.138,8.815094,-43.566017,0.07,0.06,7.0,00351562-4333576,15.437,0.053,0.054,25.0,14.59,0.053,0.054,27.7,13.609,0.045,0.046,34.9,AAA,222,111,000,666666,24.1,30.0,531065162.0,0.0,0.0,531065152.0,s,1999-09-15,69.0,313.14,-73.24,184.6,2451436.7302,1.25,0.81,1.4,15.293,0.115,14.436,0.06,13.456,0.064,6187.0,68.0,nw,0.0,1.0,U,0.2,24,16.3,16.1,1.0,,29180.0,671134.0,198.0,Opt
[],32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[],33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[],34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[],35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[],36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[0.097],37.0,0.097,10.72001,-23.541031,0.08,0.06,90.0,00425280-2332277,12.584,0.075,0.076,358.0,11.918,0.1,0.1,313.8,11.199,0.043,0.044,356.3,EEE,222,111,000,666666,21.3,141.0,508563197.0,1.0,0.0,508539946.0,s,1999-07-21,128.0,94.14,-85.925,-203.6,2451380.8378,16.24,15.91,17.02,12.026,0.008,11.269,0.007,10.899,0.006,1660.0,49.0,se,1.0,1.0,0,,,,,0.0,1074438,28212.0,648855.0,21.0,Opt
[],38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[],39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[0.361],40.0,0.361,11.542863,1.112231,0.13,0.11,2.0,00461028+0106440,16.07,0.109,0.109,13.5,15.353,0.124,0.124,10.8,14.431,0.094,0.095,14.3,ABA,222,111,000,461616,32.5,64.0,1000958649.0,0.0,0.0,1000958639.0,s,2000-08-08,152.0,120.152,-61.731,166.6,2451764.9234,1.2,1.1,1.12,15.601,0.075,14.779,0.162,14.219,0.099,4022.0,86.0,sw,0.0,1.0,U,0.7,244,17.6,17.4,1.0,1963758,53437.0,1229033.0,56.0,Opt
