name,usrid,ra,dec,err_ellipse_r0,err_ellipse_r1,err_ellipse_ang,significance,extent_flag,pileup_flag,sat_src_flag,streak_src_flag,conf_flag,flux_aper90_mean_b,e_flux_aper90_mean_b,flux_aper90_mean_h,e_flux_aper90_mean_h,flux_aper90_mean_m,e_flux_aper90_mean_m,flux_aper90_mean_s,e_flux_aper90_mean_s,kp_intra_prob_b,ks_intra_prob_b,var_inter_prob_b,nh_gal,flux_powlaw_mean,e_flux_powlaw_mean,powlaw_gamma_mean,e_powlaw_gamma_mean,powlaw_nh_mean,e_powlaw_nh_mean,powlaw_ampl_mean,e_powlaw_ampl_mean,powlaw_stat,remove_code,flux_significance_b_max,flux_aper90_ave_s,e_flux_aper90_ave_s,flux_aper90_ave_m,e_flux_aper90_ave_m,flux_aper90_ave_h,e_flux_aper90_ave_h,chisqr,dof,kp_prob_b_max,var_inter_prob,significance_max,flux_flag,flux_aper90_ave_b,e_flux_aper90_ave_b,name_cat,ra_cat,dec_cat,e_Pos,Class,SubClass,ref,sep,_r_simbad,main_id,main_type
2CXO J000009.3+135618,1,0.039125,13.938494444444444,0.79,0.77,64.2,1.95,False,False,False,False,False,4.1453979052711515e-15,1.9236928132703276e-15,1.989924094642346e-15,1.5034088258227828e-15,4.844e-16,4.844e-16,1.6710738106288058e-15,1.0980494443630799e-15,0.923,0.47,,3.77,,,,,,,,,,0,1.95,1.6710738106288058e-15,1.0980494443630799e-15,4.844e-16,4.844e-16,1.989924094642346e-15,1.5034088258227828e-15,,0.0,0.923,,1.95,0,4.1453979052711515e-15,1.9236928132703276e-15,SDSS J00001+1356,0.039167,13.938333,,AGN,Q,2010A&A...518A..10V,0.604358,0.143471,SDSS J000009.38+135618.4,QSO
2CXO J000230.7+004959,2,0.6279583333333333,0.8330722222222222,0.72,0.72,64.9,11.07,False,False,False,False,False,1.4285253852703656e-13,1.6574623041633046e-14,5.735158657939786e-14,1.4107260590846235e-14,2.8747978845608026e-14,5.285001072660513e-15,5.675297310203068e-14,6.911735762901172e-15,0.318,0.316,,3.14,,,,,,,,,,0,11.07,5.675297310203068e-14,6.911735762901172e-15,2.8747978845608026e-14,5.285001072660513e-15,5.735158657939786e-14,1.4107260590846235e-14,,0.0,0.318,,11.07,0,1.4285253852703656e-13,1.6574623041633046e-14,PB 5698,0.627917,0.833056,,AGN,Q,2010A&A...518A..10V,0.211831,0.091883,QSO B2359+005,QSO
2CXO J000622.6-000424,4,1.5943333333333332,-0.07357222222222222,0.78,0.76,40.5,25.42,True,False,False,False,False,6.747797884560802e-13,3.068833058024298e-14,4.038e-13,2.7100000000000006e-14,1.1657978845608028e-13,7.650074104365022e-15,1.5439999999999998e-13,1.2200000000000001e-14,0.588,0.488,0.598,3.15,,,,,,,,,,0,25.42,1.5439999999999998e-13,1.2200000000000001e-14,1.1657978845608028e-13,7.650074104365022e-15,4.038e-13,2.7100000000000006e-14,,0.0,0.076,,25.42,0,6.747797884560802e-13,3.068833058024298e-14,3C   2.0,1.594167,-0.073611,,AGN,Q,2010A&A...518A..10V,0.58328,0.630793,4C -00.01,QSO
2CXO J000659.2-001740,5,1.7470416666666664,-0.2946611111111111,0.84,0.79,109.8,4.11,False,False,False,False,False,3.0637570019867757e-14,8.900739638301041e-15,1.3727180961047225e-14,7.62550060217678e-15,6.2119342393931474e-15,2.7735103071743968e-15,1.0698454819427383e-14,3.658216402978685e-15,0.618,0.309,,3.16,,,,,,,,,,0,4.11,1.0698454819427383e-14,3.658216402978685e-15,6.2119342393931474e-15,2.7735103071743968e-15,1.3727180961047225e-14,7.62550060217678e-15,,0.0,0.618,,4.11,0,3.0637570019867757e-14,8.900739638301041e-15,SDSS J00069-0017,1.747083,-0.294444,,AGN,Q,2010A&A...518A..10V,0.789596,0.116926,SDSS J000659.28-001740.8,QSO
2CXO J000703.6+155423,6,1.765,15.906575,0.72,0.72,25.4,8.63,False,False,False,False,False,5.55592021154392e-13,7.028239902235853e-14,5.35e-13,7e-14,1.5932021154391972e-14,5.625001007824154e-15,4.659999999999999e-15,2.8239999999999997e-15,0.135,0.047,,3.84,,,,,,,,,,0,8.63,4.659999999999999e-15,2.8239999999999997e-15,1.5932021154391972e-14,5.625001007824154e-15,5.35e-13,7e-14,,0.0,0.135,,8.63,0,5.55592021154392e-13,7.028239902235853e-14,2MASS J00070+1554,1.765,15.906389,,AGN,A,2010A&A...518A..10V,0.669382,0.14151,2MASS J00070361+1554238,Seyfert_1
2CXO J000856.7+155045,7,2.2366666666666664,15.846041666666668,0.9,0.76,75.1,4.89,False,False,False,False,False,3.667792136476622e-14,9.372303193221907e-15,1.0684729826523012e-14,7.36341641709838e-15,1.155319153824321e-14,4.008000226307832e-15,1.444e-14,4.189999999999999e-15,0.103,0.179,,3.95,,,,,,,,,,0,4.89,1.444e-14,4.189999999999999e-15,1.155319153824321e-14,4.008000226307832e-15,1.0684729826523012e-14,7.36341641709838e-15,,0.0,0.103,,4.89,0,3.667792136476622e-14,9.372303193221907e-15,SDSS J00089+1550,2.236667,15.845833,,AGN,Q,2010A&A...518A..10V,0.751266,0.013013,[VV2006] J000856.8+155045,QSO
2CXO J001306.1+000431,8,3.2756666666666665,0.0755138888888889,0.75,0.74,111.0,3.65,False,False,False,False,False,2.2717678089258553e-14,8.986366579284024e-15,1.409441480807438e-14,8.543500325137886e-15,3.550403082162925e-15,1.7662958167243278e-15,5.072860199021248e-15,2.15489804386747e-15,0.247,0.575,,2.96,,,,,,,,,,0,3.65,5.072860199021248e-15,2.15489804386747e-15,3.550403082162925e-15,1.7662958167243278e-15,1.409441480807438e-14,8.543500325137886e-15,,0.0,0.247,,3.65,0,2.2717678089258553e-14,8.986366579284024e-15,Q 0010-002B,3.275833,0.075556,,AGN,Q,2010A&A...518A..10V,0.595434,0.173819,LBQS 0010-0012,QSO
2CXO J001837.3+163446,9,4.655625,16.57944722222222,0.82,0.78,28.1,9.54,False,False,False,False,False,1.4492987125373072e-14,1.934388277395014e-15,6.158009428480516e-15,1.6338401052768367e-15,3.1718719249327023e-15,5.811127838407473e-16,5.163105771959856e-15,8.5716535777473e-16,0.52,0.729,,4.04,,,,,,,,,,0,9.54,5.163105771959856e-15,8.5716535777473e-16,3.1718719249327023e-15,5.811127838407473e-16,6.158009428480516e-15,1.6338401052768367e-15,,0.0,0.52,,9.54,0,1.4492987125373072e-14,1.934388277395014e-15,CXOMP J00186+1634,4.655833,16.579444,,AGN,Q,2010A&A...518A..10V,0.773615,0.546422,[VV2006] J001837.4+163446,QSO
2CXO J001854.8+162952,10,4.728666666666666,16.49785277777778,0.98,0.8,67.7,6.55,False,False,False,False,False,8.329265578615111e-15,1.511452350687495e-15,4.804e-15,1.3609999999999998e-15,1.4750000000000001e-15,4.0399999999999996e-16,2.0502655786151114e-15,5.186050601360873e-16,0.565,0.502,,4.05,,,,,,,,,,0,6.55,2.0502655786151114e-15,5.186050601360873e-16,1.4750000000000001e-15,4.0399999999999996e-16,4.804e-15,1.3609999999999998e-15,,0.0,0.565,,6.55,0,8.329265578615111e-15,1.511452350687495e-15,CXOMP J00189+1629,4.72875,16.497778,,AGN,Q,2010A&A...518A..10V,0.394198,0.469989,[VV2006] J001854.9+162952,QSO
2CXO J002025.2+154054,11,5.105083333333332,15.681833333333334,0.71,0.71,113.0,23.67,False,False,False,False,True,2.6905074040371896e-13,1.516681061460634e-14,1.7837978845608028e-13,1.4450039231859423e-14,4.394648655101534e-14,3.425875481397674e-15,4.6724465396623365e-14,3.080890715851086e-15,0.73,0.707,,4.16,2.1411492294592687e-13,1.2326518977844581e-14,1.7029894228040143,0.12051176086046882,6.429533454661161,3.240277769650912,4.4768730736481716e-05,5.09400793893646e-06,1.393,0,23.67,4.6724465396623365e-14,3.080890715851086e-15,4.394648655101534e-14,3.425875481397674e-15,1.7837978845608028e-13,1.4450039231859423e-14,,0.0,0.73,,23.67,0,2.6905074040371896e-13,1.516681061460634e-14,3C   9.0,5.105,15.681667,,AGN,Q,2010A&A...518A..10V,0.668274,0.177105,2C   26,BLLac
