GAIA_Source,CSC__2CXO
2.8482052988956605e+18,J000150.5+233015
2.8605868263209595e+18,J001826.4+300400
4.237935971490508e+17,J005240.0+562837
3.135088743246862e+17,J010705.6+321056
2.5795137597651604e+18,J011142.0+085149
2.9707340887220454e+17,J012827.8+285814
2.512198458161659e+18,J014357.4+021858
3.380814473785942e+17,J022333.7+400142
5.136712553151626e+17,J022635.3+621937
3.3621770644959565e+17,J025404.8+413424
2.397039845142408e+17,J031702.7+421947
2.3970501100858048e+17,J031720.6+422305
2.393730615754843e+17,J031725.1+412303
1.2265365742199936e+16,J033848.2+095337
3.269934872198988e+18,J034310.6+010132
3.284737631604181e+18,J041442.8+053316
2.604359247942496e+17,J043741.6+505646
3.2861946906697144e+18,J043927.5+072447
3.2861962712176737e+18,J043931.3+072601
3.233060344580724e+18,J045400.8+024952
3.420496870610261e+18,J051600.7+245921
3.4037705199104737e+18,J053426.0+215542
3.4410199466340163e+18,J053907.7+261737
3.215796671994195e+18,J053939.1-033344
3.451181289503591e+18,J055207.0+323120
3.4511939682464906e+18,J055209.4+323626
3.377032630506433e+18,J061805.9+222540
3.378176083940627e+18,J064525.9+211709
3.353815098158513e+18,J065955.4+141808
8.650374445556321e+17,J072906.3+205536
8.650374445554026e+17,J072908.2+205609
9.202910649467023e+17,J074648.8+390201
7.142990045922132e+17,J091215.2+345644
8.15326080025325e+17,J091409.3+400655
6.207541358474813e+17,J093457.9+170614
6.442627596009297e+17,J093630.5+232509
6.473350012472293e+17,J095010.1+275926
1.0220215572394784e+18,J095045.7+561526
7.497750178434388e+17,J103104.8+350652
7.792594228695848e+17,J104046.0+395925
3.872882000621284e+18,J105052.7+132603
5.33735287377638e+18,J111901.6-613106
8.428961622933352e+17,J112332.9+535311
3.706832895602388e+18,J122859.9+033112
1.6924343068262764e+18,J122912.2+752723
3.928650192454872e+18,J123521.2+121404
6.055231574654402e+18,J124846.4-623743
5.862502888743006e+18,J131148.0-624139
1.461997869602905e+18,J132447.8+290335
1.4920510571471506e+18,J142111.4+414735
1.4796223881622057e+18,J143105.2+341444
1.236678456415102e+18,J144812.1+182516
1.6005928221127383e+18,J151519.1+552944
1.6005868435182792e+18,J151535.9+552832
1.2040516858149253e+18,J155217.0+200114
1.6214209052373775e+18,J160100.7+552706
1.1990970115419894e+18,J160213.9+155940
1.4047444093593088e+18,J160252.0+524422
1.6219198730619663e+18,J161320.5+564602
4.465695613270536e+18,J162514.2+154522
6.025344817107454e+18,J162806.9-320548
5.935810868004734e+18,J165839.3-532406
4.501154111651244e+18,J174507.0+154952
4.155000844481175e+18,J183327.7-103524
2.1016640821953897e+18,J192642.3+413423
2.0327445630931863e+18,J193437.7+302948
2.031052517772284e+18,J200509.2+322201
2.0606268722747727e+18,J201536.0+370458
2.068284008684199e+18,J202001.8+402602
2.064337036816956e+18,J203150.7+400956
2.067782150345882e+18,J203309.1+411343
1.7729137433255526e+18,J215458.3+165527
6.826006886631418e+18,J221421.5-165352
2.6532111723165645e+18,J224652.8-004842
2.2073441920509404e+18,J230631.0+622831
2.8251514262803466e+18,J232215.0+194418
4.680333451451868e+17,J030346.9+645435
2.3854101045151898e+17,J033131.4+435648
1.7265074892810355e+17,J042142.7+325426
4.804695423438691e+18,J054320.3-410154
3.118721026600835e+18,J062244.5-002044
9.515186382850716e+17,J065036.5+413053
5.25900954353318e+18,J101011.8-565532
5.255509901121775e+18,J101855.6-585645
3.83138264792243e+18,J102347.6+003840
5.33728270686479e+18,J110526.2-610749
7.894302490335677e+17,J111810.7+480212
5.33502166427492e+18,J114400.3-610736
6.054569565614461e+18,J122637.5-624613
6.128369984328414e+18,J122758.7-485343
6.139930631836615e+18,J124850.7-412654
6.179115508262195e+18,J131145.7-343030
5.852296053620906e+18,J135809.6-644405
6.116222927763847e+18,J141249.0-402136
6.096705840454621e+18,J141730.5-440257
5.878377736381364e+18,J143308.3-611540
5.88409922124644e+18,J155058.6-562835
5.933976985766949e+18,J162636.5-515630
5.969790961312131e+18,J165400.1-395044
6.029391608332997e+18,J170206.5-295644
4.054559284753424e+18,J173527.5-325554
4.060784345959549e+18,J174445.7-271344
4.174878674679897e+18,J175013.1-064228
4.0530963889190825e+18,J181921.6-252425
4.0817192835362345e+18,J190109.3-220005
4.264296556603632e+18,J191116.0+003505
1.823773960079217e+18,J195936.7+204814
2.056188624872569e+18,J202403.8+335201
2.2872482103013425e+18,J223715.5+821027
2.8433743884021494e+18,J225848.2+251543
2.7674276499378176e+18,J000009.3+135618
2.738349136498974e+18,J000230.7+004959
2.5458892854387743e+18,J000622.6-000424
2.545776959158461e+18,J000659.2-001740
2.769535856108235e+18,J000703.6+155423
3.95430805659672e+17,J000833.8+512412
2.769540666471561e+18,J000856.7+155045
2.545465385051234e+18,J001306.1+000431
2.793520396598023e+18,J001837.3+163446
2.792568082089076e+18,J002025.2+154054
2.8573125494135163e+18,J002037.9+284231
2.5468717334386227e+18,J002140.9+003841
2.546805792804731e+18,J002209.9+001629
2.5472148841456425e+18,J002227.4+012412
4.304466432356415e+17,J002257.6+614107
2.322088396593711e+18,J002301.4-275238
2.5411391203294126e+18,J002733.7-013452
2.855865871283967e+18,J002756.6+261651
2.5440637826039296e+18,J003131.4+003420
4.992443119851264e+18,J003346.2-431943
4.992804751801338e+18,J003504.4-431610
4.980776094593795e+18,J003515.6-433357
4.980792896506026e+18,J003516.1-432451
4.992805512011713e+18,J003548.4-431444
4.926271417716146e+18,J003802.3-504402
3.807441091466093e+17,J003823.9+401250
3.807465873442203e+17,J003831.2+401711
5.739420503394843e+17,J004243.4+851414
2.348925796095954e+18,J004252.7-233227
2.549166856586652e+18,J004351.5+005501
3.619845896466642e+17,J004446.5+330254
2.780975419896755e+18,J004526.2+143643
2.549256471079162e+18,J004610.3+010643
2.5492539585226977e+18,J004613.5+010425
2.342029483072133e+18,J004821.6-285207
2.5366737931547264e+18,J005006.3-005319
2.536732655682517e+18,J005009.8-003900
2.3694905461857e+18,J005027.8-174009
3.119841609343634e+17,J005055.6+293328
3.7826165670743744e+17,J005203.1+473538
3.782850213295232e+17,J005214.7+473701
4.237948040403547e+17,J005216.8+563133
2.77656441976425e+18,J005424.8+124215
3.638436576510079e+17,J005453.1+352803
2.53566523604975e+18,J005614.6-011828
2.778173653815207e+18,J005701.1+145003
5.034270530740524e+18,J005717.8-271830
2.535739624883271e+18,J005734.9-012327
5.034263525649951e+18,J005759.9-272126
5.034253488310254e+18,J005811.4-272635
5.034206174950514e+18,J005818.1-272848
3.076704675809752e+17,J005838.9+265130
2.535789717086721e+18,J005926.8-004938
5.027218572398395e+18,J010026.1-334107
2.53264236505187e+18,J010032.2-020046
4.932809320013593e+18,J010034.9-475203
2.352222338114614e+18,J010250.3-220929
2.536289994877063e+18,J010514.4+000226
4.263787938094761e+17,J010523.0+602518
3.135324107454652e+17,J010705.0+321208
2.4748645107770225e+18,J010715.9-083429
3.13536533914053e+17,J010722.0+322322
2.5382372643292247e+18,J010838.7+013500
2.5847423842320097e+18,J010852.8+132014
5.3533145828421645e+17,J010944.3+731157
3.212460002107744e+17,J010959.3+354206
4.033551878146605e+17,J011130.8+490246
4.0339082316200986e+17,J011206.7+492805
2.5328986586356936e+18,J011227.5-011221
2.5912566427337293e+18,J011309.0+153553
2.5349387981655465e+18,J011341.8+005000
2.589945857370021e+18,J011351.0+131617
4.913699120727384e+18,J011424.9-552349
2.5348599082060897e+18,J011439.9+002435
2.534668627543048e+18,J011537.7+002029
2.53370377602542e+18,J011853.6-010007
2.4721419438918246e+18,J011927.4-083133
2.5592267007858903e+18,J012519.1+014703
2.559211827314207e+18,J012527.3+014006
3.166445784078943e+17,J012657.2+330730
2.971685166279479e+17,J012826.4+290332
4.916088153336372e+18,J012930.7-522857
3.23321873867828e+17,J012940.0+384210
4.935919632249715e+18,J012951.2-421935
2.565257869956609e+18,J013120.2+061959
2.565257556423505e+18,J013131.4+061855
2.464902793694083e+18,J013253.3-095239
2.5099823280520207e+18,J013418.1+001536
2.888038101209938e+17,J013622.9+210017
2.589380467874616e+18,J013632.0+154507
3.1608509878783744e+17,J013729.5+331230
2.454307830929556e+18,J013805.3-125210
2.4638696307216046e+18,J013847.5-103127
2.465605312905024e+18,J014040.8-075848
2.512199149652097e+18,J014357.7+022059
2.5093004891085496e+18,J014756.9+000021
2.458998519332196e+18,J015234.7-135929
2.507930222742637e+18,J015650.2+005308
2.507402044844673e+18,J015716.9-005304
3.4291633930710515e+17,J015734.7+374906
3.428692364011438e+17,J015738.9+374612
3.428678276518775e+17,J015745.0+374317
3.4286937384009344e+17,J015747.1+374730
3.4287095438855066e+17,J015749.5+374914
3.42918130308817e+17,J015751.4+375305
3.428706408543392e+17,J015757.7+374822
4.956574748449687e+18,J015841.4-432503
2.4625708712660475e+18,J020011.5-093126
3.0154567241833805e+17,J020014.8+312546
2.4625962931771884e+18,J020052.2-092431
2.507262716105154e+18,J020847.2+002014
2.507046215393546e+18,J020950.7-000506
2.5070306847927265e+18,J021102.7-000910
2.507030276770325e+18,J021113.3-000901
7.424654989079974e+16,J021340.6+134756
2.4881847806137416e+18,J021429.2-051744
2.489661184211565e+18,J021817.1-050258
4.583722800756525e+17,J021821.6+570651
4.583727954717179e+17,J021829.8+570902
4.583716959603548e+17,J021847.8+570552
4.583777089144872e+17,J021855.7+570906
