angDist,_RAJ2000_1,_DEJ2000_1,name_cat,SubClass,Class,e_Pos,ref,_RAJ2000_2,_DEJ2000_2,2CXO,RAICRS,DEICRS,r0,r1,PA,fe,fc,fp,fv,fst,fs,fa,fi,fr,fm,ff,fVi,Ns,PFluxb,PFluxh,PFluxm,PFluxs,PFluxu,PFluxw,PF90b,PF90h,PF90m,PF90s,PF90u,PF90w,Fluxb,Fluxh,Fluxm,Fluxs,Fluxu,Fluxw,F90b,F90h,F90m,F90s,F90u,F90w,PFavgb,PFavgh,PFavgm,PFavgs,PFavgu,PFavgw,PF90avgb,PF90avgh,PF90avgm,PF90avgs,PF90avgu,PF90avgw,Favgb,Favgh,Favgm,Favgs,Favgu,Favgw,F90avgb,F90avgh,F90avgm,F90avgs,F90avgu,F90avgw,Ldet,LClass,S/N,NHGal,HRhm,HRhs,HRms,fdw,Nac,ExpAC,Nhrc,ExpHRC
0.041937,8.097597,39.514445,L17189636253511,A2,LM-STAR,,LAMOST-DR8-AFGK,8.097595093,39.514433444,J003223.4+393051,8.0975951,39.5144334,3.439,1.62,115.4,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0794087823316e-06,0.0,5.4871989042268e-07,0.0,0.0,,1.1548232752093e-06,0.0,5.2886707169841e-07,1.7519717462754e-07,0.0,,7.1054686429235e-16,0.0,1.2667368991741e-15,0.0,0.0,,1.2074050598607e-15,0.0,1.2347772192136e-15,0.0,,,1.0794087823316e-06,0.0,5.4871989042268e-07,0.0,0.0,,1.1548232752093e-06,0.0,5.2886707169841e-07,1.7519717462754e-07,0.0,,7.1054686429235e-16,0.0,1.2667368991741e-15,0.0,0.0,,1.2074050598607e-15,0.0,1.2347772192136e-15,0.0,,,17.98062,TRUE,2.474,6.51,-0.99938,-0.99938,0.88944,0,1,34725.76,0,
0.259478,8.1413,39.524674,G17189635793391,K0,LM-STAR,,LAMOST-DR8-AFGK,8.141386467,39.524646674,J003233.9+393128,8.1413865,39.5246467,1.8,1.104,137.2,0,0,0,1,0,0,0,0,0,0,0,0,1,9.5619227006491e-07,3.3290119065326e-07,0.0,5.5784431636941e-07,0.0,,1.0814862666214e-06,4.0105539049137e-07,0.0,6.0522578143778e-07,0.0,,3.0839085676664e-15,1.9258546489509e-15,,1.1643826660853e-15,,,3.9170556400996e-15,2.5229504257687e-15,,1.2524096424372e-15,,,9.5619227006491e-07,3.3290119065326e-07,0.0,5.5784431636941e-07,0.0,,1.0814862666214e-06,4.0105539049137e-07,0.0,6.0522578143778e-07,0.0,,3.0839085676664e-15,1.9258546489509e-15,,1.1643826660853e-15,,,3.9170556400996e-15,2.5229504257687e-15,,1.2524096424372e-15,,,27.80734,TRUE,2.703,6.51,0.99938,-0.25484,-0.99938,0,1,34587.116,0,
1.133377,135.73413,1.285307,L16286594017880,G5,LM-STAR,,LAMOST-DR8-AFGK,135.73420426,1.285001052,J090256.2+011706,135.7342043,1.2850011,11.427,9.176,4.411,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,2.5150870451376e-06,0.0,,1.8365200022423e-06,0.0,0.0,2.6587108779181e-06,0.0,,0.0,0.0,0.0,4.0402229068134e-15,,,3.5731295110345e-15,0.0,0.0,5.1680061091974e-15,,,0.0,0.0,0.0,2.5150870451376e-06,0.0,,1.8365200022423e-06,0.0,0.0,2.6587108779181e-06,0.0,,0.0,0.0,0.0,4.0402229068134e-15,,,3.5731295110345e-15,0.0,0.0,5.1680061091974e-15,,,12.51828,MARGINAL,2.595,3.7,0.99938,-0.99938,-0.99938,0,1,19787.216,0,
1.318438,138.3768958,30.0843556,G16435125587252,F9,LM-STAR,,LAMOST-DR8-AFGK,138.376734734,30.084016922,J091330.4+300502,138.3767347,30.0840169,1.769,1.769,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.5177493018466e-06,0.0,0.0,1.0550127897303e-06,0.0,,1.4049340938568e-06,0.0,0.0,1.1750441049512e-06,0.0,,3.920141274718e-15,0.0,0.0,3.0230653695866e-15,,,4.243784107481e-15,0.0,,3.2770052517583e-15,,,1.5177493018466e-06,0.0,0.0,1.0550127897303e-06,0.0,,1.4049340938568e-06,0.0,0.0,1.1750441049512e-06,0.0,,3.920141274718e-15,0.0,0.0,3.0230653695866e-15,,,4.243784107481e-15,0.0,,3.2770052517583e-15,,,105.1583,TRUE,2.263,2.3,0.04497,-0.99938,-0.99938,0,1,17928.607,0,
1.477635,114.61198,38.726434,G16271519406929,K0,LM-STAR,,LAMOST-DR8-AFGK,114.611606615,38.726144828,J073826.7+384334,114.6116066,38.7261448,4.05,2.748,69.14,0,0,0,0,0,0,0,0,0,0,0,0,1,1.3114016486427e-05,2.7384990372068e-06,3.1054378521508e-06,4.7019305376373e-06,0.0,,1.1437725387588e-05,1.7279104419328e-06,2.8387761433295e-06,4.3595742157524e-06,0.0,,3.0666767294283e-14,9.8015837131074e-15,6.8567866795788e-15,1.4272016533648e-14,,,2.322512271158e-14,6.5548401465356e-15,6.3466871950974e-15,9.8235386412493e-15,,,1.3114016486427e-05,2.7384990372068e-06,3.1054378521508e-06,4.7019305376373e-06,0.0,,1.1437725387588e-05,1.7279104419328e-06,2.8387761433295e-06,4.3595742157524e-06,0.0,,3.0666767294283e-14,9.8015837131074e-15,6.8567866795788e-15,1.4272016533648e-14,,,2.322512271158e-14,6.5548401465356e-15,6.3466871950974e-15,9.8235386412493e-15,,,48.74768,TRUE,4.667,5.48,-0.03248,-0.28107,-0.2411,0,1,10492.632,0,
2.412186,83.543544,22.179277,L16734371407043,F6,LM-STAR,,LAMOST-DR8-AFGK,83.542951126,22.178892863,J053410.3+221044,83.5429511,22.1788929,1.085,0.806,67.55,0,0,0,0,0,0,0,0,0,0,0,0,1,1.6139488822587e-05,5.3890312122112e-06,2.3075841752897e-06,4.4394642017061e-06,0.0,,1.6628410930423e-05,5.9381784047906e-06,3.3068410102295e-06,3.140873873868e-06,0.0,,5.0187475159004e-14,3.6402013326879e-14,5.6795427366158e-15,9.575414524283e-15,0.0,,4.5450309011965e-14,4.0302565373248e-14,8.141227046675e-15,4.8121642349658e-15,0.0,,1.6139488822587e-05,5.3890312122112e-06,2.3075841752897e-06,4.4394642017061e-06,0.0,,1.6628410930423e-05,5.9381784047906e-06,3.3068410102295e-06,3.140873873868e-06,0.0,,5.0187475159004e-14,3.6402013326879e-14,5.6795427366158e-15,9.575414524283e-15,0.0,,4.5450309011965e-14,4.0302565373248e-14,8.141227046675e-15,4.8121642349658e-15,0.0,,102.758,TRUE,6.032,38.46,0.40849,0.0787,-0.34853,0,1,19980.172,0,
1.333746,7.787454,39.55217,G17193994648041,G8,LM-STAR,,LAMOST-DR8-AFGK,7.787062199,39.55238447,J003108.8+393308,7.7870622,39.5523845,7.862,6.443,143.6,1,0,0,0,0,0,0,0,0,0,0,0,1,2.4359340008677e-05,4.2624885630647e-06,2.5183621630819e-06,1.2615809024224e-05,0.0,,2.3706998687291e-05,2.9737750699725e-06,2.3815900138259e-06,1.2807357837651e-05,0.0,,8.7847538151436e-14,5.9067024343701e-14,5.4758119347969e-15,1.9421444795441e-14,,,1.0499696074487e-13,7.9232033279459e-14,5.2321842467977e-15,2.0178047984471e-14,,,2.4359340008677e-05,4.2624885630647e-06,2.5183621630819e-06,1.2615809024224e-05,0.0,,2.3706998687291e-05,2.9737750699725e-06,2.3815900138259e-06,1.2807357837651e-05,0.0,,8.7847538151436e-14,5.9067024343701e-14,5.4758119347969e-15,1.9421444795441e-14,,,1.0499696074487e-13,7.9232033279459e-14,5.2321842467977e-15,2.0178047984471e-14,,,85.75068,TRUE,7.628,6.58,0.37102,-0.44222,-0.66708,0,1,34732.16,0,
2.645378,149.539564,36.453165,G16402203550993,G8,LM-STAR,,LAMOST-DR8-AFGK,149.540119547,36.45374835,J095809.6+362713,149.5401195,36.4537483,4.627,4.627,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0802063915212e-06,0.0,1.6979269889353e-06,6.5085550383764e-06,0.0002545062352138,,7.8704972809955e-06,0.0,2.0320441217105e-06,6.2097043244307e-06,0.0,,1.5180379073735e-14,0.0,4.4280652366387e-15,6.7220718020104e-15,0.0,,9.7170478321802e-15,0.0,5.3607860915375e-15,7.0882491212649e-15,0.0,,8.0802063915212e-06,0.0,1.6979269889353e-06,6.5085550383764e-06,0.0002545062352138,,7.8704972809955e-06,0.0,2.0320441217105e-06,6.2097043244307e-06,0.0,,1.5180379073735e-14,0.0,4.4280652366387e-15,6.7220718020104e-15,0.0,,9.7170478321802e-15,0.0,5.3607860915375e-15,7.0882491212649e-15,0.0,,13.36048,MARGINAL,2.474,1.37,-0.99938,-0.99938,-0.64834,0,1,4900.027,0,
0.522055,109.56282,37.813691,G16281921058806,K5,LM-STAR,,LAMOST-DR8-AFGK,109.56291878,37.813813228,J071815.1+374849,109.5629188,37.8138132,1.116,1.006,55.87,0,0,0,1,0,0,0,0,0,0,0,1,1,2.2955298541966e-06,0.0,1.9026734412085e-07,2.2337629646074e-06,7.9957117202755e-06,,2.4647762860816e-06,0.0,2.2131856961951e-07,2.3127996520876e-06,8.9559332025327e-06,,3.2774175936045e-15,0.0,4.0590098516507e-16,3.4429048436237e-15,,,4.0018415407419e-15,0.0,4.9669801297896e-16,3.8706366026745e-15,0.0,,3.0308800142984e-06,8.8291907005747e-08,3.620782986208e-07,2.8839548768144e-06,8.8047015044371e-06,,3.3544795762872e-06,1.1324713389137e-07,3.8838985029156e-07,3.0952882321729e-06,1.1074650076198e-05,,4.7788934486822e-15,0.0,7.764055290341e-16,4.6016945147027e-15,0.0,,6.4786407155181e-15,0.0,8.8314642614569e-16,5.9706487741868e-15,2.3126887061826e-15,,104.4888,TRUE,6.82,6.31,-0.79076,-0.99938,-0.84822,0,3,223554.088,0,
1.469088,109.07971,37.74707,G16281938533689,K4,LM-STAR,,LAMOST-DR8-AFGK,109.079209866,37.746969325,J071619.0+374449,109.0792099,37.7469693,4.42,3.304,108.2,1,0,0,0,0,0,0,0,0,0,0,0,1,1.2830777051915e-05,2.5480811310433e-06,2.1170404554099e-06,5.578326289738e-06,4.9713305908057e-05,,7.9048342489891e-06,6.2597060248364e-07,1.5228512222863e-06,4.1723970515596e-06,0.0,,4.9974611507829e-14,3.8134010695327e-14,3.8526648532576e-15,1.0036770282929e-14,,,1.3695493822756e-14,0.0,3.1832907383092e-15,7.5873990464574e-15,0.0,,1.2830777051915e-05,2.5480811310433e-06,2.1170404554099e-06,5.578326289738e-06,4.9713305908057e-05,,7.9048342489891e-06,6.2597060248364e-07,1.5228512222863e-06,4.1723970515596e-06,0.0,,4.9974611507829e-14,3.8134010695327e-14,3.8526648532576e-15,1.0036770282929e-14,,,1.3695493822756e-14,0.0,3.1832907383092e-15,7.5873990464574e-15,0.0,,35.61296,TRUE,4.8,6.36,0.16615,-0.35228,-0.47096,0,1,19871.428,0,
