name,ra,dec,PU_X,significance,F_s,e_Fcsc_s,F_m,e_Fcsc_m,F_h,e_Fcsc_h,flux_aper90_ave_b,e_flux_aper90_ave_b,P_intra,P_inter,CSC_flags,EDR3Name_gaia,RA_pmcor_gaia,DEC_pmcor_gaia,G,e_Gmag,BP,e_BPmag,RP,e_RPmag,Plx_gaia,e_Plx_gaia,PM_gaia,rgeo,b_rgeo,B_rgeo,rpgeo,b_rpgeo,B_rpgeo,cp_flag_gaia,_2MASS_2mass,J,e_Jmag,H,e_Hmag,K,e_Kmag,cp_flag_2mass,Name_catwise,W1mag_catwise,e_W1mag_catwise,W2mag_catwise,e_W2mag_catwise,cp_flag_catwise,objID_unwise,W1mag_unwise,e_W1mag_unwise,W2mag_unwise,e_W2mag_unwise,cp_flag_unwise,AllWISE_allwise,W1mag_allwise,e_W1mag_allwise,W2mag_allwise,e_W2mag_allwise,W3,e_W3mag,W4mag,e_W4mag,cp_flag_allwise,Class,cp_flag_wise12,which_wise12,W1,e_W1mag,W2,e_W2mag
2CXO J013131.4+061855,22.881125,6.315336111111111,0.81,13.59,9.640914233716645e-14,8.531937744403534e-15,2.4018507705407312e-14,3.520927534203398e-15,1.2066911936285708e-14,4.631716852275306e-15,1.3249456197885946e-13,1.0326843340302027e-14,0.572,,,Gaia EDR3 2565257556423504768,,,12.649343,0.003156,13.167674,0.006375,11.977865,0.005732,4.7986,0.0247,43.63,207.374573,206.301773,208.411804,207.455734,206.539108,208.588211,0,01313145+0618555,11.089,0.021,10.625,0.022,10.496,0.019,0,J013131.43+061855.0,10.478,0.012,10.49,0.009,0,0227p060o0013940,10.461864086346829,-0.0006941868225657,10.47661620030723,-0.0015454270307514,0,J013131.44+061855.1,10.453,0.023,10.492,0.02,10.332,0.079,8.751,,0,LM-STAR,0.0,allwise,10.453,0.023,10.492,0.02
2CXO J034639.3+240146,56.66412499999999,24.02963611111111,0.72,15.85,6.142255001419125e-14,4.7308101318260434e-15,1.2132021154391972e-14,1.7450032487141e-15,9.864732123953952e-15,3.148943784704788e-15,8.341930329253718e-14,5.944867349288932e-15,0.801,,,Gaia EDR3 65223618172733952,,,11.957084,0.002855,12.480111,0.004098,11.278872,0.004265,7.3168,0.0142,50.474,136.042603,135.783951,136.396347,136.10878,135.736008,136.366699,0,03463938+2401468,10.454,0.02,9.986,0.017,9.859,0.02,0,J034639.40+240146.2,9.8,0.013,9.845,0.009,0,0561p242o0008536,9.808410685194524,-0.0005062932431846,9.841953931887163,-0.0011042007773793,0,J034639.40+240146.4,9.83,0.022,9.872,0.02,9.757,0.062,8.468,,0,LM-STAR,0.0,allwise,9.83,0.022,9.872,0.02
2CXO J052438.9+015406,81.16212499999999,1.901780555555556,0.71,14.88,8.18e-14,6.559999999999999e-15,2.5232021154391968e-14,3.865001466755575e-15,1.2411223269831168e-14,4.965501381432448e-15,1.1944324442422313e-13,9.089996716557732e-15,0.012,,,Gaia EDR3 3222286127060186368,,,10.91089,0.002785,11.194407,0.003021,10.459958,0.0039,2.9303,0.0182,1.822,337.390533,335.326202,339.501007,337.536438,335.425018,339.53064,0,05243890+0154065,10.044,0.024,9.735,0.024,9.663,0.023,0,J052438.90+015406.5,9.651,0.014,9.653,0.01,0,0816p015o0025184,9.63705791960251,-0.0004598113889715,9.643211606238944,-0.0009795535063021,0,J052438.90+015406.5,9.631,0.023,9.65,0.019,9.646,0.044,8.82,,0,LM-STAR,0.0,allwise,9.631,0.023,9.65,0.019
2CXO J052545.9+014549,81.44133333333333,1.7638888888888888,0.72,5.2,1.0059251317300126e-14,1.6223496960162805e-15,1.0049129998150404e-14,1.712574501449933e-15,7.638366900590361e-15,2.6602648897732134e-15,2.774674821604089e-14,3.5555504838126956e-15,0.453,0.998,conf,Gaia EDR3 3222267297922229248,,,14.428083,0.035078,15.097191,0.099961,13.298647,0.106347,2.7465,0.1042,1.143,362.15683,351.470123,376.107391,369.88681,359.869385,381.770782,0,05254589+0145500,11.458,0.03,10.755,0.032,10.35,0.023,0,J052545.89+014550.0,9.909,0.013,9.5,0.009,0,0816p015o0022240,9.899946385893852,-0.0005212428210833,9.48937246383776,-0.0009017758812621,0,J052545.89+014550.0,9.858,0.024,9.477,0.019,6.741,0.016,5.08,0.031,0,LM-STAR,0.0,allwise,9.858,0.024,9.477,0.019
2CXO J052646.5+014055,81.69395833333333,1.6819583333333332,0.73,13.53,7.472084617567885e-14,6.611372084251584e-15,1.7722444242231398e-14,3.225775111200189e-15,1.712202115439197e-14,5.9950009456231745e-15,1.0956531157230225e-13,9.489778830008762e-15,0.929,,,Gaia EDR3 3222238676262149120,,,11.528343,0.003404,11.709187,0.003223,10.69531,0.003961,2.6103,0.2382,1.11,387.545532,357.920746,430.785675,387.038879,365.644562,422.119904,0,05264654+0140552,9.984,0.024,9.572,0.026,9.474,0.023,0,J052646.55+014055.0,9.44,0.013,9.455,0.01,0,0816p015o0020377,9.428469760022288,-0.0004149886424744,9.447837629631504,-0.0008854136385513,0,J052646.55+014055.1,9.421,0.023,9.453,0.02,9.415,0.037,9.013,0.487,0,LM-STAR,0.0,allwise,9.421,0.023,9.453,0.02
2CXO J081923.9+211732,124.84991666666664,21.29231111111111,0.85,3.82,2.966e-15,9.549999999999995e-16,9.20760634631759e-16,4.721500108061213e-16,7.978845608028655e-18,6.028102749890869e-18,3.894739480239788e-15,1.065357672674761e-15,,,,Gaia EDR3 676180517005506304,,,11.963631,0.002798,12.293436,0.003176,11.460703,0.003911,3.9817,0.0145,91.528,248.736725,247.852158,249.771225,248.791962,247.974808,249.58284,0,08192402+2117329,10.883,0.022,10.563,0.022,10.467,0.019,0,J081923.94+211731.9,10.442,0.013,10.449,0.009,0,1243p212o0013810,10.43402633722576,-0.0006861874918218,10.437906992411577,-0.0015041368837657,0,J081923.96+211732.2,10.407,0.022,10.438,0.021,10.383,0.088,8.882,,0,LM-STAR,0.0,allwise,10.407,0.022,10.438,0.021
2CXO J082400.2+280553,126.00091666666668,28.09821111111111,0.73,6.82,2.269e-14,3.97e-15,4.913807313041321e-15,1.713317805810172e-15,5.051202115439198e-15,3.0615000185171045e-15,3.265500942848052e-14,5.29803173519057e-15,0.449,,,Gaia EDR3 707349403909051136,,,11.211842,0.002791,11.537581,0.002993,10.721274,0.003825,1.0005,0.0176,2.034,963.372314,949.512939,981.246094,961.69519,946.168274,976.195374,0,08240021+2805536,10.182,0.023,9.887,0.028,9.805,0.022,0,J082400.21+280553.6,9.787,0.014,9.795,0.008,0,1251p287o0001654,9.78188177925786,-0.0004954362276211,9.793829757721012,-0.0010644653932509,2,J082400.21+280553.6,9.766,0.024,9.801,0.021,9.698,0.049,8.51,,0,LM-STAR,0.0,allwise,9.766,0.024,9.801,0.021
2CXO J085118.6+114702,132.82791666666665,11.784055555555556,0.72,14.62,2.1966275007095623e-14,2.0854594519786267e-15,8.031797884560804e-15,1.0445000542748801e-15,1.1232393653682407e-14,2.278500223924073e-15,4.1230466545338833e-14,3.260626436691157e-15,0.99,,,Gaia EDR3 604917491916095872,,,12.357132,0.002864,12.771552,0.00382,11.773716,0.004462,1.2086,0.0151,11.147,810.5177,802.717773,819.888306,812.186707,800.893555,823.931519,0,08511868+1147026,11.017,0.021,10.619,0.02,10.529,0.018,0,J085118.68+114702.6,10.469,0.013,10.497,0.009,0,1328p121o0007456,10.469377166898116,-0.0007017104595132,10.49088024008642,-0.0015481318875582,0,J085118.68+114702.6,10.462,0.022,10.498,0.021,10.507,0.105,8.432,,0,LM-STAR,0.0,allwise,10.462,0.022,10.498,0.021
2CXO J085123.7+114949,132.8490833333333,11.830372222222222,0.71,14.55,2.351e-14,2.080000000000001e-15,7.540202115439198e-15,1.0455000542229674e-15,5.401202115439197e-15,1.556500036421531e-15,3.6451404230878393e-14,2.800386174576724e-15,0.624,,,Gaia EDR3 604917728138508160,,,11.241152,0.003005,11.687434,0.004097,10.627985,0.004347,1.1074,0.0434,11.521,875.252991,845.260559,908.693909,868.750977,840.600525,906.898499,0,08512377+1149493,9.897,0.022,9.482,0.02,9.367,0.018,0,J085123.76+114949.2,9.149,0.009,9.308,0.008,0,1328p121o0008200,9.333424505692356,-0.0004010541687411,9.368437949279333,-0.0008605386026774,0,J085123.76+114949.2,9.321,0.021,9.379,0.018,9.316,0.038,8.317,,0,LM-STAR,0.0,allwise,9.321,0.021,9.379,0.018
2CXO J090642.1+045039,136.6757083333333,4.844258333333333,0.75,5.15,6.7165734660141655e-15,1.512252085021079e-15,6.74442193912396e-16,5.37891105460535e-16,1.2782110664061904e-15,9.657020605325173e-16,8.669226726332751e-15,1.8731827672976565e-15,0.151,,,Gaia EDR3 580071514129453056,,,10.39124,0.002775,10.740893,0.002952,9.872772,0.003803,2.9792,0.0184,45.101,332.144043,330.355896,333.942139,332.296631,330.018005,334.21991,0,09064213+0450395,9.302,0.024,8.971,0.023,8.885,0.023,0,J090642.16+045039.0,8.876,0.014,8.899,0.008,0,1367p045o0018367,8.877213433001845,-0.0003193900154845,8.895517970379933,-0.0006756689277813,0,J090642.15+045039.1,8.863,0.023,8.894,0.02,8.826,0.029,8.54,,0,LM-STAR,0.0,allwise,8.863,0.023,8.894,0.02
