name,ra,dec,PU_X,significance,F_s,e_Fcsc_s,F_m,e_Fcsc_m,F_h,e_Fcsc_h,flux_aper90_ave_b,e_flux_aper90_ave_b,P_intra,P_inter,CSC_flags,EDR3Name_gaia,RA_pmcor_gaia,DEC_pmcor_gaia,G,e_Gmag,BP,e_BPmag,RP,e_RPmag,Plx_gaia,e_Plx_gaia,PM_gaia,rgeo,b_rgeo,B_rgeo,rpgeo,b_rpgeo,B_rpgeo,cp_flag_gaia,_2MASS_2mass,J,e_Jmag,H,e_Hmag,K,e_Kmag,cp_flag_2mass,Name_catwise,W1mag_catwise,e_W1mag_catwise,W2mag_catwise,e_W2mag_catwise,cp_flag_catwise,objID_unwise,W1mag_unwise,e_W1mag_unwise,W2mag_unwise,e_W2mag_unwise,cp_flag_unwise,AllWISE_allwise,W1mag_allwise,e_W1mag_allwise,W2mag_allwise,e_W2mag_allwise,W3,e_W3mag,W4mag,e_W4mag,cp_flag_allwise,Class,cp_flag_wise12,which_wise12,W1,e_W1mag,W2,e_W2mag
2CXO J015738.9+374612,29.41225,37.77014444444444,0.76,3.2,3.679573466014165e-16,1.5402475024003775e-16,1.4527978845608027e-16,9.145000619902807e-17,2.556844333227269e-16,2.2460867265272003e-16,7.689215683802236e-16,2.8729041604467943e-16,0.119,,,Gaia EDR3 342869236401143808,,,8.771644,0.002764,9.270936,0.002898,8.111134,0.003806,2.3317,0.0425,15.382,421.509491,413.401367,429.17157,425.398499,419.808685,431.107635,0,01573895+3746123,7.263,0.02,6.813,0.024,6.669,0.031,0,J015738.95+374612.2,6.519,0.017,6.707,0.009,0,0303p378o0012937,6.821284074303318,-0.0005024212793236,6.665506458014448,-0.00104358427627,0,J015738.95+374612.2,6.621,0.064,6.674,0.02,6.648,0.016,6.74,0.056,0,LM-STAR,0.0,allwise,6.621,0.064,6.674,0.02
2CXO J055202.2+323043,88.009375,32.512191666666666,0.9,7.04,8.187357387520061e-16,1.552542348115792e-16,2.620285126608084e-16,6.877811327565889e-17,3.6934299368682334e-16,1.297215041333414e-16,1.4501072450996382e-15,2.136866278626364e-16,0.942,0.465,,Gaia EDR3 3451181250844508160,,,9.821565,0.00278,10.575915,0.002904,8.976956,0.003818,0.6921,0.0157,5.616,1369.30774,1336.74731,1402.46082,1368.82861,1345.53772,1393.19531,0,05520227+3230439,7.766,0.029,7.121,0.042,6.916,0.018,0,J055202.27+323044.0,6.8,0.019,6.918,0.008,0,0882p318o0045782,6.983869407679462,-0.0005752227296575,6.8605289695130125,-0.0011889860072908,0,J055202.27+323044.0,6.84,0.064,6.907,0.02,6.823,0.016,6.648,0.077,0,LM-STAR,0.0,allwise,6.84,0.064,6.907,0.02
2CXO J091432.7+561238,138.63649999999998,56.21058055555556,0.71,7.42,9.676404230878394e-15,1.3730001651569133e-15,6.688635780474609e-16,4.0505939568586494e-16,7.756235815564659e-16,5.859918683168914e-16,1.112089139048232e-14,1.5467996112256529e-15,0.655,,,Gaia EDR3 1024450344065737216,,,9.334363,0.00278,9.876641,0.00295,8.645358,0.003827,1.7756,0.0268,6.274,556.248169,547.033813,564.417664,554.596252,544.576355,563.650635,0,09143277+5612380,7.757,0.019,7.254,0.027,7.1,0.02,0,J091432.78+561238.1,7.192,0.015,7.135,0.008,0,1386p560o0017081,7.207056922178694,-0.0005497907211418,7.086591214358652,-0.0012270981569576,0,J091432.78+561238.1,6.987,0.05,7.123,0.019,7.05,0.017,7.071,0.093,0,LM-STAR,0.0,allwise,6.987,0.05,7.123,0.019
2CXO J115948.0-781144,179.95029166666663,-78.1958,0.77,3.47,8.058852473840179e-15,3.4717220599877344e-15,3.057122407740924e-15,1.656910065376622e-15,7.978845608028655e-18,6.028102749890869e-18,1.1123953727189131e-14,3.846848237788255e-15,,,,Gaia EDR3 5224176293604836992,,,8.482299,0.002768,9.180089,0.002913,7.671343,0.003817,3.4417,0.0295,23.519,289.478455,286.889008,292.003693,290.018707,287.916901,291.929047,0,11594807-7811450,6.594,0.026,5.979,0.036,5.849,0.016,0,J115948.02-781145.1,7.139,0.029,5.808,0.011,0,1800m788o0040878,5.927559751834172,-0.0003797938583753,5.71162210737619,-0.0009392886665275,0,J115947.88-781144.9,6.009,0.047,5.695,0.026,5.685,0.014,5.188,0.025,0,LM-STAR,0.0,allwise,6.009,0.047,5.695,0.026
2CXO J120636.1+281659,181.65083333333328,28.28329722222222,0.98,7.2,1.2029382798792346e-14,1.93411886888998e-15,1.235410503405355e-15,4.475956907835648e-16,5.27401694690694e-16,3.9845759176778647e-16,1.3792194996888396e-14,2.0248274380405005e-15,0.865,,,,,,,,,,,,,,,,,,,,,-4,12063624+2816598,9.502,0.022,9.042,0.022,8.909,0.018,0,J120636.13+281659.9,8.881,0.012,8.935,0.008,0,1817p287o0005042,8.892233468764713,-0.000319639670151,8.931026077203331,-0.0006805016368196,0,J120636.16+281659.8,8.866,0.022,8.917,0.02,8.825,0.029,8.521,0.338,0,LM-STAR,0.0,allwise,8.866,0.022,8.917,0.02
2CXO J123624.9+622116,189.10391666666663,62.3545,0.95,10.78,1.0032290692712869e-15,1.0172550033481679e-16,9.096755010090815e-17,2.565397550660696e-17,3.430844771632504e-16,1.0506493518071492e-16,1.4372810965354457e-15,1.4847506350290014e-16,0.822,0.607,,Gaia EDR3 1583593169755958912,,,12.73578,0.002804,13.212212,0.003274,12.103206,0.003986,1.1081,0.0164,6.476,892.712219,880.367737,906.060913,890.541321,878.497742,902.883179,0,12362501+6221157,11.344,0.018,10.865,0.018,10.77,0.016,0,J123625.03+622115.9,10.759,0.011,10.824,0.008,0,1894p620o0020601,10.758193663471143,-0.0007794630325286,10.820016603557375,-0.0017292200504678,0,J123625.01+622115.8,10.742,0.022,10.81,0.02,10.68,0.074,9.072,,0,LM-STAR,0.0,allwise,10.742,0.022,10.81,0.02
2CXO J132958.6-313240,202.4942916666666,-31.544647222222224,0.71,32.66,3.55641480807438e-13,1.305212842074196e-14,1.328e-13,6.9999999999999954e-15,1.512e-13,1.3899999999999996e-14,6.39641480807438e-13,2.0311771373061972e-14,0.88,,,Gaia EDR3 6169507146730091136,,,9.152927,0.003478,9.721058,0.007,8.438513,0.00599,3.6361,0.0222,22.575,272.60968,271.228973,274.087341,273.020599,271.392609,275.024231,0,13295863-3132405,7.561,0.018,6.977,0.026,6.872,0.026,0,J132958.61-313240.7,7.091,0.019,6.861,0.009,0,2029m319o0020592,6.977183361341666,-0.000548692000538,6.807786214611511,-0.0011636983177787,0,J132958.61-313240.7,6.798,0.062,6.857,0.02,6.805,0.016,6.742,0.07,0,LM-STAR,0.0,allwise,6.798,0.062,6.857,0.02
2CXO J133143.3+111132,202.93066666666667,11.192338888888887,0.78,8.74,1.319e-14,1.86e-15,2.6242021154391975e-15,7.335000772871313e-16,8.273808461756789e-16,8.275000109612305e-16,1.6641582961614875e-14,2.163880456846233e-15,0.219,,,Gaia EDR3 3738445813405001344,,,9.662946,0.002762,10.172334,0.002868,8.997608,0.003807,1.663,0.0557,23.816,593.308289,572.558594,616.890747,595.038696,577.520508,617.38562,0,13314336+1111323,8.195,0.02,7.748,0.069,7.561,0.021,0,J133143.33+111132.3,7.56,0.014,7.596,0.009,0,2030p106o0021347,7.653572703988006,-0.0006171012716895,7.552974373188482,-0.0014236256902297,0,J133143.33+111132.3,7.433,0.031,7.586,0.019,7.497,0.018,7.409,0.126,0,LM-STAR,0.0,allwise,7.433,0.031,7.586,0.019
2CXO J135803.4-395750,209.51425,-39.964025,0.8,5.78,1.1879891930609204e-14,2.329463503267444e-15,1.2444676940543085e-15,5.7010183419551955e-16,7.978845608028655e-18,6.028102749890869e-18,1.3132338470271542e-14,2.398218641498496e-15,,,,Gaia EDR3 6114206526518543744,,,8.887932,0.002768,9.394419,0.002956,8.222126,0.003803,2.4603,0.0149,18.381,401.803741,399.628845,404.00589,402.212494,400.098816,404.286621,0,13580345-3957503,7.389,0.021,6.967,0.049,6.776,0.023,0,J135803.42-395750.7,6.813,0.016,6.802,0.009,0,2090m394o0004951,6.917899627637311,-0.0005315141232781,6.7380247616345486,-0.001131963690707,0,J135803.43-395750.7,6.733,0.037,6.781,0.02,6.761,0.017,7.203,0.106,0,LM-STAR,0.0,allwise,6.733,0.037,6.781,0.02
2CXO J140643.3+341123,211.680625,34.189775,0.8,3.52,2.469535285087113e-16,7.827886037653302e-17,6.51404782712503e-17,6.204850125077584e-17,1.9460404437981886e-16,1.470254260698383e-16,5.066980511597804e-16,1.7774721488769876e-16,,,,Gaia EDR3 1481883293306454144,,,11.781563,0.003014,12.217257,0.002825,11.141269,0.00379,5.7079,0.6253,6.391,178.787506,157.800201,197.050552,171.749405,156.483704,186.18927,0,14064336+3411235,10.384,0.021,9.922,0.023,9.853,0.018,0,J140643.37+341123.3,9.809,0.012,9.846,0.008,0,2119p348o0002348,9.806129438389911,-0.0004934443621204,9.83684230629168,-0.0010566780397601,0,J140643.36+341123.2,9.789,0.023,9.834,0.02,9.749,0.035,9.003,,0,LM-STAR,0.0,allwise,9.789,0.023,9.834,0.02
