name,ra,dec,PU_X,significance,F_s,e_Fcsc_s,F_m,e_Fcsc_m,F_h,e_Fcsc_h,flux_aper90_ave_b,e_flux_aper90_ave_b,P_intra,P_inter,CSC_flags,EDR3Name_gaia,RA_pmcor_gaia,DEC_pmcor_gaia,G,e_Gmag,BP,e_BPmag,RP,e_RPmag,Plx_gaia,e_Plx_gaia,PM_gaia,rgeo,b_rgeo,B_rgeo,rpgeo,b_rpgeo,B_rpgeo,cp_flag_gaia,_2MASS_2mass,J,e_Jmag,H,e_Hmag,K,e_Kmag,cp_flag_2mass,Name_catwise,W1mag_catwise,e_W1mag_catwise,W2mag_catwise,e_W2mag_catwise,cp_flag_catwise,objID_unwise,W1mag_unwise,e_W1mag_unwise,W2mag_unwise,e_W2mag_unwise,cp_flag_unwise,AllWISE_allwise,W1mag_allwise,e_W1mag_allwise,W2mag_allwise,e_W2mag_allwise,W3,e_W3mag,W4mag,e_W4mag,cp_flag_allwise,Class,cp_flag_wise12,which_wise12,W1,e_W1mag,W2,e_W2mag
2CXO J004142.9-091915,10.428833333333332,-9.320969444444444,0.97,2.0,4.199228997672603e-16,1.6088298101122802e-16,3.4825800639225157e-16,1.351086937885233e-16,1.154987615784392e-15,5.1454069839112395e-16,1.923168521943904e-15,5.557785737297955e-16,0.145,0.281,,,,,,,,,,,,,,,,,,,,-8,00414291-0919148,9.771,0.023,9.167,0.025,8.959,0.024,0,,,,,,-8,,,,,,-8,,,,,,,,,,-4,LM-STAR,,,,,,
2CXO J005759.9-272126,14.49970833333333,-27.35728611111111,0.74,11.21,5.1039999999999996e-14,5.490000000000001e-15,1.376233847027154e-14,3.0404773529542014e-15,9.241305589968116e-15,4.718186372111914e-15,7.404364406023967e-14,7.851489360357688e-15,1.0,,,Gaia EDR3 5034263525649950592,,,13.922382,0.002848,15.154272,0.005142,12.804866,0.004035,9.926,0.0643,18.582,100.288948,99.7333984,101.072311,100.21833,99.6676865,101.130783,0,00575992-2721259,11.323,0.026,10.687,0.026,10.462,0.023,0,J005759.94-272126.0,10.355,0.013,10.233,0.009,0,0152m273o0010316,10.355008627208829,-0.0006495375853115,10.22861514481568,-0.0013150438016262,0,J005759.93-272126.0,10.332,0.023,10.225,0.02,10.068,0.051,8.602,,0,LM-STAR,0.0,allwise,10.332,0.023,10.225,0.02
2CXO J030116.1-003150,45.31725,-0.5307111111111111,0.94,2.67,5.789999999999999e-16,2.4999999999999997e-16,7.978845608028655e-18,6.028102749890869e-18,3.998997418743961e-16,3.0212850982453043e-16,9.868785874824248e-16,3.9219634683606445e-16,,,,Gaia EDR3 5188068812780173312,,,18.59857,0.003724,20.183683,0.105363,17.219927,0.012994,4.9553,0.2612,6.452,203.128525,193.885406,212.683075,206.679382,194.459183,218.231339,0,03011617-0031503,15.316,0.053,14.757,0.067,14.476,0.088,0,J030116.16-003150.4,14.284,0.015,14.096,0.017,0,0453p000o0003740,14.26885530874278,-0.005767956221111,14.057607859693674,-0.0155811994069487,0,J030116.16-003150.5,14.297,0.027,14.066,0.041,12.322,,9.226,,0,LM-STAR,0.0,allwise,14.297,0.027,14.066,0.041
2CXO J031445.1-340819,48.68829166666666,-34.13882777777778,0.94,4.19,9.339595769121606e-15,2.411000094052448e-15,1.4231163491558425e-15,9.506804011804326e-16,7.978845608028655e-18,6.028102749890869e-18,1.0770690963885476e-14,2.5916695423476085e-15,,,,Gaia EDR3 5048173619052149248,,,13.197775,0.00279,14.473215,0.003918,12.071177,0.003951,17.3146,0.0929,99.235,57.6387596,57.3204308,57.9234123,57.7512779,57.3400192,58.0664482,0,03144513-3408202,10.575,0.022,9.999,0.025,9.714,0.023,0,J031445.23-340819.4,9.599,0.012,9.477,0.009,0,0493m349o0024208,9.602811508864912,-0.0004502509642775,9.469915173657744,-0.0008862396402405,0,J031445.20-340819.6,9.579,0.023,9.459,0.021,9.302,0.029,8.958,0.34,0,LM-STAR,0.0,allwise,9.579,0.023,9.459,0.021
2CXO J033225.1-274219,53.10479166666666,-27.705294444444444,0.72,39.24,6.365787995170434e-16,4.002758859864453e-17,7.78370394493391e-16,3.352896053367034e-17,1.414604418305002e-15,1.0032423517011348e-16,2.829553612315437e-15,1.1309885590030958e-16,0.996,1.0,extent,,,,,,,,,,,,,,,,,,,-8,,,,,,,,-8,J033225.15-274219.3,17.031,0.049,15.862,0.054,0,0523m273o0005320,17.002453981224953,-0.0446519781980947,15.880698981799735,-0.0632985415313397,0,J033225.14-274219.5,17.05,0.082,15.856,0.102,13.217,0.536,9.297,,0,LM-STAR,0.0,allwise,17.05,0.082,15.856,0.102
2CXO J034659.3+240142,56.74716666666666,24.02857222222222,0.79,7.44,1.571e-14,2.4499999999999988e-15,2.2760951947638708e-15,7.936446591270908e-16,2.3184138891020044e-15,1.6033389230157408e-15,2.0304509083865874e-14,3.0336558056276304e-15,0.549,,,Gaia EDR3 65213172812266240,,,16.13903,0.003027,17.94389,0.015969,14.856176,0.005126,7.1078,0.0647,47.936,139.664032,138.418472,140.947906,139.042236,137.512756,140.593582,0,03465931+2401429,12.988,0.026,12.419,0.03,12.118,0.022,0,J034659.33+240142.3,11.93,0.013,11.745,0.01,0,0561p242o0008522,11.941812507323077,-0.001541667206468,11.735533333539747,-0.0033002332547929,0,J034659.32+240142.5,11.93,0.022,11.736,0.024,11.828,,8.986,,0,LM-STAR,0.0,allwise,11.93,0.022,11.736,0.024
2CXO J042208.2+191521,65.53429166666666,19.25608888888889,0.71,43.35,2.964202115439197e-13,8.150069558125026e-15,8.959467694054308e-14,4.551275660219839e-15,9.357191538243213e-14,8.340010875794119e-15,4.795868038668949e-13,1.2517728441931864e-14,1.0,,,,,,,,,,,,,,,,,,,,,-8,04220827+1915218,9.209,0.029,8.599,0.034,8.336,0.015,0,,,,,,-8,,,,,,-8,,,,,,,,,,-4,LM-STAR,,,,,,
2CXO J043020.9+351504,67.58716666666666,35.25123888888889,0.83,3.09,1.2142021154391972e-15,5.605001011420316e-16,4.453202115439198e-16,3.384500016749922e-16,5.442370589236345e-16,4.111768885700562e-16,2.203759385906752e-15,7.731592337340239e-16,0.92,,,Gaia EDR3 173366698502129152,,,20.11266,0.007152,20.948534,0.24483,18.713142,0.054746,3.3242,0.7311,21.048,362.894623,280.694519,490.4776,1488.42847,1061.44653,1824.37585,0,04302091+3515047,16.38,0.103,15.701,0.118,14.986,0.124,0,,,,,,-8,,,,,,-8,,,,,,,,,,-8,LM-STAR,,,,,,
2CXO J053547.2-062910,83.94670833333332,-6.486158333333333,0.87,24.39,1.8882021154391972e-14,2.565002210139937e-15,3.946e-15,9.71e-16,3.1632009667237278e-15,1.7627902616461158e-15,2.599122212111569e-14,3.2602924477072826e-15,0.997,,,Gaia EDR3 3016949994110865536,,,15.348111,0.003043,,,,,16.8522,0.1317,19.417,59.0797157,58.5135269,59.4799423,,,,0,,,,,,,,-4,,,,,,-4,,,,,,-4,,,,,,,,,,-4,LM-STAR,,,,,,
2CXO J054120.6-015858,85.33608333333332,-1.9829722222222224,0.78,19.73,3.629e-14,2.53e-15,1.3212126926351828e-14,1.210168653047779e-15,1.592202115439197e-14,2.5750022015568768e-15,6.54241480807438e-14,3.8073671358095006e-15,0.999,,,Gaia EDR3 3216630170526783744,,,15.360248,0.003422,16.51922,0.013428,14.24578,0.006991,2.4354,0.0399,1.354,403.839294,398.135651,409.340576,402.955566,397.604828,409.096313,0,05412068-0158582,12.691,0.027,11.929,0.022,11.739,0.023,0,,,,,,-8,,,,,,-4,,,,,,,,,,-4,LM-STAR,,,,,,
