name,ra,dec,Fcsc_s,e_Fcsc_s,Fcsc_m,e_Fcsc_m,Fcsc_h,powlaw_gamma_mean,e_powlaw_gamma_mean,e_Fcsc_h,var_intra_prob,var_inter_prob,Class
2CXO J000150.5+233015,0.4605416666666666,23.50433888888889,2.271e-15,6.439999999999999e-16,1.335e-16,1.335e-16,7.978845608028655e-18,,,6.028102749890869e-18,,,LM-STAR
2CXO J000701.5+730308,1.7565416666666664,73.05225833333333,6.5397978845608016e-15,7.795000727262489e-16,5.3890000000000006e-15,8.089999999999999e-16,2.4887978845608028e-14,,,3.525001608229812e-15,0.732,,NS
2CXO J001826.4+300400,4.610041666666666,30.066713888888888,1.0962819038952774e-15,7.074500649077534e-16,3.585718096104722e-16,3.0965500148290812e-16,1.3141595769121609e-15,,,1.1349000019980657e-15,0.838,,LM-STAR
2CXO J005240.0+562837,13.166791666666663,56.47700277777778,6.646381863068826e-15,8.588078830562636e-16,1.0077371891836617e-15,2.834520471184956e-16,1.801144610455788e-15,,,8.182475534130138e-16,0.934,0.12,LM-STAR
2CXO J010705.6+321056,16.77370833333333,32.18248611111111,3.128202115439197e-14,5.515001027925811e-15,6.775797884560803e-15,2.7425000206709624e-15,7.669114051724903e-15,,,5.039164339358409e-15,0.933,,LM-STAR
2CXO J011142.0+085149,17.925125,8.863755555555555,3.488e-15,1.308e-15,2.7623184645950392e-15,9.631845931044865e-16,7.978845608028655e-18,,,6.028102749890869e-18,,,LM-STAR
2CXO J012827.8+285814,22.116208333333333,28.97061944444444,6.096924810912631e-14,9.187148233115588e-15,1.1890372499290436e-14,2.7035035437850777e-15,5.404018856961033e-15,,,3.675604706499884e-15,1.0,,LM-STAR
2CXO J014357.4+021858,25.989541666666668,2.316172222222222,1.1747613083368252e-15,2.950194813439348e-16,1.7532331577978723e-16,1.3404217067557487e-16,3.45005284091159e-16,,,2.606551629052812e-16,0.197,,LM-STAR
2CXO J022333.7+400142,35.89066666666666,40.02859444444445,9.98058404321015e-15,1.6137659139239958e-15,3.349510002838251e-15,9.651588367390716e-16,4.587038340055673e-16,,,3.4655562709122614e-16,0.644,,LM-STAR
2CXO J022635.3+621937,36.64708333333333,62.32695,5.482e-16,4.3400000000000005e-16,4.966601172571083e-16,2.4497457152370533e-16,1.4147997334872232e-15,,,6.708243029913396e-16,0.337,,LM-STAR
2CXO J025404.8+413424,43.52012499999999,41.573350000000005,1.1518829430508158e-15,3.423262045719986e-16,2.800956522448265e-16,1.0942721723043344e-16,1.3827174336548989e-15,,,5.311439238829714e-16,,0.033,LM-STAR
2CXO J031702.7+421947,49.26158333333333,42.329994444444445,7.931678875876198e-16,2.5213717123394762e-16,3.296361692351357e-16,2.5054000144813896e-16,1.5095975890390212e-15,,,1.1405170402793524e-15,,,LM-STAR
2CXO J031720.6+422305,49.33604166666666,42.38478888888889,3.3150468195393935e-15,5.389480089846916e-16,6.648652626187775e-16,1.812969931731172e-16,7.260285398672768e-16,,,3.469752008512917e-16,0.846,0.488,LM-STAR
2CXO J031725.1+412303,49.35462499999999,41.384191666666666,2.8007516802728308e-15,4.476331181522651e-16,2.9552452236977686e-16,1.540311633480353e-16,1.001031458530363e-15,,,5.3497927555395e-16,0.976,0.29,LM-STAR
2CXO J033848.2+095337,54.70104166666666,9.893875,1.0121524660319784e-15,3.42365455127022e-16,2.648151301528994e-16,1.243791830806605e-16,2.4702506002456708e-15,,,1.866300611366213e-15,,,LM-STAR
2CXO J034310.6+010132,55.79416666666666,1.0257888888888889,6.169882502128688e-14,6.476331533563034e-15,2.494e-14,4.22e-15,2.5500000000000005e-14,4.090512300269189,0.5319746992952665,6.99e-15,0.178,,LM-STAR
2CXO J041442.5+053056,63.67737499999999,5.515627777777778,1.8582714639112503e-15,2.5983541313333677e-16,3.758363575909277e-16,1.1971171818602888e-16,3.518638307648642e-16,,,3.1666000114576115e-16,0.395,,LM-STAR
2CXO J041442.8+053316,63.67866666666666,5.554461111111111,1.138462160465338e-16,5.287711667561734e-17,7.978845608028655e-18,6.028102749890869e-18,3.3520938163053076e-16,,,3.0833578567703486e-16,,,LM-STAR
2CXO J043715.8-471508,69.31591666666667,-47.2524,4.449962846853082e-13,5.334965982355012e-15,1.7742351262623324e-13,4.105526139995948e-15,1.230903881986731e-13,3.187989422804014,0.0845167705588116,5.314477462669459e-15,0.901,1.0,NS
2CXO J043741.6+505646,69.42333333333333,50.946216666666665,3.1882021154391974e-13,2.235002536468977e-14,1.0970105771959857e-13,9.351515655598731e-15,1.2582021154391973e-13,3.676117497871312,0.2748139394685591,2.1050026931153235e-14,1.0,,LM-STAR
2CXO J043927.5+072447,69.86491666666666,7.413283333333334,2.464661118692043e-15,6.150075139790515e-16,3.3353201329979467e-16,1.9879231704647262e-16,7.397191538243211e-16,,,6.164000147151493e-16,0.442,,LM-STAR
2CXO J043931.3+072601,69.88079166666665,7.433638888888889,2.426295440141444e-15,6.092270548473318e-16,5.324464374067398e-16,2.419993456695512e-16,7.978845608028655e-18,,,6.028102749890869e-18,,,LM-STAR
2CXO J045400.8+024952,73.50370833333332,2.8313861111111107,6.187702333551946e-15,3.82062320189318e-16,9.257652652453205e-16,1.161695019965351e-16,5.154631202296002e-16,10.711713028236156,2.113451339737663,1.5890525316436154e-16,0.99,1.0,LM-STAR
2CXO J051600.7+245921,79.003,24.98935277777778,2.226924810912631e-15,1.107678169222626e-15,1.3326383076486425e-15,8.076000449252994e-16,2.129553892782848e-15,,,1.6089006239458732e-15,0.948,,LM-STAR
2CXO J053426.0+215542,83.60849999999999,21.92849166666667,1.2830211543919711e-14,1.7903166765341606e-15,2.792914233716645e-15,9.361765948493778e-16,2.9357755814533624e-15,,,1.959699294888928e-15,0.999,,LM-STAR
2CXO J053907.7+261737,84.78208333333333,26.29378888888889,6.449000000000001e-15,9.889999999999997e-16,3.585797884560803e-15,6.525000868813945e-16,8.961232698311686e-15,,,2.0163402244547807e-15,1.0,,LM-STAR
2CXO J053939.1-033344,84.91316666666667,-3.562261111111111,3.9483290417910254e-14,1.0307046802198095e-14,6.016797884560802e-14,1.2175000465627207e-14,3.792e-14,,,1.5350000000000002e-14,0.801,,LM-STAR
2CXO J055207.0+323120,88.02920833333333,32.52223055555555,3.0129543978712324e-16,9.166095976755926e-17,1.3127011217878855e-16,4.7015558789211406e-17,7.978845608028655e-18,,,6.028102749890869e-18,,,LM-STAR
2CXO J055209.4+323626,88.03920833333333,32.60734444444444,2.5929450046384336e-16,7.969389935736518e-17,1.2005023221271082e-16,4.3274455528959036e-17,3.9951539488822923e-16,,,1.3748833738515647e-16,0.055,0.589,LM-STAR
2CXO J061805.9+222540,94.52483333333332,22.42798888888889,1.0687178663616289e-15,2.930119974655229e-16,1.5445585191925621e-16,1.1766500236078322e-16,7.978845608028655e-18,,,6.028102749890869e-18,,,LM-STAR
2CXO J063344.1+063230,98.43391666666663,6.541780555555556,5.1440528859799285e-14,4.015882376791808e-15,7.715786158649351e-15,1.5232882250194104e-15,2.466e-14,3.408553460337663,0.1941413815500808,5.210000000000002e-15,0.28,,NS
2CXO J064525.9+211709,101.35824999999998,21.28597777777778,7.81271211827745e-14,8.176947688834871e-15,1.3547978845608027e-14,3.385001674744456e-15,8.973103474528918e-15,,,5.186619159878042e-15,0.865,,LM-STAR
2CXO J065053.5+412922,102.72333333333331,41.489716666666666,2.2660594446888287e-16,8.430787304589247e-17,6.63e-17,6.63e-17,1.2773616923513577e-15,,,1.055400034377177e-15,0.271,,LM-STAR
2CXO J065955.4+141808,104.981125,14.302430555555556,8.568869627501764e-15,3.825730365713015e-15,4.010264429899642e-15,2.5538468662111974e-15,7.978845608028655e-18,,,6.028102749890869e-18,,,LM-STAR
2CXO J072906.3+205536,112.27658333333332,20.92683611111111,3.5851903895277416e-16,1.8282511807308703e-16,7.978845608028655e-18,6.028102749890869e-18,7.978845608028655e-18,,,6.028102749890869e-18,,,LM-STAR
2CXO J072908.2+205609,112.28454166666666,20.936022222222224,1.1662126926351827e-14,1.0501943481182313e-15,2.934467694054308e-15,5.631031001096475e-16,1.9560846175678854e-15,6.6275357520921006,1.5526042112926417,7.211257923304449e-16,0.909,,LM-STAR
2CXO J074648.8+390201,116.70341666666664,39.03382777777777,2.298063463175914e-15,5.7308903514625825e-16,3.417275007095627e-16,2.282419796147717e-16,2.550398942280401e-15,,,1.758750008058296e-15,1.0,,LM-STAR
2CXO J091215.2+345644,138.0637083333333,34.94568333333333,7.648573466014164e-15,1.442264319967252e-15,7.852911936285707e-16,4.375758791301352e-16,1.6372591187674796e-15,,,1.2369666842776062e-15,0.922,,LM-STAR
