name_cat,ra_cat,dec_cat,e_Pos,Class,SubClass,ref,remove_code,sep,name,ra,dec,err_ellipse_r0,err_ellipse_r1,err_ellipse_ang,significance,flux_aper90_ave_b,flux_aper90_ave_h,flux_aper90_ave_m,flux_aper90_ave_s,e_flux_aper90_ave_b,e_flux_aper90_ave_h,e_flux_aper90_ave_m,e_flux_aper90_ave_s,flux_flag,ks_intra_prob_b,kp_intra_prob_b,var_inter_prob_b,kp_prob_b_max,var_inter_prob,dof,chisqr,EDR3Name_gaia,Plx_gaia,e_Plx_gaia,X_PU_gaia,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,PM_gaia,pmRA_gaia,e_pmRA_gaia,pmDE_gaia,e_pmDE_gaia,_r_gaia,X_PU_2mass,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag,_r_2mass,X_PU_catwise,W1mag_catwise,e_W1mag_catwise,W2mag_catwise,e_W2mag_catwise,pmRA_catwise,pmDE_catwise,_r_catwise,X_PU_unwise,e_FW1_unwise,e_FW2_unwise,_r_unwise,W1mag_allwise,W2mag_allwise,W3mag_allwise,W4mag_allwise,e_W1mag_allwise,e_W2mag_allwise,e_W3mag_allwise,X_PU_allwise,e_W4mag_allwise,_r_allwise,X_PU_gaiadist,rgeo,rpgeo,_r_gaiadist,b_rgeo,B_rgeo,b_rpgeo,B_rpgeo,Flag_gaiadist,main_id,main_type,_r_simbad,W1mag_unwise,W2mag_unwise,e_W1mag_unwise,e_W2mag_unwise,pm_gaia,W1mag_comb,e_W1mag_comb,W2mag_comb,e_W2mag_comb,CSC_flags
J1124-3653,171.00465,-36.88863888888889,0.045,NS_BIN,HE,2005AJ....129.1993M,0,0.175246,2CXO J112401.1-365319,171.0047083333333,-36.88864722222223,0.73,0.72,113.5,10.27,5.754787790726682e-14,3.3832867330070826e-14,9.505010577195984e-15,1.421e-14,7.172040107303552e-15,6.556453631061921e-15,1.6835008418488222e-15,2.370000000000001e-15,0,0.997,0.973,,0.973,,0.0,,,,,0.73,,,,,,,,,,,,,0.73,,,,,,,,0.73,,,,,,,,0.73,,,,,,,,,,,0.73,,,0.73,,,,,,,,,,,,,,,,,,,,,
J0023+0923,5.8203255875,9.389962555555556,0.0003,NS_BIN,HE,2005AJ....129.1993M,0,0.195268,2CXO J002316.8+092323,5.820374999999999,9.389988888888888,0.72,0.72,179.6,6.39,1.7118683915176893e-14,1.2489038772865712e-15,2.6762938942058175e-15,1.3193486143684503e-14,2.774642524347353e-15,1.0318639397756101e-15,1.003750470324822e-15,2.371999776776993e-15,0,0.868,0.994,0.645,0.994,0.744,1.0,1.2903640921267612,,,,0.72,,,,,,,,,,,,,0.72,,,,,,,,0.72,,,,,,,,0.72,,,,,,,,,,,0.72,,,0.72,,,,,,,,,PSR J0023+0923,Pulsar,0.218945,,,,,,,,,,
J0101-6422,15.296317916666666,-64.3750475,0.003,NS_BIN,HE,2005AJ....129.1993M,0,0.497493,2CXO J010111.0-642230,15.29620833333333,-64.37517777777776,0.73,0.73,177.4,4.89,3.5865291566625723e-14,5.561e-15,6.085466545338839e-15,2.4218825021286878e-14,8.013192319988132e-15,3.37e-15,2.2094073921515454e-15,6.926245024009971e-15,0,0.147,0.288,,0.288,,0.0,,,,,0.73,,,,,,,,,,,,,0.73,,,,,,,,1.2231295761283838,,,,,,,9.728122565358875,1.3478089627243173,5.9013,21.239,9.968,,,,,,,,0.73,,,0.73,,,,,,,,,PSR J0101-6422,Pulsar,0.49761,,,,,,,,,,
J0737-3039B,114.46353507916668,-30.66130953055556,0.00039,NS_BIN,,2005AJ....129.1993M,0,0.061336,2CXO J073751.2-303940,114.4635,-30.66130555555556,0.71,0.71,167.9,19.99,2.4565300000602832e-14,2.9623593585123058e-15,5.3762234600537015e-15,1.6226717182036825e-14,1.4150018372413234e-15,8.120183191066578e-16,5.705380035420688e-16,1.0086341434562637e-15,0,0.581,0.434,0.38,0.434,0.719,1.0,1.163048902522995,,,,0.7100087932438301,,,,,,,2.566,,0.497,,0.546,1.720928092362233,0.7200773560073668,,,,,,,3.34,0.7119834258145058,,,,,,,3.237011836970181,0.7110510872184642,18.901,43.913,3.21,,,,,,,,0.7147735016315029,,3.416,0.7100087932438301,,,1.721,,,,,,PSR J0737-3039A,Pulsar,0.055499,,,,,,,,,,
J1231-1411,187.7971383333333,-14.195452777777778,0.02,NS_BIN,HE,2005AJ....129.1993M,0,0.325751,2CXO J123111.3-141143,187.7970833333333,-14.195533333333334,0.72,0.72,168.3,9.99,1.491431846459504e-13,2.1162867330070828e-14,2.1500528859799285e-14,1.0647978845608029e-13,1.6554607494071508e-14,7.096343017094441e-15,4.2158405169345546e-15,1.435003950525142e-14,0,0.748,0.766,,0.766,,0.0,,,,,0.72,,,,,,,,,,,,,0.72,,,,,,,,0.72,,,,,,,,0.72,,,,,,,,,,,0.72,,,0.72,,,,,,,,,PSR J1231-1411,Pulsar,0.29787,,,,,,,,,,
J1311-3430,197.9405175,-34.50843055555556,0.004,NS_BIN,HE,2005AJ....129.1993M,0,0.197126,2CXO J131145.7-343030,197.9405,-34.508380555555554,0.72,0.72,68.0,6.65,4.599076312748925e-14,3.320668260345544e-14,6.093626785287667e-15,6.690453738746146e-15,6.157101896872008e-15,5.845793463789368e-15,1.2547322164698462e-15,1.4704589800926273e-15,0,0.628,0.487,0.878,0.487,0.972,1.0,4.804209393821852,Gaia EDR3 6179115508262195200,1.9312,0.9698,0.7200194436175734,20.442053,0.01962,20.59018,0.144577,19.847801,0.216174,8.005,-6.133,1.604,-5.145,0.684,0.2071093981837069,0.7200158057861785,,,,,,,,1.342765177006732,,,,,,,5.808809858842336,1.3055051744753523,6.8119,0.0,5.782,,,,,,,,0.7200158057861785,,,0.7200194436175734,899.010559,13704.2656,0.207,500.026978,3072.98096,6364.82373,15762.3047,10033.0,USNO-B1.0 0554-00289419,Star,0.21161,,,,,,,,,,
J1514-4946,228.5796420833333,-49.77097666666667,0.005,NS_BIN,HE,2005AJ....129.1993M,0,0.552673,2CXO J151419.0-494615,228.5795,-49.771097222222224,1.03,0.84,94.9,2.63,5.796738791010506e-15,2.591319153824321e-15,1.4356590025544258e-15,1.7697606346317592e-15,2.795785235091356e-15,2.438800003719214e-15,9.435316051462026e-16,9.891500051580754e-16,0,0.919,0.723,,0.723,,0.0,,,,,1.0300023484648957,,,,,,,0.882,,0.363,,0.342,2.3045715355488507,1.097863650814253,,,,,,,3.286,1.039339018693708,,,,,,,2.581570763548885,1.178171717441562,8.8809,27.69,2.069,,,,,,,,1.0580951922106063,,4.516,1.0300023484648957,,,2.305,,,,,,PSR J1514-4946,Pulsar,0.544077,,,,,,,,,,
B1534+12,234.2915072083333,11.93206496388889,6e-05,NS_BIN,,2005AJ....129.1993M,0,0.258883,2CXO J153709.9+115555,234.29154166666663,11.932002777777775,0.73,0.72,128.7,4.55,2.938122625452915e-15,1.5039353881086166e-15,2.457628648467799e-16,1.1884243724975185e-15,1.2441551452196165e-15,1.1991936480036835e-15,1.339704328424808e-16,3.0316421802063016e-16,0,0.227,0.651,0.398,0.651,,0.0,,,,,0.73,,,,,,,,,,,,,0.73,,,,,,,,1.049340002096556,,,,,,,7.060787058336416,1.361708577486387,6.5701,0.0,7.2,,,,,,,,0.8860614199929935,,8.293,0.73,,,,,,,,,EQ B1534+12,Star,0.37611,,,,,,,,,,
J1614-2230,243.65211392083336,-22.50868630555556,0.0014,NS_BIN,HE[aaa+09f],2005AJ....129.1993M,0,0.208956,2CXO J161436.5-223031,243.652125,-22.50862777777778,0.72,0.71,169.0,9.04,2.1655988274088544e-14,2.4767650042573765e-15,6.357202115439197e-15,1.2822021154391972e-14,2.717882541006492e-15,1.4232423564891949e-15,1.3305000426081272e-15,1.8950029915603725e-15,0,0.013,0.054,,0.054,,0.0,,,,,0.7200002585265369,,,,,,,4.284,,0.07,,0.051,4.802774941853352,0.7299317521196896,,,,,,,4.876,0.9529039840154516,,,,,,,3.1275016488522605,1.0501717063187903,9.2509,0.0,3.277,,,,,,,,0.7321812362745442,,4.766,0.7200002585265369,,,4.803,,,,,,PSR J1614-2230,Pulsar,0.14513,,,,,,,,,,
J1628-3205,247.0291666666667,-32.096916666666665,0.0,NS_BIN,HE,2005AJ....129.1993M,0,0.130738,2CXO J162806.9-320548,247.029125,-32.09693055555556,0.71,0.71,95.2,11.99,8.936180731304133e-14,6.477797884560805e-14,1.079180731304132e-14,1.3792021154391971e-14,9.859089338257958e-15,9.485000597681732e-15,1.7593094962814766e-15,2.035002785753072e-15,0,0.842,0.627,,0.627,,0.0,,Gaia EDR3 6025344817107454464,0.6787,0.4075,0.7100048930765196,19.482986,0.00759,20.427433,0.084322,18.554539,0.026298,22.307,-6.188,0.475,-21.431,0.342,0.171621659386915,0.7200739425890649,,,,,,,6.201,0.7855806278134408,,,,,,,0.8846735261685736,0.761400999996559,10.117,0.0,0.23,,,,,,,,0.729334438235135,,5.619,0.7100048930765196,4460.4502,2299.40503,0.172,1917.82263,8097.68115,2035.76587,2510.45996,10033.0,,,,16.07702266262294,,-0.0297293309070531,,,16.07702266262294,-0.0297293309070531,,,
