#current_obsid,reg,ensemble,prep3,ml_flux,ml_flux_sigma,mode,lolim,hilim,r_hat
09686_000,16,ens0012900_001,acisf09686_000N020_b0000_h_ecf90_prep3.fits,1.40E-11,3.29E-13,1.36E-11,1.32E-11,1.40E-11,1.0023
09688_000,16,ens0012900_001,acisf09688_000N020_b0000_h_ecf90_prep3.fits,1.23E-11,2.93E-13,1.20E-11,1.18E-11,1.24E-11,1.0007
09689_000,16,ens0012900_001,acisf09689_000N020_b0000_h_ecf90_prep3.fits,1.21E-11,3.03E-13,1.18E-11,1.14E-11,1.21E-11,0.9997
09687_000,16,ens0012900_001,acisf09687_000N020_b0000_h_ecf90_prep3.fits,9.28E-12,2.40E-13,9.07E-12,8.84E-12,9.33E-12,1.0091
06781_001,5,ens0031600_001,acisf06781_001N020_b0003_h_ecf90_prep3.fits,7.97E-12,1.05E-13,7.85E-12,7.74E-12,7.95E-12,1.0004
00349_002,238,ens0163300_001,acisf00349_002N021_e2_b0110_h_ecf90_prep3.fits,6.91E-12,3.42E-13,6.86E-12,6.48E-12,7.24E-12,0.9991
02694_000,2,ens0254500_001,acisf02694_000N020_b0001_h_ecf90_prep3.fits,5.32E-12,1.24E-13,5.18E-12,5.04E-12,5.30E-12,0.9999
00866_000,5,ens0132800_001,acisf00866_000N021_b0001_h_ecf90_prep3.fits,3.94E-12,5.40E-14,3.90E-12,3.84E-12,3.96E-12,0.9994
05708_000,5,ens0132800_001,acisf05708_000N021_b0001_h_ecf90_prep3.fits,3.89E-12,2.72E-14,3.86E-12,3.84E-12,3.90E-12,1.0015
01967_001,69,ens0020500_001,acisf01967_001N021_b0045_h_ecf90_prep3.fits,3.18E-12,3.13E-14,3.17E-12,3.14E-12,3.21E-12,0.9991
12865_000,1,ens0240000_001,acisf12865_000N020_b0000_h_ecf90_prep3.fits,2.90E-12,5.58E-14,2.84E-12,2.78E-12,2.89E-12,0.9994
12456_000,1,ens0039700_001,acisf12456_000N021_b0000_h_ecf90_prep3.fits,2.65E-12,8.69E-14,2.57E-12,2.48E-12,2.66E-12,0.9998
02137_000,1,ens0097800_001,acisf02137_000N021_b0000_h_ecf90_prep3.fits,2.56E-12,7.06E-14,2.50E-12,2.43E-12,2.57E-12,0.9993
03974_000,10,ens0048300_001,acisf03974_000N021_b0003_h_ecf90_prep3.fits,2.42E-12,2.70E-14,2.40E-12,2.37E-12,2.42E-12,0.9994
15546_000,44,ens0042100_001,acisf15546_000N020_b0019_h_ecf90_prep3.fits,2.29E-12,5.38E-14,2.26E-12,2.20E-12,2.31E-12,0.999
10991_000,3,ens0034900_001,acisf10991_000N021_b0002_h_ecf90_prep3.fits,2.06E-12,2.72E-14,2.05E-12,2.02E-12,2.07E-12,0.9994
14429_000,5,ens0150500_001,acisf14429_000N021_b0004_h_ecf90_prep3.fits,2.07E-12,5.22E-14,2.01E-12,1.96E-12,2.07E-12,0.9994
03097_001,1,ens0132100_001,acisf03097_001N021_b0000_h_ecf90_prep3.fits,2.04E-12,6.37E-14,2.00E-12,1.93E-12,2.06E-12,1
04373_000,2696,ens0042100_001,acisf04373_000N020_b1097_h_ecf90_prep3.fits,1.80E-12,1.49E-14,1.79E-12,1.78E-12,1.81E-12,0.9994
05189_000,3,ens0366400_001,acisf05189_000N021_b0000_h_ecf90_prep3.fits,1.70E-12,3.74E-14,1.63E-12,1.60E-12,1.67E-12,0.9991
04396_000,2696,ens0042100_001,acisf04396_000N020_b1097_h_ecf90_prep3.fits,1.58E-12,1.41E-14,1.57E-12,1.55E-12,1.58E-12,0.9998
04395_000,2696,ens0042100_001,acisf04395_000N020_b1097_h_ecf90_prep3.fits,1.55E-12,1.80E-14,1.54E-12,1.52E-12,1.56E-12,1.0015
03105_000,1,ens0325800_001,acisf03105_000N022_b0000_h_ecf90_prep3.fits,1.53E-12,4.16E-14,1.49E-12,1.44E-12,1.53E-12,0.9994
03986_001,21,ens0230800_001,acisf03986_001N020_b0020_h_ecf90_prep3.fits,1.46E-12,3.68E-14,1.43E-12,1.39E-12,1.48E-12,1.0009
02138_001,2,ens0188400_001,acisf02138_001N021_b0001_h_ecf90_prep3.fits,1.36E-12,5.31E-14,1.31E-12,1.26E-12,1.37E-12,1.0062
02967_000,3,ens0387700_001,acisf02967_000N021_b0001_h_ecf90_prep3.fits,1.33E-12,2.99E-14,1.30E-12,1.27E-12,1.34E-12,1.0033
06772_000,2,ens0169300_001,acisf06772_000N020_b0001_h_ecf90_prep3.fits,1.32E-12,6.77E-14,1.28E-12,1.21E-12,1.35E-12,0.9993
03137_000,3,ens0240200_001,acisf03137_000N021_b0002_h_ecf90_prep3.fits,1.30E-12,3.84E-14,1.27E-12,1.23E-12,1.31E-12,0.9996
03498_000,2696,ens0042100_001,acisf03498_000N020_b1097_h_ecf90_prep3.fits,1.25E-12,1.89E-14,1.24E-12,1.22E-12,1.26E-12,1.001
03973_000,4,ens0188400_001,acisf03973_000N021_b0003_h_ecf90_prep3.fits,1.14E-12,1.73E-14,1.13E-12,1.11E-12,1.15E-12,1.0009
