#current_obsid,reg,ensemble,prep3,ml_flux,ml_flux_sigma,mode,lolim,hilim,r_hat
15546_000,44,ens0042100_001,acisf15546_000N020_b0019_m_ecf90_prep3.fits,8.62E-13,1.84E-14,8.49E-13,8.30E-13,8.69E-13,0.9991
02731_000,2,ens0148600_001,acisf02731_000N021_b0000_m_ecf90_prep3.fits,8.55E-13,1.46E-14,8.42E-13,8.26E-13,8.57E-13,1.0004
03048_000,3,ens0260800_001,acisf03048_000N021_b0001_m_ecf90_prep3.fits,7.87E-13,1.39E-14,7.75E-13,7.60E-13,7.91E-13,0.9998
02967_000,3,ens0387700_001,acisf02967_000N021_b0001_m_ecf90_prep3.fits,4.82E-13,8.89E-15,4.76E-13,4.68E-13,4.85E-13,0.9992
03047_000,5,ens0274100_001,acisf03047_000N021_b0001_m_ecf90_prep3.fits,4.05E-13,9.80E-15,3.99E-13,3.89E-13,4.10E-13,1.0004
14334_000,2696,ens0042100_001,acisf14334_000N020_b1097_m_ecf90_prep3.fits,3.22E-13,1.54E-14,3.21E-13,3.05E-13,3.38E-13,1.0026
14335_000,2696,ens0042100_001,acisf14335_000N020_b1097_m_ecf90_prep3.fits,2.89E-13,8.34E-15,2.88E-13,2.79E-13,2.97E-13,0.9998
15546_000,416,ens0042100_001,acisf15546_000N020_b0277_m_ecf90_prep3.fits,2.76E-13,9.92E-15,2.77E-13,2.65E-13,2.87E-13,1.0034
04209_000,17,ens0036800_001,acisf04209_000N020_b0016_m_ecf90_prep3.fits,2.49E-13,8.54E-15,2.43E-13,2.34E-13,2.53E-13,1.0015
14334_000,416,ens0042100_001,acisf14334_000N020_b0277_m_ecf90_prep3.fits,2.23E-13,1.30E-14,2.23E-13,2.08E-13,2.37E-13,0.9994
14335_000,416,ens0042100_001,acisf14335_000N020_b0277_m_ecf90_prep3.fits,2.11E-13,7.05E-15,2.11E-13,2.03E-13,2.19E-13,1.0007
04619_000,3,ens0008300_001,acisf04619_000N020_b0002_m_ecf90_prep3.fits,1.71E-13,7.09E-15,1.66E-13,1.58E-13,1.73E-13,1
