#current_obsid,reg,ensemble,prep3,ml_flux,ml_flux_sigma,mode,lolim,hilim,r_hat
04374_000,872,ens0042100_001,acisf04374_000N020_b0485_s_ecf90_prep3.fits,6.43E-16,1.54E-16,1.08E-19,1.08E-19,1.05E-14,1.0109
03744_000,3258,ens0042100_001,acisf03744_000N020_b1240_s_ecf90_prep3.fits,0.00E+00,7.09E-19,1.58E-19,1.58E-19,5.06E-15,1.0004
04373_000,3259,ens0042100_001,acisf04373_000N020_b1240_s_ecf90_prep3.fits,0.00E+00,6.21E-19,1.20E-18,1.00E-18,6.50E-18,1.2017
03744_000,2424,ens0042100_001,acisf03744_000N020_b0510_s_ecf90_prep3.fits,0.00E+00,1.98E-18,6.35E-18,6.65E-19,2.42E-17,1.4799
04373_000,1405,ens0042100_001,acisf04373_000N020_b0681_s_ecf90_prep3.fits,0.00E+00,1.01E-18,1.56E-17,4.03E-21,4.31E-17,1.0002
04396_000,3258,ens0042100_001,acisf04396_000N020_b1240_s_ecf90_prep3.fits,0.00E+00,7.47E-19,1.59E-17,1.35E-20,4.42E-17,1
04373_000,3116,ens0042100_001,acisf04373_000N020_b1195_s_ecf90_prep3.fits,0.00E+00,1.40E-18,1.63E-17,3.58E-20,3.96E-17,1.0014
04373_000,665,ens0042100_001,acisf04373_000N020_b0372_s_ecf90_prep3.fits,0.00E+00,1.23E-18,1.64E-17,1.36E-20,3.91E-17,1.0001
04396_000,2015,ens0042100_001,acisf04396_000N020_b0864_s_ecf90_prep3.fits,0.00E+00,1.48E-18,1.66E-17,1.86E-21,4.44E-17,0.9993
03744_000,2385,ens0042100_001,acisf03744_000N020_b0948_s_ecf90_prep3.fits,0.00E+00,1.35E-18,1.69E-17,1.01E-20,4.44E-17,1.0023
04374_000,1440,ens0042100_001,acisf04374_000N020_b0694_s_ecf90_prep3.fits,0.00E+00,1.02E-18,1.70E-17,2.21E-20,4.22E-17,0.9997
04374_000,1266,ens0042100_001,acisf04374_000N020_b0637_s_ecf90_prep3.fits,0.00E+00,9.79E-19,1.70E-17,1.35E-19,4.06E-17,0.9991
04373_000,1440,ens0042100_001,acisf04373_000N020_b0694_s_ecf90_prep3.fits,0.00E+00,1.05E-18,1.71E-17,9.32E-20,4.20E-17,1.0033
04374_000,2401,ens0042100_001,acisf04374_000N020_b0951_s_ecf90_prep3.fits,0.00E+00,5.32E-19,1.72E-17,3.49E-20,4.39E-17,1.0008
04396_000,786,ens0042100_001,acisf04396_000N020_b0436_s_ecf90_prep3.fits,0.00E+00,1.27E-18,1.72E-17,1.43E-19,4.53E-17,1.0248
04374_000,1405,ens0042100_001,acisf04374_000N020_b0681_s_ecf90_prep3.fits,0.00E+00,1.04E-18,1.73E-17,2.71E-20,4.16E-17,1.002
04396_000,847,ens0042100_001,acisf04396_000N020_b0470_s_ecf90_prep3.fits,0.00E+00,9.37E-19,1.73E-17,1.46E-19,4.66E-17,1.0063
04396_000,1441,ens0042100_001,acisf04396_000N020_b0439_s_ecf90_prep3.fits,0.00E+00,8.15E-19,1.73E-17,1.99E-19,3.88E-17,1.0044
04373_000,2401,ens0042100_001,acisf04373_000N020_b0951_s_ecf90_prep3.fits,0.00E+00,5.35E-19,1.74E-17,2.27E-20,4.13E-17,0.9991
04396_000,1410,ens0042100_001,acisf04396_000N020_b0682_s_ecf90_prep3.fits,0.00E+00,8.19E-19,1.74E-17,9.79E-20,4.63E-17,1.0035
04373_000,3236,ens0042100_001,acisf04373_000N020_b1234_s_ecf90_prep3.fits,0.00E+00,2.03E-18,1.75E-17,1.00E-20,4.32E-17,1.0002
04373_000,2312,ens0042100_001,acisf04373_000N020_b0933_s_ecf90_prep3.fits,0.00E+00,1.45E-18,1.75E-17,3.29E-19,4.62E-17,1.0004
04373_000,897,ens0042100_001,acisf04373_000N020_b0497_s_ecf90_prep3.fits,0.00E+00,9.48E-19,1.77E-17,1.51E-21,4.37E-17,1.0066
04373_000,3190,ens0042100_001,acisf04373_000N020_b1225_s_ecf90_prep3.fits,0.00E+00,6.64E-19,1.77E-17,4.67E-20,4.37E-17,1.0034
04374_000,2487,ens0042100_001,acisf04374_000N020_b0981_s_ecf90_prep3.fits,0.00E+00,5.73E-19,1.77E-17,9.16E-20,4.50E-17,0.9991
04373_000,1403,ens0042100_001,acisf04373_000N020_b0680_s_ecf90_prep3.fits,0.00E+00,1.07E-18,1.78E-17,2.30E-20,4.45E-17,0.9994
03744_000,870,ens0042100_001,acisf03744_000N020_b0484_s_ecf90_prep3.fits,0.00E+00,1.00E-18,1.79E-17,6.60E-21,4.51E-17,0.9996
03744_000,2695,ens0042100_001,acisf03744_000N020_b1096_s_ecf90_prep3.fits,0.00E+00,3.16E-18,1.79E-17,6.86E-21,4.69E-17,1.0066
03744_000,1423,ens0042100_001,acisf03744_000N020_b0685_s_ecf90_prep3.fits,0.00E+00,8.56E-19,1.79E-17,4.78E-20,4.67E-17,1.0009
04373_000,3123,ens0042100_001,acisf04373_000N020_b1201_s_ecf90_prep3.fits,0.00E+00,1.20E-18,1.79E-17,1.01E-19,4.34E-17,0.999
04396_000,557,ens0042100_001,acisf04396_000N020_b0327_s_ecf90_prep3.fits,0.00E+00,1.04E-18,1.80E-17,6.41E-21,4.78E-17,1.0013
03744_000,3265,ens0042100_001,acisf03744_000N020_b1243_s_ecf90_prep3.fits,0.00E+00,1.06E-18,1.80E-17,8.15E-21,4.68E-17,0.9991
04374_000,1392,ens0042100_001,acisf04374_000N020_b0677_s_ecf90_prep3.fits,0.00E+00,1.62E-18,1.80E-17,9.69E-21,4.54E-17,1.0017
04374_000,1430,ens0042100_001,acisf04374_000N020_b0689_s_ecf90_prep3.fits,0.00E+00,9.70E-19,1.80E-17,1.21E-20,4.51E-17,0.9991
04373_000,2530,ens0042100_001,acisf04373_000N020_b0336_s_ecf90_prep3.fits,0.00E+00,7.90E-19,1.80E-17,3.96E-20,4.25E-17,1.0023
03744_000,3253,ens0042100_001,acisf03744_000N020_b1238_s_ecf90_prep3.fits,0.00E+00,9.46E-19,1.80E-17,6.16E-20,4.33E-17,0.9992
04374_000,3265,ens0042100_001,acisf04374_000N020_b1243_s_ecf90_prep3.fits,0.00E+00,1.03E-18,1.80E-17,1.45E-19,4.24E-17,1.0039
04396_000,3117,ens0042100_001,acisf04396_000N020_b1196_s_ecf90_prep3.fits,0.00E+00,1.17E-18,1.81E-17,7.45E-21,4.53E-17,0.9992
03744_000,899,ens0042100_001,acisf03744_000N020_b0499_s_ecf90_prep3.fits,0.00E+00,1.69E-18,1.81E-17,1.18E-20,4.47E-17,1.0007
04396_000,1471,ens0042100_001,acisf04396_000N020_b0711_s_ecf90_prep3.fits,0.00E+00,1.34E-18,1.81E-17,2.03E-20,4.74E-17,0.9993
04373_000,1266,ens0042100_001,acisf04373_000N020_b0637_s_ecf90_prep3.fits,0.00E+00,9.49E-19,1.81E-17,3.56E-20,4.58E-17,1.0032
04373_000,329,ens0042100_001,acisf04373_000N020_b0234_s_ecf90_prep3.fits,0.00E+00,4.91E-19,1.82E-17,1.31E-21,4.50E-17,1.0092
04374_000,3122,ens0042100_001,acisf04374_000N020_b1200_s_ecf90_prep3.fits,0.00E+00,1.55E-18,1.82E-17,4.98E-21,4.76E-17,1.0026
04374_000,1435,ens0042100_001,acisf04374_000N020_b0692_s_ecf90_prep3.fits,0.00E+00,5.04E-19,1.82E-17,1.46E-20,4.31E-17,0.9997
03744_000,3261,ens0042100_001,acisf03744_000N020_b1241_s_ecf90_prep3.fits,0.00E+00,9.39E-19,1.82E-17,2.51E-20,4.51E-17,0.9991
03744_000,1471,ens0042100_001,acisf03744_000N020_b0711_s_ecf90_prep3.fits,0.00E+00,1.28E-18,1.82E-17,3.17E-20,4.54E-17,1
04373_000,1430,ens0042100_001,acisf04373_000N020_b0689_s_ecf90_prep3.fits,0.00E+00,1.03E-18,1.82E-17,7.74E-20,4.52E-17,0.9992
04373_000,587,ens0042100_001,acisf04373_000N020_b0336_s_ecf90_prep3.fits,0.00E+00,7.84E-19,1.83E-17,1.25E-21,4.51E-17,1.0007
04396_000,1403,ens0042100_001,acisf04396_000N020_b0680_s_ecf90_prep3.fits,0.00E+00,1.09E-18,1.83E-17,1.00E-20,4.54E-17,0.9991
04374_000,1370,ens0042100_001,acisf04374_000N020_b0672_s_ecf90_prep3.fits,0.00E+00,5.68E-19,1.83E-17,1.68E-20,4.51E-17,1.0005
04396_000,3287,ens0042100_001,acisf04396_000N020_b1254_s_ecf90_prep3.fits,0.00E+00,1.90E-18,1.83E-17,5.20E-20,4.59E-17,1.0043
04374_000,3126,ens0042100_001,acisf04374_000N020_b1202_s_ecf90_prep3.fits,0.00E+00,1.26E-18,1.83E-17,1.05E-19,4.40E-17,1.0007
04374_000,1424,ens0042100_001,acisf04374_000N020_b0407_s_ecf90_prep3.fits,0.00E+00,7.30E-19,1.83E-17,1.50E-19,4.41E-17,0.9997
04373_000,3280,ens0042100_001,acisf04373_000N020_b1250_s_ecf90_prep3.fits,0.00E+00,1.70E-18,1.84E-17,9.50E-22,4.17E-17,1.0062
04373_000,3122,ens0042100_001,acisf04373_000N020_b1200_s_ecf90_prep3.fits,0.00E+00,1.36E-18,1.84E-17,1.52E-21,4.60E-17,1.0007
04374_000,1345,ens0042100_001,acisf04374_000N020_b0669_s_ecf90_prep3.fits,0.00E+00,7.22E-19,1.84E-17,8.25E-21,4.25E-17,0.9992
04396_000,3122,ens0042100_001,acisf04396_000N020_b1200_s_ecf90_prep3.fits,0.00E+00,1.52E-18,1.84E-17,2.82E-20,4.65E-17,0.9995
04396_000,842,ens0042100_001,acisf04396_000N020_b0468_s_ecf90_prep3.fits,0.00E+00,1.40E-18,1.84E-17,3.51E-20,4.45E-17,0.9996
04374_000,2015,ens0042100_001,acisf04374_000N020_b0864_s_ecf90_prep3.fits,0.00E+00,1.49E-18,1.84E-17,4.20E-20,4.37E-17,0.9992
04396_000,3294,ens0042100_001,acisf04396_000N020_b1069_s_ecf90_prep3.fits,0.00E+00,1.82E-18,1.84E-17,5.77E-20,4.39E-17,0.9993
04374_000,2894,ens0042100_001,acisf04374_000N020_b0512_s_ecf90_prep3.fits,0.00E+00,2.15E-18,1.84E-17,1.26E-19,4.92E-17,1.0074
04373_000,3146,ens0042100_001,acisf04373_000N020_b1212_s_ecf90_prep3.fits,0.00E+00,1.03E-18,1.85E-17,8.76E-21,4.78E-17,0.999
04374_000,1264,ens0042100_001,acisf04374_000N020_b0636_s_ecf90_prep3.fits,0.00E+00,1.12E-18,1.85E-17,2.31E-20,4.48E-17,0.9998
04373_000,1264,ens0042100_001,acisf04373_000N020_b0636_s_ecf90_prep3.fits,0.00E+00,9.43E-19,1.85E-17,2.75E-20,4.29E-17,1
04374_000,3116,ens0042100_001,acisf04374_000N020_b1195_s_ecf90_prep3.fits,0.00E+00,1.56E-18,1.85E-17,3.00E-20,4.14E-17,1.0009
04374_000,1288,ens0042100_001,acisf04374_000N020_b0657_s_ecf90_prep3.fits,0.00E+00,5.81E-19,1.85E-17,3.32E-20,4.20E-17,1.0018
03744_000,2665,ens0042100_001,acisf03744_000N020_b1081_s_ecf90_prep3.fits,0.00E+00,1.01E-18,1.85E-17,1.85E-19,4.69E-17,1.0006
04373_000,2495,ens0042100_001,acisf04373_000N020_b0988_s_ecf90_prep3.fits,0.00E+00,9.04E-19,1.86E-17,7.47E-21,4.50E-17,0.9994
04373_000,769,ens0042100_001,acisf04373_000N020_b0429_s_ecf90_prep3.fits,0.00E+00,1.39E-18,1.86E-17,1.17E-20,4.75E-17,0.9996
04374_000,786,ens0042100_001,acisf04374_000N020_b0436_s_ecf90_prep3.fits,0.00E+00,1.07E-18,1.86E-17,1.79E-20,4.41E-17,0.9997
04373_000,2665,ens0042100_001,acisf04373_000N020_b1081_s_ecf90_prep3.fits,0.00E+00,1.13E-18,1.86E-17,4.16E-20,4.22E-17,0.9991
04373_000,3299,ens0042100_001,acisf04373_000N020_b1036_s_ecf90_prep3.fits,0.00E+00,1.60E-18,1.86E-17,5.51E-20,4.42E-17,0.9992
04374_000,3259,ens0042100_001,acisf04374_000N020_b1240_s_ecf90_prep3.fits,0.00E+00,6.36E-19,1.86E-17,6.36E-20,4.41E-17,1.0006
04396_000,2385,ens0042100_001,acisf04396_000N020_b0948_s_ecf90_prep3.fits,0.00E+00,1.55E-18,1.86E-17,1.96E-19,4.44E-17,0.9991
04396_000,3134,ens0042100_001,acisf04396_000N020_b1207_s_ecf90_prep3.fits,0.00E+00,9.49E-19,1.87E-17,4.48E-21,4.56E-17,1.0025
04373_000,3112,ens0042100_001,acisf04373_000N020_b1193_s_ecf90_prep3.fits,0.00E+00,1.37E-18,1.87E-17,2.14E-20,4.45E-17,1.0015
03744_000,3298,ens0042100_001,acisf03744_000N020_b1257_s_ecf90_prep3.fits,0.00E+00,1.13E-18,1.87E-17,3.09E-20,4.50E-17,1.0003
04374_000,3206,ens0042100_001,acisf04374_000N020_b1227_s_ecf90_prep3.fits,0.00E+00,9.37E-19,1.87E-17,4.12E-20,4.24E-17,1.0011
04373_000,2442,ens0042100_001,acisf04373_000N020_b0968_s_ecf90_prep3.fits,0.00E+00,6.34E-19,1.87E-17,4.42E-20,4.61E-17,1.0003
04374_000,2504,ens0042100_001,acisf04374_000N020_b0991_s_ecf90_prep3.fits,0.00E+00,5.86E-19,1.87E-17,5.75E-20,4.54E-17,0.999
03744_000,2015,ens0042100_001,acisf03744_000N020_b0864_s_ecf90_prep3.fits,0.00E+00,1.35E-18,1.88E-17,4.04E-21,4.73E-17,0.9997
04396_000,2670,ens0042100_001,acisf04396_000N020_b1084_s_ecf90_prep3.fits,0.00E+00,1.13E-18,1.88E-17,7.13E-21,4.82E-17,0.9999
03744_000,479,ens0042100_001,acisf03744_000N020_b0302_s_ecf90_prep3.fits,0.00E+00,6.68E-19,1.88E-17,2.89E-20,4.76E-17,1.001
04374_000,3190,ens0042100_001,acisf04374_000N020_b1225_s_ecf90_prep3.fits,0.00E+00,6.59E-19,1.88E-17,3.93E-20,4.78E-17,0.9998
04374_000,3146,ens0042100_001,acisf04374_000N020_b1212_s_ecf90_prep3.fits,0.00E+00,9.72E-19,1.88E-17,4.30E-20,4.55E-17,0.9998
03744_000,1555,ens0042100_001,acisf03744_000N020_b0089_s_ecf90_prep3.fits,0.00E+00,1.13E-18,1.88E-17,6.22E-20,4.46E-17,1.0001
04374_000,509,ens0042100_001,acisf04374_000N020_b0317_s_ecf90_prep3.fits,0.00E+00,1.10E-18,1.88E-17,1.80E-19,4.61E-17,0.9994
04373_000,1424,ens0042100_001,acisf04373_000N020_b0407_s_ecf90_prep3.fits,0.00E+00,7.47E-19,1.88E-17,2.71E-19,4.14E-17,1.0032
04396_000,665,ens0042100_001,acisf04396_000N020_b0372_s_ecf90_prep3.fits,0.00E+00,1.27E-18,1.89E-17,1.18E-20,4.58E-17,1.0017
04373_000,737,ens0042100_001,acisf04373_000N020_b0413_s_ecf90_prep3.fits,0.00E+00,4.61E-19,1.89E-17,3.77E-20,4.67E-17,0.9996
04396_000,1405,ens0042100_001,acisf04396_000N020_b0681_s_ecf90_prep3.fits,0.00E+00,1.08E-18,1.89E-17,6.99E-20,4.55E-17,1.0027
04374_000,3298,ens0042100_001,acisf04374_000N020_b1257_s_ecf90_prep3.fits,0.00E+00,1.02E-18,1.89E-17,1.58E-19,4.63E-17,0.9991
00582_000,1111,ens0047600_001,acisf00582_000N020_b0445_s_ecf90_prep3.fits,0.00E+00,1.80E-19,1.89E-17,1.62E-19,4.60E-17,1.0015
04396_000,1319,ens0042100_001,acisf04396_000N020_b0666_s_ecf90_prep3.fits,0.00E+00,6.53E-19,1.90E-17,1.06E-19,4.59E-17,1.0051
04373_000,509,ens0042100_001,acisf04373_000N020_b0317_s_ecf90_prep3.fits,0.00E+00,1.04E-18,1.90E-17,1.45E-19,4.57E-17,1.0027
04396_000,3028,ens0042100_001,acisf04396_000N020_b1165_s_ecf90_prep3.fits,0.00E+00,2.21E-18,1.91E-17,9.24E-23,4.72E-17,0.9997
04374_000,2386,ens0042100_001,acisf04374_000N020_b0949_s_ecf90_prep3.fits,0.00E+00,1.22E-18,1.91E-17,3.63E-21,4.83E-17,1
04373_000,1387,ens0042100_001,acisf04373_000N020_b0675_s_ecf90_prep3.fits,0.00E+00,4.41E-19,1.91E-17,8.34E-21,4.35E-17,0.9996
04396_000,2665,ens0042100_001,acisf04396_000N020_b1081_s_ecf90_prep3.fits,0.00E+00,1.10E-18,1.91E-17,5.25E-20,5.01E-17,0.9994
04374_000,612,ens0042100_001,acisf04374_000N020_b0351_s_ecf90_prep3.fits,0.00E+00,1.19E-18,1.91E-17,5.68E-20,4.94E-17,1
04373_000,3134,ens0042100_001,acisf04373_000N020_b1207_s_ecf90_prep3.fits,0.00E+00,1.15E-18,1.92E-17,8.09E-21,4.55E-17,0.9992
04374_000,287,ens0042100_001,acisf04374_000N020_b0201_s_ecf90_prep3.fits,0.00E+00,9.45E-19,1.92E-17,1.18E-20,4.74E-17,1.005
04396_000,1555,ens0042100_001,acisf04396_000N020_b0089_s_ecf90_prep3.fits,0.00E+00,1.27E-18,1.92E-17,1.94E-20,5.01E-17,1.0014
04396_000,1387,ens0042100_001,acisf04396_000N020_b0675_s_ecf90_prep3.fits,0.00E+00,4.69E-19,1.92E-17,2.84E-20,4.39E-17,1.0009
04396_000,3123,ens0042100_001,acisf04396_000N020_b1201_s_ecf90_prep3.fits,0.00E+00,1.26E-18,1.92E-17,2.85E-20,4.48E-17,0.9994
04374_000,2590,ens0042100_001,acisf04374_000N020_b0362_s_ecf90_prep3.fits,0.00E+00,1.36E-18,1.92E-17,2.89E-20,4.32E-17,1.0001
