ID,"Name","RA","Dec",Accretor,P_T,Bursts,"d","Porb","Fxpeak","mag"
1,"4U 1820-303 X Sgr X-4 (in NGC 6624)",18:23:40.50,-30:21:40.09,NS,P,"Short-B SB",8.019,11.42,5.02E-09,B=18.7
2,"4U 0513-40 XB 0512-401 (in NGC 1851)",05:14:06.40,-40:02:38,NS,P,Short-B,11.951,17,1.33E-10,B=21.1
3,"2S 0918-549 4U 0919-54",09:20:26.95,-55:12:24.7,NS,P,"Short-BIB","3.0±0.2 (H), 3.9±0.2 (He)",17.4,1.12E-10,V = 20.98±0.07
4,"4U 1543-624 2S 1543-624",15:47:54.69,-62:34:05.4,NS,P,Short-B,9.2±2.3 (He),18.2,7.27E-10,r' = 20.42±0.03
5,"4U 1850-087 X 1850-087, 4U 1850-086, A 1850-08 (in NGC 6712)",18:53:04.88,-08:42:20.0,NS,P,"Short-B IB",7.382,20.6,1.04E-10,B=21.2±0.2
6,"M15 X-2 CXOU J212958.1+121002, NGC 7078 X-2 (in M15/NGC 7078)",21:29:58.14,+12:10:01.52,NS,P,"Short-B IB",10.709,22.5806,6.71E-11,U=18.6
7,"47 Tuc X-9 47 Tuc W42, 47 Tuc V1, 1E 0021.8-7221 (in 47 Tuc/NGC 104)",00:24:04.25,-72:04:58.02,,P,,4.521,28.18,4.73E-12,U=19.4
8,"IGR J17062-6143 SWIFT 1706.6-6146",17:06:16.3,-61:42:40.5,"NS (AMXP)",P,"IB SB",7.3±0.5 (He),37.9701,5.53E-11,g'=20.23±0.16
9,XTE J1807-294,18:06:59.8,-29:24:30,"NS (AMXP)",T,,assumed 8,40.0741,1.19E-10,qV>24.3
10,"4U 1626-67 KZ TrA, 4U 1627-673",16:32:16.79,-67:27:39.3,NS,P,,~8,41.538,2.96E-10,V=18.54±0.11
11,XTE J1751-305,17:51:13.49,-30:37:23.4,"NS (AMXP)",T,,assumed 8.5,42.42235,1.27E-09,R>23.1
12,XTE J0929-314,09:29:20.19,-31:23:03.2,"NS (AMXP)",T,,assumed 10,43.57910,2.70E-10,"V=18.63±0.03 qV=27.58±0.12"
13,"MAXI J0911-655 Swift J0911.9−6452 (in NGC 2808)",09:12:02.43,-64:52:06.4,"NS (AMXP)",T,IB,10.060,44.332218,1.37E-10,
14,"IGR J16597-3704 (in NGC 6256)",16:59:32.90,-37:07:14.28,"NS (AMXP)",T,,7.242,45.97,1.97E-10,
15,"4U 1916-053 XB 1916-05, XB 1916-053, 4U 1915-05, V1405 Aql",19:18:47.87,-05:14:17.09,NS,P,short-B,"5.8±0.3(H), 7.6±0.4(He)",49.75,5.57E-10,V=20.99±0.05
16,"4U 0614+091 V1055 Ori",06:17:07.35,+09:08:13.4,NS,P,"Short-B IB SB","1.99±0.02(H), 2.59±0.03(He)",51.3,1.77E-09,V = 18.87±0.08
17,Swift J1756.9-2508,17:56:57.43,-25:06:27.4,"NS (AMXP)",T,,assumed 8,54.7017,1.54E-09,
18,"NGC 6440 X-2 CXOG1b J174852.7-202124 (in NGC 6440)",17:48:52.76,-20:21:24.0,"NS (AMXP)",T,,8.248,57.3,1.58E-10,"g'>22 qV>21.0"
19,"MAXI J1957+032 IGR J19566+0326",19:56:39.11,+03:26:43.66,"NS (AMXP )",T,,5,60.8841,4.91E-10,"R=18.27±0.06 qR=21.4±0.2"
20,"IGR J17494-3030 Swift J17494-3030",17:49:23.62,-30:29:59.0,"NS (AMXP)",T,,assumed 8,74.9445,9.35E-11,
21,HETE J1900.1–2455,19:00:09.77,-24:54:04,"NS (AMXP )",T,Short-B,"2.9±0.1(H), 3.8(He)",83.2543,3.92E-10,V=18.09±0.03
22,"1E 1603.6+2600 UW CrB, MS 1603.6+2600, MS 1603+260",16:05:45.8746,+25:51:45.2464,NS,P,short-B,Gaia 2.1,111.04,4.19E-12,R=19.4
23,"IGR J17379–3747 IGR J17364–2711, IGR J17380–3749,XTE J1737– 376.",17:37:58.84,-37:46:18.35,"NS (AMXP)",T,Short-B,assumed 8.5,111.65,1.23E-10,R=21.5
24,4U 1812-12,18:15:06.15,-12:05:46.7,NS,P,Short-B,"2.3(H), 3(He)",114,3.80E-10,r=22.7
25,"4U 1728-34 GX 354-0, MX 1728-34",17:31:57.68,-33:50:01.54,NS,P,Short-B (He),"3.3±0.5(H), 4.4±0.7 (He)",,2.08E-09,K=15.1
26,"NGC 6652 B CXOGLB J183544.5-325939 (in NGC 6652)",18:35:44.54,-32:59:38.97,NS,T,Short-B,9.464,,7.52E-13,B = 20.4
27,"4U 1822-00 4U 1823-00, 4U 1822-000",18:25:22.02,-00:00:43.0,NS,P,Short-B,13,,5.80E-10,r'=21.58±0.08
28,"4U 1905+000 4U 1857+01, 1H 1905+000, XB 1905+000",19:08:26.97,+00:10:07.7,NS,T,Short-B,"7.5 (H), 10 (He)",,1.57E-10,V = 20.5±0.04
29,"RX J1709.5-2639 XTE J1709-267, 1RXS J170930.2-263927 (in NGC 6293)",17:09:30.4,-26:39:19.9,NS,T,Short-B,9.192,,9.10E-10,"R=20.5±0.1 qR=22.24±0.03"
30,AX J1754.2-2754,17:54:14.5,-27:54:35.6,NS,P,"Short-B IB","6.6±0.3(H), 9.2±0.4(He)",,9.55E-12,Ks=18.12±0.15
31,"1RXS J171824.2-402934 RX J1718.4−4029",17:18:24.14,-40:29:33.04,NS,P,short-B,"4.7±0.3(H), 6.1±0.4(He)",,3.75E-12,
32,"1RXH J173523.7-354013 1RXS J173524.4−353957, RX J1735.3−3540",17:35:23.75,-35:40:16.1,NS,P,IB,"6.2(H), 9.5(He)",,2.30E-12,V=21.2
33,"XMMU J174716.1-281048 IGR J17464-2811, XMMU J174716.0-281045",17:47:16.16,-28:10:48.0,NS,T,"Short-B IB","<5.3 (H), <8.4 (He)",,6.40E-12,H=15.3±0.1
34,"SAX J1806.5-2215 SWIFT J1806.5-2223, SAX J1806-221",18:06:32.17,-22:14:17.32,NS,T,"Short-B IB","<4.8 (H), <6.2 (He)",,6.60E-10,"K=17.25±0.03 qK>18.2"
35,"AX J1538.3-5541 ChI J153818-5541_1, J1538-5542, AX J153818-5541",15:38:14.00,-55:42:13.6,,P,,assumed 8,,2.57E-11,K=18
36,"Swift J0840.7-3516 GRB 200205A",08:40:40.94,-35:16:25.1,,T,,assumed 8,,9.91E-10,"R=16.3±0.1 qr=21"
37,"1A 1246-588 4U 1246-58",12:49:39.36,-59:05:14.68,NS,P,"Short-B IB","3.0±0.1 (H), 3.8±0.2 (He)",,9.10E-11,V=19.45
38,"SAX J1712.6-3739 1RXS J171237.1–373834",17:12:36.77,-37:38:41.0,NS,P,"Short-B IB","3.7±0.8(H), 4.8±1.0(He)",,1.29E-10,V=23.93±0.26
39,"1RXS J170854.4-321857 4U 1705-32",17:08:54.27,-32:19:57.13,NS,P,IB,"<4.4(H), <5.7(He)",,4.57E-11,K > 20.1
40,"4U 1722-30 4U 1724-30, GRS 1724-308, 1E 1724-3045 (in Terzan 2)",17:27:33.15,-30:48:07.8,NS,P,Short-B,7.753,,5.74E-10,
41,"IGR J17254-3257 1RXS J172525.5-325717, 1RXS J172525.2-325717",17:25:24.8,-32:57:15,NS,P,"Short-B IB",<14.5 (He),,2.77E-11,
42,SLX 1735-269,17:38:17.12,-26:59:38.6,NS,P,"Short-B IB SB","4.5±0.7(H), 5.8±0.9(He)",,3.45E-10,R=21.31±0.12
43,"SLX 1737-282 2E 1737.5-2817, AX J1740.7-2818",17:40:42.83,-28:18:08.4,NS,P,IB,"3.9±0.3(H), 5.1±0.4(He)",,5.53E-11,
44,"SLX 1744-299 AX J1747.4-3000",17:47:25.89,-30:00:01.6,NS,P,IB,<7.2±1.4 (H or He?),,2.08E-10,I=23.37±0.28
45,1RXS J180408.9-342058,18:04:08.37,-34:20:51.19,NS,T,Short-B,<5.8 (He),,1.97E-09,V=17.71±0.02
46,"IGR J17285-2922 XTE J1728-295",17:28:38.86,-29:21:44.0,,T,,assumed 8,,1.04E-10,I=18.24
47,"XMMU J181227.8-181234 XTE J1812-182",18:12:27.8,-18:12:34,NS,T,short-B,"20.9±1.2 (H), 27.2±1.5 (He)",,2.85E-09,
48,"1M 1716-315 1H 1715-321, MX 1716-31",17:18:47.02,-32:10:13.54,NS,T,"short-B IB","5.1(H), 6.9 (He)",,1.07E-09,I>23.5
49,"1A 1744-361 XTE J1748–361, A1744-36",17:48:13.15,-36:07:57.02,NS,T,Short-B,"<7 (H), <9.1 (He)",,1.4E-9,
