Name,RAdeg,DEdeg,PosErr,Coord_Ref,ID_Flag,GLON,GLAT,Xray_Type,Porb,Ppulse,CRSF,Alt_Name,SpType,Gaia_DR3_ID,Gmag,e_Gmag,Vmag,e_Vmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,W1mag,e_W1mag,W2mag,e_W2mag,N_H,Min_Soft_Flux,Max_Soft_Flux,Soft_Xray_Var,Min_Hard_Flux,Max_Hard_Flux,Hard_Xray_Var,Mean_Mass,Low_Mass,High_Mass,Mean_Dist,Low_Dist,High_Dist,Teff,Lopt,IDS,CRSF_Ref,Spin_Ref,Orb_Ref,Spectral_Ref,Dist_Ref,Mass_Ref,Misc_Ref,Comments,_2MASS_ID,CatWISE_ID,ROSAT_ID,XMM_ID,Chandra_ID,XRT_ID,BAT_ID,INTEGRAL_ID
IGR J00370+6122,9.2901325802,61.36013319063,1.2907362240210042E-5,2022arXiv220800211G,0.0,121.22142246530717,-1.4641875176470216,SG,15.67,674.0,,BD+60 73,BN0.5II-III / BN0.7Ib,427234969757165952,9.4547,0.0028,9.66,,8.389,0.024,8.265,0.046,8.166,0.02,8.133999824523926,0.010999999940395355,8.097000122070312,0.00800000037997961,11.82,0.1253,95.5227,762.236372776674,8.008,18.42,2.3001997904067584,,,,3248.0,2589.0,3589.0,15411.1,,"BD+60    73,ALS  6283,GEN# +0.06000073,GSC 04016-00883,HIC   2930,Hilt   43,HIP   2930,IGR J00370+6122,LS   I +61  161,2MASS J00370963+6121363,MCW   28,PBC J0037.2+6120,1RXS J003709.6+612131,SWIFT J0037.2+6123,TIC 284207391,TYC 4016-883-1,UBV     466,UBV M   4254,[KRL2007b] 6,Gaia DR2 427234969757165952,Gaia DR3 427234969757165952,Gaia DR1 427234965464454144",,"2007A&A...469.1063I,2020A&A...634A..49H","2004ATel..281....1D,2020A&A...634A..49H","2005A&A...440..637R,2020A&A...634A..49H",,,,,00370963+6121363,J003709.63+612136.4,2RXS J003710.1+612122,4XMM J003709.8+612136,,2SXPS J003709.6+612135,SWIFT J0037.2+6123,IGR J00370+6122
gam Cas,14.17745099821,60.71672280471,0.0030132916221301915,2022arXiv220800211G,0.0,123.57699287978207,-2.1484215831631004,"BE,Gcas,RS",203.59,,,HIP 4427,B0.5IVpe,426558460884582016,2.0646,0.0065,2.39,,2.039,0.238,1.993,0.182,1.756,0.23,,,,,,157.717,274.058,1.7376566888794487,83.44,83.44,,,,,,,,,,"* gam Cas,*  27 Cas,** BU  499A,** BU 1028A,3A 0053+604,ADS   782 A,AG+60  106,ALS  6407,AT 0037+611,BD+59   144,BSD   8-901,CCDM J00567+6043A,CSI+59   144  1,EM* MWC    9,1ES 0053+60.4,EUVE J0056+60.7,FK5   32,GC  1117,GCRV   526,GEN# +1.00005394,1H 0053+604,HD   5394,HIC   4427,HIP   4427,HR   264,INTREF    57,IRAS 00536+6026,IRC +60031,JP11   439,LS   I +60  133,1M 0050+592,1M 0050+60,2MASS J00564251+6043002,MCW   46,N30  187,PBC J0056.5+6043,PLX  185,PLX  185.00,PMC 90-93    23,PMSC 00507+6010A,PPM  12597,RAFGL  133,1RXS J005642.0+604300,2S 0053+604,SAO  11482,SKY#  1444,SWIFT J0056.7+6043,SWIFT J0056.5+6042,TD1   521,TIC 51962733,TYC 4017-2319-1,4U 0054+60,UBV     833,UCAC4 754-011026,uvby98 100005394 A,V* gam Cas,VDB   5,WDS J00567+6043A,WEB   791,WISE J005642.67+604300.3,1XRS 00537+604,[BM83] X0053+604,[FS2003] 0031,[HFE83]   40,[JE82]   20,[KRL2007b] 9,[KW97]  4-31,AAVSO 0050+60,Gaia DR3 426558460884582016,Gaia DR2 426558460877467776",,,2000A&A...364L..85H,2011ARep...55...31S,,,,,00564251+6043002,,2RXS J005642.4+604256,4XMM J005642.4+604259,,,SWIFT J0056.7+6043,
TYC 3681-695-1,18.99604069884,59.15394486766,1.6877203559831823E-5,2022arXiv220800211G,0.0,126.08001405133092,-3.5676834010056315,Gcas,,,,ALS 6507,B1-2 III/Ve,414196617287885312,11.4121,0.0038,11.36,0.09000000357627869,9.965,0.025,9.73,0.027,9.486,0.02,9.829000473022461,0.013000000268220901,9.49899959564209,0.00800000037997961,,0.2045,0.2045,,,,,,,,2764.0,2453.0,3106.0,19986.3,,"TYC 3681-695-1,ALS  6507,CSI+58-01128,EM* AS   14,EM* GGA   26,Lan 215,LS   I +58   28,2MASS J01155905+5909141,MHA 295-44,TIC 332044806,USNO-B1.0 1491-00041464,2XMM J011559.0+590914,[KW97]  5-14,[MLC92] 13,Gaia DR2 414196617287885312,Gaia DR3 414196617287885312,Gaia DR1 414196612984280448",,,,2016AdSpR..58..782S,,,,,01155905+5909141,J011559.04+590914.1,,4XMM J011558.9+590913,,,,
2S 0114+650,19.51122704686,65.29162260285,1.1638728452885221E-5,2022arXiv220800211G,0.0,125.70998154557309,2.5634909227392417,"CL,SG,XP",11.6,10008.0,22 (2),2S 0114+65,B1Iae,524924310153249920,10.5205,0.0029,11.14,0.07000000029802322,8.597,0.026,8.296,0.034,8.107,0.024,7.796000003814697,0.008999999612569809,7.807000160217285,0.007000000216066837,,101.1,130.893,1.2946883841556165,155.4,155.4,,,,,5229.0,4292.0,7315.0,14131.5,,"HIP   6081,1A 0114+650,1A 0114+65,3A 0114+650,ALS  6517,CSI+65-01147,GSC 04038-00888,HIC   6081,INTEGRAL1   1,LS   I +65   10,2MASS J01180266+6517298,PBC J0118.0+6517,1RXS J011758.8+651730,2S 0114+650,2S 0114+65,SBC9 67,SWIFT J0117.8+6516,SWIFT J0118.0+6517,TIC 54469882,TYC 4038-888-1,4U 0114+65,4U 0114+650,V* V662 Cas,WEB  1369,1XRS 01147+650,[BM83] X0114+650,[FS2003] 0044,[KRL2007b] 11,Gaia DR2 524924310153249920,Gaia DR3 524924310153249920,Gaia DR1 524924305850076160",2005A&A...436L..31B,1992A&A...262L..25F,1985ApJ...299..839C,2015A&A...579A.111K,,,,Superorbital period: 30.76 d (2013ApJ...778...45C),01180266+6517298,J011802.68+651729.8,,4XMM J011802.6+651731,,2SXPS J011802.8+651726,SWIFT J0117.8+6516,
4U 0115+63,19.63319348306,63.74252240558,1.6285576440519386E-5,2022arXiv220800211G,0.0,125.92352060725109,1.0282674016088131,"BE,CL,HT,QPO,XB,XP,XT",24.3,3.61,"12,24,36,48,62",4U 0115+634,B0.2Ve,524677469790488960,14.3045,0.0129,15.19,,11.622,0.025,11.023,0.023,10.629,0.016,10.48900032043457,0.014000000432133675,10.395999908447266,0.008999999612569809,,0.0386,25.53,661.5189280195926,66.26,66.26,,,,,5055.0,3703.0,6605.0,6173.5,,"4U 0115+63,ALS 18773,2E   345,2E 0115.1+6328,1ES 0115+63.4,1H 0115+635,H 0115+634,INTREF    80,INTREF    81,NAME CAS GAMMA-1,NAME Cas gam-1,PBC J0118.5+6343,PSR B0115+63.4,SBC9 69,SWIFT J0118.5+6344,TIC 54527515,2U 0114+63,3U 0115+63,4U 0115+634,V* V635 Cas,WEB  1376,1XRS 01152+634,[BM83] X0115+634,[KRL2007b] 12,Gaia DR2 524677469790488960,Gaia DR3 524677469790488960","1979Natur.282..240W,1991ApJ...375L..49N,1999ApJ...521L..49H,1999ApJ...523L..85S,2012MNRAS.423.2854L","2013A&A...551A...6M,2015MNRAS.454..741I","2013A&A...551A...6M,2015MNRAS.454..741I",2015MNRAS.454..741I,,,,,01183196+6344330,J011831.96+634433.0,,4XMM J011831.9+634433,,2SXPS J011831.6+634431,SWIFT J0118.5+6344,
IGR J01363+6610,23.95771733364,66.2120234668,1.1119802156513398E-5,2022arXiv220800211G,0.0,127.39442768725226,3.7256601593545216,"BE,XT",160.0,,,XMMU J013549.5+661243,B1Ve,519352324516039680,12.4616,0.0035,13.31,,10.039,0.021,9.565,0.031,9.121,0.023,8.62399959564209,0.012000000104308128,8.244000434875488,0.00800000037997961,,0.1174,0.1174,,,,,,,,5690.0,5248.0,6230.0,,,"2MASS J01354986+6612433,IGR J01363+6610,TIC 398026300,USNO-B1.0 1562-00030282,XMMU J013549.5+661243,[KRL2007b] 14,Gaia DR2 519352324516039680,Gaia DR3 519352324516039680",,,2010ATel.3079....1C,2019NewAR..8601546K,,,"2004ATel..275....1G,2011ApJ...728...86T",,01354986+6612433,J013549.84+661243.2,,4XMM J013549.8+661243,,,,
RX J0146.9+6121,26.75087548765,61.35657291151,1.7963574254585304E-5,2022arXiv220800211G,0.0,129.54111027973826,-0.8001093722959798,BE,330.0,1407.4,,LS I +61 235,B1III-Ve,511220031584305536,11.2154,0.0031,11.366,,9.899,0.027,9.7,0.036,9.486,0.02,9.154999732971191,0.014000000432133675,8.986000061035156,0.008999999612569809,3.908,25.4422,105.5,4.146653891050258,,,,,,,2746.0,2597.0,2915.0,,,"RX J0146.9+6121,ALS  6757,Cl* NGC  663      G     136,Cl* NGC  663      L     680,Cl* NGC  663     BG     129,Cl* NGC  663     HH     137,Cl* NGC  663     MV   12021,Cl* NGC  663    SAN      22,Cl* NGC  663    PUM   II-203,CSI+61-01435,EM* VES  625,EM* GGA  104,EM* CDS  201,GEN# +2.06630194,GSC 04032-02521,HBHA 6210-50,INTREF    95,LS   I +61  235,2MASS J01470019+6121236,NAME OKM2018 SWIFT J0147.1+6138,NGC   663   194,PBC J0147.0+6122,1RXS J014659.0+612123,2S 0142+61,SAX J0146.9+6121,SDSS J014700.14+612124.1,TIC 399437313,TYC 4032-2521-1,V* V831 Cas,2XMM J014700.1+612124,[KRL2007b] 18,[KW97]  7-48,[PKK2001] J014700.17+612123.7,Gaia DR2 511220031584305536,Gaia DR3 511220031584305536,Gaia DR1 511220027278589184",,1998A&A...330..189H,2011Ap&SS.332....1R,2014yCat....1.2023S,,,,,01470019+6121236,J014700.20+612123.5,2RXS J014659.0+612124,4XMM J014700.2+612123,,2SXPS J014659.9+612123,,
RX J0148.9+6121,27.224999999999994,61.35,,,2.0,129.7644278475257,-0.7571416870519071,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RX J0148.9+6121,,,,,,,,HMXB candidate (2014RAA....14..673W),,,,,,,,
IGR J01583+6713,29.57703291339,67.22318460661,1.347145129523913E-5,2022arXiv220800211G,0.0,129.35224183773556,5.1887260017550645,"BE,XT",,469.2,,2MASS J01581848+6713234,B2IVe,518990967445248256,13.6875,0.0029,14.43,0.029999999329447746,11.481,0.026,11.033,0.03,10.601,0.021,9.821999549865723,0.00800000037997961,9.63599967956543,0.007000000216066837,0.2061,11.35,11.35,,,,,,,,5783.0,5216.0,6514.0,34246.1,,"2MASS J01581848+6713234,IGR J01583+6713,NAME OKM2018 SWIFT J0159.8+6718,TIC 379252455,Gaia DR2 518990967445248256,Gaia DR3 518990967445248256",,2008MNRAS.386.2253K,,2019NewAR..8601546K,,,"2005ATel..672....1S,2005ATel..681....1H",,01581848+6713234,J015818.48+671323.4,,,,2SXPS J015818.3+671324,,
LS I +61 303,40.13193126483,61.22933050839,1.1744360348695029E-5,2022arXiv220800211G,0.0,135.67527996053988,1.0861279426526071,"BE,GP,RS",26.5,,,2CG 135+01,B0Ve,465645515129855872,10.4022,0.0029,10.75,,8.621,0.024,8.228,0.021,7.917,0.023,7.335999965667725,0.007000000216066837,7.2870001792907715,0.006000000052154064,7.816,2.2138,18.4693,8.342965915854597,,,,,,,2489.0,2407.0,2577.0,,,"HIP  12469,1AGL J0242+6111,2AGL J0239+6120,1AGLR J0240+6115,ALS  7373,AP J02403165+6113456,BWE 0236+6101,1CG 135+01,2CG 135+01,CSI+61-02367,1E 0236.6+6100,2E   627,2E 0236.6+6101,2EG J0241+6119,3EG J0241+6103,EGR J0240+6112,EM* VES  754,1ES 0236+61.0,0FGL J0240.3+6113,1FGL J0240.5+6116,1FGL J0240.5+6113,2FGL J0240.5+6113,3FGL J0240.5+6113,4FGL J0240.5+6113,1FHL J0240.2+6113,2FHL J0240.5+6113,3FHL J0240.5+6113,1FLE J0238+6115,GEN# +8.01610303,GEN# +6.20055754,GeV J0241+6102,GRO J0240+61,GRO J0241+61,GSC 04047-01917,GT 0236+610,HBHA 6212-42,HIC  12469,IGR J02403+6113,INTREF   123,INTREF   125,LS   I +61  303,LS   I +63  303,MAGIC J0240+613,2MASS J02403165+6113456,NAME LS I +63 303,NVSS J024031+611345,PBC J0240.6+6114,RGB J0240+612,RX J0240.4+6112,1RXS J024033.5+611358,SWIFT J0240.5+6118,SWIFT J0240.9+6115,TeV J0240+612,TIC 50190107,TYC 4047-1917-1,UBV M  50704,V* V615 Cas,VER J0240+612,WN B0236.6+6100,2XMM J024031.6+611345,[BM83] X0236+610,[BSF97] J024031.66+611345.6,[CS2018] W4-I19,[KW97] 13-1,[MPP98]  3,[TSA98] J024031.33+611342.71,[VGK85] IC  1805 +61 182,AAVSO 0234+61,AAVSO 0232+60,Gaia DR3 465645515129855872,Gaia DR1 465645510826577280,Gaia DR2 465645515129855872",,,"1982ApJ...255..210T,2002ApJ...575..427G",2005MNRAS.360.1105C,,,,Superorbital period: 1628 d (2016A&A...585A.123M),02403165+6113456,J024031.66+611345.4,,4XMM J024031.6+611345,J024031.6+611345,2SXPS J024031.5+611345,,
