name,ra,dec,PU_X,significance,F_b,HR_hms,P_inter,P_intra,G,J,W1,cp_counts,CSC_flags,Class,Class_prob,Class_prob_e,conf_flag,CT,PU_TeV,TeV_extent,true_Class,P_AGN,P_CV,P_HM-STAR,P_LM-STAR,P_HMXB,P_LMXB,P_NS,P_YSO,e_P_AGN,e_P_CV,e_P_HM-STAR,e_P_LM-STAR,e_P_HMXB,e_P_LMXB,e_P_NS,e_P_YSO
IC2395_CXO_noconversion-1.0,130.60830585289628,-48.19215380879279,0.873024389837958,10.615701,1.1565103360962814e-14,-0.15825128230198907,0.99,0.9999052286807372,17.401417,14.47700023651123,13.526,9,,YSO,0.6294099999999999,0.11275222820399138,1,2.3202334672448672,12.0,point,,0.07643000000000001,0.16978000000000001,0.01636,0.04847,0.00846,0.04931,0.0017800000000000001,0.6294099999999999,0.04838073785915003,0.08534421617916023,0.038458151664236634,0.03411338187314214,0.012537367570011887,0.03263876819350248,0.004341710544295925,0.11275222820399138
IC2395_CXO_noconversion-10.0,130.61568133588983,-48.13707205600194,0.3538106693090773,3.244619,3.313198531867453e-15,-0.5036902721107648,,0.4626431652276311,20.224592,16.590999603271484,,6,,LMXB,0.31779,0.09209178463248938,0,0.5186062026187801,12.0,point,,0.05299,0.21356,0.0425,0.05929,0.00839,0.31779,0.21197,0.09351000000000001,0.034556534173062745,0.08732096742106875,0.025471529180612608,0.03448746562572096,0.014748743181214647,0.09209178463248938,0.11195513857368518,0.0512953322546127
IC2395_CXO_noconversion-100.0,130.57573266057057,-48.05383916235621,1.1735104196892188,5.0337744,8.500009617590019e-15,0.36953146792199004,,0.6025730698478202,17.882193,14.62399959564209,13.595,9,,YSO,0.35695,0.1738897211888475,0,0.3012359451457823,12.0,point,,0.03286,0.25557,0.027719999999999998,0.08913,0.062240000000000004,0.13958,0.03595,0.35695,0.024515738239372316,0.16265710077470477,0.03787659219407464,0.06708086868059289,0.08144701354878527,0.07440537453544442,0.03739647036815099,0.1738897211888475
IC2395_CXO_noconversion-101.0,130.58764301943748,-48.05011273620167,1.1888156676890855,4.5857134,3.016217043064372e-15,0.5948882247083708,,,,,,0,,NS,0.47647,0.20816621309009842,0,0.17059833379468764,12.0,point,,0.40819,0.00037,0.06825,0.00016,1e-05,0.03426,0.47647,0.01229,0.1920721625213181,0.0040223474836566875,0.07868054478794696,0.002275868972410226,0.000316227766016838,0.07746388224878127,0.20816621309009842,0.02094503746940058
IC2395_CXO_noconversion-102.0,130.5713452581979,-48.021240382931005,1.3751330287326955,6.3894906,8.99365287634483e-15,-0.21317811285346905,,0.0129217183677687,,,,0,,NS,0.53051,0.24631221977321718,0,0.25740486407342344,12.0,point,,0.0416,0.00536,0.00641,0.00781,1e-05,0.40770999999999996,0.53051,0.0005899999999999999,0.10630588384911219,0.020171199202756313,0.014574783851718837,0.02261891941529294,0.000316227766016838,0.23075724215028398,0.24631221977321718,0.0027856165672359976
IC2395_CXO_noconversion-103.0,130.5368140073166,-48.01789408460714,1.390909763866515,10.280297,4.5112562780707426e-15,-0.3570844487356681,,,12.34317,11.425000190734863,10.971,9,,HM-STAR,0.40676,0.09284784931878136,0,0.31279773785052056,12.0,point,,0.00203,0.00547,0.40676,0.17912,0.04961,0.0055,4e-05,0.35147,0.004669143486861472,0.013399949949856481,0.09284784931878136,0.08778685626067338,0.03882596238801242,0.009942275838501402,0.0006315051850925681,0.08391174101566644
IC2395_CXO_noconversion-104.0,130.63528276119044,-48.01290043415588,1.4363293438468463,6.064333,4.6262580983836105e-15,0.17081360793718922,,,,,,0,,NS,0.6591,0.2350609360222232,0,1.073275399799138,12.0,point,,0.21836000000000003,0.0008900000000000001,0.0682,0.0002,0.0,0.046740000000000004,0.6591,0.00651,0.17558855811738341,0.004089575115415369,0.10088179784845797,0.0016008006005004357,0.0,0.062495424457139855,0.2350609360222232,0.013575868451196925
IC2395_CXO_noconversion-105.0,130.52440104618242,-48.00601696824588,1.7488553206123203,8.865565,1.3072242596414932e-14,0.51678691265357,,,16.957285,13.6899995803833,12.669,9,,YSO,0.2867,0.09047151537967676,0,0.30927419976948334,12.0,point,,0.0487,0.02877,0.17878,0.02784,0.20876,0.21181,0.00864,0.2867,0.02790140656828053,0.02810653086165345,0.09911172854276505,0.022050410894598325,0.07873920409975108,0.15167606775470388,0.01660801692635896,0.09047151537967676
IC2395_CXO_noconversion-106.0,130.57078683070668,-47.98650832366783,1.2469440877499758,15.278761,3.275813282200952e-14,0.6753836271711352,,,,,15.095286941798422,2,,AGN,0.9024800000000001,0.03697589507796692,1,12.409703157465467,12.0,point,,0.9024800000000001,0.00135,0.002,8.999999999999999e-05,0.00424,0.00621,0.05869,0.02494,0.03697589507796692,0.003806834904745935,0.005042363079492136,0.0009448771310560924,0.006742986568863076,0.009593118780038537,0.031018479105946607,0.017265413244243383
IC2395_CXO_noconversion-107.0,130.6381544019645,-48.22051209113088,1.7127907143465826,4.759611,9.310525834395701e-14,-0.9394369965257565,0.681,0.9682745417794584,17.413223,14.493000030517578,13.298,9,,CV,0.39208,0.10546182150804993,0,0.7819441201701225,12.0,point,,0.02336,0.39208,0.00174,0.09171000000000001,0.019170000000000003,0.22945,0.00906,0.23343,0.01669098526118183,0.10546182150804993,0.013607261207074608,0.050222486977430765,0.015252663496705874,0.10251979227353032,0.01155204959519521,0.08226848244135299
