,name,ra,dec,Class,F_b,F_h,F_m,F_s,P_inter,P_intra,Signif.,G,BP,RP,J,H,K,W1,W2,W3
43,IC2395_CXO-140.0,130.56175203464215,-47.98129238675572,AGN,6.551050740495176e-15,4.781333664006477e-15,1.7617382308806701e-15,7.978845608028655e-18,,,7.208418,,,,,,,16.183,15.926,
48,IC2395_CXO-16.0,130.56037242560387,-48.12254164797685,LM-STAR,8.722537419558816e-14,1.1113666014132097e-14,1.8357145439680893e-14,5.775456274177518e-14,0.363,0.7381067161266972,79.39858,12.371748,12.741375,11.824839,11.19499969482422,10.755999565124512,10.722000122070312,10.629,10.672,10.95
52,IC2395_CXO-2.0,130.61490136081335,-48.17744097214102,LMXB,1.165705763483813e-13,2.0654981227271548e-14,2.8231828990430488e-14,6.768376613067926e-14,0.833,0.9999308525434456,81.80928,,,,,,,,,
55,IC2395_CXO-22.0,130.59988012127272,-48.09299227395184,NS,2.2780089527991715e-14,7.978845608028655e-18,1.4705387504961857e-15,2.1301571931887505e-14,,,2.7632787,,,,,,,,,
63,IC2395_CXO-3.0,130.62959735291656,-48.17518050765273,NS,4.2871160034024e-14,3.4788696646653465e-14,5.700337755513692e-15,2.382125631856853e-15,,0.1356959166915993,35.089256,,,,,,,,,
69,IC2395_CXO-35.0,130.48276809755467,-48.14407606173332,NS,7.218322865425974e-14,5.543744171344632e-14,9.561493600442376e-15,7.184293340371026e-15,0.296,0.6829538817069192,35.818398,,,,,,,,,
73,IC2395_CXO-39.0,130.51842058831278,-48.11769163801982,NS,9.175905753942562e-15,7.023562095281587e-15,2.144364813052947e-15,7.978845608028655e-18,,,10.356618,,,,,,,,,
74,IC2395_CXO-4.0,130.6474432487236,-48.15703972144032,NS,2.646450227079601e-14,2.2105122620125528e-14,3.2568388772989968e-15,1.1025407733714882e-15,0.851,0.0446212346055365,29.446436,,,,,,,,,
75,IC2395_CXO-40.0,130.72723013980365,-48.1083528224763,LMXB,3.5657914258179817e-14,1.0136390743253101e-14,7.860848345229775e-15,1.7660675169696942e-14,0.846,0.999979265718721,34.183174,,,,,,,,,
89,IC2395_CXO-53.0,130.71572038136011,-48.21084617932621,NS,4.679583013889032e-14,4.1921190800603926e-14,3.886565826994842e-15,9.880735112915537e-16,0.899,0.3210942427399245,17.149721,,,,,,,,,
106,IC2395_CXO-69.0,130.56595947507958,-48.1019697833637,YSO,3.3218558646064648e-15,1.655695695610043e-15,7.761385911894778e-16,8.900215778069443e-16,,0.3444533221165219,4.0649285,17.607317,17.023714,16.197224,12.192999839782717,13.43299961090088,13.14900016784668,,,
118,IC2395_CXO-8.0,130.6360816292092,-48.14449215327206,LMXB,6.713778519622105e-14,2.5561253891578315e-14,1.6887088294301595e-14,2.4689443010341142e-14,1.0,1.0,88.95247,16.948204,18.38505,15.77686,,,,,,
120,IC2395_CXO-81.0,130.62747156720786,-48.17736239686931,AGN,4.033330010871548e-15,3.582609225283975e-15,4.427419399795444e-16,7.978845608028655e-18,,,2.610684,,,,,,,15.876,16.107,
134,IC2395_CXO-94.0,130.80400326672398,-48.10113163629635,NS,3.342915325652386e-14,2.2117773209453427e-14,4.581136012035714e-15,6.730244035034721e-15,,0.0278881961584015,15.179233,,,,,,,,,
135,IC2395_CXO-95.0,130.55683596430555,-48.0987626729643,HM-STAR,2.653953725749667e-15,7.0720573351108015e-16,1.1705274485826958e-15,7.762205436558908e-16,,,3.5339994,14.354387,14.969107,13.592217,,,,,,
