name,ra,dec,PU_X,significance,F_b,HR_hms,P_inter,P_intra,G,J,W1,cp_counts,CSC_flags,Class,Class_prob,Class_prob_e,conf_flag,CT,PU_TeV,TeV_extent,true_Class,P_AGN,P_CV,P_HM-STAR,P_LM-STAR,P_HMXB,P_LMXB,P_NS,P_YSO,e_P_AGN,e_P_CV,e_P_HM-STAR,e_P_LM-STAR,e_P_HMXB,e_P_LMXB,e_P_NS,e_P_YSO
IC2395_CXO-1.0,130.60830585289628,-48.19215380879279,0.5082845551126374,10.615701,1.6521599718538043e-14,-0.4107767353053374,0.731,0.9999052286807372,,,,0,,LMXB,0.52944,0.12852394642557777,0,0.9469748642287623,12.0,point,,0.027260000000000003,0.02076,0.00027,0.10790999999999999,1e-05,0.52944,0.30903,0.00532,0.029215508654581838,0.018186620168496204,0.0017407268970548275,0.05715416431458432,0.000316227766016838,0.12852394642557777,0.10422774353559865,0.00821980323153573
IC2395_CXO-10.0,130.61568133588983,-48.13707205600194,0.9009445020723782,3.244619,4.518878423757295e-15,-0.6361104443197414,,0.4626431652276311,20.224592,16.590999603271484,,6,,NS,0.28431,0.12406335323380403,0,0.1816166485697905,12.0,point,,0.0514,0.22006,0.03369,0.07619,0.00875,0.24709,0.28431,0.07851000000000001,0.032022889711352816,0.08527759769522514,0.02253423377201213,0.04661498532507393,0.011351932274567466,0.08087380584881902,0.12406335323380403,0.0451344327206737
IC2395_CXO-100.0,130.57573266057057,-48.05383916235621,1.1735104196892188,5.0337744,9.724369235617244e-15,0.1970987903556492,,0.6025730698478202,17.882193,14.62399959564209,13.595,9,,YSO,0.33409,0.1413993128189301,0,0.1744268152820044,12.0,point,,0.02966,0.28326999999999997,0.011890000000000001,0.13546,0.046700000000000005,0.12332000000000001,0.03561,0.33409,0.025054183525154265,0.14995497188687532,0.021108611358246022,0.1157851225097361,0.06725647502979501,0.0753542026422937,0.037102621261906894,0.1413993128189301
IC2395_CXO-101.0,130.58764301943748,-48.05011273620167,1.1888156676890855,4.5857134,3.016217043064372e-15,0.5948882247083708,,,,,,0,,NS,0.47154,0.2109144691890846,0,0.14073718129043547,12.0,point,,0.41469,0.00033,0.06801,5e-05,0.0,0.03388,0.47154,0.0115,0.19302995742750517,0.004172350477669454,0.07620857988210811,0.0007056897321046961,0.0,0.07692765083806646,0.2109144691890846,0.020880277440349936
IC2395_CXO-102.0,130.5713452581979,-48.021240382931005,1.3751330287326955,6.3894906,5.411143049234996e-15,0.3077464158902427,0.192,0.0129217183677687,,,,0,,AGN,0.39171,0.19852150182457995,0,0.3308423375882658,12.0,point,,0.39171,0.01584,0.0659,0.00102,0.0,0.27357,0.24728999999999998,0.00467,0.19852150182457995,0.026532968141510266,0.04023939871828617,0.010903140762114303,0.0,0.15856701611179608,0.13498064926379508,0.0075463930488709665
IC2395_CXO-103.0,130.5368140073166,-48.01789408460714,1.390909763866515,10.280297,1.0936364832428434e-14,-0.7347969950389354,0.97,0.7201436152670818,12.34317,11.425000190734863,10.971,9,,LM-STAR,0.70043,0.15864136340243118,0,1.7962979007257833,12.0,point,,0.00051,0.0023599999999999997,0.17075,0.70043,0.0011,0.00434,1e-05,0.1205,0.002458850533470051,0.006169965029760578,0.13623177528240832,0.15864136340243118,0.007526396657541157,0.007989257051079791,0.000316227766016838,0.05713855803933815
IC2395_CXO-104.0,130.63528276119044,-48.01290043415588,1.4363293438468463,6.064333,8.466922562422535e-15,-0.36027690161519527,,0.05125010536451,,,,0,,NS,0.4787,0.21877562198008427,0,0.007578109933871581,12.0,point,,0.022539999999999998,0.01476,0.005810000000000001,0.00231,0.0,0.47535000000000005,0.4787,0.00053,0.03937637488264885,0.031621864940928814,0.010461995667813738,0.008416337370539198,0.0,0.22328711255832626,0.21877562198008427,0.002650684086443747
IC2395_CXO-105.0,130.52440104618242,-48.00601696824588,1.7488553206123203,8.865565,1.729724252663469e-14,0.146298692334537,,0.5845220374788258,16.957285,13.6899995803833,12.669,9,,YSO,0.44861,0.17564002196913236,0,0.6472126944455584,12.0,point,,0.01254,0.22229,0.036789999999999996,0.06665,0.025490000000000002,0.18238,0.00525,0.44861,0.013073611563730943,0.17404409569774906,0.048688463381651996,0.05166572216515363,0.03099549355342838,0.08646509013360144,0.010735583484503888,0.17564002196913236
IC2395_CXO-106.0,130.57078683070668,-47.98650832366783,1.2469440877499758,15.278761,7.10992796912618e-14,-0.22808726579212782,,0.9764211935617276,,,15.095286941798422,2,,AGN,0.37427999999999995,0.14242811298113636,0,0.7206353558263424,12.0,point,,0.37427999999999995,0.06315,0.0020499999999999997,0.1701,0.00149,0.12253,0.21986,0.04654,0.14242811298113636,0.029961227864945317,0.004595499822502296,0.07417878734848991,0.003885227791905514,0.050727432148418204,0.07185501752517735,0.027593292478241674
IC2395_CXO-107.0,130.6381544019645,-48.22051209113088,1.7127907143465826,4.759611,5.232756310037579e-15,0.0775839252707167,0.064,0.9682745417794584,17.413223,14.493000030517578,13.298,9,,YSO,0.66451,0.13501403145113716,1,2.31781998772846,12.0,point,,0.01009,0.06193,0.11409,0.060730000000000006,0.02402,0.06262000000000001,0.00201,0.66451,0.010770696723420825,0.049063043956549215,0.10245911267315255,0.07699152417503367,0.0329138712843525,0.06264870677404655,0.006316628831884917,0.13501403145113716
IC2395_CXO-108.0,130.7510634768544,-48.21839496871623,1.9569703730082333,9.683193,1.3376360450695781e-14,-0.021305919068893855,0.947,0.875517234334866,10.333393,10.208000183105469,10.129,9,,HM-STAR,0.5229299999999999,0.12833543970815336,0,1.1829285246663537,12.0,point,,0.00126,0.00101,0.5229299999999999,0.24309999999999998,0.00055,0.0043100000000000005,0.0,0.22684,0.0036090754252890603,0.004011981554792592,0.12833543970815336,0.10822154084054572,0.0026466024454958317,0.008944490142199496,0.0,0.08824965950303948
IC2395_CXO-109.0,130.68704870562297,-48.21189490127711,1.5567527270472534,7.1935277,1.2638870185025014e-14,-0.5293212815394086,0.956,0.9601105074654211,14.950864,13.388999938964844,12.508,9,,LM-STAR,0.69208,0.20675304210681023,0,1.6213706844518447,12.0,point,,0.00103,0.07662000000000001,0.0079,0.69208,0.0058,0.0284,0.00058,0.18759,0.0034133196086435762,0.09475206358467109,0.024003461545497273,0.20675304210681023,0.015491933384829666,0.04210953826881997,0.003236367419511275,0.10439727338724267
IC2395_CXO-11.0,130.5792457691213,-48.13680822935239,0.1780834015864659,106.086174,1.1513824206802314e-13,-0.49688760162703866,0.131,0.9922859157010132,13.13468,11.685999870300291,10.99,8,,CV,0.40274,0.17743893872816346,0,0.22235012579998806,12.0,point,,0.00051,0.40274,0.00496,0.33132999999999996,0.0077800000000000005,0.036789999999999996,0.00107,0.21481999999999998,0.0022010780869257565,0.17743893872816346,0.007540242387036054,0.14372121237620739,0.009755345548301549,0.023011419456987557,0.0034009802508492555,0.08394530608922939
IC2395_CXO-110.0,130.6578184718083,-48.21116211031022,1.6459148405078985,4.9877768,6.024939428224086e-15,0.25101843825308723,,0.3142897686854182,16.08141,13.744999885559082,12.607,9,,YSO,0.66599,0.13564741103360628,1,2.193550972686735,12.0,point,,0.015370000000000002,0.048600000000000004,0.10492,0.043980000000000005,0.07717,0.043340000000000004,0.00063,0.66599,0.015109314722759311,0.03980231430738951,0.1201341992349632,0.05705448987428436,0.045167811893329864,0.03448236409287265,0.003116538594789549,0.13564741103360628
IC2395_CXO-111.0,130.58678087000123,-48.20830281382721,1.6639733105440264,4.2981873,7.552940981867834e-15,0.06615496728409202,,0.1851148745406118,15.268388,13.25,12.27,9,,YSO,0.53318,0.12928031946511037,0,1.3258376574587554,12.0,point,,0.00602,0.07128,0.09606,0.17736000000000002,0.03705000000000001,0.07839,0.00066,0.53318,0.008534191961306734,0.03876937792465422,0.12026362600445625,0.13909341241546036,0.02618172994633821,0.05314444686166403,0.00363009332904508,0.12928031946511037
IC2395_CXO-112.0,130.61760098712634,-48.193404742792566,1.4267897699752503,4.6067524,2.722784826793363e-15,0.41967279279642866,,0.4139931382466161,17.242052,14.189000129699709,13.079,8,,YSO,0.42641,0.11731314621249522,0,1.025742128206687,12.0,point,,0.017410000000000002,0.055380000000000006,0.19590000000000002,0.14386000000000002,0.103,0.05380000000000001,0.00424,0.42641,0.014973847739178998,0.03486647775831781,0.10741195151065519,0.07431165872608832,0.053839564436376164,0.04065233834126413,0.010085837799812378,0.11731314621249522
