AGN,CV,HM-STAR,HMXB,LM-STAR,LMXB,NS,YSO,Class,Class_prob,name
0.0,0.32,0.19,0.0,0.06,0.18,0.0,0.25,CV,0.32,IC2395_CXO-18.0
0.07,0.01,0.01,0.0,0.27,0.18,0.4,0.06,NS,0.4,IC2395_CXO-21.0
0.0,0.01,0.0,0.0,0.14,0.64,0.2,0.01,LMXB,0.64,IC2395_CXO-2.0
0.06,0.46,0.03,0.0,0.2,0.09,0.01,0.15,CV,0.46,IC2395_CXO-11.0
0.01,0.23,0.13,0.0,0.08,0.22,0.0,0.33,YSO,0.33,IC2395_CXO-15.0
0.0,0.38,0.03,0.0,0.01,0.31,0.0,0.27,CV,0.38,IC2395_CXO-5.0
0.0,0.11,0.0,0.0,0.87,0.0,0.0,0.02,LM-STAR,0.87,IC2395_CXO-16.0
0.03,0.12,0.0,0.0,0.0,0.06,0.79,0.0,NS,0.79,IC2395_CXO-35.0
0.27,0.07,0.0,0.0,0.18,0.2,0.26,0.02,AGN,0.27,IC2395_CXO-106.0
0.0,0.57,0.01,0.01,0.0,0.28,0.0,0.13,CV,0.57,IC2395_CXO-139.0
0.04,0.09,0.02,0.0,0.0,0.57,0.03,0.25,LMXB,0.57,IC2395_CXO-8.0
0.06,0.38,0.03,0.0,0.22,0.16,0.01,0.14,CV,0.38,IC2395_CXO-52.0
0.05,0.17,0.0,0.02,0.06,0.25,0.43,0.02,NS,0.43,IC2395_CXO-133.0
0.01,0.13,0.29,0.0,0.17,0.22,0.0,0.18,HM-STAR,0.29,IC2395_CXO-24.0
0.01,0.24,0.12,0.0,0.07,0.23,0.0,0.33,YSO,0.33,IC2395_CXO-19.0
0.0,0.38,0.03,0.0,0.0,0.28,0.0,0.31,CV,0.38,IC2395_CXO-6.0
0.01,0.01,0.01,0.0,0.02,0.24,0.71,0.0,NS,0.71,IC2395_CXO-14.0
0.07,0.34,0.04,0.0,0.14,0.23,0.01,0.17,CV,0.34,IC2395_CXO-23.0
0.22,0.03,0.02,0.0,0.0,0.05,0.68,0.0,NS,0.68,IC2395_CXO-53.0
0.34,0.02,0.01,0.0,0.0,0.02,0.61,0.0,NS,0.61,IC2395_CXO-3.0
0.0,0.76,0.0,0.0,0.0,0.22,0.02,0.0,CV,0.76,IC2395_CXO-122.0
0.04,0.36,0.02,0.0,0.0,0.26,0.16,0.16,CV,0.36,IC2395_CXO-29.0
0.0,0.01,0.0,0.0,0.08,0.69,0.2,0.02,LMXB,0.69,IC2395_CXO-40.0
0.01,0.0,0.0,0.0,0.01,0.17,0.81,0.0,NS,0.81,IC2395_CXO-84.0
0.0,0.02,0.0,0.0,0.02,0.13,0.83,0.0,NS,0.83,IC2395_CXO-116.0
0.0,0.28,0.2,0.0,0.21,0.06,0.02,0.23,CV,0.28,IC2395_CXO-72.0
0.08,0.03,0.03,0.0,0.0,0.28,0.58,0.0,NS,0.58,IC2395_CXO-94.0
0.04,0.45,0.02,0.0,0.07,0.14,0.17,0.11,CV,0.45,IC2395_CXO-78.0
0.03,0.38,0.01,0.0,0.07,0.23,0.16,0.12,CV,0.38,IC2395_CXO-34.0
0.33,0.3,0.0,0.0,0.03,0.3,0.0,0.04,AGN,0.33,IC2395_CXO-141.0
0.17,0.0,0.0,0.0,0.0,0.07,0.76,0.0,NS,0.76,IC2395_CXO-4.0
0.0,0.02,0.01,0.0,0.0,0.8,0.17,0.0,LMXB,0.8,IC2395_CXO-54.0
0.27,0.0,0.0,0.0,0.0,0.15,0.58,0.0,NS,0.58,IC2395_CXO-48.0
0.0,0.0,0.0,0.0,0.0,0.02,0.98,0.0,NS,0.98,IC2395_CXO-22.0
0.04,0.33,0.03,0.0,0.08,0.21,0.14,0.17,CV,0.33,IC2395_CXO-89.0
0.07,0.18,0.05,0.01,0.19,0.1,0.05,0.35,YSO,0.35,IC2395_CXO-83.0
0.02,0.23,0.01,0.0,0.07,0.39,0.03,0.25,LMXB,0.39,IC2395_CXO-20.0
0.0,0.3,0.0,0.0,0.08,0.1,0.0,0.52,YSO,0.52,IC2395_CXO-47.0
0.02,0.17,0.3,0.01,0.06,0.11,0.01,0.32,YSO,0.32,IC2395_CXO-25.0
0.04,0.35,0.03,0.04,0.03,0.1,0.29,0.12,CV,0.35,IC2395_CXO-97.0
0.01,0.11,0.11,0.06,0.05,0.07,0.0,0.59,YSO,0.59,IC2395_CXO-105.0
0.08,0.07,0.0,0.0,0.0,0.22,0.62,0.01,NS,0.62,IC2395_CXO-77.0
0.02,0.03,0.0,0.0,0.01,0.02,0.0,0.92,YSO,0.92,IC2395_CXO-73.0
0.03,0.27,0.04,0.0,0.02,0.23,0.07,0.34,YSO,0.34,IC2395_CXO-55.0
0.04,0.01,0.0,0.0,0.1,0.5,0.34,0.01,LMXB,0.5,IC2395_CXO-1.0
0.02,0.26,0.08,0.0,0.05,0.2,0.06,0.33,YSO,0.33,IC2395_CXO-50.0
0.0,0.09,0.04,0.0,0.37,0.0,0.0,0.5,YSO,0.5,IC2395_CXO-64.0
0.01,0.37,0.03,0.0,0.08,0.3,0.04,0.17,CV,0.37,IC2395_CXO-131.0
0.04,0.18,0.19,0.0,0.07,0.17,0.02,0.33,YSO,0.33,IC2395_CXO-91.0
0.01,0.48,0.0,0.01,0.18,0.05,0.0,0.27,CV,0.48,IC2395_CXO-58.0
0.12,0.19,0.03,0.01,0.2,0.12,0.05,0.28,YSO,0.28,IC2395_CXO-51.0
0.0,0.01,0.25,0.0,0.36,0.0,0.0,0.38,YSO,0.38,IC2395_CXO-108.0
0.07,0.01,0.0,0.0,0.0,0.05,0.87,0.0,NS,0.87,IC2395_CXO-90.0
0.04,0.16,0.04,0.03,0.19,0.08,0.0,0.46,YSO,0.46,IC2395_CXO-33.0
0.03,0.21,0.03,0.0,0.06,0.35,0.05,0.27,LMXB,0.35,IC2395_CXO-41.0
0.14,0.17,0.06,0.02,0.02,0.18,0.1,0.31,YSO,0.31,IC2395_CXO-82.0
0.0,0.32,0.09,0.01,0.08,0.17,0.0,0.33,YSO,0.33,IC2395_CXO-109.0
0.0,0.44,0.2,0.01,0.15,0.02,0.01,0.17,CV,0.44,IC2395_CXO-136.0
0.1,0.19,0.06,0.0,0.01,0.15,0.14,0.35,YSO,0.35,IC2395_CXO-26.0
0.04,0.39,0.04,0.0,0.05,0.18,0.12,0.18,CV,0.39,IC2395_CXO-27.0
0.0,0.24,0.21,0.01,0.07,0.13,0.0,0.34,YSO,0.34,IC2395_CXO-12.0
0.02,0.34,0.13,0.0,0.05,0.11,0.06,0.29,CV,0.34,IC2395_CXO-63.0
0.1,0.13,0.08,0.0,0.27,0.09,0.04,0.29,YSO,0.29,IC2395_CXO-44.0
0.2,0.13,0.12,0.01,0.03,0.14,0.09,0.28,YSO,0.28,IC2395_CXO-123.0
0.04,0.41,0.02,0.0,0.06,0.22,0.13,0.12,CV,0.41,IC2395_CXO-28.0
0.17,0.0,0.25,0.0,0.0,0.07,0.51,0.0,NS,0.51,IC2395_CXO-61.0
0.02,0.08,0.43,0.0,0.14,0.2,0.0,0.13,HM-STAR,0.43,IC2395_CXO-103.0
0.0,0.0,0.01,0.0,0.0,0.21,0.78,0.0,NS,0.78,IC2395_CXO-129.0
0.0,0.0,0.0,0.0,0.0,0.08,0.92,0.0,NS,0.92,IC2395_CXO-113.0
0.28,0.0,0.19,0.0,0.0,0.03,0.49,0.01,NS,0.49,IC2395_CXO-45.0
0.07,0.44,0.0,0.0,0.01,0.12,0.26,0.1,CV,0.44,IC2395_CXO-100.0
