,name,ra,dec,Class,F_b,F_h,F_m,F_s,P_inter,P_intra,Signif.,G,BP,RP,J,H,K,W1,W2,W3
0,2CXO J084131.5-481004,130.38154166666666,-48.16797777777778,YSO,1.2571304265425642e-14,5.05695377671248e-15,5.097914637130207e-15,2.416435851582956e-15,0.999,0.883,6.73,16.959389,17.656107,15.173949,13.503999710083008,12.791999816894531,12.552000045776367,12.471,12.389,11.865
1,2CXO J084136.6-480936,130.40283333333332,-48.16023611111111,YSO,7.66599187541144e-15,4.236895082182623e-15,1.506186585438426e-15,1.922910207790392e-15,0.465,1.0,5.41,16.32721,17.400106,15.287803,13.76200008392334,12.991000175476074,12.852999687194824,12.684,12.816,12.718
6,2CXO J084152.4-480745,130.4685,-48.12929166666667,YSO,7.330146165556221e-15,3.3298417946595404e-15,2.4264369498825147e-15,1.5738674210141664e-15,0.442,0.683,5.5,17.017242,18.46737,15.789278,13.977999687194824,13.277999877929688,13.015000343322754,,,
8,2CXO J084152.6-480826,130.4693333333333,-48.14063333333333,YSO,3.519179808850104e-15,9.75193288999055e-16,1.3716069736119538e-15,1.1723795462390946e-15,0.479,0.677,4.0,16.824114,18.051363,15.707589,14.118000030517578,13.406000137329102,13.29800033569336,,,
9,2CXO J084153.2-475911,130.47183333333334,-47.98647777777778,YSO,1.9824082512629358e-14,6.063155435445614e-15,8.695672180377591e-15,5.065254896806154e-15,0.995,1.0,8.47,14.684675,15.318529,13.918312,12.826000213623049,12.223999977111816,12.10099983215332,12.017,12.019,12.035
11,2CXO J084155.7-480653,130.48233333333332,-48.11485277777778,YSO,9.671624424009875e-15,6.956736949632045e-16,2.7354251430452307e-15,6.240525586001442e-15,0.698,0.619,4.9,15.72576,16.55076,14.81418,13.61400032043457,12.871000289916992,12.704999923706056,12.412,12.465,10.835
12,2CXO J084155.8-480838,130.48258333333334,-48.144041666666666,NS,6.43177596560163e-14,4.78244834823587e-14,7.839132971114182e-15,8.654143202543431e-15,0.762,0.698,13.46,,,,,,,,,
15,2CXO J084203.7-480406,130.51579166666664,-48.06856388888889,YSO,1.5645180792006982e-14,6.035910511430709e-15,4.9628204183527854e-15,4.646449862223484e-15,0.244,0.977,7.7,16.27799,17.28586,15.275076,13.975000381469728,13.265000343322754,13.001999855041504,12.927,12.878,12.505
16,2CXO J084203.9-475856,130.51649999999995,-47.98231666666667,YSO,5.30292228806262e-15,2.105519694125804e-15,1.2049019389108477e-15,1.992500655025969e-15,0.391,0.954,2.61,17.581959,19.373482,16.26517,14.288999557495115,13.61299991607666,13.345999717712402,,,
18,2CXO J084204.8-480404,130.52012499999998,-48.06785555555556,YSO,2.779510621951145e-15,7.848001121376403e-16,1.2597151557373374e-15,7.34995354076167e-16,0.616,0.73,3.05,17.60822,19.20406,16.396952,14.59000015258789,13.83199977874756,13.657999992370604,13.602,13.539,12.484
20,2CXO J084205.0-480737,130.52116666666663,-48.12710277777778,YSO,2.964185796480089e-15,1.267413062825607e-15,3.6963728312267436e-16,1.327135450531808e-15,0.257,,2.15,17.007532,18.564335,15.789045,14.074999809265137,13.348999977111816,13.012999534606934,12.918,12.837,10.523
21,2CXO J084205.3-480918,130.52229166666663,-48.15503888888889,YSO,5.8816758065077346e-15,2.5886122383812334e-15,1.0808544474003992e-15,2.212209120726103e-15,1.0,1.0,9.05,16.451056,17.32187,15.051711,13.347000122070312,12.418999671936035,11.932000160217283,,,
22,2CXO J084205.7-480021,130.52412499999997,-48.00609722222222,YSO,6.802051581165509e-15,2.1837402328238576e-15,3.314074642419269e-15,1.3042367059223824e-15,0.945,0.79,4.83,16.957285,17.829004,15.37363,13.6899995803833,13.052000045776367,12.802000045776367,12.669,12.571,12.734
23,2CXO J084208.1-480825,130.53395833333332,-48.14054444444445,YSO,6.5212140399450426e-15,1.7370706442560057e-15,2.3644915733019347e-15,2.4196518223871032e-15,0.423,0.513,5.15,16.013487,16.521133,14.779227,13.656999588012695,12.847000122070312,12.777999877929688,12.601,12.611,11.35
26,2CXO J084209.7-480857,130.54054166666663,-48.14939444444445,YSO,1.1851484353999704e-14,5.414873549669981e-15,2.8280849992105706e-15,3.608525805119155e-15,0.983,0.868,6.15,16.182245,17.23067,15.155382,13.541000366210938,12.798999786376951,12.61299991607666,12.611,12.518,12.355
30,2CXO J084210.6-480913,130.5444583333333,-48.153638888888885,YSO,4.6559159935764513e-14,1.5858393665713783e-14,1.1649001442195767e-14,1.9051764827854965e-14,0.953,1.0,12.35,14.605258,15.288824,13.801533,12.767999649047852,12.12600040435791,11.937999725341797,11.832,11.859,12.318
32,2CXO J084211.6-480836,130.54862499999996,-48.14346944444444,YSO,5.869425185652377e-15,1.4353688212064946e-15,1.4987520561647801e-15,2.935304308281102e-15,0.028,0.385,5.14,15.714906,16.528051,14.795215,13.550999641418455,12.836999893188477,12.64799976348877,,,
34,2CXO J084212.1-480914,130.55075,-48.15405,YSO,2.9178246121875497e-15,1.0009898793354978e-15,1.0857180961047226e-15,8.31116636747329e-16,,,2.2,18.609602,20.108511,16.70838,14.684000015258787,13.958000183105469,13.753999710083008,13.513,13.351,12.573
36,2CXO J084213.6-480555,130.55704166666666,-48.098819444444445,HM-STAR,2.113128984521381e-15,7.753275233772384e-16,1.0670425385270364e-15,2.707589226171057e-16,,0.021,2.38,14.354387,14.969107,13.592217,,,,11.444,11.486,11.545
39,2CXO J084214.7-480350,130.56154166666664,-48.0639,YSO,1.184216891714986e-14,5.949978131980119e-15,2.753738953445428e-15,3.138451831724314e-15,0.999,0.999,7.32,16.069912,17.040714,14.993319,13.140999794006348,12.112000465393066,11.437000274658203,10.604,10.162,8.202
41,2CXO J084214.9-480902,130.56249999999997,-48.15071944444444,YSO,2.964868360108532e-15,1.2628481121347954e-15,8.98877025244277e-16,8.031432227294594e-16,0.847,0.749,3.84,18.176271,19.643063,16.934944,15.114999771118164,14.369999885559082,14.157999992370604,,,
