name,ra,dec,PU_X,significance,F_b,HR_hms,P_inter,P_intra,G,J,W1,cp_counts,CSC_flags,Class,Class_prob,Class_prob_e,conf_flag,CT,PU_TeV,TeV_extent,true_Class,P_AGN,P_CV,P_HM-STAR,P_LM-STAR,P_HMXB,P_LMXB,P_NS,P_YSO,e_P_AGN,e_P_CV,e_P_HM-STAR,e_P_LM-STAR,e_P_HMXB,e_P_LMXB,e_P_NS,e_P_YSO
2CXO J110355.5-584754,165.98162499999998,-58.798366666666666,2.66,6.05,8.799224327550767e-15,-0.3953287119877733,,0.473,10.676302,10.019000053405762,,6,,LM-STAR,0.59517,0.10971603669796272,0.0,1.0268636248971734,12.0,point,,0.00025,0.00749,0.37221,0.59517,0.00029,0.00562,5.9999999999999995e-05,0.01891,0.0016248508055018893,0.010232526794717164,0.10741114026511889,0.10971603669796272,0.0017375036457282383,0.014921066926940523,0.000772655807586403,0.015236273955401438
2CXO J110357.4-584708,165.98920833333332,-58.785725,3.69,4.34,5.682979812331757e-15,0.09878265115663323,,0.678,18.74967,15.76099967956543,14.53,9,extent|conf,CV,0.36185,0.09016655426214044,0.0,0.7260817822833023,12.0,point,,0.16126,0.36185,0.03932,0.07073,0.02093,0.07948000000000001,0.022719999999999997,0.24371,0.05692145862899555,0.09016655426214044,0.026665495469776104,0.06876988000859387,0.018568249241107247,0.035405976659078076,0.01890923475868761,0.07254238966492833
2CXO J110400.3-584704,166.0016666666667,-58.78446666666667,3.5,2.98,3.180412124125789e-15,-0.19168209823955665,,,12.956649,11.949999809265137,11.593,9,conf,LM-STAR,0.86798,0.17508962269642353,1.0,2.4194174923152967,12.0,point,,0.00035000000000000005,0.00822,0.09802,0.86798,0.006730000000000001,0.009779999999999999,2e-05,0.0089,0.0021405798471634003,0.017791800025521543,0.14315226918275584,0.17508962269642353,0.018164169043395215,0.025007538402989138,0.00044698970882985637,0.014879899576657467
2CXO J110403.3-584825,166.01404166666663,-58.80714722222222,3.58,3.69,2.2597843639491152e-15,-0.2319427840409696,,0.995,19.926,,15.107321823631658,5,,LMXB,0.29581999999999997,0.08146633884227497,0.0,0.07064970343634949,12.0,point,,0.059370000000000006,0.28297000000000005,0.02262,0.053259999999999995,0.00632,0.29581999999999997,0.01478,0.26486000000000004,0.0437014063036067,0.10041694410139484,0.01884916154344515,0.034437746127735445,0.010409897500262241,0.08146633884227497,0.015581861069666683,0.08804846922538136
2CXO J110404.7-585237,166.01958333333332,-58.877091666666665,3.14,3.29,2.650876131935421e-15,-0.13168766041145166,,0.684,18.610954,,,3,,YSO,0.31916,0.0806175762076335,0.0,0.4064779746113963,12.0,point,,0.05061,0.25364000000000003,0.051480000000000005,0.09909,0.00885,0.17515,0.04202,0.31916,0.03737545751993981,0.08057196933327515,0.03170512284812684,0.05746106223934321,0.014532332527460584,0.05950898099294604,0.03149144822505487,0.0806175762076335
2CXO J110405.1-585132,166.0215833333333,-58.85890833333333,3.15,3.37,4.436021339538496e-15,0.06685061349320666,,0.993,11.655521,10.869999885559082,10.634,9,conf,LM-STAR,0.7286699999999999,0.1905671717451537,0.0,1.380063639614574,12.0,point,,0.00041999999999999996,0.00968,0.22911,0.7286699999999999,0.00362,0.013179999999999999,1e-05,0.01531,0.0022424603962230036,0.015573700271295201,0.1714161351547496,0.1905671717451537,0.011394096077593226,0.02316515107276928,0.000316227766016838,0.01917476392479377
2CXO J110405.8-585116,166.0242083333333,-58.85462777777778,3.04,2.95,2.4466264055937866e-15,-0.10187592375068924,,0.242,17.403011,14.845000267028809,13.964,8,conf,YSO,0.57977,0.16629100937753605,0.0,1.4693950871362957,12.0,point,,0.00519,0.08218,0.04973,0.17925,0.04536,0.05602,0.0025,0.57977,0.008697099490033422,0.06864371463986749,0.050185113785321284,0.10628374162464232,0.06467652938627311,0.052092929206114656,0.0073894928516512245,0.16629100937753605
2CXO J110407.1-584755,166.02991666666662,-58.79861944444444,2.66,4.8,8.930221269263519e-15,0.30478289940076136,,0.288,,,,0,,NS,0.6301,0.21017507835983693,0.0,0.7236744895966566,12.0,point,,0.027280000000000002,0.005600000000000001,0.00314,0.00074,0.0,0.33213,0.6301,0.00101,0.08426447710691679,0.01967809002996042,0.006510206047644168,0.004967602749523866,0.0,0.20157081607686628,0.21017507835983693,0.003833352918085496
2CXO J110407.8-585047,166.03254166666665,-58.84641111111112,2.55,3.29,2.241999986479498e-15,-0.1508686112594474,,0.334,9.955453,9.657999992370604,9.519,9,,LM-STAR,0.62127,0.1612510123657802,0.0,0.8824073927122134,12.0,point,,0.00025,0.00182,0.34063,0.62127,0.00065,0.00222,0.0,0.03316,0.0016248508055018904,0.005090531751547522,0.1567880275581831,0.1612510123657802,0.004206565724578092,0.009755345548301547,0.0,0.031311256678625894
2CXO J110411.1-584610,166.0464583333333,-58.76961944444445,2.02,4.67,3.594926113237332e-15,-0.6696978558155882,,0.683,17.821543,15.04599952697754,13.716157976704112,8,,LM-STAR,0.45667,0.23278143890417544,0.0,0.4507449729063375,12.0,point,,0.0024500000000000004,0.20081,0.01074,0.45667,0.01188,0.02425,0.00173,0.29147,0.0053969089881733805,0.18236090425143042,0.02486907458814806,0.23278143890417544,0.0242539451193791,0.03177809540150805,0.005507943122204279,0.13372292593613463
