name,ra,dec,PU_X,significance,F_b,HR_hms,P_inter,P_intra,G,J,W1,cp_counts,CSC_flags,Class,Class_prob,Class_prob_e,conf_flag,CT,PU_TeV,TeV_extent,true_Class,P_AGN,P_CV,P_HM-STAR,P_LM-STAR,P_HMXB,P_LMXB,P_NS,P_YSO,e_P_AGN,e_P_CV,e_P_HM-STAR,e_P_LM-STAR,e_P_HMXB,e_P_LMXB,e_P_NS,e_P_YSO
2CXO J110355.5-584754,165.98170833333333,-58.798375,2.66,6.05,8.799224327550767e-15,-0.3953287119877733,,0.473,10.676302,10.019000053405762,,6,,LM-STAR,0.5788099999999999,0.10626747704108096,0.0,0.9840002410777073,12.0,point,,0.00017,0.00675,0.37136,0.5788099999999999,0.00027,0.00501,2e-05,0.03761,0.0013685660279916985,0.009717609373294028,0.10455564203945328,0.10626747704108096,0.001621644143987741,0.01328820817403446,0.0004469897088298564,0.023680131939004243
2CXO J110357.4-584708,165.98929166666667,-58.78573055555555,3.69,4.34,5.682979812331757e-15,0.09878265115663323,,0.678,18.74967,15.76099967956543,14.53,9,extent|conf,CV,0.34745,0.09038787234727595,0.0,0.46832235811877754,12.0,point,,0.15389000000000003,0.34745,0.04002,0.06632,0.01967,0.07965000000000001,0.022609999999999998,0.27038999999999996,0.05565487728281653,0.09038787234727595,0.02618941552393802,0.058619910387972256,0.018103005795138523,0.03481363941746812,0.018677171540057578,0.0741569089643517
2CXO J110400.3-584704,166.00175,-58.784475,3.5,2.98,3.180412124125789e-15,-0.19168209823955665,,,12.956649,11.949999809265137,11.593,9,conf,LM-STAR,0.84665,0.17870650103875216,1.0,2.5763688239131395,12.0,point,,0.0003,0.00791,0.08719,0.84665,0.0069900000000000006,0.010490000000000001,4e-05,0.04043,0.0018202508929577022,0.015289397164887353,0.11607272193231603,0.17870650103875216,0.018638328446705918,0.026539861798137988,0.0006315051850925683,0.04661639398525145
2CXO J110403.3-584825,166.01412499999998,-58.80715555555555,3.58,3.69,2.2597843639491152e-15,-0.2319427840409696,,0.995,18.99155,,15.107321823631658,5,,YSO,0.38455,0.09789678892221795,0.0,0.958721466977828,12.0,point,,0.07327,0.21242000000000003,0.03032,0.05557,0.00541,0.215,0.02346,0.38455,0.049240549669268836,0.0816444083168554,0.023078783118488502,0.034987129050540855,0.010608696642116054,0.06525379726926288,0.020377527908057046,0.09789678892221795
2CXO J110404.7-585237,166.01966666666664,-58.8771,3.14,3.29,2.650876131935421e-15,-0.13168766041145166,,0.684,18.610954,,,3,,CV,0.36819,0.1050869505084584,0.0,0.5680442736448458,12.0,point,,0.01766,0.36819,0.05575,0.026330000000000003,0.00461,0.26508,0.052950000000000004,0.20943,0.02214531135059553,0.1050869505084584,0.04060155152190598,0.023125005207910037,0.013587955421347707,0.07643059096484364,0.050375939050654316,0.07691482946084581
2CXO J110405.1-585132,166.02162499999997,-58.858916666666666,3.15,3.37,4.436021339538496e-15,0.06685061349320666,,0.993,11.655521,10.869999885559082,10.634,9,conf,LM-STAR,0.71348,0.1865446018744271,0.0,1.437210805568847,12.0,point,,0.00038,0.00922,0.22291,0.71348,0.00304,0.01267,1e-05,0.03829,0.0021118854277777624,0.01576198084125343,0.15479015437647153,0.1865446018744271,0.008879033575634077,0.024645049776344095,0.000316227766016838,0.036670432512047366
2CXO J110405.8-585116,166.02429166666664,-58.85463611111111,3.04,2.95,2.4466264055937866e-15,-0.10187592375068924,,0.242,17.403011,14.845000267028809,13.964,8,conf,YSO,0.61081,0.1645585714067287,0.0,1.6685238242447171,12.0,point,,0.00502,0.07546000000000001,0.04743,0.16335,0.04104,0.054689999999999996,0.0022,0.61081,0.009224135985808353,0.06559032314671491,0.046586106999462445,0.1036186002333284,0.06182184355339413,0.049992030395885116,0.007198042220757791,0.1645585714067287
2CXO J110407.1-584755,166.02999999999997,-58.798627777777774,2.66,4.8,8.930221269263519e-15,0.30478289940076136,,0.288,,,,0,,NS,0.6303,0.21850275388070836,0.0,0.7011802471256666,12.0,point,,0.02638,0.005900000000000001,0.00319,0.00124,0.0,0.33212,0.6303,0.00087,0.08254155746476262,0.02270915466735181,0.006369023823512082,0.008374516853677738,0.0,0.20675166710779339,0.21850275388070836,0.0033397985349799546
2CXO J110407.8-585047,166.03262499999997,-58.84641944444445,2.55,3.29,2.241999986479498e-15,-0.1508686112594474,,0.334,9.955453,9.657999992370604,9.519,9,,LM-STAR,0.60749,0.16714406072917184,0.0,0.8365187573716584,12.0,point,,0.00045,0.00217,0.33858,0.60749,0.00087,0.00165,4e-05,0.04875,0.002302781536056515,0.007088112678375062,0.154319143329653,0.16714406072917184,0.004354544989096113,0.006513057647520093,0.000631505185092568,0.039200435892655275
2CXO J110411.1-584610,166.04654166666666,-58.76962777777778,2.02,4.67,3.594926113237332e-15,-0.6696978558155882,,0.683,17.821543,15.04599952697754,13.716157976704112,8,,LM-STAR,0.41619,0.2121216148332827,0.0,0.17766424702565112,12.0,point,,0.0024,0.18374000000000001,0.00974,0.41619,0.01047,0.02293,0.0014399999999999999,0.35308999999999996,0.006039575852365499,0.17061688815156179,0.025150844219726798,0.2121216148332827,0.02359312899417405,0.03136397294347129,0.005436538968494198,0.14304269681851342
