name,ra,dec,PU_X,significance,F_b,HR_hms,P_inter,P_intra,G,J,W1,cp_counts,CSC_flags,Class,Class_prob,Class_prob_e,conf_flag,CT,PU_TeV,TeV_extent,true_Class,P_AGN,P_CV,P_HM-STAR,P_LM-STAR,P_HMXB,P_LMXB,P_NS,P_YSO,e_P_AGN,e_P_CV,e_P_HM-STAR,e_P_LM-STAR,e_P_HMXB,e_P_LMXB,e_P_NS,e_P_YSO
2CXO J110355.5-584754,165.98170833333333,-58.798375,2.66,6.05,8.799224327550767e-15,-0.3953287119877733,,0.473,10.676302,10.019000053405762,,6,,LM-STAR,0.59363,0.10995550606183076,0.0,1.0085463210645773,12.0,point,,0.00023,0.00751,0.37393,0.59363,0.00038,0.0056500000000000005,2e-05,0.01865,0.0016278051940418884,0.010705816854145908,0.10788277802223024,0.10995550606183076,0.0022046452005845428,0.014886204993184101,0.0004469897088298564,0.015189081875090686
2CXO J110357.4-584708,165.98929166666667,-58.78573055555555,3.69,4.34,5.682979812331757e-15,0.09878265115663323,,0.678,18.74967,15.76099967956543,14.53,9,extent|conf,CV,0.36066000000000004,0.09191960407668005,0.0,0.7216469159240289,12.0,point,,0.16143000000000002,0.36066000000000004,0.03977,0.07237,0.02095,0.07842,0.02203,0.24437,0.05891626453048618,0.09191960407668005,0.02625902962100156,0.06883473920428053,0.019666832085627937,0.03423851451035626,0.01868497332693383,0.06922568378351558
2CXO J110400.3-584704,166.00175,-58.784475,3.5,2.98,3.180412124125789e-15,-0.19168209823955665,,,12.956649,11.949999809265137,11.593,9,conf,LM-STAR,0.8615900000000001,0.1799654396251111,1.0,2.378191843514283,12.0,point,,0.00033,0.00845,0.10085,0.8615900000000001,0.00786,0.01124,5e-05,0.009630000000000001,0.0018959680099344218,0.016916964375551662,0.13991623942221307,0.1799654396251111,0.021015757470575783,0.027419230737097896,0.0007056897321046959,0.01591906142071563
2CXO J110403.3-584825,166.01412499999998,-58.80715555555555,3.58,3.69,2.2597843639491152e-15,-0.2319427840409696,,0.995,18.99155,,15.107321823631658,5,,YSO,0.39361,0.10253087574228788,0.0,1.0047684374690278,12.0,point,,0.07251,0.20907,0.030789999999999998,0.05526,0.00608,0.21094,0.021740000000000002,0.39361,0.0476578552934474,0.08113333296320153,0.024484186230613735,0.03591130771807151,0.010749379012256907,0.0668878941991029,0.021652742118291636,0.10253087574228788
2CXO J110404.7-585237,166.01966666666664,-58.8771,3.14,3.29,2.650876131935421e-15,-0.13168766041145166,,0.684,18.610954,,,3,,YSO,0.31633999999999995,0.08287987375396681,0.0,0.38352432623720845,12.0,point,,0.05013,0.25356,0.05128,0.10052,0.00917,0.17737,0.04163,0.31633999999999995,0.03528070050080961,0.08081248082479005,0.032551823623588605,0.05827113457901028,0.013921383009776899,0.06269061503297932,0.030344091086467944,0.08287987375396681
2CXO J110405.1-585132,166.02162499999997,-58.858916666666666,3.15,3.37,4.436021339538496e-15,0.06685061349320666,,0.993,11.655521,10.869999885559082,10.634,9,conf,LM-STAR,0.7338899999999999,0.18413493306152853,0.0,1.4636837798968505,12.0,point,,0.00041999999999999996,0.009970000000000001,0.22484,0.7338899999999999,0.00351,0.01275,1e-05,0.01461,0.002197368523581884,0.015714517047814288,0.1636519366104671,0.18413493306152853,0.010241327296048328,0.021803965531822712,0.00031622776601683783,0.017842821140903322
2CXO J110405.8-585116,166.02429166666664,-58.85463611111111,3.04,2.95,2.4466264055937866e-15,-0.10187592375068924,,0.242,17.403011,14.845000267028809,13.964,8,conf,YSO,0.5842999999999999,0.1711835675928441,0.0,1.4856624782229835,12.0,point,,0.00533,0.08375,0.04985,0.17314000000000002,0.04556,0.05602,0.0020499999999999997,0.5842999999999999,0.009304712659597697,0.0751390935757372,0.047249444547105626,0.10556839055837254,0.06506550483873866,0.050220331357744785,0.005977728099640635,0.1711835675928441
2CXO J110407.1-584755,166.02999999999997,-58.798627777777774,2.66,4.8,8.930221269263519e-15,0.30478289940076136,,0.288,,,,0,,NS,0.63061,0.20956680592628724,0.0,0.727211921391734,12.0,point,,0.026629999999999997,0.005690000000000001,0.00311,0.0010500000000000002,0.0,0.33164,0.63061,0.00127,0.08359624053407803,0.021400511252815464,0.006345720460922313,0.011131999884181704,0.0,0.20155131687323036,0.20956680592628724,0.0042077077851016215
2CXO J110407.8-585047,166.03262499999997,-58.84641944444445,2.55,3.29,2.241999986479498e-15,-0.1508686112594474,,0.334,9.955453,9.657999992370604,9.519,9,,LM-STAR,0.61991,0.16059727078435493,0.0,0.8792802887573151,12.0,point,,0.00048,0.00185,0.34147000000000005,0.61991,0.0008100000000000001,0.00216,2e-05,0.033299999999999996,0.0024032010684450393,0.0053764678373823096,0.1560708082800792,0.16059727078435493,0.004249936700935906,0.008246356916990825,0.0004469897088298562,0.028651892274873067
2CXO J110411.1-584610,166.04654166666666,-58.76962777777778,2.02,4.67,3.594926113237332e-15,-0.6696978558155882,,0.683,17.821543,15.04599952697754,13.716157976704112,8,,LM-STAR,0.45450999999999997,0.22918919605336457,0.0,0.4467841603757023,12.0,point,,0.00212,0.20342,0.01086,0.45450999999999997,0.011519999999999999,0.02377,0.00157,0.29223000000000005,0.005397660116637086,0.18242253583804174,0.02768803039269904,0.22918919605336457,0.02267606235226487,0.031649467432940934,0.004945660679783798,0.1340286939083971
