,name,ra,dec,Class,F_b,F_h,F_m,F_s,P_inter,P_intra,Signif.,G,BP,RP,J,H,K,W1,W2,W3
5,2CXO J111055.7-603609,167.73237499999996,-60.60261944444444,LM-STAR,1.6053234518229102e-14,1.4122556726210718e-15,2.2830000000000002e-15,1.2357978845608028e-14,,0.077,8.7,13.623563,14.645912,12.59675,11.285,10.633,10.441,10.308,10.282,10.916
10,2CXO J111108.1-603657,167.78383333333332,-60.61599722222223,LMXB,6.122337135057497e-14,4.056e-14,1.352616923513577e-14,7.137202115439196e-15,,1.0,15.98,17.587118,18.551857,16.642906,15.259,14.49,14.288,,,
25,2CXO J111127.6-603657,167.865125,-60.61608055555556,CV,6.144874222363642e-15,4.823000000000001e-15,1.226348569954004e-16,1.199239365368241e-15,,0.357,3.7,17.276758,17.889751,16.504051,15.608,14.705,14.901,,,
29,2CXO J111129.4-603346,167.87279166666667,-60.56299166666666,YSO,4.1633297174998046e-15,1.0372499290437253e-15,1.2052819038952774e-15,1.920797884560803e-15,,0.341,4.22,19.144012,,,14.935,14.193,13.79,13.336,13.43,11.742
31,2CXO J111131.1-603635,167.879625,-60.60988611111111,LMXB,5.113488848446281e-15,1.5300846175678856e-15,2.115202115439197e-15,1.4682021154391972e-15,,1.0,6.34,20.338823,20.60697,18.51401,,,,,,
42,2CXO J111135.9-604006,167.899625,-60.66854166666666,YSO,4.160073351142618e-15,1.3632228103449809e-15,1.0976061165744975e-15,1.6992444242231402e-15,,0.959,5.86,17.355127,18.215946,16.25564,14.798,13.925,13.803,,,
51,2CXO J111144.5-604002,167.9355,-60.66749722222222,LM-STAR,8.764142792145805e-15,1.054239365368241e-15,1.0084040011353005e-15,6.7014994256422636e-15,,0.515,9.87,11.015914,11.534535,10.341017,9.503,9.012,8.92,8.816,8.885,7.486
72,2CXO J111201.0-604015,168.0044583333333,-60.670991666666666,YSO,1.7264455738399758e-15,5.66617015410815e-16,4.879e-16,6.719285584291612e-16,,0.297,4.0,18.286171,19.36363,17.115606,15.529,14.618,14.459,,,
76,2CXO J111204.0-604038,168.01691666666665,-60.67749722222222,YSO,2.0151081171421475e-15,4.305e-16,6.01830673868359e-16,9.827774432737892e-16,,0.65,4.19,16.956495,17.885828,16.009201,14.022,13.402,13.696,,,
94,2CXO J111224.0-604512,168.10029166666664,-60.75342222222222,CV,1.1843404230878396e-13,4.7782021154391977e-14,2.662e-14,4.403202115439197e-14,,1.0,24.54,13.574695,13.994438,12.986038,12.25,11.908,11.777,11.734,11.866,11.456
98,2CXO J111226.0-604722,168.10866666666664,-60.78946666666666,LMXB,1.4773602900171184e-14,1.1266859050305781e-14,1.737265578615111e-15,1.7694782712502939e-15,,0.997,5.24,20.057058,21.074757,18.977867,,,,,,
99,2CXO J111226.4-604048,168.11016666666663,-60.68024166666667,YSO,2.267129984639077e-15,8.488963673550164e-16,7.200370201859498e-16,6.981965970981104e-16,,0.949,3.14,19.134062,19.751648,17.57965,15.989,15.069,14.932,15.026,14.837,
102,2CXO J111228.6-604248,168.1194583333333,-60.713544444444445,YSO,3.1461922513481688e-15,9.92139365368241e-16,1.2144518282603297e-15,9.396010577195985e-16,,0.502,4.67,17.419409,18.344034,16.4587,15.066,14.34,14.244,14.04,14.256,
103,2CXO J111229.7-604326,168.12404166666664,-60.72395,LMXB,1.722e-14,6.189e-15,5.7237978845608025e-15,5.307202115439198e-15,,0.947,9.92,20.034857,21.371237,18.733442,,,,,,
104,2CXO J111231.5-604336,168.1314583333333,-60.72686111111111,YSO,3.518989916521053e-15,9.383122435041697e-16,1.858797884560803e-15,7.218797884560803e-16,,0.272,4.19,16.88295,17.745287,15.974002,14.651,13.881,13.657,13.567,13.697,
