name,ra,dec,PU_X,significance,F_b,HR_hms,P_inter,P_intra,G,J,W1,cp_counts,CSC_flags,Class,Class_prob,Class_prob_e,conf_flag,CT,PU_TeV,TeV_extent,true_Class,P_AGN,P_CV,P_HM-STAR,P_LM-STAR,P_HMXB,P_LMXB,P_NS,P_YSO,e_P_AGN,e_P_CV,e_P_HM-STAR,e_P_LM-STAR,e_P_HMXB,e_P_LMXB,e_P_NS,e_P_YSO
2CXO J111041.7-604211,167.67379166666663,-60.70321944444445,2.69,3.7,6.6671728929979366e-15,-0.5095776001843134,,0.983,15.092933,13.69,12.794,9,,LM-STAR,0.49137000000000003,0.1514184620535114,0.0,1.192450585103387,12.0,point,,0.0048,0.1446,0.16028,0.49137000000000003,0.00886,0.02104,8e-05,0.16897,0.006971987421719048,0.13938604115358347,0.10990268513644333,0.1514184620535114,0.018901260742544605,0.038431697794859346,0.0008912880535463234,0.08805335026273843
2CXO J111043.9-603556,167.68325,-60.59912222222223,2.86,5.06,1.1806716028416878e-14,-0.2986279267094484,,0.909,13.04987,12.11,11.656,9,,LM-STAR,0.37281,0.11775512799946412,0.0,0.6491344202326318,12.0,point,,0.00897,0.14687,0.25667,0.37281,0.0050999999999999995,0.04088,0.00249,0.16621,0.010175590530413585,0.07992428286191233,0.061160049473914346,0.11775512799946412,0.008225427506072719,0.02766570062353368,0.005470816194118558,0.04645313545707967
2CXO J111047.6-603401,167.69849999999997,-60.567075,4.36,4.22,1.2857599013907431e-14,0.37656117147570023,,0.94,16.932463,14.087,12.222,8,,YSO,0.46686,0.10815284294662549,0.0,1.130075815985863,12.0,point,,0.02145,0.08222,0.07089,0.02298,0.10715999999999999,0.21883000000000002,0.009609999999999999,0.46686,0.019834084069875538,0.053442751872706994,0.04540671392723401,0.025756222218776256,0.06294995708574466,0.11132800647197914,0.012574021075455778,0.10815284294662549
2CXO J111048.4-603657,167.7017083333333,-60.61584444444445,1.98,5.78,1.4536977696892562e-14,0.23354388882588462,,0.951,19.051537,14.997,14.06,8,,LMXB,0.45127999999999996,0.09152889783636163,0.0,0.9755436639687631,12.0,point,,0.00751,0.16440000000000002,0.04383,0.01048,0.00647,0.45127999999999996,0.044230000000000005,0.2718,0.01233904988855108,0.055990847242875105,0.024792050051291554,0.012590795373133826,0.0106936174166394,0.09152889783636163,0.030343497290652364,0.0924505657479018
2CXO J111053.7-603510,167.72404166666664,-60.58623333333333,4.63,3.02,9.425433665035412e-15,0.18205261125310604,,0.064,15.778053,13.932,13.504,8,,YSO,0.35923,0.171461675619382,0.0,0.36521194377429894,12.0,point,,0.0012900000000000001,0.22865,0.04055,0.08796000000000001,0.05516,0.22311,0.00405,0.35923,0.0038276037609123775,0.1860841336729298,0.043177097653290246,0.07438529136577723,0.06694367674288483,0.10355554862802696,0.009390723384579363,0.171461675619382
2CXO J111055.7-603609,167.73237499999996,-60.60261944444444,1.53,8.7,1.6053234518229102e-14,-0.8240534428102452,,0.077,13.623563,11.285,10.308,9,,LM-STAR,0.80674,0.12144513708387555,1.0,2.7762701399784753,12.0,point,,0.00011,0.0129,0.01448,0.80674,0.0029100000000000003,0.00062,2.9999999999999997e-05,0.16221000000000002,0.001043546352103724,0.01642131723278189,0.024280014808873568,0.12144513708387555,0.006314409851424897,0.007257290697517105,0.0005471740119919801,0.11071166592989642
2CXO J111057.3-603803,167.73879166666663,-60.63420833333333,3.01,4.22,5.153575961640361e-15,-0.0038782192371844258,,0.993,16.13649,10.775,9.763,9,,YSO,0.33743,0.07250484157662884,0.0,0.49393812120756186,12.0,point,,0.0005899999999999999,0.06295,0.265,0.15365,0.02456,0.15543,0.00039,0.33743,0.002440872355912503,0.03636096285330767,0.07413295957734116,0.08649774193214159,0.02945630788259238,0.07513361538060154,0.002398677480123923,0.07250484157662884
2CXO J111057.6-603304,167.74041666666665,-60.551338888888885,12.31,3.58,3.774402729876124e-15,0.20452070243281606,,,20.146835,15.159,15.136,8,,YSO,0.35641,0.15247380155344778,0.0,0.4955088091732714,12.0,point,,0.00366,0.16862,0.02568,0.12079999999999999,0.05949,0.2325,0.03284,0.35641,0.008091345368346966,0.12524768493901428,0.029229984467871235,0.07933128924613199,0.0808726176173387,0.0975923884033703,0.039986664443703406,0.15247380155344778
2CXO J111100.7-603221,167.75324999999998,-60.53922222222222,5.12,3.41,5.8441446300905576e-15,-0.23192398885886958,,0.05,16.603895,,13.49,5,,CV,0.40387,0.14775504950645393,0.0,0.7404155150836281,12.0,point,,0.0077599999999999995,0.40387,0.06132,0.09876,0.011460000000000001,0.14187,0.03822,0.23674,0.013090215955199281,0.14775504950645393,0.05091610796251079,0.07991400783747889,0.016078772556601673,0.04939881925049772,0.024360316603546556,0.0779695559282702
2CXO J111104.8-603757,167.77004166666666,-60.632730555555554,1.34,5.2,4.631283264326505e-15,-0.3532551411127007,,0.785,17.419847,15.561,,6,,CV,0.36360000000000003,0.15481022642644174,0.0,0.26661357250930945,12.0,point,,0.00043,0.36360000000000003,0.012410000000000001,0.13995,0.01128,0.17455,0.00417,0.29361000000000004,0.0021259397027243313,0.15481022642644174,0.01805042153850479,0.10767121523689886,0.019918794099000027,0.07367377637480874,0.007769908073553476,0.10770454107496195
