_rs_allwise,_q,_r_allwise,AllWISE_allwise,RAJ2000_allwise,DEJ2000_allwise,eeMaj_allwise,eeMin_allwise,eePA_allwise,Im_allwise,W1mag_allwise,e_W1mag_allwise,W2mag_allwise,e_W2mag_allwise,W3mag_allwise,e_W3mag_allwise,W4mag_allwise,e_W4mag_allwise,Jmag_allwise,e_Jmag_allwise,Hmag_allwise,e_Hmag_allwise,Kmag_allwise,e_Kmag_allwise,wx_allwise,wy_allwise,ID_allwise,snr1_allwise,chi2W1_allwise,snr2_allwise,chi2W2_allwise,snr3_allwise,chi2W3_allwise,snr4_allwise,chi2W4_allwise,chi2_allwise,nb_allwise,na_allwise,sat1_allwise,sat2_allwise,sat3_allwise,sat4_allwise,ccf_allwise,ex_allwise,var_allwise,nW1_allwise,mW1_allwise,nW2_allwise,mW2_allwise,nW3_allwise,mW3_allwise,nW4_allwise,mW4_allwise,satnum_allwise,RA_pm_allwise,e_RA_pm_allwise,DE_pm_allwise,e_DE_pm_allwise,cosig_pm_allwise,pmRA_allwise,e_pmRA_allwise,pmDE_allwise,e_pmDE_allwise,chi2W1_pm_allwise,chi2W2_pm_allwise,chi2W3_pm_allwise,chi2W4_pm_allwise,chi2pm_allwise,qpm_allwise,qph_allwise,fdet_allwise,fmoon_allwise,covW1_allwise,covW2_allwise,covW3_allwise,covW4_allwise,_2Mkey_allwise,d2M_allwise,_2M_allwise
[0.182],1.0,0.182,J130621.75-604328.2,196.5906543,-60.7245077,0.071,0.0684,9.3,Im,13.115,0.032,13.235,0.043,10.792,0.175,7.767,0.142,14.434,0.04,13.643,0.048,13.447,0.049,3856.479,1644.415,1.980060601351036e+18,34.4,1.6,25.2,1.36,6.2,0.715,7.6,1.12,1.21,1.0,0.0,0.0,0.0,0.0,0.0,0O00,0.0,0n0n,30.0,30.0,30.0,30.0,11.0,28.0,6.0,28.0,0.0,196.5906544,0.072,-60.7245104,0.0745,0.012,5,90,-55,95,1.59,1.36,0.715,1.12,1.2,2N000,AABB,15.0,11.0,31.731,31.367,30.264,30.207,951692434,0.141,2M
[9.39],2.0,9.39,J130644.93-604433.0,196.6872255,-60.7425133,0.0425,0.0402,132.5,Im,10.881,0.023,10.997,0.023,10.707,0.129,9.295,,12.08,0.024,11.285,0.022,11.075,0.021,3731.927,1599.847,1.980060601351012e+18,46.5,3.76,47.3,3.14,8.4,0.742,-0.1,0.917,2.2,1.0,0.0,0.0,0.0,0.0,0.0,0hO0,1.0,11nn,32.0,32.0,32.0,32.0,18.0,30.0,0.0,29.0,0.0,196.6872167,0.0423,-60.742519,0.0422,-0.0096,-96,41,-97,41,3.75,3.14,0.742,0.917,2.19,1N000,AABU,7.0,11.0,31.787,31.548,29.857,30.007,951692652,0.119,2M
"[0.48, 9.419]",3.0,0.48,J130646.67-604500.0,196.6944805,-60.7500055,0.089,0.0842,10.7,Im,12.826,0.037,12.938,0.047,12.382,,8.75,,13.957,0.054,13.333,0.051,13.202,0.056,3722.255,1580.421,1.980060601351013e+18,29.2,3.78,23.1,1.59,-1.2,0.799,-0.9,0.772,1.79,3.0,1.0,0.0,0.0,0.0,0.0,0hO0,1.0,nnnn,32.0,32.0,32.0,32.0,1.0,30.0,0.0,29.0,0.0,196.69453,0.0855,-60.7500171,0.0899,-0.0067,222,67,-110,71,8.28,2.93,0.823,0.774,3.33,2N000,AAUU,3.0,11.0,31.937,31.768,28.912,29.842,951837068,0.427,2M
[4.65],4.0,4.65,J130645.46-604155.6,196.6894337,-60.6987803,0.0423,0.0409,135.0,Im,10.62,0.023,10.71,0.023,10.573,0.275,9.421,,12.397,0.026,11.375,0.026,10.963,0.026,3731.393,1714.381,1.9800606013510346e+18,46.3,17.9,48.0,7.68,3.9,0.502,-1.1,1.07,7.11,1.0,0.0,0.0,0.0,0.0,0.0,0hhD,1.0,11nn,32.0,32.0,32.0,32.0,11.0,29.0,0.0,29.0,0.0,196.6894522,0.0424,-60.6987807,0.043,-0.0085,159,40,-48,40,17.9,7.64,0.501,1.07,7.1,1N001,AABU,7.0,11.0,33.058,33.356,30.964,30.772,951837711,0.545,2M
[],5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[5.27],6.0,5.27,J130554.67-604503.7,196.4778299,-60.7510436,0.052,0.0503,156.4,Im,12.043,0.026,12.138,0.029,10.692,0.175,8.105,0.183,12.771,0.035,12.448,0.047,12.354,0.038,161.87,1573.218,1.950060601351023e+18,41.5,8.88,38.0,2.4,6.2,0.884,5.9,1.02,3.37,1.0,0.0,0.0,0.0,0.0,0.0,0h00,1.0,110n,31.0,31.0,31.0,31.0,17.0,29.0,2.0,29.0,0.0,196.4778241,0.0524,-60.7510436,0.0531,-0.0093,-55,54,-2,58,8.88,2.4,0.884,1.02,3.37,1N000,AABB,15.0,11.0,31.765,31.471,29.995,30.643,951692743,0.655,2M
[0.059],7.0,0.059,J130654.01-604108.1,196.7250791,-60.6855864,0.0381,0.0359,128.4,Im,8.87,0.023,8.96,0.021,8.858,0.037,8.975,0.318,9.887,0.026,9.222,0.026,9.013,0.021,3686.402,1749.819,1.9800606013510344e+18,46.4,0.767,52.5,0.845,29.7,1.33,3.4,1.09,0.999,1.0,0.0,0.0,0.0,0.0,0.0,00hH,0.0,000n,32.0,32.0,32.0,32.0,30.0,30.0,1.0,29.0,0.0,196.7250759,0.0378,-60.6855904,0.0385,-0.009,-19,35,-85,35,0.747,0.846,1.33,1.09,0.994,1N000,AAAB,15.0,11.0,34.566,35.061,32.79,31.709,951837847,0.093,2M
"[0.406, 7.914]",8.0,0.406,J130659.20-604545.7,196.7466809,-60.7627129,0.1951,0.1284,11.6,Im,13.475,0.062,13.611,0.088,12.179,,9.303,,14.38,0.03,13.859,0.037,13.731,0.039,3654.855,1548.459,1.9800606013510136e+18,17.5,3.57,12.3,1.15,-0.8,1.12,-2.4,1.06,1.75,2.0,1.0,0.0,0.0,0.0,0.0,0h00,1.0,nnnn,31.0,31.0,30.0,31.0,1.0,29.0,0.0,29.0,0.0,,,,,,,,,,,,,,,,AAUU,3.0,11.0,31.011,31.939,30.932,30.159,951836878,0.57,2M
[1.378],9.0,1.378,J130550.76-604257.5,196.4615256,-60.7159872,0.0501,0.0478,159.5,Im,12.15,0.024,12.232,0.03,11.238,0.202,8.952,0.378,13.374,0.035,12.696,0.029,12.43,,180.683,1665.444,1.950060601351026e+18,44.7,2.52,36.5,0.991,5.4,0.784,2.9,0.857,1.31,1.0,0.0,0.0,0.0,0.0,0.001,ddhd,0.0,00nn,30.0,30.0,30.0,30.0,4.0,28.0,1.0,28.0,0.0,196.4615175,0.0503,-60.7159907,0.0523,-0.0107,-82,56,-73,59,2.52,0.988,0.784,0.857,1.3,3N000,AABC,15.0,11.0,31.622,32.054,30.128,30.215,951692342,0.436,2M
[],10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
