_rs_catwise,_q,_r_catwise,objID_catwise,RA_ICRS_catwise,e_RA_ICRS_catwise,DE_ICRS_catwise,e_DE_ICRS_catwise,Name_catwise,ePos_catwise,Xpos_catwise,Ypos_catwise,skyW1_catwise,e_skyW1_catwise,confW1_catwise,skyW2_catwise,e_skyW2_catwise,confW2_catwise,nW1_catwise,mW1_catwise,nW2_catwise,mW2_catwise,_tab1_20_catwise,RAPMdeg_catwise,e_RAPMdeg_catwise,DEPMdeg_catwise,e_DEPMdeg_catwise,ePosPM_catwise,pmRA_catwise,e_pmRA_catwise,pmDE_catwise,e_pmDE_catwise,snrW1pm_catwise,snrW2pm_catwise,FW1pm_catwise,e_FW1pm_catwise,FW2pm_catwise,e_FW2pm_catwise,W1mproPM_catwise,e_W1mproPM_catwise,chi2W1pm_catwise,W2mproPM_catwise,e_W2mproPM_catwise,chi2W2pm_catwise,chi2pm_catwise,pmQual_catwise,Dist_catwise,dW1mpro_catwise,chi2dW1mpro_catwise,dW2mpro_catwise,chi2dW2mpro_catwise,ELONavg_catwise,e_ELONavg_catwise,ELATavg_catwise,e_ELATavg_catwise,dELON_catwise,e_dELON_catwise,dELAT_catwise,e_dELAT_catwise,snrdELON_catwise,snrdELAT_catwise,chi2pmRA_catwise,chi2pmDE_catwise,ka_catwise,k1_catwise,k2_catwise,km_catwise,plx1_catwise,e_plx1_catwise,plx2_catwise,e_plx2_catwise,Sep_catwise,ccf_catwise,abf_catwise,WISEA_catwise
"[0.278, 9.139]",1.0,0.278,1980m606_b0-043335,196.590707,0.0318,-60.7244965,0.0359,J130621.76-604328.1,0.0054,1928.777,822.714,-23.48,29.8,6.87,7.9,29.6,15.86,12.0,12.0,12.0,12.0,57136.369029,196.5907029,0.0317,-60.7244902,0.036,0.0066,0.00058,0.0069,-0.004,0.0081,64.9,83.4,5900.0,90.0,5600.0,70.0,13.073,0.017,2.424,13.128,0.013,1.638,2.017,3N000,0.106,-0.041,1.395,-0.177,42.916,225.390198,0.033,-48.138395,0.035,-0.032,0.066,-0.106,0.071,0.479,1.496,1.83,8.34,3,3,3,3,-0.019,0.033,-0.019,0.033,0.105,0O00,00,WISEA
"[0.21, 9.444]",2.0,0.21,1980m606_b0-033560,196.6925328,0.0355,-60.7428027,0.0362,J130646.20-604434.0,0.0109,1863.12,800.104,10.11,50.2,15.28,37.65,40.9,35.94,12.0,12.0,12.0,12.0,57123.703791,196.6925271,0.0373,-60.7427971,0.0374,0.0125,0.00454,0.0077,-0.01965,0.0079,60.1,79.6,7500.0,100.0,6900.0,90.0,12.806,0.018,4.446,12.904,0.014,4.01,4.196,3N000,0.261,0.035,0.905,0.015,0.311,225.467088,0.034,-48.125,0.038,-0.301,0.068,-0.055,0.075,4.398,0.736,0.952,11.0,3,3,3,3,-0.149,0.035,-0.152,0.035,,,00,WISEA
"[0.286, 7.639]",3.0,0.286,1980m606_b0-037358,196.6943268,0.05,-60.7500517,0.0574,J130646.63-604500.1,-0.0049,1861.783,790.638,12.41,49.0,9.54,45.79,47.0,11.6,12.0,12.0,12.0,12.0,57115.802623,196.694321,0.0506,-60.7500454,0.0579,0.0045,0.01322,0.009,0.00858,0.0105,50.5,51.0,7100.0,100.0,6400.0,100.0,12.877,0.022,2.681,12.98,0.021,1.097,1.876,3N000,0.132,0.03,0.433,-0.001,0.001,225.474367,0.053,-48.130449,0.055,-0.153,0.106,-0.075,0.11,1.453,0.685,2.18,4.83,3,3,3,3,-0.08,0.053,-0.08,0.053,0.313,0hO0,00,WISEA
"[4.452, 5.055]",4.0,4.452,1980m606_b0-017644,196.6852687,0.0274,-60.6993292,0.0285,J130644.46-604157.5,0.0013,1868.907,856.914,-8.78,36.6,40.68,25.87,38.8,87.55,12.0,12.0,12.0,12.0,57136.499717,196.6852677,0.0275,-60.6993233,0.0288,-0.0011,0.00311,0.0057,-0.02062,0.0059,70.3,98.3,16000.0,200.0,16000.0,200.0,12.001,0.015,1.777,12.013,0.011,1.216,1.486,3N001,0.226,0.041,1.737,0.01,0.208,225.425564,0.028,-48.091324,0.028,-0.013,0.056,0.224,0.057,0.241,3.931,2.97,12.6,3,3,3,3,-0.008,0.028,-0.008,0.028,,,00,WISEA
"[1.252, 6.833, 6.983, 8.415]",5.0,1.252,1980m606_b0-102092,196.6046014,0.0279,-60.6651846,0.0357,J130625.10-603954.6,-0.007,1921.534,900.537,-35.14,28.8,31.96,21.69,31.9,35.28,12.0,12.0,12.0,12.0,57144.249776,196.6045972,0.0277,-60.6651816,0.0357,-0.0073,0.0248,0.0081,-0.02405,0.0102,94.9,62.0,2100.0,20.0,1600.0,30.0,14.184,0.011,15.45,14.483,0.018,3.539,9.422,3N000,0.068,-0.026,1.24,-0.014,0.157,225.347841,0.031,-48.085818,0.033,0.022,0.063,0.008,0.066,0.351,0.116,3.53,5.86,3,3,3,3,0.016,0.031,0.008,0.031,,,00,WISEA
[9.726],6.0,9.726,1950m606_b0-126788,196.4731359,0.0969,-60.754521,0.1149,J130553.55-604516.3,-0.0172,84.448,782.587,-37.89,28.4,10.31,-2.42,33.1,5.53,12.0,12.0,11.0,12.0,57168.275401,196.4731545,0.1049,-60.75453,0.1246,-0.0195,0.02231,0.0292,-0.03439,0.0337,30.1,16.8,1300.0,40.0,720.0,40.0,14.737,0.036,1.671,15.361,0.065,1.066,1.359,2N000,0.206,-0.17,3.472,0.224,2.604,225.345276,0.105,-48.195893,0.108,0.005,0.231,0.2,0.251,0.021,0.797,0.00622,2.33,3,3,3,3,0.008,0.123,-0.006,0.119,,,00,WISEA
"[0.044, 8.982, 9.685]",7.0,0.044,1980m606_b0-001529,196.7250753,0.016,-60.6855913,0.0178,J130654.01-604108.1,-0.0046,1843.756,875.4,3.83,48.5,0.0,13.58,41.3,6.46,12.0,12.0,12.0,12.0,57139.322737,196.7250698,0.0154,-60.6855863,0.0172,-0.0048,-0.00086,0.003,0.00541,0.0033,126.0,150.3,320000.0,2000.0,260000.0,2000.0,8.749,0.009,3.265,8.954,0.007,0.7082,1.973,3N000,0.031,0.003,0.025,-0.001,0.005,225.4378,0.017,-48.068927,0.017,-0.039,0.034,0.031,0.033,1.133,0.917,20.5,0.701,3,3,3,3,-0.023,0.017,-0.021,0.017,0.012,00hH,00,WISEA
"[0.794, 8.219, 8.27, 8.395, 9.423]",8.0,0.794,1980m606_b0-058426,196.7467319,0.074,-60.7630027,0.0866,J130659.21-604546.7,0.0125,1827.94,774.341,38.71,63.4,14.86,66.58,55.2,22.37,12.0,12.0,12.0,12.0,57129.392464,196.7467339,0.0777,-60.7630059,0.0928,0.0048,0.0074,0.0169,-0.05587,0.0196,25.9,40.6,4000.0,200.0,3400.0,80.0,13.507,0.042,2.099,13.659,0.027,2.124,2.097,3N000,0.532,0.037,0.189,0.03,0.283,225.51694,0.077,-48.126474,0.084,-0.381,0.158,0.412,0.174,2.418,2.37,0.0323,0.982,3,3,3,3,-0.184,0.088,-0.194,0.088,1.029,0h00,00,WISEA
"[1.294, 9.56]",9.0,1.294,1950m606_b0-019348,196.461463,0.0195,-60.7159846,0.0236,J130550.75-604257.5,-0.0077,90.795,833.193,-16.1,25.5,24.29,24.35,36.8,26.84,12.0,12.0,12.0,12.0,57142.143474,196.4614799,0.0188,-60.7159979,0.0229,-0.0076,-0.01691,0.004,0.00934,0.0048,104.8,115.0,16000.0,200.0,14000.0,100.0,12.014,0.01,8.393,12.169,0.009,2.806,5.557,3N000,0.174,0.0,0.0,0.001,0.003,225.305191,0.022,-48.167552,0.021,0.097,0.045,-0.1,0.042,2.173,2.368,0.00255,0.679,3,3,3,3,0.044,0.022,0.05,0.022,0.088,ddhd,00,WISEA
[],10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
