_rs_gaia,_q,_r_gaia,EDR3Name_gaia,RA_ICRS_gaia,e_RA_ICRS_gaia,DE_ICRS_gaia,e_DE_ICRS_gaia,Source_gaia,SolID_gaia,RandomI_gaia,Epoch_gaia,Plx_gaia,e_Plx_gaia,RPlx_gaia,PM_gaia,pmRA_gaia,e_pmRA_gaia,pmDE_gaia,e_pmDE_gaia,RADEcor_gaia,RAPlxcor_gaia,RApmRAcor_gaia,RApmDEcor_gaia,DEPlxcor_gaia,DEpmRAcor_gaia,DEpmDEcor_gaia,PlxpmRAcor_gaia,PlxpmDEcor_gaia,pmRApmDEcor_gaia,NAL_gaia,NAC_gaia,NgAL_gaia,NbAL_gaia,gofAL_gaia,chi2AL_gaia,epsi_gaia,sepsi_gaia,Solved_gaia,APF_gaia,nueff_gaia,pscol_gaia,e_pscol_gaia,RApscolCorr_gaia,DEpscolCorr_gaia,PlxpscolCorr_gaia,pmRApscolCorr_gaia,pmDEpscolCorr_gaia,MatchObsA_gaia,Nper_gaia,amax_gaia,MatchObs_gaia,NewMatchObs_gaia,MatchObsrm_gaia,IPDgofha_gaia,IPDgofhp_gaia,IPDfmp_gaia,IPDfow_gaia,RUWE_gaia,SDSk1_gaia,SDSk2_gaia,SDSk3_gaia,SDSk4_gaia,SDMk1_gaia,SDMk2_gaia,SDMk3_gaia,SDMk4_gaia,Dup_gaia,o_Gmag_gaia,FG_gaia,e_FG_gaia,RFG_gaia,Gmag_gaia,e_Gmag_gaia,o_BPmag_gaia,FBP_gaia,e_FBP_gaia,RFBP_gaia,BPmag_gaia,e_BPmag_gaia,o_RPmag_gaia,FRP_gaia,e_FRP_gaia,RFRP_gaia,RPmag_gaia,e_RPmag_gaia,NBPcont_gaia,NBPblend_gaia,NRPcont_gaia,NRPblend_gaia,Mode_gaia,E_BP_RP__gaia,BP-RP_gaia,BP-G_gaia,G-RP_gaia,RVDR2_gaia,e_RVDR2_gaia,o_RVDR2_gaia,Tefftemp_gaia,loggtemp_gaia,__Fe_H_temp_gaia,GLON_gaia,GLAT_gaia,ELON_gaia,ELAT_gaia,PS1_gaia,SDSSDR13_gaia,SkyMapper2_gaia,URAT1_gaia,GmagCorr_gaia,e_GmagCorr_gaia,FGCorr_gaia,E_BP_RP_Corr_gaia,RAJ2000_gaia,e_RAJ2000_gaia,DEJ2000_gaia,e_DEJ2000_gaia,RADEcorJ2000_gaia,_r_gaiadist,RA_ICRS_gaiadist,DE_ICRS_gaiadist,rgeo_gaiadist,b_rgeo_gaiadist,B_rgeo_gaiadist,rpgeo_gaiadist,b_rpgeo_gaiadist,B_rpgeo_gaiadist,Flag_gaiadist
"[0.2552720832412753, 2.2521009022026544, 4.89758111476617, 5.025078222035859, 9.288253095059154, 9.596186901885837]",1.0,0.2552720832412753,Gaia EDR3 6055821050370180608,196.59069001574,0.0459,-60.72449641838,0.0588,6055821050370180608,1.6360425158051103e+18,1164692232.0,2016.0,0.4909,0.0735,6.6764,4.572,-4.405,0.06,-1.226,0.081,-0.0205,0.0155,-0.2799,0.2491,-0.0347,0.2253,-0.3804,0.0363,0.1228,0.0761,457.0,0.0,455.0,2.0,4.5554,629.31,0.331,4.65,31.0,0.0,1.342,,,,,,,,53.0,25.0,0.116012,63.0,22.0,0.0,0.0126,127.0,0.0,0.0,1.155,0.223,0.272,0.0992,0.174,-75.71,-70.06,52.456,-4.427,0.0,513.0,3060.3,3.2975,928.07,16.97295,0.002993,56.0,889.3,6.5267,136.255,17.96592,0.008443,56.0,3259.6,10.915,298.648,15.964979,0.005244,0,1,0,1,0.0,1.356,2.00094,0.992969,1.007971,,,0.0,,,,304.7567552872,2.094361286,225.3902034303,-48.138397652,,,336262218,,16.97295,0.002993,3060.3,0.021,196.59073005202,0.9769,-60.7244909702,1.3237,0.0523,0.255,196.59069001574,-60.72449641838,2002.08533,1705.47656,2672.4314,1886.10828,1700.97668,2117.50757,10033
"[0.23909105601235228, 1.7615275911633166, 3.056454595691975, 4.128003641524546, 6.546868045055286, 8.538631080006093, 9.447277067242675]",2.0,0.23909105601235228,Gaia EDR3 6055808612143748224,196.69242641962,0.1026,-60.7427796347,0.1155,6055808612143748224,1.6360425158051103e+18,865825943.0,2016.0,0.3499,0.1595,2.193,5.441,-5.232,0.135,-1.492,0.155,0.1188,0.0408,-0.2211,0.1302,-0.041,0.1395,-0.081,0.0312,0.1873,0.2265,468.0,0.0,466.0,2.0,98.0959,15022.25,1.531,418.0,31.0,0.0,1.448,,,,,,,,55.0,27.0,0.226717,65.0,21.0,0.0,0.0243,79.2,43.0,0.0,5.599,0.205,0.237,0.193,0.241,-104.212,-66.239,47.087,-5.945,0.0,522.0,11881.0,11.04,1076.228,15.500198,0.002934,61.0,5247.8,7.5575,694.385,16.038603,0.003198,62.0,10682.0,14.583,732.499,14.676288,0.00406,0,20,0,22,0.0,1.341,1.362315,0.538404,0.823911,,,0.0,,,,304.80536342,2.0731879602,225.4670214832,-48.1250062856,,,336260935,,15.500198,0.002934,11881.0,0.087,196.69247400239,2.19,-60.74277300229,2.4892,0.2106,0.239,196.69242641962,-60.7427796347,3282.823,2197.89429,6758.56152,2209.28418,1659.60583,2879.3772,10033
"[0.033117840245056096, 0.9817020642493695, 3.1677068275340523, 3.738222594533325, 4.841520874503882, 5.100675556249288, 5.428177722683167, 5.4397002532755385, 6.0632535158498895, 6.814043731838914, 7.188344740594205, 8.844093089599902, 8.84886792774232, 8.995515689532548, 9.014965950619668, 9.411653333929532, 9.90177859108425]",3.0,0.033117840245056096,Gaia EDR3 6055808612143747840,196.69418956237,0.0275,-60.74999651134,0.0315,6055808612143747840,1.6360425158051103e+18,559534097.0,2016.0,1.2163,0.042,28.9385,3.642,-2.974,0.036,-2.102,0.042,0.125,0.016,-0.336,0.0692,-0.0683,0.0826,-0.1751,0.0469,0.1475,0.2341,465.0,0.0,462.0,3.0,8.9295,811.35,0.219,6.08,31.0,1.0,1.416,,,,,,,,54.0,27.0,0.0614645,64.0,22.0,0.0,0.0196,110.0,10.0,0.0,1.309,0.174,0.26,0.173,0.214,-110.898,-63.849,46.738,-4.293,0.0,519.0,8091.0,9.465,854.834,15.917363,0.003034,60.0,3156.8,20.386,154.851,16.590427,0.007546,60.0,7444.3,29.099,255.826,15.068337,0.005683,0,60,0,60,0.0,1.31,1.52209,0.673064,0.849026,,,0.0,,,,304.805794041,2.0659325842,225.4742533117,-48.130440005,,,336260956,,15.917363,0.003034,8091.0,0.037,196.69421661385,0.5888,-60.74998716842,0.6771,0.2214,0.033,196.69418956237,-60.74999651134,800.974182,764.899536,826.685364,804.554626,779.424744,829.887329,10033
"[0.2876136118346801, 3.302016276528508, 3.531281159726033, 4.460232336105546, 5.013668981045999, 9.727770802869287, 9.938863456233221]",4.0,0.2876136118346801,Gaia EDR3 6055820809810373760,196.68703628135,0.2807,-60.69833729874,0.316,6055820809810373760,1.6360425158051103e+18,1778131124.0,2016.0,0.2857,0.4466,0.6397,6.608,-5.947,0.37,-2.879,0.443,0.1293,0.1993,-0.1671,0.233,0.0242,0.2045,-0.1833,0.0156,0.2088,0.1982,487.0,0.0,484.0,3.0,3.1316,675.16,1.977,4.46,95.0,0.0,,1.0583,0.0867,-0.103,-0.098,-0.047,-0.141,0.002,57.0,26.0,0.641418,65.0,18.0,0.0,0.0629,57.4,1.0,0.0,1.102,0.222,0.268,0.122,0.162,-92.039,-56.907,42.62,-7.715,0.0,537.0,204.75,0.75879,269.838,19.909306,0.004877,48.0,34.989,2.7121,12.901,21.478706,0.084205,58.0,287.35,5.5738,51.553,18.601885,0.021397,0,0,0,1,0.0,1.574,2.876822,1.569401,1.307421,,,0.0,,,,304.805375892,2.117708409,225.4258009969,-48.0900137121,,,,,19.885478,0.004805,209.29,0.112,196.68709028879,5.9743,-60.6983245011,7.1598,0.1751,0.288,196.68703628135,-60.69833729874,3484.50537,2391.6001,5319.54736,4977.17334,3252.86938,7276.06299,10033
"[1.1247639289853881, 3.992514705344706, 5.163584348870983, 5.717276673725196, 8.13787044207887, 9.089212524394119, 9.251972086243185]",5.0,1.1247639289853881,Gaia EDR3 6055821771924730496,196.604672225,0.1835,-60.6653023018,0.1939,6055821771924730496,1.6360425158051103e+18,1574533504.0,2016.0,0.4967,0.2908,1.7083,6.444,-6.415,0.227,-0.608,0.26,0.2692,0.1718,-0.2373,0.0837,0.0018,0.054,-0.19,0.0857,0.2299,0.3115,447.0,0.0,445.0,2.0,0.8547,516.93,0.783,1.67,95.0,0.0,,1.22,0.0545,-0.101,-0.085,0.002,-0.092,0.058,52.0,24.0,0.394248,62.0,19.0,0.0,0.00738,90.5,0.0,1.0,1.028,0.224,0.282,0.0357,0.137,-88.569,-56.638,26.638,-6.422,0.0,503.0,356.16,0.81025,439.562,19.308266,0.0037,53.0,68.822,4.9521,13.898,20.744225,0.078173,51.0,469.99,6.5247,72.032,18.067678,0.015539,0,1,0,2,0.0,1.513,2.676546,1.435959,1.240587,,,0.0,,,,304.7670316392,2.1530581487,225.3480006196,-48.085892465,,,336258750,,19.287602,0.003669,363.0,0.08,196.60473042577,3.6748,-60.66529959929,4.2022,0.2984,1.125,196.604672225,-60.6653023018,3779.47876,2324.45215,5832.28418,3819.32056,2471.56665,5184.39111,10033
"[4.368820584802304, 5.553996565793031, 5.6146080318613425, 8.414880901070344, 8.939045968777316]",6.0,4.368820584802304,Gaia EDR3 6055815071775451392,196.47820265454,0.0206,-60.75295624511,0.0241,6055815071775451392,1.6360425158051103e+18,1369935068.0,2016.0,1.1703,0.0332,35.2258,9.971,6.268,0.027,-7.754,0.033,0.0887,0.0695,-0.2977,0.1259,-0.0876,0.1202,-0.1707,0.0609,0.1446,0.2276,486.0,0.0,484.0,2.0,0.552,516.15,0.0,0.0,31.0,0.0,1.454,,,,,,,,57.0,26.0,0.0475076,66.0,23.0,0.0,0.0132,137.0,1.0,0.0,1.017,0.176,0.255,0.137,0.21,-82.975,-69.149,55.834,-7.44,0.0,539.0,9350.3,2.406,3886.208,15.760298,0.002769,60.0,3996.4,12.48,320.218,16.33436,0.004391,58.0,7719.5,8.6189,895.658,15.028916,0.003969,0,2,0,1,0.0,1.253,1.305444,0.574062,0.731381,,,0.0,,,,304.7002000364,2.069086449,225.3469646519,-48.1931825855,,,336263650,,15.760298,0.002769,9350.3,0.005,196.47814563896,0.4322,-60.75292178204,0.5309,0.211,4.369,196.47820265454,-60.75295624511,832.770447,808.002808,859.240295,832.188538,811.409424,856.637817,10033
"[0.1069449564179725, 1.7427707356836213, 2.7863530932211367, 4.6952833516838215, 6.406199555952254, 7.328102390231512, 8.05316829875535, 8.843153517279063, 9.561421984841303, 9.841684563262648]",7.0,0.1069449564179725,Gaia EDR3 6055820771154593024,196.72503544689,0.0063,-60.68558453441,0.0077,6055820771154593024,1.6360425158051103e+18,288683847.0,2016.0,0.8041,0.0101,79.81,5.344,-3.526,0.008,4.016,0.011,0.1585,-0.0434,-0.2779,0.0451,0.0178,0.0648,-0.1462,-0.024,0.1211,0.28,549.0,549.0,543.0,6.0,-3.2451,676.8,0.0,0.0611,31.0,0.0,1.383,,,,,,,,63.0,26.0,0.0155576,71.0,24.0,0.0,0.00152,86.3,0.0,0.0,0.902,,,,,,,,,0.0,601.0,281250.0,223.08,1260.756,12.064652,0.002887,67.0,95286.0,294.94,323.071,12.890964,0.004368,68.0,269270.0,600.92,448.097,11.172431,0.004489,0,29,0,10,0.0,1.296,1.718533,0.826311,0.892221,-25.84,2.41,5.0,4500.0,3.0,0.0,304.8247186425,2.129327078,225.4377866092,-48.0689305322,,,,,12.064652,0.002887,281250.0,-0.001,196.72506745672,0.1373,-60.68560238363,0.1722,0.2695,0.107,196.72503544689,-60.68558453441,1237.71179,1223.94666,1249.78113,1239.43726,1222.13916,1255.2832,10033
"[0.3860177391315831, 1.4072272937918313, 3.677932342890615, 4.472728948743647, 5.344443211360508, 5.658082787886516, 7.156290618719662, 7.844592675091447, 8.66602265636454, 8.674410314282753, 8.749173522826847, 8.954898532958024, 9.295831211029896, 9.296075151244054, 9.936041195627816, 9.948976046024157]",8.0,0.3860177391315831,Gaia EDR3 6055808474704900480,196.74670224257,0.0247,-60.76287589748,0.0292,6055808474704900480,1.6360425158051103e+18,75283844.0,2016.0,0.4826,0.0391,12.3377,4.339,-4.099,0.033,-1.423,0.041,0.0948,0.0337,-0.2442,0.1238,-0.0192,0.119,-0.1994,0.0341,0.123,0.2183,479.0,0.0,479.0,0.0,0.398,506.01,0.0,0.0,31.0,0.0,1.442,,,,,,,,56.0,26.0,0.0592617,66.0,21.0,0.0,0.0127,21.3,0.0,0.0,1.012,0.193,0.259,0.179,0.198,-106.799,-66.177,47.909,-8.68,0.0,542.0,6296.8,8.3833,751.12,16.18956,0.003111,62.0,2617.1,12.617,207.425,16.794,0.005932,62.0,5441.3,18.855,288.582,15.40864,0.005333,0,62,0,62,0.0,1.28,1.385361,0.604441,0.78092,,,0.0,,,,304.830645246,2.0515380149,225.5168260018,-48.126373534,,,336261172,,16.18956,0.003111,6296.8,0.023,196.7467395439,0.5409,-60.76286957437,0.6645,0.203,0.386,196.74670224257,-60.76287589748,2056.79321,1899.44873,2239.93042,1939.43811,1807.01208,2078.47632,10033
"[0.9104014955268519, 4.966176932209253, 7.650921363181065, 8.780074776036322, 9.076525910057326]",9.0,0.9104014955268519,Gaia EDR3 6055818301590867968,196.46135145052,0.0196,-60.7161018115,0.0226,6055818301590867968,1.6360425158051103e+18,35591378.0,2016.0,0.7606,0.0302,25.1897,7.473,-7.473,0.025,-0.001,0.03,0.0712,0.0681,-0.3913,0.1292,-0.0747,0.134,-0.2093,-0.0004,0.15,0.1639,495.0,0.0,493.0,2.0,6.2571,726.22,0.141,4.63,31.0,0.0,1.404,,,,,,,,58.0,26.0,0.0429856,70.0,26.0,0.0,0.0225,133.0,0.0,0.0,1.206,0.19,0.267,0.148,0.23,-86.397,-68.556,53.714,-7.513,0.0,563.0,14912.0,12.018,1240.804,15.253519,0.002891,65.0,5538.2,17.405,318.204,15.980117,0.004408,65.0,13869.0,35.764,387.787,14.392794,0.004703,0,3,0,3,0.0,1.301,1.587323,0.726598,0.860725,,,0.0,,,,304.6940378686,2.1063448589,225.3052116716,-48.1676673735,,,336262337,,15.253519,0.002891,14912.0,0.021,196.46141935267,0.4127,-60.71610180694,0.4862,0.1469,0.91,196.46135145052,-60.7161018115,1267.26611,1214.5874,1306.99304,1256.29993,1212.94922,1303.68323,10033
"[6.86114183346827, 9.634754281253535]",10.0,6.86114183346827,Gaia EDR3 6055815312257280896,196.43463480839,1.0049,-60.73112498538,0.7712,6055815312257280896,1.6360425158051103e+18,50056335.0,2016.0,1.2618,1.3143,0.9601,4.438,-4.422,1.111,-0.374,1.148,0.162,0.116,-0.2211,0.1859,0.0061,0.1111,-0.2253,0.0002,0.3209,0.1539,239.0,0.0,236.0,3.0,5.5953,441.03,4.963,9.04,95.0,0.0,,1.2098,0.2374,-0.057,-0.092,-0.024,-0.051,0.053,28.0,19.0,1.70344,33.0,13.0,1.0,0.0481,5.83,0.0,0.0,1.27,0.139,0.291,0.191,0.395,-104.93,-24.942,-43.294,-20.498,0.0,265.0,100.8,0.76659,131.494,20.678688,0.008705,15.0,21.785,3.8133,5.713,21.99315,0.190072,28.0,97.871,6.5679,14.901,19.771261,0.072959,0,0,0,0,1.0,1.187,2.22189,1.314463,0.907427,,,0.0,,,,304.6801463831,2.0920733175,225.3020314099,-48.1874636881,,,,,20.665968,0.008613,101.99,-0.179,196.43467500836,18.0181,-60.73112332107,18.5517,0.1358,6.861,196.43463480839,-60.73112498538,4097.25928,2387.67773,9218.88281,5973.87891,2620.72046,8238.7627,20133
