separation,name,ra,dec,err_ellipse_r0,err_ellipse_r1,err_ellipse_ang,significance,likelihood_class,conf_flag,dither_warning_flag,extent_flag,pileup_flag,sat_src_flag,streak_src_flag,var_flag,var_inter_hard_flag,flux_aper90_b,flux_aper90_lolim_b,flux_aper90_hilim_b,flux_aper90_h,flux_aper90_lolim_h,flux_aper90_hilim_h,flux_aper90_m,flux_aper90_lolim_m,flux_aper90_hilim_m,flux_aper90_s,flux_aper90_lolim_s,flux_aper90_hilim_s,var_intra_index_b,var_intra_prob_b,ks_intra_prob_b,kp_intra_prob_b,var_inter_index_b,var_inter_prob_b,var_inter_sigma_b,nh_gal,flux_powlaw,flux_powlaw_lolim,flux_powlaw_hilim,powlaw_gamma,powlaw_gamma_lolim,powlaw_gamma_hilim,powlaw_gamma_rhat,powlaw_nh,powlaw_nh_lolim,powlaw_nh_hilim,powlaw_nh_rhat,powlaw_ampl,powlaw_ampl_lolim,powlaw_ampl_hilim,powlaw_ampl_rhat,powlaw_stat,flux_bb,flux_bb_lolim,flux_bb_hilim,bb_kt,bb_kt_lolim,bb_kt_hilim,bb_kt_rhat,bb_nh,bb_nh_lolim,bb_nh_hilim,bb_nh_rhat,bb_ampl,bb_ampl_lolim,bb_ampl_hilim,bb_ampl_rhat,bb_stat,flux_brems,flux_brems_lolim,flux_brems_hilim,brems_kt,brems_kt_lolim,brems_kt_hilim,brems_kt_rhat,brems_nh,brems_nh_lolim,brems_nh_hilim,brems_nh_rhat,brems_norm,brems_norm_lolim,brems_norm_hilim,brems_norm_rhat,brems_stat,flux_apec,flux_apec_lolim,flux_apec_hilim,apec_kt,apec_kt_lolim,apec_kt_hilim,apec_kt_rhat,apec_abund,apec_abund_lolim,apec_abund_hilim,apec_abund_rhat,apec_z,apec_z_lolim,apec_z_hilim,apec_z_rhat,apec_nh,apec_nh_lolim,apec_nh_hilim,apec_nh_rhat,apec_norm,apec_norm_lolim,apec_norm_hilim,apec_norm_rhat,apec_stat,obsid,region_id,obi,ra_pnt,dec_pnt,gti_obs,gti_end,instrument,grating,datamode,theta,phi,src_cnts_aper90_b,src_cnts_aper90_lolim_b,src_cnts_aper90_hilim_b,flux_significance_b,conf_code,dither_warning_flag.1,edge_code,extent_code,multi_chip_code,pileup_warning,sat_src_flag.1,streak_src_flag.1,var_code,flux_aper90_b.1,flux_aper90_lolim_b.1,flux_aper90_hilim_b.1,flux_aper90_h.1,flux_aper90_lolim_h.1,flux_aper90_hilim_h.1,flux_aper90_m.1,flux_aper90_lolim_m.1,flux_aper90_hilim_m.1,flux_aper90_s.1,flux_aper90_lolim_s.1,flux_aper90_hilim_s.1,var_index_b,var_prob_b,ks_prob_b,kp_prob_b,var_sigma_b,var_mean_b,var_min_b,var_max_b,usrid
0.04, 2CXO J130621.7-604328, 13 06 21.74,-60 43 28.36,0.79,0.77,120.9,2.63,                TRUE,False,False,False,False,False,False,False,False,1.014e-14,6.195e-15,1.389e-14,6.255e-15,2.323e-15,1.001e-14,3.997e-15,2.05e-15,5.945e-15,3.099e-15,0.0,9.05e-15,1,0.65,0.681,0.695,  ,         ,         ,88.44,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,20324,4,0, 13 06 32.85,-60 44 03.99,2018-05-11T06:07:47,2018-05-11T08:55:23,ACIS,NONE,    VFAINT,1.481,342.49,9.5288,5.8639,13.194,2.63,0,False,0,0,0,0.002850223,False,False,0,1.014e-14,6.195e-15,1.389e-14,6.255e-15,2.323e-15,1.001e-14,3.997e-15,2.05e-15,5.945e-15,3.099e-15,0.0,9.05e-15,1,0.65,0.681,0.695,0.0001929,0.000895,0.0007993,0.001969,1
0.02, 2CXO J130646.2-604433, 13 06 46.21,-60 44 33.88,0.89,0.84,40.6,1.84,                TRUE,False,False,False,False,False,False,False,False,5.713e-15,2.688e-15,8.569e-15,3.488e-15,0.0,9.302e-15,2.737e-15,8.828e-16,4.591e-15,1.982e-15,0.0,5.285e-15,0,0.493,0.295,0.043,  ,         ,         ,89.15,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,20324,11,0, 13 06 32.85,-60 44 03.99,2018-05-11T06:07:47,2018-05-11T08:55:23,ACIS,NONE,    VFAINT,1.707,155.88,4.5574,1.8766,7.2382,1.84,0,False,0,0,0,0.001266766,False,False,0,5.713e-15,2.688e-15,8.569e-15,3.488e-15,0.0,9.302e-15,2.737e-15,8.828e-16,4.591e-15,1.982e-15,0.0,5.285e-15,0,0.493,0.295,0.043,4.284e-05,0.0005152,0.0004904,0.0007714,2
0.03, 2CXO J130646.6-604459, 13 06 46.61,-60 44 59.99,0.94,0.82,151.5,1.68,                TRUE,False,False,False,False,False,False,False,False,5.845e-15,2.922e-15,8.767e-15,2.255e-15,4.511e-16,4.06e-15,1.701e-15,4.86e-16,2.855e-15,4.288e-15,0.0,1.143e-14,0,0.453,0.147,0.419,  ,         ,         ,89.36,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,20324,7,0, 13 06 32.85,-60 44 03.99,2018-05-11T06:07:47,2018-05-11T08:55:23,ACIS,NONE,    VFAINT,1.923,167.94,4.4258,1.7435,6.9739,1.68,0,False,0,0,0,0.001266766,False,False,0,5.845e-15,2.922e-15,8.767e-15,2.255e-15,4.511e-16,4.06e-15,1.701e-15,4.86e-16,2.855e-15,4.288e-15,0.0,1.143e-14,0,0.453,0.147,0.419,3.365e-05,0.0004374,0.0004086,0.0006298,3
0.02, 2CXO J130644.8-604154, 13 06 44.86,-60 41 54.21,1.27,0.99,114.3,1.74,                TRUE,False,False,False,False,False,False,False,False,7.346e-15,3.214e-15,1.125e-14,7.746e-15,2.797e-15,1.269e-14,1.53e-15,8.053e-17,2.98e-15,         ,         ,         ,2,0.741,0.977,0.957,  ,         ,         ,87.86,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,20324,14,0, 13 06 32.85,-60 44 03.99,2018-05-11T06:07:47,2018-05-11T08:55:23,ACIS,NONE,    VFAINT,2.615,83.09,4.6404,2.0473,7.2336,1.74,0,False,7,0,0,0.001266766,False,False,0,7.346e-15,3.214e-15,1.125e-14,7.746e-15,2.797e-15,1.269e-14,1.53e-15,8.053e-17,2.98e-15,         ,         ,         ,2,0.741,0.977,0.957,0.0001904,0.0004041,0.000229,0.0006602,4
0.03, 2CXO J130624.9-603955, 13 06 24.98,-60 39 55.52,2.3,1.92,26.9,1.89,            MARGINAL,False,False,False,False,False,False,False,False,1.025e-14,4.163e-15,1.633e-14,1.025e-14,4.164e-15,1.634e-14,0.0,0.0,1.485e-15,0.0,0.0,3.382e-15,1,0.532,0.623,0.545,  ,         ,         ,86.77,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,20324,15,0, 13 06 32.85,-60 44 03.99,2018-05-11T06:07:47,2018-05-11T08:55:23,ACIS,NONE,    VFAINT,4.252,35.77,4.4882,1.8233,7.0128,1.89,0,False,0,0,0,0.0009500743,False,False,0,1.025e-14,4.163e-15,1.633e-14,1.025e-14,4.164e-15,1.634e-14,0.0,0.0,1.485e-15,0.0,0.0,3.382e-15,1,0.532,0.623,0.545,6.374e-05,0.0005543,0.000503,0.0009099,5
0.02, 2CXO J130554.2-604508, 13 05 54.28,-60 45 08.14,1.84,1.08,44.1,2.11,                TRUE,False,False,False,False,False,False,False,False,1.617e-14,8.272e-15,2.369e-14,1.591e-14,6.463e-15,2.536e-14,1.72e-15,3.441e-16,3.039e-15,0.0,0.0,2.058e-15,0,0.454,0.699,0.374,  ,         ,         ,89.04,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,20324,10,0, 13 06 32.85,-60 44 03.99,2018-05-11T06:07:47,2018-05-11T08:55:23,ACIS,NONE,    VFAINT,4.832,306.03,7.1397,3.9099,10.37,2.11,0,False,0,0,0,0.001266766,False,False,0,1.617e-14,8.272e-15,2.369e-14,1.591e-14,6.463e-15,2.536e-14,1.72e-15,3.441e-16,3.039e-15,0.0,0.0,2.058e-15,0,0.454,0.699,0.374,4.627e-05,0.000597,0.0005724,0.0008268,6
0.01, 2CXO J130654.0-604108, 13 06 54.02,-60 41 08.17,1.56,0.98,135.0,2.49,                TRUE,False,False,False,False,False,False,False,False,5.381e-14,3.229e-14,7.426e-14,0.0,0.0,2.339e-14,3.856e-15,1.87e-15,5.843e-15,4.508e-15,1.387e-15,7.456e-15,1,0.547,0.897,0.907,  ,         ,         ,87.56,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,20324,12,0, 13 06 32.85,-60 44 03.99,2018-05-11T06:07:47,2018-05-11T08:55:23,ACIS,NONE,    VFAINT,3.911,90.38,9.325,5.4734,12.974,2.49,0,False,7,0,5,0.001266766,False,False,0,5.381e-14,3.229e-14,7.426e-14,0.0,0.0,2.339e-14,3.856e-15,1.87e-15,5.843e-15,4.508e-15,1.387e-15,7.456e-15,1,0.547,0.897,0.907,0.0006424,0.002324,0.00159,0.003773,7
0.01, 2CXO J130659.1-604546, 13 06 59.17,-60 45 46.09,1.47,1.1,155.2,2.84,                TRUE,False,False,False,False,False,False,False,False,1.177e-14,7.298e-15,1.601e-14,5.062e-15,1.266e-15,8.859e-15,3.97e-15,1.776e-15,6.164e-15,3.982e-15,1.327e-15,6.637e-15,0,0.415,0.141,0.068,  ,         ,         ,89.83,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,20324,3,0, 13 06 32.85,-60 44 03.99,2018-05-11T06:07:47,2018-05-11T08:55:23,ACIS,NONE,    VFAINT,3.638,166.81,10.485,6.5755,14.217,2.84,0,False,0,0,0,0.00221684,False,False,0,1.177e-14,7.298e-15,1.601e-14,5.062e-15,1.266e-15,8.859e-15,3.97e-15,1.776e-15,6.164e-15,3.982e-15,1.327e-15,6.637e-15,0,0.415,0.141,0.068,8.976e-05,0.001017,0.0009632,0.001502,8
0.01, 2CXO J130550.6-604258, 13 05 50.61,-60 42 58.32,1.44,0.87,64.8,3.59,                TRUE,False,False,False,False,False,False,False,False,3.399e-14,2.362e-14,4.379e-14,2.567e-14,9.736e-15,4.16e-14,1.087e-14,7.356e-15,1.423e-14,1.739e-15,0.0,3.588e-15,0,0.38,0.599,0.825,  ,         ,         ,87.98,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,20324,5,0, 13 06 32.85,-60 44 03.99,2018-05-11T06:07:47,2018-05-11T08:55:23,ACIS,NONE,    VFAINT,5.278,330.77,17.263,12.372,22.154,3.59,0,False,0,0,0,0.002850223,False,False,0,3.399e-14,2.362e-14,4.379e-14,2.567e-14,9.736e-15,4.16e-14,1.087e-14,7.356e-15,1.423e-14,1.739e-15,0.0,3.588e-15,0,0.38,0.599,0.825,0.0001504,0.001635,0.001524,0.002524,9
0.02, 2CXO J130544.8-604357, 13 05 44.81,-60 43 57.86,1.7,1.18,51.8,3.22,                TRUE,False,False,False,False,False,False,False,False,2.786e-14,1.906e-14,3.666e-14,2.715e-14,1.842e-14,3.587e-14,1.062e-15,0.0,2.125e-15,0.0,0.0,2.531e-15,0,0.494,0.766,0.66,  ,         ,         ,88.41,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,20324,22,0, 13 06 32.85,-60 44 03.99,2018-05-11T06:07:47,2018-05-11T08:55:23,ACIS,NONE,    VFAINT,5.872,319.79,15.079,10.418,19.739,3.22,0,False,0,0,0,0.001583457,False,False,0,2.786e-14,1.906e-14,3.666e-14,2.715e-14,1.842e-14,3.587e-14,1.062e-15,0.0,2.125e-15,0.0,0.0,2.531e-15,0,0.494,0.766,0.66,0.0002842,0.001468,0.001205,0.001813,10
