_rs_unwise,_q,_r_unwise,objID_unwise,RAJ2000_unwise,DEJ2000_unwise,XposW1_unwise,XposW2_unwise,YposW1_unwise,YposW2_unwise,FW1_unwise,FW2_unwise,e_XposW1_unwise,e_XposW2_unwise,e_YposW1_unwise,e_YposW2_unwise,e_FW1_unwise,e_FW2_unwise,q_W1_unwise,q_W2_unwise,rchi2W1_unwise,rchi2W2_unwise,fFW1_unwise,fFW2_unwise,FW1lbs_unwise,FW2lbs_unwise,e_FW1lbs_unwise,e_FW2lbs_unwise,fwhmW1_unwise,fwhmW2_unwise,SpModW1_unwise,SpModW2_unwise,e_SpModW1_unwise,e_SpModW2_unwise,skyW1_unwise,skyW2_unwise,RAW1deg_unwise,RAW2deg_unwise,DEW1deg_unwise,DEW2deg_unwise,coaddID_unwise,detIDW1_unwise,detIDW2_unwise,nmW1_unwise,nmW2_unwise,PrimW1_unwise,PrimW2_unwise,FlagsW1_unwise,FlagsW2_unwise,f_FlagsW1_unwise,f_FlagsW2_unwise,Prim_unwise
"[0.209, 0.242, 9.143, 9.327]",1.0,0.209,1980m606o0021739,196.5906861,-60.7245154,821.683,821.726,1927.788,1927.785,5718.3,5493.4,0.004,0.012,0.004,0.012,16.446,39.604,1.0,1.0,15.81,3.306,0.8993,0.8404,5748.7,5514.3,16.785,40.607,2.6252,2.846,0.00127137,-5.14984e-05,0.000128967,0.000303,-77.916,-76.324,196.5906861,196.590691,-60.7245154,-60.7244825,1980m606,1980m606w1o0022426,1980m606w2o0018775,159.0,149.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
"[0.257, 8.497, 9.431]",2.0,0.257,1980m606o0086502,196.6925061,-60.7428137,799.083,799.118,1862.134,1862.081,7851.3,7927.7,0.004,0.01,0.004,0.011,20.15,46.514,1.0,1.0,224.7,26.48,0.5473,0.507,7967.5,8033.5,20.468,47.469,2.6225,2.8438,0.000597477,0.000908136,0.000103371,0.000235,-83.13,-90.795,196.6925061,196.69259,-60.7428137,-60.7427875,1980m606,1980m606w1o0092211,1980m606w2o0078530,159.0,152.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
"[0.394, 6.0, 8.376]",3.0,0.394,1980m606o0086241,196.694002,-60.7500395,789.644,789.721,1860.989,1860.893,6826.0,6844.5,0.004,0.011,0.004,0.01,17.968,41.953,1.0,1.0,86.0,10.51,0.7412,0.7241,6891.5,6952.6,18.35,43.067,2.6234,2.845,0.00376946,0.00302082,0.000113261,0.000254,-82.623,-88.2,196.694002,196.6941548,-60.7500395,-60.7499819,1980m606,1980m606w1o0091917,1980m606w2o0078311,164.0,154.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
"[4.254, 5.137, 9.891]",4.0,4.254,1980m606o0088071,196.6854249,-60.6993207,855.921,855.932,1867.805,1867.812,16797.0,16812.0,0.002,0.005,0.002,0.006,26.383,58.482,0.99995,1.0,46.82,8.014,0.674,0.6172,16857.0,16731.0,26.751,59.534,2.6233,2.8444,-0.000288784,0.000439882,7.1368e-05,0.00015,-98.326,-101.83,196.6854249,196.6854148,-60.6993207,-60.6993122,1980m606,1980m606w1o0094003,1980m606w2o0080080,161.0,149.0,1.0,1.0,0.0,128.0,0.0,0.0,1.0
"[1.804, 6.627, 6.869, 7.99, 9.626]",5.0,1.804,1980m606o0059458,196.6049835,-60.6651843,899.537,899.096,1920.287,1920.852,1776.6,2034.7,0.012,0.03,0.011,0.028,12.449,32.7,1.0,1.0,77.46,21.1,0.5814,0.572,1762.5,2032.9,12.753,33.633,2.6272,2.8442,-0.00390309,0.00560135,0.000277114,0.000643,-95.59,-98.189,196.6049835,196.6040886,-60.6651843,-60.6655119,1980m606,1980m606w1o0061234,1980m606w2o0081262,153.0,151.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
"[4.244, 4.388, 5.554, 5.566, 9.809, 9.887]",6.0,4.244,1980m606o0086090,196.4781599,-60.7529255,782.887,782.905,1998.953,1998.954,4434.9,3995.2,0.006,0.019,0.005,0.016,16.806,40.066,1.0,1.0,27.16,4.45,0.5367,0.4708,4436.6,4053.3,17.121,41.02,2.6218,2.8435,-0.000420809,-0.00202686,0.000163553,0.000416,-87.764,-89.067,196.4781599,196.4781603,-60.7529255,-60.7529115,1980m606,1980m606w1o0091739,1980m606w2o0078120,154.0,148.0,0.0,0.0,128.0,128.0,0.0,0.0,0.0
"[0.045, 9.518]",7.0,0.045,1980m606o0023175,196.7250602,-60.6855978,874.385,874.391,1842.763,1842.757,280140.0,253650.0,0.0,0.001,0.0,0.001,83.494,162.36,1.0,1.0,642.3,98.42,0.9967,0.9951,279860.0,253480.0,85.183,165.47,2.6258,2.8469,0.000907838,0.00015372,1.91943e-05,3.6e-05,-105.82,-109.63,196.7250602,196.7250706,-60.6855978,-60.6855932,1980m606,1980m606w1o0023893,1980m606w2o0020019,166.0,159.0,1.0,1.0,1.0,0.0,8.0,0.0,1.0
"[0.157, 8.334, 8.766, 9.557]",8.0,0.157,1980m606o0085814,196.746624,-60.7627858,773.617,773.834,1827.013,1826.95,3958.4,4022.3,0.007,0.018,0.006,0.016,16.058,38.796,1.0,1.0,32.01,11.62,0.5306,0.4986,3938.8,3931.7,16.433,39.886,2.6236,2.8439,0.00135261,0.00157493,0.000161682,0.000383,-92.213,-91.532,196.746624,196.746729,-60.7627858,-60.7626212,1980m606,1980m606w1o0091419,1980m606w2o0077844,159.0,159.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
"[1.099, 1.343, 6.396, 9.555, 9.803, 9.915, 9.999]",9.0,1.099,1950m606o0022280,196.4614612,-60.7160954,832.066,832.2,89.81,89.778,12787.0,12975.0,0.003,0.006,0.002,0.006,22.101,49.253,1.0,1.0,28.75,17.74,0.8721,0.8746,12669.0,12838.0,22.504,50.375,2.6317,2.8506,0.000811756,0.0020777,8.48163e-05,0.000169,-69.966,-71.622,196.4614612,196.4615075,-60.7160954,-60.7159926,1950m606,1950m606w1o0022744,1950m606w2o0019523,159.0,157.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
[],10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.72, 0.723, 8.133, 8.352]",11.0,0.72,1950m606o0090988,196.4975883,-60.665288,898.046,897.473,65.168,65.085,1821.5,2244.7,0.012,0.032,0.012,0.033,13.242,41.093,1.0,1.0,26.07,16.34,0.4774,0.2446,1727.2,2099.3,13.538,42.008,2.6313,2.8512,0.00258022,0.012239,0.000284637,0.000757,-86.596,-89.098,196.4975883,196.4977382,-60.665288,-60.6657241,1950m606,1950m606w1o0096270,1950m606w2o0083037,156.0,137.0,1.0,1.0,160.0,162.0,0.0,0.0,1.0
"[1.872, 5.275]",12.0,1.872,1980m606o0019731,196.764771,-60.7811805,749.76,749.437,1814.957,1814.683,2189.4,3620.3,0.011,0.019,0.01,0.018,13.6,37.838,1.0,1.0,174.9,17.68,0.4667,0.5527,2125.4,3613.9,13.864,38.737,2.6227,2.8481,0.0113977,0.00570995,0.000245374,0.000418,-95.512,-97.706,196.764771,196.7651897,-60.7811805,-60.7814311,1980m606,1980m606w1o0020368,1980m606w2o0051327,158.0,146.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
