src,KS,KP,RA,DEC,COMPONENT,NET_COUNTS,NET_ERR,SRC_SIGNIFICANCE_0.7-1.2,THETA_0.7-1.2,NET_COUNTS_0.7-1.2,NET_ERR_0.7-1.2,NET_FLUX_APER_0.7-1.2,NET_FLUX_APER_LO_0.7-1.2,NET_FLUX_APER_HI_0.7-1.2,NET_MFLUX_APER_0.7-1.2,NET_MFLUX_APER_LO_0.7-1.2,NET_MFLUX_APER_HI_0.7-1.2,NET_UMFLUX_APER_0.7-1.2,NET_UMFLUX_APER_LO_0.7-1.2,NET_UMFLUX_APER_HI_0.7-1.2,SRC_SIGNIFICANCE_soft,THETA_soft,NET_COUNTS_soft,NET_ERR_soft,NET_FLUX_APER_soft,NET_FLUX_APER_LO_soft,NET_FLUX_APER_HI_soft,NET_MFLUX_APER_soft,NET_MFLUX_APER_LO_soft,NET_MFLUX_APER_HI_soft,NET_UMFLUX_APER_soft,NET_UMFLUX_APER_LO_soft,NET_UMFLUX_APER_HI_soft,SRC_SIGNIFICANCE_medium,THETA_medium,NET_COUNTS_medium,NET_ERR_medium,NET_FLUX_APER_medium,NET_FLUX_APER_LO_medium,NET_FLUX_APER_HI_medium,NET_MFLUX_APER_medium,NET_MFLUX_APER_LO_medium,NET_MFLUX_APER_HI_medium,NET_UMFLUX_APER_medium,NET_UMFLUX_APER_LO_medium,NET_UMFLUX_APER_HI_medium,SRC_SIGNIFICANCE_hard,THETA_hard,NET_COUNTS_hard,NET_ERR_hard,NET_FLUX_APER_hard,NET_FLUX_APER_LO_hard,NET_FLUX_APER_HI_hard,NET_MFLUX_APER_hard,NET_MFLUX_APER_LO_hard,NET_MFLUX_APER_HI_hard,NET_UMFLUX_APER_hard,NET_UMFLUX_APER_LO_hard,NET_UMFLUX_APER_HI_hard,SRC_SIGNIFICANCE_broad,THETA_broad,NET_COUNTS_broad,NET_ERR_broad,NET_FLUX_APER_broad,NET_FLUX_APER_LO_broad,NET_FLUX_APER_HI_broad,NET_MFLUX_APER_broad,NET_MFLUX_APER_LO_broad,NET_MFLUX_APER_HI_broad,NET_UMFLUX_APER_broad,NET_UMFLUX_APER_LO_broad,NET_UMFLUX_APER_HI_broad,SRC_SIGNIFICANCE_0.7-7.0,THETA_0.7-7.0,NET_COUNTS_0.7-7.0,NET_ERR_0.7-7.0,NET_FLUX_APER_0.7-7.0,NET_FLUX_APER_LO_0.7-7.0,NET_FLUX_APER_HI_0.7-7.0,NET_MFLUX_APER_0.7-7.0,NET_MFLUX_APER_LO_0.7-7.0,NET_MFLUX_APER_HI_0.7-7.0,NET_UMFLUX_APER_0.7-7.0,NET_UMFLUX_APER_LO_0.7-7.0,NET_UMFLUX_APER_HI_0.7-7.0
1,0.164267446698475,0.0226514623133805,92.13092886049006,13.920621048861234,1,518.0,22.759613353482084,10.3129,3.143625312328411,107.42243272926963,10.393451179716894,6.348096318162055e-14,5.740029292245276e-14,6.962286241214799e-14,4.441019492e-14,4.015626212e-14,4.870696246e-14,3.4640499250000006e-13,3.132237925e-13,3.7992030875e-13,10.405,3.143625312328411,109.38117792421747,10.48930547672716,7.534236561776771e-14,6.81894476396441e-14,8.256740908880294e-14,4.617912779e-14,4.1794934240000006e-14,5.0607528770000006e-14,5.622845103999999e-13,5.089018624000001e-13,6.162054352e-13,14.6356,3.143625312328411,216.08915900536806,14.732199785314883,5.646654435334988e-14,5.2655361759849184e-14,6.03162722280857e-14,6.1505501382e-14,5.7354216777e-14,6.5698770969e-14,1.1460314658e-13,1.0686806162999999e-13,1.2241646211e-13,13.5097,3.143625312328411,184.17339527338422,13.602726335874848,1.45924014895486e-13,1.3525415279962363e-13,1.5670173464719742e-13,1.4238423772000002e-13,1.3197320166e-13,1.5290051506e-13,1.5590597582e-13,1.4450623971e-13,1.6742094760999998e-13,22.619,3.143625312328411,515.9731476087072,22.761455124844904,2.786310883591524e-13,2.664627538420678e-13,2.9092274055205114e-13,2.96342807e-13,2.83400969e-13,3.094158016e-13,5.248166975e-13,5.018969824999999e-13,5.47968688e-13,22.5768,3.143625312328411,514.0145119432234,22.717441061707596,2.6678346283737037e-13,2.5510961574762013e-13,2.7857297740287233e-13,2.9503246079999997e-13,2.8212250079999997e-13,3.08070336e-13,4.567286328e-13,4.3674321029999997e-13,4.76912076e-13
2,0.500757636100255,0.3052258265156686,92.12612496781671,13.923371270653945,2,78.0,8.831760866327848,5.28744,2.863624467867404,27.958541065337183,5.291665035058755,1.362303915762344e-14,1.1235498720248687e-14,1.634768705455357e-14,1.0559253095999999e-14,8.708664291e-15,1.267113477e-14,8.2318569984e-14,6.789161926400001e-14,9.878252608000001e-14,5.33329,2.863624467867404,27.917082130674363,5.29182744300367,1.3424767999599708e-14,1.1097077833986173e-14,1.6104278226081132e-14,1.1027888354e-14,9.11578773e-15,1.322899452e-14,1.3421191336e-13,1.1094121320000001e-13,1.6099987680000002e-13,5.20539,2.863624467867404,26.8746511627907,5.196656371520368,6.8036745740912255e-15,5.588731158166712e-15,8.180587156626987e-15,7.285385756000001e-15,5.984422378e-15,8.759785980000001e-15,1.3572538148e-14,1.1148867573999999e-14,1.631931834e-14,4.60034,2.863624467867404,21.75192730091735,4.691508997895918,1.2948621534336693e-14,1.034770938094315e-14,1.594107554565377e-14,1.639791575e-14,1.3104164499999999e-14,2.0187509e-14,1.7953939659e-14,1.4347639194000002e-14,2.2103133348000002e-14,8.76434,2.863624467867404,77.58341546750772,8.8327433035989,3.15990435264776e-14,2.8037591858613717e-14,3.519658379417949e-14,4.349801176e-14,3.85954562e-14,4.8450245480000004e-14,7.70265544e-14,6.8345078e-14,8.57960012e-14,8.77394,2.863624467867404,77.66673237400617,8.832546824886746,3.357931600112914e-14,2.979873556722285e-14,3.739808651966532e-14,4.3516534099999996e-14,3.861715624e-14,4.846540374e-14,6.73605917e-14,5.977669288e-14,7.502110038e-14
3,0.80510564114672,0.8452538392469751,92.12148976960916,13.924112387506547,3,80.0,8.94427190999916,5.09477,2.708771698730157,25.95826833073323,5.099190282017312,1.6911728073056104e-14,1.3843497999741565e-14,2.0418331286563708e-14,9.31697488e-15,7.6266318e-15,1.12488256e-14,7.258472530799999e-14,5.9415956505e-14,8.763498095999999e-14,5.20714,2.708771698730157,26.95826833073323,5.1963199990204405,2.064903280523242e-14,1.696640289404991e-14,2.4857791259476093e-14,9.86507046e-15,8.105694905000001e-15,1.18758038e-14,1.1996917236e-13,9.857339723e-14,1.4442171079999999e-13,6.29379,2.708771698730157,38.91719418306245,6.245272484180282,1.0748954758879993e-14,9.140253510349713e-15,1.2540433892804918e-14,9.748026869999998e-15,8.28912567e-15,1.1372685929999999e-14,1.8155716849999998e-14,1.543851085e-14,2.118164715e-14,3.47758,2.708771698730157,12.6678301074294,3.6074633892378305,7.37431275149095e-15,5.4569833859829475e-15,9.691942401787598e-15,9.04416165e-15,6.692669748e-15,1.188659835e-14,9.902500499999999e-15,7.32783956e-15,1.30146995e-14,8.89163,2.708771698730157,79.71008009235875,8.944943132877183,3.922245240552903e-14,3.4864934451704396e-14,4.362388621950399e-14,4.329023615999999e-14,3.848079744e-14,4.814814528e-14,7.665389856e-14,6.813783904000001e-14,8.525578448000001e-14,8.83547,2.708771698730157,78.71008009235875,8.888869874759484,3.5538656322064955e-14,3.156538584711237e-14,3.9552101546118875e-14,4.271797052e-14,3.794204288e-14,4.754218878e-14,6.612001446e-14,5.872770624e-14,7.358706819e-14
4,0.933995125291345,0.9991087608071578,92.11633074374299,13.92477007818835,4,17.0,4.123105625617661,2.58628,2.5694814803625565,6.9176928062216465,2.646391361283103,3.7021728226768696e-15,2.4489046554040387e-15,5.3155753486699824e-15,2.7558930839999994e-15,1.822961738e-15,3.956908022e-15,2.145422958e-14,1.4191493810000001e-14,3.080395739e-14,2.57434,2.5694814803625565,6.876539209332469,2.6467113283489665,3.447253385220227e-15,2.271446782548876e-15,4.957098321566532e-15,2.826528956e-15,1.862442178e-15,4.064505964e-15,3.434483409999999e-14,2.263032455e-14,4.938735289999999e-14,2.60441,2.5694814803625565,7.0,2.6457513110645907,1.923608888286759e-15,1.2743881956595892e-15,2.757168320873973e-15,1.7826327008e-15,1.1809916688e-15,2.555102776e-15,3.3194522760000002e-15,2.199132486e-15,4.75787397e-15,1.46807,2.5694814803625565,2.625712115457653,1.7365384284232168,2.6315496870987743e-15,1.1656520754679088e-15,4.821553113080428e-15,1.9657163648000003e-15,8.707193984000002e-16,3.601606272e-15,2.1521692350999997e-15,9.533092033e-16,3.943227189e-15,3.96444,2.5694814803625565,16.508561508719325,4.125545537569469,7.927640181406337e-15,6.09971408025834e-15,1.009333623914552e-14,9.346239045e-15,7.191217637999998e-15,1.1899472112e-14,1.654698617e-14,1.2731642988e-14,2.1067340512000002e-14,3.97438,2.5694814803625565,16.549514716326048,4.125342266690859,8.182543193213587e-15,6.300549978400688e-15,1.041228495773384e-14,9.362580876000002e-15,7.2091778e-15,1.1913882728e-14,1.4489938134e-14,1.11572377e-14,1.8438444052e-14
5,0.560624652621706,0.1646882577177209,92.1040413754636,13.945531441018725,5,126.0,11.224972160321824,6.0799,1.212964292286418,36.71550802139038,6.083712866403368,2.554540374490446e-14,2.157918830467908e-14,2.993790964066201e-14,1.41536157e-14,1.195610535e-14,1.658731536e-14,1.1012074440000001e-13,9.30232422e-14,1.2905589312e-13,6.1611,1.212964292286418,37.71550802139038,6.165351753212616,3.604846832338336e-14,3.0525428301726586e-14,4.216530568345137e-14,1.4847041650000002e-14,1.257230408e-14,1.7366342560000002e-14,1.803063955e-13,1.526813816e-13,2.109014512e-13,6.65362,1.212964292286418,44.66639806607574,6.709240738063418,1.1327863137758168e-14,9.724234628989581e-15,1.310210085504142e-14,1.1730985518000001e-14,1.0070289005e-14,1.3568362675000001e-14,2.1841639680000003e-14,1.8749628800000003e-14,2.5262608000000002e-14,6.01676,1.212964292286418,36.752913752913756,6.083598874754689,2.5130194131307026e-14,2.1212637581973516e-14,2.9506139926867154e-14,2.630896515e-14,2.220764949e-14,3.0890171519999996e-14,2.88037464e-14,2.431351824e-14,3.3819371519999995e-14,11.1629,1.212964292286418,125.5870736086176,11.225731638537864,7.496578681443783e-14,6.833195773668318e-14,8.166672298264709e-14,6.769327583999999e-14,6.17030016e-14,7.374414704e-14,1.1983937424e-13,1.092346176e-13,1.3055140744e-13,11.1182,1.212964292286418,124.5870736086176,11.181102397369859,6.462228320102296e-14,5.88807914233337e-14,7.042194569114703e-14,6.710856934e-14,6.114617866000001e-14,7.31313688e-14,1.0385436917999999e-13,9.462722682000001e-14,1.1317499760000001e-13
6,0.690416159057616,0.7659612129460075,92.10051248198725,13.946637056794893,6,40.0,6.324555320336759,3.41601,1.1592057031805676,11.841509433962264,3.465007909786172,8.405795313868117e-15,6.192430436490008e-15,1.1091667393621463e-14,8.14534981e-15,6.000563920000001e-15,1.074800272e-14,6.334330616e-14,4.6664117120000004e-14,8.358315392000001e-14,3.41601,1.1592057031805676,11.841509433962264,3.465007909786172,8.405795313868117e-15,6.192430436490008e-15,1.1091667393621463e-14,8.320609732e-15,6.129675424e-15,1.0979262784e-14,1.0099966192e-13,7.440502144000001e-14,1.3327170304e-13,3.81781,1.1592057031805676,14.83465689268988,3.8738655869536496,3.6476233024418946e-15,2.7764052227782906e-15,4.6815991775526185e-15,6.813663828e-15,5.186251504e-15,8.745103408e-15,1.2683781941999999e-14,9.654318855999999e-15,1.6279198312e-14,3.35835,1.1592057031805676,11.750049436424758,3.465604211010243,7.016694854801688e-15,5.127590422126875e-15,9.30024203226119e-15,1.4591712695e-14,1.0663186557999999e-14,1.9340510388e-14,1.5975010625e-14,1.1674059249999999e-14,2.11739955e-14,6.20997,1.1592057031805676,39.54853854308647,6.3260199856485855,1.951094506414638e-14,1.6545310806751805e-14,2.278887310059576e-14,3.679924695e-14,3.120581685e-14,4.2981688799999996e-14,6.514319839e-14,5.524153037e-14,7.608755375999999e-14,6.20997,1.1592057031805676,39.54853854308647,6.3260199856485855,1.951094506414638e-14,1.6545310806751805e-14,2.278887310059576e-14,3.677487184e-14,3.118514672e-14,4.295321856e-14,5.690727887e-14,4.825745821e-14,6.646796208e-14
7,1.62734175276033e-08,2.3490108830504313e-09,92.05966333960936,13.95031085334582,7,289.0,17.0,8.28777,2.714497653242138,69.50320512820512,8.367829294111276,3.750097469391845e-14,3.303119408377775e-14,4.201596728563733e-14,2.7497883740000002e-14,2.422038206e-14,3.080853746e-14,2.1264031769e-13,1.8729549461e-13,2.3824150451e-13,8.46604,2.714497653242138,72.50320512820512,8.545207258773,5.72975299320806e-14,5.061203182359323e-14,6.405076380297229e-14,2.931224386e-14,2.589207983e-14,3.276706012e-14,3.536479462e-13,3.123841661e-13,3.953298004e-13,10.6572,2.714497653242138,114.54678036340452,10.72467591389551,3.012441284648464e-14,2.7332190004289626e-14,3.294486239297279e-14,3.1260413727e-14,2.8362895301999997e-14,3.4187223293999995e-14,5.808214557000001e-14,5.269852882e-14,6.352018553999999e-14,9.92636,2.714497653242138,99.49264390801314,10.00107248500578,7.238403647398929e-14,6.5180698531202e-14,7.966022007519004e-14,7.337883384e-14,6.607649808e-14,8.075501639999999e-14,8.031340927999999e-14,7.232097536e-14,8.83866688e-14,16.8807,2.714497653242138,287.6313899450782,17.00166934181931,1.5949115776120773e-13,1.501583553392852e-13,1.6891893700497675e-13,1.5790329300000002e-13,1.4866340625000002e-13,1.6723721100000003e-13,2.792930894e-13,2.6294994374999997e-13,2.958025538e-13,16.792,2.714497653242138,284.6313899450782,16.91321259869214,1.397101910476863e-13,1.3149074968085904e-13,1.4801128472143242e-13,1.5615350999999998e-13,1.4696667394999999e-13,1.654316085e-13,2.4143295599999996e-13,2.2722895261999996e-13,2.557780626e-13
8,0.197624344446872,0.6393151720740095,92.05987475997404,13.956745155809669,8,24.0,4.898979485566356,2.39884,2.596128056713261,6.0,2.449489742783178,5.2257080429730154e-15,3.355963179452704e-15,7.718710018338299e-15,2.301150085e-15,1.4778045179999998e-15,3.39894806e-15,1.7797837395000003e-14,1.1429817066e-14,2.628856122e-14,2.41762,2.596128056713261,5.958538706871557,2.449840614984551,4.900691987479941e-15,3.1398282654301665e-15,7.213146211899093e-15,2.49165537e-15,1.59638067e-15,3.66737484e-15,3.007141418e-14,1.926647838e-14,4.426099576e-14,3.43073,2.596128056713261,11.87604372901782,3.464840792740498,3.4880466702700454e-15,2.569592940777959e-15,4.6025676494118275e-15,3.4702748908e-15,2.5565007309000003e-15,4.5791173275e-15,6.4484315e-15,4.750465125e-15,8.508871875e-15,2.49334,2.596128056713261,6.708586883029073,2.648042986399652,3.763742680210235e-15,2.434473731088246e-15,5.466379705689226e-15,5.278563837e-15,3.414294252e-15,7.666473690000001e-15,5.777252987e-15,3.736857652e-15,8.39075919e-15,4.77919,2.596128056713261,23.627347462101213,4.900554049334086,1.1511489988299238e-14,9.285779563911341e-15,1.4072238891697385e-14,1.3732791525e-14,1.1077599427e-14,1.678767242e-14,2.4290656200000002e-14,1.9594134136e-14,2.969415056e-14,4.78913,2.596128056713261,23.668753299645523,4.900379122788559,1.1828203132349627e-14,9.5460029176423e-15,1.4453943948261075e-14,1.3751473679999998e-14,1.10981868e-14,1.6804161e-14,2.1262811472000002e-14,1.716024472e-14,2.59829394e-14
9,0.999519532407867,0.9993781707188674,92.13345524007997,13.966945271705262,9,13.0,3.605551275463989,1.95682,1.7464614235914806,4.0,2.0,2.2640356158023745e-15,1.2919020917283274e-15,3.645464170003697e-15,1.561728361e-15,8.911521189e-16,2.5146356990000002e-15,1.2220659363e-14,6.9733423287e-15,1.9677241617e-14,1.95682,1.7464614235914806,4.0,2.0,2.2640356158023745e-15,1.2919020917283274e-15,3.645464170003697e-15,1.5946401110000001e-15,9.099321939000001e-16,2.567628949e-15,1.9483756000000002e-14,1.1117804400000002e-14,3.1372004e-14,2.40601,1.7464614235914806,5.958849625210341,2.4498353727026903,1.5373877564527725e-15,9.878584591056636e-16,2.2701057705704735e-15,1.7207762831999999e-15,1.1056959446e-15,2.540897151e-15,3.209690592e-15,2.062407476e-15,4.7394270599999995e-15,1.49139,1.7464614235914806,2.666822429906542,1.7360518170986925,1.3483322213433889e-15,6.032014050599058e-16,2.4394187922037456e-15,2.1481576475999998e-15,9.61018131e-16,3.886472525999999e-15,2.352511419e-15,1.0524395775e-15,4.256191815e-15,3.51733,1.7464614235914806,12.799758745476478,3.6066631825002218,5.302845106076546e-15,3.924707824366602e-15,6.935638312607329e-15,7.819672395e-15,5.78744595e-15,1.0227419125e-14,1.3854741081e-14,1.025408241e-14,1.8120739175e-14,3.51733,1.7464614235914806,12.799758745476478,3.6066631825002218,5.302845106076546e-15,3.924707824366602e-15,6.935638312607329e-15,7.814507796e-15,5.783623559999999e-15,1.0220664299999998e-14,1.2103003002e-14,8.957597219999999e-15,1.5829625349999997e-14
10,0.866535143396652,0.7246135663092123,92.12945622120876,13.971919028472103,10,49.0,7.0,3.4496,1.5568818839922913,11.918999151823579,3.4645750920859903,6.187843124910335e-15,4.576035731866745e-15,8.15164225143063e-15,5.121077822e-15,3.787141113e-15,6.7463239619999995e-15,4.0061598498e-14,2.9626366167e-14,5.2775710758e-14,3.4496,1.5568818839922913,11.918999151823579,3.4645750920859903,6.187843124910335e-15,4.576035731866745e-15,8.15164225143063e-15,5.229108322e-15,3.867031863e-15,6.888639461999999e-15,6.387195282000001e-14,4.7234607029999997e-14,8.414261622e-14,4.47522,1.5568818839922913,19.959254947613505,4.4723215625996735,4.771466149381577e-15,3.794453770573926e-15,5.918892998633672e-15,5.6125098992000006e-15,4.4632841736e-15,6.9621882472000005e-15,1.0468026999999999e-14,8.3245785e-15,1.2985344499999999e-14,3.90483,1.5568818839922913,15.751417199372813,4.001287155586471,1.1656356813275252e-14,8.927642553563745e-15,1.4889286009410574e-14,1.2735375866999999e-14,9.754066844999999e-15,1.6267574574e-14,1.3946640981e-14,1.0681778835e-14,1.7814788082e-14,6.96042,1.5568818839922913,48.833549390718176,7.000494729041125,2.3029816520707838e-14,1.9761443177081812e-14,2.6331257441013147e-14,2.942554986e-14,2.5249499099999995e-14,3.3643851569999995e-14,5.2136270580000005e-14,4.47371323e-14,5.961026921e-14,6.96042,1.5568818839922913,48.833549390718176,7.000494729041125,2.3029816520707838e-14,1.9761443177081812e-14,2.6331257441013147e-14,2.940601452e-14,2.52327362e-14,3.362151574e-14,4.5543981299999994e-14,3.9080415499999994e-14,5.207294185e-14
