_rs_2mass,_q,_r_2mass,RAJ2000_2mass,DEJ2000_2mass,errMaj_2mass,errMin_2mass,errPA_2mass,_2MASS_2mass,Jmag_2mass,Jcmsig_2mass,e_Jmag_2mass,Jsnr_2mass,Hmag_2mass,Hcmsig_2mass,e_Hmag_2mass,Hsnr_2mass,Kmag_2mass,Kcmsig_2mass,e_Kmag_2mass,Ksnr_2mass,Qflg_2mass,Rflg_2mass,Bflg_2mass,Cflg_2mass,Ndet_2mass,prox_2mass,pxPA_2mass,pxCntr_2mass,Xflg_2mass,Aflg_2mass,Cntr_2mass,Hemis_2mass,Date_2mass,Scan_2mass,GLON_2mass,GLAT_2mass,Xscan_2mass,_tab1_36_2mass,Jpsfchi_2mass,Hpsfchi_2mass,Kpsfchi_2mass,Jstdap_2mass,e_Jstdap_2mass,Hstdap_2mass,e_Hstdap_2mass,Kstdap_2mass,e_Kstdap_2mass,edgeNS_2mass,edgeEW_2mass,edge_2mass,dup_2mass,use_2mass,opt_2mass,Dopt_2mass,PAopt_2mass,Bmag_2mass,Rmag_2mass,Nopt_2mass,extKey_2mass,scanKey_2mass,coaddKey_2mass,coadd_2mass,Opt_2mass
"[0.051, 8.688]",1.0,0.051,130.640884,-48.128551,0.07,0.06,0.0,08423381-4807427,14.038,0.033,0.036,87.5,13.276,0.034,0.035,65.8,13.141,0.037,0.038,40.7,AAA,222,111,000,666666,8.7,150.0,157282487.0,0.0,0.0,157282501.0,s,1998-11-21,114.0,266.655,-3.593,-133.4,2451138.849,1.23,0.73,0.92,13.973,0.027,13.278,0.044,13.12,0.087,1010.0,119.0,ne,0.0,1.0,U,0.4,278,17.7,15.7,1.0,,9546.0,219557.0,257.0,Opt
"[0.051, 8.688]",2.0,0.051,130.640884,-48.128551,0.07,0.06,0.0,08423381-4807427,14.038,0.033,0.036,87.5,13.276,0.034,0.035,65.8,13.141,0.037,0.038,40.7,AAA,222,111,000,666666,8.7,150.0,157282487.0,0.0,0.0,157282501.0,s,1998-11-21,114.0,266.655,-3.593,-133.4,2451138.849,1.23,0.73,0.92,13.973,0.027,13.278,0.044,13.12,0.087,1010.0,119.0,ne,0.0,1.0,U,0.4,278,17.7,15.7,1.0,,9546.0,219557.0,257.0,Opt
"[0.472, 8.038, 8.487, 9.986]",3.0,0.472,130.604701,-48.09441,0.07,0.06,0.0,08422512-4805398,10.817,0.023,0.026,1700.7,10.393,0.02,0.021,936.9,10.302,0.019,0.021,556.7,AAA,222,111,000,666666,7.6,128.0,157282782.0,0.0,0.0,157282789.0,s,1998-11-21,114.0,266.613,-3.591,-46.4,2451138.849,1.05,0.84,1.14,10.777,0.003,10.403,0.021,10.325,0.013,887.0,206.0,ne,0.0,1.0,U,1.3,358,14.1,11.6,1.0,,9546.0,219557.0,257.0,Opt
"[0.472, 8.038, 8.487, 9.986]",4.0,0.472,130.604701,-48.09441,0.07,0.06,0.0,08422512-4805398,10.817,0.023,0.026,1700.7,10.393,0.02,0.021,936.9,10.302,0.019,0.021,556.7,AAA,222,111,000,666666,7.6,128.0,157282782.0,0.0,0.0,157282789.0,s,1998-11-21,114.0,266.613,-3.591,-46.4,2451138.849,1.05,0.84,1.14,10.777,0.003,10.403,0.021,10.325,0.013,887.0,206.0,ne,0.0,1.0,U,1.3,358,14.1,11.6,1.0,,9546.0,219557.0,257.0,Opt
"[0.263, 6.304]",5.0,0.263,130.652757,-48.102291,0.07,0.06,0.0,08423666-4806082,13.53,0.023,0.026,139.8,12.779,0.02,0.022,104.1,12.609,0.026,0.027,66.5,AAA,222,111,000,665544,6.5,251.0,157282704.0,0.0,0.0,157282710.0,s,1998-11-21,114.0,266.639,-3.571,-162.0,2451138.849,1.02,1.0,1.08,13.515,0.027,12.819,0.057,12.594,0.035,915.0,90.0,ne,0.0,1.0,U,0.2,285,17.8,15.6,1.0,,9546.0,219557.0,257.0,Opt
"[0.263, 6.304]",6.0,0.263,130.652757,-48.102291,0.07,0.06,0.0,08423666-4806082,13.53,0.023,0.026,139.8,12.779,0.02,0.022,104.1,12.609,0.026,0.027,66.5,AAA,222,111,000,665544,6.5,251.0,157282704.0,0.0,0.0,157282710.0,s,1998-11-21,114.0,266.639,-3.571,-162.0,2451138.849,1.02,1.0,1.08,13.515,0.027,12.819,0.057,12.594,0.035,915.0,90.0,ne,0.0,1.0,U,0.2,285,17.8,15.6,1.0,,9546.0,219557.0,257.0,Opt
[0.174],7.0,0.174,130.658041,-48.106865,0.07,0.06,0.0,08423792-4806247,12.101,0.023,0.026,521.2,11.539,0.023,0.024,326.1,11.378,0.019,0.021,206.6,AAA,222,111,000,666666,14.5,81.0,157282680.0,0.0,0.0,157282671.0,s,1998-11-21,114.0,266.645,-3.571,-174.7,2451138.849,0.89,0.88,0.88,12.091,0.015,11.549,0.029,11.405,0.022,932.0,78.0,ne,0.0,1.0,U,0.2,320,15.4,13.0,1.0,,9546.0,219557.0,257.0,Opt
[0.174],8.0,0.174,130.658041,-48.106865,0.07,0.06,0.0,08423792-4806247,12.101,0.023,0.026,521.2,11.539,0.023,0.024,326.1,11.378,0.019,0.021,206.6,AAA,222,111,000,666666,14.5,81.0,157282680.0,0.0,0.0,157282671.0,s,1998-11-21,114.0,266.645,-3.571,-174.7,2451138.849,0.89,0.88,0.88,12.091,0.015,11.549,0.029,11.405,0.022,932.0,78.0,ne,0.0,1.0,U,0.2,320,15.4,13.0,1.0,,9546.0,219557.0,257.0,Opt
"[0.158, 9.92]",9.0,0.158,130.633843,-48.140995,0.07,0.06,0.0,08423212-4808275,13.762,0.029,0.032,112.9,13.019,0.034,0.035,83.4,12.693,0.032,0.033,61.6,AAA,222,111,000,666644,10.0,293.0,157282413.0,0.0,0.0,157282402.0,s,1998-11-21,114.0,266.662,-3.604,-116.4,2451138.8489,1.09,1.2,1.2,13.697,0.008,12.958,0.039,12.675,0.063,1055.0,136.0,ne,0.0,1.0,U,0.4,337,19.0,16.6,1.0,,9546.0,219557.0,257.0,Opt
"[0.158, 9.92]",10.0,0.158,130.633843,-48.140995,0.07,0.06,0.0,08423212-4808275,13.762,0.029,0.032,112.9,13.019,0.034,0.035,83.4,12.693,0.032,0.033,61.6,AAA,222,111,000,666644,10.0,293.0,157282413.0,0.0,0.0,157282402.0,s,1998-11-21,114.0,266.662,-3.604,-116.4,2451138.8489,1.09,1.2,1.2,13.697,0.008,12.958,0.039,12.675,0.063,1055.0,136.0,ne,0.0,1.0,U,0.4,337,19.0,16.6,1.0,,9546.0,219557.0,257.0,Opt
