_rs_allwise,_q,_r_allwise,AllWISE_allwise,RAJ2000_allwise,DEJ2000_allwise,eeMaj_allwise,eeMin_allwise,eePA_allwise,Im_allwise,W1mag_allwise,e_W1mag_allwise,W2mag_allwise,e_W2mag_allwise,W3mag_allwise,e_W3mag_allwise,W4mag_allwise,e_W4mag_allwise,Jmag_allwise,e_Jmag_allwise,Hmag_allwise,e_Hmag_allwise,Kmag_allwise,e_Kmag_allwise,wx_allwise,wy_allwise,ID_allwise,snr1_allwise,chi2W1_allwise,snr2_allwise,chi2W2_allwise,snr3_allwise,chi2W3_allwise,snr4_allwise,chi2W4_allwise,chi2_allwise,nb_allwise,na_allwise,sat1_allwise,sat2_allwise,sat3_allwise,sat4_allwise,ccf_allwise,ex_allwise,var_allwise,nW1_allwise,mW1_allwise,nW2_allwise,mW2_allwise,nW3_allwise,mW3_allwise,nW4_allwise,mW4_allwise,satnum_allwise,RA_pm_allwise,e_RA_pm_allwise,DE_pm_allwise,e_DE_pm_allwise,cosig_pm_allwise,pmRA_allwise,e_pmRA_allwise,pmDE_allwise,e_pmDE_allwise,chi2W1_pm_allwise,chi2W2_pm_allwise,chi2W3_pm_allwise,chi2W4_pm_allwise,chi2pm_allwise,qpm_allwise,qph_allwise,fdet_allwise,fmoon_allwise,covW1_allwise,covW2_allwise,covW3_allwise,covW4_allwise,_2Mkey_allwise,d2M_allwise,_2M_allwise
[0.408],1.0,0.408,J084229.25-480705.7,130.6218797,-48.1182602,0.0601,0.0533,96.8,Im,13.438,0.027,13.588,0.034,12.556,,9.077,,14.218,0.029,13.628,0.03,13.437,0.049,1834.951,2948.379,1.3040485013510446e+18,39.5,1.49,32.1,1.16,-8.0,1.25,-3.9,1.08,1.27,2.0,0.0,0.0,0.0,0.0,0.0,hhH0,0.0,76nn,38,38,38,38,0,18,0.0,20.0,0.0,130.621879,0.0613,-48.1182621,0.0554,-0.0026,50,78,98,81,1.49,1.16,1.25,1.08,1.27,2N000,AAUU,3.0,11.0,39.684,39.667,20.774,20.923,157282581,0.134,2M
[],2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[],3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[],4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[0.093],5.0,0.093,J084229.45-480540.7,130.6227323,-48.0946537,0.0351,0.0334,122.9,Im,11.017,0.022,10.573,0.019,9.166,0.032,7.276,0.1,13.191,0.038,12.38,0.042,11.939,0.027,1833.362,3010.182,1.3040485013510436e+18,48.9,10.8,56.0,4.75,34.1,1.2,10.8,0.917,5.6,1.0,0.0,0.0,0.0,0.0,0.0,hdh0,1.0,9910,39,39,39,39,19,19,10.0,19.0,0.0,130.6227278,0.0395,-48.0946551,0.0426,-0.0104,149,36,73,39,10.8,4.7,1.21,0.918,5.59,2N000,AAAA,15.0,11.0,40.045,40.38,20.723,20.694,157282786,0.49,2M
[2.025],6.0,2.025,J084229.45-480540.7,130.6227323,-48.0946537,0.0351,0.0334,122.9,Im,11.017,0.022,10.573,0.019,9.166,0.032,7.276,0.1,13.191,0.038,12.38,0.042,11.939,0.027,1833.362,3010.182,1.3040485013510436e+18,48.9,10.8,56.0,4.75,34.1,1.2,10.8,0.917,5.6,1.0,0.0,0.0,0.0,0.0,0.0,hdh0,1.0,9910,39,39,39,39,19,19,10.0,19.0,0.0,130.6227278,0.0395,-48.0946551,0.0426,-0.0104,149,36,73,39,10.8,4.7,1.21,0.918,5.59,2N000,AAAA,15.0,11.0,40.045,40.38,20.723,20.694,157282786,0.49,2M
[0.53],7.0,0.53,J084235.03-480615.1,130.6459614,-48.104217,0.0633,0.0615,14.0,Im,14.45,0.027,14.624,0.049,12.489,,9.268,,15.385,0.051,14.717,0.08,14.457,0.098,1792.789,2985.073,1.3040485013510446e+18,40.1,2.06,22.3,1.16,-6.3,0.821,-2.4,1.16,1.4,1.0,0.0,0.0,0.0,0.0,0.0,hhH0,0.0,10nn,39,39,31,39,0,20,0.0,20.0,0.0,130.6459645,0.064,-48.1042132,0.0657,0.0074,-80,133,-176,143,2.06,1.16,0.821,1.16,1.4,1N000,AAUU,3.0,11.0,38.178,37.885,19.873,20.416,157282697,0.329,2M
"[0.109, 8.049]",8.0,0.109,J084233.81-480742.8,130.6409124,-48.1285812,0.0777,0.0733,150.1,Im,13.006,0.038,13.013,0.036,10.902,,8.065,,14.038,0.036,13.276,0.035,13.141,0.038,1801.733,2921.301,1.3040485013510438e+18,28.6,0.756,30.1,1.01,2.0,0.397,0.6,0.788,0.78,2.0,1.0,0.0,0.0,0.0,0.0,hhh0,0.0,nnnn,38,38,38,38,0,20,0.0,20.0,0.0,130.640907,0.0842,-48.1285809,0.0878,0.0225,188,84,-115,90,2.15,1.33,0.421,0.815,1.35,2N001,AAUU,3.0,11.0,39.525,39.271,20.488,20.972,157282501,0.128,2M
[],9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[8.465],10.0,8.465,J084225.10-480539.7,130.6045856,-48.0943794,0.0373,0.0343,119.1,Im,10.278,0.022,10.317,0.019,10.251,0.059,9.195,,10.817,0.026,10.393,0.021,10.302,0.021,1865.094,3010.947,1.3040485013510436e+18,48.3,2.53,56.1,2.17,18.5,0.978,0.3,1.02,1.89,1.0,0.0,0.0,0.0,0.0,0.002,dddD,0.0,011n,39,39,39,39,18,20,0.0,20.0,0.0,130.6045902,0.0367,-48.0943807,0.0354,-0.0095,-133,33,35,32,2.51,2.16,0.977,1.02,1.88,1N000,AAAU,7.0,11.0,40.159,40.177,20.889,20.444,157282789,0.299,2M
[0.197],11.0,0.197,J084225.10-480539.7,130.6045856,-48.0943794,0.0373,0.0343,119.1,Im,10.278,0.022,10.317,0.019,10.251,0.059,9.195,,10.817,0.026,10.393,0.021,10.302,0.021,1865.094,3010.947,1.3040485013510436e+18,48.3,2.53,56.1,2.17,18.5,0.978,0.3,1.02,1.89,1.0,0.0,0.0,0.0,0.0,0.002,dddD,0.0,011n,39,39,39,39,18,20,0.0,20.0,0.0,130.6045902,0.0367,-48.0943807,0.0354,-0.0095,-133,33,35,32,2.51,2.16,0.977,1.02,1.88,1N000,AAAU,7.0,11.0,40.159,40.177,20.889,20.444,157282789,0.299,2M
[0.158],12.0,0.158,J084236.65-480608.1,130.6527199,-48.1022756,0.0408,0.0391,122.4,Im,12.585,0.023,12.567,0.022,12.816,,9.33,,13.53,0.026,12.779,0.022,12.609,0.027,1780.963,2990.133,1.3040485013510433e+18,47.3,1.9,48.3,1.7,-4.1,1.03,-4.5,1.12,1.55,1.0,0.0,0.0,0.0,0.0,0.0,hhH0,0.0,22nn,39,39,39,39,0,20,0.0,20.0,0.0,130.6527198,0.041,-48.1022769,0.0403,-0.0077,-11,49,54,50,1.89,1.7,1.03,1.12,1.55,1N000,AAUU,3.0,11.0,38.2,37.965,20.063,20.578,157282710,0.105,2M
