name,usrid,ra_pnt,dec_pnt,ra,dec,err_ellipse_r0,err_ellipse_r1,err_ellipse_ang,significance,extent_flag,pileup_flag,sat_src_flag,streak_src_flag,conf_flag,flux_aper90_mean_b,e_flux_aper90_mean_b,flux_aper90_mean_h,e_flux_aper90_mean_h,flux_aper90_mean_m,e_flux_aper90_mean_m,flux_aper90_mean_s,e_flux_aper90_mean_s,kp_intra_prob_b,ks_intra_prob_b,var_inter_prob_b,nh_gal,flux_powlaw_mean,e_flux_powlaw_mean,powlaw_gamma_mean,e_powlaw_gamma_mean,powlaw_nh_mean,e_powlaw_nh_mean,powlaw_ampl_mean,e_powlaw_ampl_mean,powlaw_stat,remove_code,flux_significance_b_max,flux_aper90_ave_s,e_flux_aper90_ave_s,flux_aper90_ave_m,e_flux_aper90_ave_m,flux_aper90_ave_h,e_flux_aper90_ave_h,chisqr,dof,kp_prob_b_max,var_inter_prob,significance_max,flux_flag,flux_aper90_ave_b,e_flux_aper90_ave_b
2CXO J084229.2-480705,1.0, 08 42 26.84,-48 07 04.72,130.62174999999996,-48.11833333333333,0.87,0.78,47.8,2.26,False,False,False,False,False,1.2666269218449942e-15,5.854955588067394e-16,5.848103474528918e-16,4.7116815798198845e-16,3.546839044629276e-16,2.443796227619365e-16,3.271326699291748e-16,2.4715221274552564e-16,,,0.462,,,,,,,,,,,0,1.37,3.271326699291748e-16,2.4715221274552564e-16,6.740176770220973e-16,3.931008152155485e-16,1.4207035128782935e-15,8.65889777868e-16,,0.0,,,1.37,0,2.4218538598295656e-15,9.825362968381538e-16
2CXO J084225.2-480704,2.0, 08 42 26.66,-48 07 04.90,130.6053333333333,-48.11784166666667,0.79,0.75,144.5,2.15,False,False,False,False,False,3.268823978429293e-15,1.3550157130894028e-15,1.2862975399461623e-15,5.706734996717577e-16,9.829455923074516e-16,8.687443993204992e-16,9.99580846175679e-16,8.693000104341633e-16,0.676,0.692,0.212,,,,,,,,,,,0,1.76,9.99580846175679e-16,8.693000104341633e-16,9.829455923074516e-16,8.687443993204992e-16,1.3313877811342044e-15,6.479812287978799e-16,,-1.0,,,,0,3.313914219617335e-15,1.3893448140638025e-15
2CXO J084232.9-480634,3.0, 08 42 26.84,-48 07 04.72,130.637375,-48.109572222222226,0.92,0.79,35.9,1.91,False,False,False,False,False,8.127910366339422e-15,4.6126315570424026e-15,1.9271161194127486e-15,1.6550865622700787e-15,5.206540585710739e-16,3.476922659318217e-16,5.6801401883556e-15,4.291406347647311e-15,,,0.714,,,,,,,,,,,0,1.56,5.6801401883556e-15,4.291406347647311e-15,7.410345223886507e-16,4.62030755672199e-16,2.383901822515992e-15,1.4482693178019254e-15,,0.0,,,1.56,0,8.805076533260243e-15,4.552705226203549e-15
2CXO J084227.5-480737,4.0, 08 42 26.66,-48 07 04.90,130.61462499999996,-48.12695277777778,0.86,0.79,84.6,2.92,False,False,False,False,False,2.0561175649915063e-15,7.147771099691862e-16,4.0732342794723385e-16,3.406706098255065e-16,1.0046806164325849e-15,3.8265461775224195e-16,6.441135206116875e-16,4.98422808516931e-16,0.705,0.353,0.554,,,,,,,,,,,0,2.67,6.99383263905039e-16,5.014812231509608e-16,9.136035622560028e-16,4.1979184239093744e-16,7.560144340160268e-16,4.665499499664502e-16,0.23296078596737238,1.0,0.705,0.371,2.67,0,2.3690012601770687e-15,8.033538846141584e-16
2CXO J084229.4-480540,5.0, 08 42 26.84,-48 07 04.72,130.6227083333333,-48.094633333333334,0.92,0.87,153.0,2.85,False,False,False,False,True,2.1225806358014272e-15,7.997280728804641e-16,9.807191538243212e-16,5.884000154153945e-16,6.513202115439197e-16,3.5665000158951675e-16,4.905412704331864e-16,4.0761647265347614e-16,0.704,0.629,0.823,,,,,,,,,,,0,2.16,8.245095181780128e-16,5.031437015665518e-16,6.071396130851678e-16,3.490923606423659e-16,7.44928895462035e-16,5.110256282218012e-16,0.0012613716272793357,1.0,0.704,0.028,2.16,0,2.1765780267252154e-15,7.976003092930929e-16
2CXO J084229.2-480540,6.0, 08 42 26.66,-48 07 04.90,130.62191666666664,-48.09451388888889,0.83,0.81,166.2,2.49,False,False,False,False,True,7.513740974921947e-15,3.0249434564712287e-15,9.38419153824321e-16,6.857000132279687e-16,3.1852393653682413e-16,2.388850002135802e-16,6.256797884560802e-15,2.9365000193053337e-15,0.468,0.429,0.148,,,,,,,,,,,0,1.95,5.318128249664847e-15,2.440744619265772e-15,3.2181950464579545e-16,2.3423259885068497e-16,1.4953159817457742e-15,8.013869239411996e-16,0.40670070325944496,1.0,0.468,0.476,1.95,0,7.135263736056416e-15,2.5795969081821877e-15
2CXO J084234.9-480614,7.0, 08 42 26.84,-48 07 04.72,130.64583333333331,-48.10409722222222,0.83,0.8,36.0,2.15,False,False,False,False,False,1.5207748638415706e-15,6.487818483705928e-16,7.916606346317592e-16,5.442500093745709e-16,4.1259342393931473e-16,2.59854467423645e-16,3.165208052704967e-16,2.3913483608817083e-16,,,0.362,,,,,,,,,,,0,1.62,8.560695156953431e-16,4.793024060125662e-16,6.784074423025297e-16,3.819607434907286e-16,6.175304368701487e-16,4.264266871631725e-16,1.1963375758527584,1.0,,0.726,1.62,0,2.1520073948680217e-15,7.466354702948307e-16
2CXO J084233.8-480742,8.0, 08 42 26.84,-48 07 04.72,130.64087499999997,-48.12856388888889,0.74,0.73,39.1,3.94,False,False,False,False,False,3.3697414808074385e-15,9.433708949189952e-16,1.0758404230878397e-15,7.061000032114496e-16,1.653e-15,4.76e-16,6.409010577195986e-16,4.0595003491200357e-16,0.209,0.418,0.206,,,,,,,,,,,0,3.31,1.0573793609828404e-15,6.089399306157529e-16,1.7544313710914e-15,5.497609668048656e-16,1.1806804626940618e-15,7.406874178699905e-16,0.1308449347265071,1.0,0.209,0.282,3.31,0,3.992491194768302e-15,1.1052885644533976e-15
2CXO J084221.4-480711,9.0, 08 42 26.84,-48 07 04.72,130.58949999999996,-48.11994722222222,0.88,0.83,154.0,2.0,False,False,False,False,False,2.8466856707806498e-15,1.4992192374147723e-15,4.741000000000001e-16,3.879e-16,1.0489055138342528e-15,9.270341741321813e-16,1.3236801569463972e-15,1.112564403450693e-15,0.826,0.801,0.952,,,,,,,,,,,0,1.95,1.3236801569463972e-15,1.112564403450693e-15,1.0489055138342528e-15,9.270341741321813e-16,4.872906596758552e-16,3.2780930922595136e-16,,0.0,0.826,,1.95,0,2.8598763304565052e-15,1.4848066726175927e-15
2CXO J084224.5-480545,10.0, 08 42 26.84,-48 07 04.72,130.6020833333333,-48.09603333333334,0.86,0.8,168.2,2.44,False,False,False,False,False,1.9811827751163005e-15,9.048774924475819e-16,4.035874654808826e-16,3.3375347604621486e-16,4.43e-16,2.8059999999999996e-16,1.1345953096354179e-15,7.928906189161858e-16,0.111,0.037,0.47,,,,,,,,,,,0,1.74,1.0134618213433037e-15,5.915117111798259e-16,3.0130336615334513e-16,2.3671930340675874e-16,6.718115999198172e-16,4.344112736627145e-16,2.0993576519691293,1.0,0.111,0.853,1.74,0,1.986576787416466e-15,7.711259869525399e-16
2CXO J084225.0-480539,11.0, 08 42 26.84,-48 07 04.72,130.60454166666662,-48.09433333333334,0.71,0.71,0.0,21.95,True,False,False,False,False,8.356158657939784e-14,7.57871294135218e-15,1.7018401933447457e-14,3.3056191592828012e-15,2.238435962466351e-14,2.3656926445712627e-15,4.415882502128688e-14,6.396348187256765e-15,0.998,1.0,1.0,,,,,,,,,,,0,17.65,5.6309201652915547e-14,5.6659662075751346e-15,2.8717564241576346e-14,2.1360529586141153e-15,2.469101627567026e-14,3.1240168064309874e-15,81.87979479517537,1.0,0.998,1.0,17.65,0,1.0971778217016215e-13,6.81361697736604e-15
2CXO J084236.6-480608,12.0, 08 42 26.84,-48 07 04.72,130.65266666666662,-48.10225,0.74,0.73,171.2,8.17,False,False,False,False,False,1.9614689815170006e-14,2.9831392873808547e-15,5.0485628888181795e-15,1.4107382752905063e-15,5.132733272669419e-15,9.057484507982737e-16,9.433393653682409e-15,2.467500206772443e-15,0.994,0.992,0.871,,,,,,,,,,,0,7.12,8.72259621304362e-15,2.474802981516816e-15,5.169834190274794e-15,9.182134427425398e-16,5.082026768395826e-15,1.4034213908881795e-15,4.739975906075536,1.0,0.994,0.971,7.12,0,1.8974457171714243e-14,2.9895413233738956e-15
2CXO J084220.3-480609,13.0, 08 42 26.66,-48 07 04.90,130.58474999999996,-48.10274166666667,0.9,0.81,139.1,2.49,False,False,False,False,False,1.4152239730693231e-15,6.998763237286646e-16,2.92185343329666e-16,2.3143290281920173e-16,4.2337427011499357e-16,2.6665579968742446e-16,6.996643596246635e-16,6.042850027112113e-16,0.989,0.721,0.932,,,,,,,,,,,0,2.49,6.996643596246635e-16,6.042850027112113e-16,5.816281837915431e-16,3.104698126917003e-16,4.790586048388013e-16,2.9904519708388393e-16,,0.0,0.989,,2.49,0,1.7603511482550078e-15,7.422802024797962e-16
2CXO J084237.9-480624,14.0, 08 42 26.84,-48 07 04.72,130.65799999999996,-48.106825,0.72,0.72,0.0,13.5,False,False,False,False,False,3.8658507705407316e-14,4.7150208599552965e-15,1.0225212692635183e-14,2.4530008319786995e-15,1.1516808461756788e-14,1.7720005118745425e-15,1.691648655101534e-14,3.615829478009403e-15,0.475,0.807,0.997,,,,,,,,,,,0,9.93,1.962965612600615e-14,3.0230338661183577e-15,1.3160765150927912e-14,1.4642657524590625e-15,1.3037844465959491e-14,2.2354781204396414e-15,10.672604540793028,1.0,0.475,0.999,9.93,0,4.582826574289355e-14,4.034869313433505e-15
2CXO J084231.2-480823,15.0, 08 42 26.66,-48 07 04.90,130.62999999999997,-48.139919444444445,0.82,0.77,114.6,2.67,False,False,False,False,False,2.4282048678494896e-15,9.082245114467482e-16,1.0893134057401404e-15,7.274438414738899e-16,7.848404230878394e-16,3.471000065330007e-16,5.540510390215098e-16,4.1859145495242197e-16,0.77,0.568,0.043,,,,,,,,,,,0,2.32,5.540510390215098e-16,4.1859145495242197e-16,4.487117825965856e-16,2.2968755465086396e-16,1.0612848167853597e-15,6.9341827424111645e-16,,0.0,0.77,,2.32,0,2.064047638403455e-15,8.419050314448817e-16
2CXO J084229.8-480508,16.0, 08 42 26.84,-48 07 04.72,130.6242083333333,-48.08582777777778,0.89,0.86,84.5,1.79,False,False,False,False,False,,,1.1348404230878395e-15,6.111000037106931e-16,5.831181393492411e-16,5.118732481921239e-16,,,,,0.426,,,,,,,,,,,0,1.15,7.978845608028655e-18,6.028102749890869e-18,5.831181393492411e-16,5.118732481921239e-16,1.0281285619268723e-15,6.233991503244461e-16,,-1.0,,,,1,1.619225546884142e-15,8.066455608647208e-16
2CXO J084232.1-480827,17.0, 08 42 26.84,-48 07 04.72,130.63379166666664,-48.14102222222222,0.75,0.72,152.5,4.82,False,False,False,False,False,6.915727984071427e-15,1.7233698451129872e-15,2.976126926351828e-15,1.2401645732802872e-15,1.5623989422804015e-15,5.857500241955241e-16,2.377202115439197e-15,1.0435000543268927e-15,0.809,0.921,0.891,,,,,,,,,,,0,3.59,1.959968113934608e-15,1.0147262949515986e-15,1.3536813542504181e-15,5.578570856930097e-16,3.261866337245825e-15,1.245077297279379e-15,2.002080349117166,1.0,0.809,0.843,3.59,0,6.575515805430851e-15,1.7003209867329815e-15
2CXO J084236.5-480801,18.0, 08 42 26.84,-48 07 04.72,130.65241666666665,-48.133722222222225,0.75,0.73,155.3,6.37,False,False,False,False,False,2.2755954245069648e-14,5.702860267457761e-15,4.2152021154391975e-15,1.4595000388421468e-15,2.808202115439197e-15,8.895000637325596e-16,1.5732550014191255e-14,5.440704412425652e-15,0.988,0.998,0.566,,,,,,,,,,,0,5.0,2.052269753074823e-15,1.0930519699414278e-15,2.566235045794582e-15,6.790164607916936e-16,4.4941619307218e-15,1.2617581310494392e-15,4.579200973021958,1.0,0.988,0.968,5.0,0,9.112666729591206e-15,1.802181884352489e-15
2CXO J084232.6-480840,19.0, 08 42 26.84,-48 07 04.72,130.63608333333332,-48.144508333333334,0.72,0.71,174.8,14.56,False,False,False,False,False,8.366307887399054e-14,8.090408927348008e-15,3.5100000000000003e-14,4.379999999999999e-15,2.0712338470271543e-14,2.230650697403649e-15,2.7850740403718998e-14,6.426080771192109e-15,1.0,1.0,1.0,,,,,,,,,,,0,13.06,1.5945784432107872e-14,3.4205353544637854e-15,1.6195468248253393e-14,1.614072166858333e-15,2.6891478705056682e-14,3.194732873643579e-15,17.456696359720823,1.0,1.0,1.0,13.06,0,5.903273138541795e-14,4.9509200362056354e-15
