_rs_catwise,_q,_r_catwise,objID_catwise,RA_ICRS_catwise,e_RA_ICRS_catwise,DE_ICRS_catwise,e_DE_ICRS_catwise,Name_catwise,ePos_catwise,Xpos_catwise,Ypos_catwise,skyW1_catwise,e_skyW1_catwise,confW1_catwise,skyW2_catwise,e_skyW2_catwise,confW2_catwise,nW1_catwise,mW1_catwise,nW2_catwise,mW2_catwise,_tab1_20_catwise,RAPMdeg_catwise,e_RAPMdeg_catwise,DEPMdeg_catwise,e_DEPMdeg_catwise,ePosPM_catwise,pmRA_catwise,e_pmRA_catwise,pmDE_catwise,e_pmDE_catwise,snrW1pm_catwise,snrW2pm_catwise,FW1pm_catwise,e_FW1pm_catwise,FW2pm_catwise,e_FW2pm_catwise,W1mproPM_catwise,e_W1mproPM_catwise,chi2W1pm_catwise,W2mproPM_catwise,e_W2mproPM_catwise,chi2W2pm_catwise,chi2pm_catwise,pmQual_catwise,Dist_catwise,dW1mpro_catwise,chi2dW1mpro_catwise,dW2mpro_catwise,chi2dW2mpro_catwise,ELONavg_catwise,e_ELONavg_catwise,ELATavg_catwise,e_ELATavg_catwise,dELON_catwise,e_dELON_catwise,dELAT_catwise,e_dELAT_catwise,snrdELON_catwise,snrdELAT_catwise,chi2pmRA_catwise,chi2pmDE_catwise,ka_catwise,k1_catwise,k2_catwise,km_catwise,plx1_catwise,e_plx1_catwise,plx2_catwise,e_plx2_catwise,Sep_catwise,ccf_catwise,abf_catwise,WISEA_catwise
"[0.111, 8.434]",1.0,0.111,1304m485_b0-011005,130.6408603,0.0392,-48.1285932,0.0465,J084233.80-480742.9,-0.0108,901.409,1461.144,88.6,52.8,0.84,100.04,59.8,8.84,12.0,12.0,12.0,12.0,57248.124061,130.6408635,0.0406,-48.1285926,0.0495,-0.0116,-0.0067,0.0066,-0.00553,0.0079,64.8,44.1,6300.0,100.0,6600.0,200.0,13.009,0.017,0.7694,12.951,0.025,0.2422,0.5023,2N000,0.13,-0.026,0.61,-0.027,0.297,158.816193,0.043,-62.209951,0.043,0.064,0.086,-0.071,0.088,0.74,0.804,10.3,17.7,3,3,3,3,0.045,0.046,0.042,0.046,0.129,hhh0,00,WISEA
"[0.111, 8.434]",2.0,0.111,1304m485_b0-011005,130.6408603,0.0392,-48.1285932,0.0465,J084233.80-480742.9,-0.0108,901.409,1461.144,88.6,52.8,0.84,100.04,59.8,8.84,12.0,12.0,12.0,12.0,57248.124061,130.6408635,0.0406,-48.1285926,0.0495,-0.0116,-0.0067,0.0066,-0.00553,0.0079,64.8,44.1,6300.0,100.0,6600.0,200.0,13.009,0.017,0.7694,12.951,0.025,0.2422,0.5023,2N000,0.13,-0.026,0.61,-0.027,0.297,158.816193,0.043,-62.209951,0.043,0.064,0.086,-0.071,0.088,0.74,0.804,10.3,17.7,3,3,3,3,0.045,0.046,0.042,0.046,0.129,hhh0,00,WISEA
"[0.149, 8.978]",3.0,0.149,1304m485_b0-001406,130.6045792,0.0172,-48.0943662,0.0196,J084225.09-480539.7,-0.0077,933.05,1506.003,24.01,17.4,0.0,64.86,23.1,4.7,12.0,12.0,12.0,12.0,57249.247392,130.6045846,0.016,-48.0943667,0.0182,-0.0073,-0.03126,0.0031,7e-05,0.0035,116.0,147.5,90000.0,800.0,78000.0,500.0,10.108,0.009,7.038,10.274,0.007,2.151,4.558,2N000,0.016,-0.033,2.119,-0.01,0.452,158.732238,0.019,-62.194941,0.017,-0.032,0.039,0.01,0.035,0.829,0.283,14.3,12.0,3,3,3,3,-0.002,0.018,-0.013,0.019,0.053,dddD,H0,WISEA
"[0.149, 8.978]",4.0,0.149,1304m485_b0-001406,130.6045792,0.0172,-48.0943662,0.0196,J084225.09-480539.7,-0.0077,933.05,1506.003,24.01,17.4,0.0,64.86,23.1,4.7,12.0,12.0,12.0,12.0,57249.247392,130.6045846,0.016,-48.0943667,0.0182,-0.0073,-0.03126,0.0031,7e-05,0.0035,116.0,147.5,90000.0,800.0,78000.0,500.0,10.108,0.009,7.038,10.274,0.007,2.151,4.558,2N000,0.016,-0.033,2.119,-0.01,0.452,158.732238,0.019,-62.194941,0.017,-0.032,0.039,0.01,0.035,0.829,0.283,14.3,12.0,3,3,3,3,-0.002,0.018,-0.013,0.019,0.053,dddD,H0,WISEA
[0.17],5.0,0.17,1304m485_b0-008352,130.6526868,0.0174,-48.1022952,0.0199,J084236.64-480608.2,0.0048,891.007,1495.552,30.98,21.4,4.1,51.15,27.0,6.66,12.0,12.0,12.0,12.0,57247.826161,130.6526905,0.0179,-48.1022975,0.0205,0.005,-0.00563,0.0043,0.01515,0.0049,93.1,136.2,9100.0,100.0,9300.0,70.0,12.607,0.012,2.715,12.578,0.008,2.222,2.451,1N000,0.027,-0.044,3.552,-0.043,7.64,158.79895,0.018,-62.183699,0.02,-0.036,0.035,0.026,0.039,1.036,0.662,9.07,24.3,3,3,3,3,-0.006,0.018,-0.012,0.018,0.102,hhH0,00,WISEA
[0.17],6.0,0.17,1304m485_b0-008352,130.6526868,0.0174,-48.1022952,0.0199,J084236.64-480608.2,0.0048,891.007,1495.552,30.98,21.4,4.1,51.15,27.0,6.66,12.0,12.0,12.0,12.0,57247.826161,130.6526905,0.0179,-48.1022975,0.0205,0.005,-0.00563,0.0043,0.01515,0.0049,93.1,136.2,9100.0,100.0,9300.0,70.0,12.607,0.012,2.715,12.578,0.008,2.222,2.451,1N000,0.027,-0.044,3.552,-0.043,7.64,158.79895,0.018,-62.183699,0.02,-0.036,0.035,0.026,0.039,1.036,0.662,9.07,24.3,3,3,3,3,-0.006,0.018,-0.012,0.018,0.102,hhH0,00,WISEA
[0.137],7.0,0.137,1304m485_b0-003199,130.658005,0.0193,-48.106863,0.0211,J084237.92-480624.7,-0.0028,886.37,1489.563,48.97,32.8,2.47,51.94,31.3,2.35,12.0,12.0,12.0,12.0,57251.175465,130.6580104,0.0196,-48.106865,0.0214,-0.0027,-0.01124,0.0038,0.01005,0.0041,92.6,129.0,29000.0,300.0,29000.0,200.0,11.348,0.012,1.1,11.354,0.008,1.293,1.189,1N000,0.028,-0.022,0.945,-0.019,1.253,158.810716,0.02,-62.185525,0.02,-0.017,0.04,-0.003,0.041,0.422,0.072,26.8,22.5,3,3,3,3,0.006,0.02,-0.002,0.02,0.023,hhH0,00,WISEA
[0.137],8.0,0.137,1304m485_b0-003199,130.658005,0.0193,-48.106863,0.0211,J084237.92-480624.7,-0.0028,886.37,1489.563,48.97,32.8,2.47,51.94,31.3,2.35,12.0,12.0,12.0,12.0,57251.175465,130.6580104,0.0196,-48.106865,0.0214,-0.0027,-0.01124,0.0038,0.01005,0.0041,92.6,129.0,29000.0,300.0,29000.0,200.0,11.348,0.012,1.1,11.354,0.008,1.293,1.189,1N000,0.028,-0.022,0.945,-0.019,1.253,158.810716,0.02,-62.185525,0.02,-0.017,0.04,-0.003,0.041,0.422,0.072,26.8,22.5,3,3,3,3,0.006,0.02,-0.002,0.02,0.023,hhH0,00,WISEA
"[0.102, 7.946]",9.0,0.102,1304m485_b0-008024,130.6338204,0.0185,-48.1410015,0.0187,J084232.11-480827.6,0.001,907.589,1444.911,108.82,40.2,0.0,133.95,41.3,1.62,12.0,12.0,12.0,12.0,57213.982615,130.6338224,0.0185,-48.1410015,0.0187,-0.0006,0.00149,0.0042,0.00295,0.0042,98.8,140.1,10000.0,100.0,11000.0,80.0,12.475,0.011,4.196,12.394,0.008,2.21,3.18,3N000,0.029,-0.037,2.674,-0.02,1.653,158.822609,0.019,-62.222879,0.019,-0.068,0.037,-0.017,0.037,1.836,0.461,2.24,8.48,3,3,3,3,-0.03,0.019,-0.033,0.019,0.754,hhh0,00,WISEA
"[0.102, 7.946]",10.0,0.102,1304m485_b0-008024,130.6338204,0.0185,-48.1410015,0.0187,J084232.11-480827.6,0.001,907.589,1444.911,108.82,40.2,0.0,133.95,41.3,1.62,12.0,12.0,12.0,12.0,57213.982615,130.6338224,0.0185,-48.1410015,0.0187,-0.0006,0.00149,0.0042,0.00295,0.0042,98.8,140.1,10000.0,100.0,11000.0,80.0,12.475,0.011,4.196,12.394,0.008,2.21,3.18,3N000,0.029,-0.037,2.674,-0.02,1.653,158.822609,0.019,-62.222879,0.019,-0.068,0.037,-0.017,0.037,1.836,0.461,2.24,8.48,3,3,3,3,-0.03,0.019,-0.033,0.019,0.754,hhh0,00,WISEA
"[0.15, 9.404]",11.0,0.15,1304m485_b0-006093,130.6523545,0.0214,-48.1337259,0.0242,J084236.56-480801.4,0.0027,891.379,1454.406,64.99,36.1,0.0,100.94,42.2,0.0,12.0,12.0,12.0,12.0,57263.113499,130.6523608,0.0215,-48.1337279,0.0244,0.0029,-0.01575,0.0043,0.00895,0.0049,100.8,105.0,14000.0,100.0,13000.0,100.0,12.152,0.011,1.854,12.198,0.01,0.6905,1.263,2N000,0.12,0.014,0.407,-0.024,1.274,158.835991,0.022,-62.209955,0.024,0.063,0.045,-0.052,0.047,1.418,1.098,25.1,11.8,3,3,3,3,0.047,0.022,0.039,0.022,0.236,hhh0,00,WISEA
"[0.15, 9.404]",12.0,0.15,1304m485_b0-006093,130.6523545,0.0214,-48.1337259,0.0242,J084236.56-480801.4,0.0027,891.379,1454.406,64.99,36.1,0.0,100.94,42.2,0.0,12.0,12.0,12.0,12.0,57263.113499,130.6523608,0.0215,-48.1337279,0.0244,0.0029,-0.01575,0.0043,0.00895,0.0049,100.8,105.0,14000.0,100.0,13000.0,100.0,12.152,0.011,1.854,12.198,0.01,0.6905,1.263,2N000,0.12,0.014,0.407,-0.024,1.274,158.835991,0.022,-62.209955,0.024,0.063,0.045,-0.052,0.047,1.418,1.098,25.1,11.8,3,3,3,3,0.047,0.022,0.039,0.022,0.236,hhh0,00,WISEA
[0.024],13.0,0.024,1304m485_b0-011002,130.6360927,0.0187,-48.1445106,0.0208,J084232.66-480840.2,-0.0011,905.612,1440.314,109.1,31.9,0.55,144.45,29.8,7.1,12.0,12.0,12.0,12.0,57237.421314,130.6360967,0.019,-48.1445122,0.0212,-0.0017,-0.0099,0.0047,0.01255,0.0053,104.5,131.1,6300.0,60.0,6700.0,50.0,13.009,0.01,1.996,12.933,0.008,2.7,2.332,2N000,0.055,-0.025,1.389,-0.033,4.109,158.8295,0.019,-62.224952,0.02,0.008,0.039,0.016,0.04,0.194,0.399,14.4,15.6,3,3,3,3,0.016,0.02,0.009,0.02,0.07,hhh0,00,WISEA
[0.024],14.0,0.024,1304m485_b0-011002,130.6360927,0.0187,-48.1445106,0.0208,J084232.66-480840.2,-0.0011,905.612,1440.314,109.1,31.9,0.55,144.45,29.8,7.1,12.0,12.0,12.0,12.0,57237.421314,130.6360967,0.019,-48.1445122,0.0212,-0.0017,-0.0099,0.0047,0.01255,0.0053,104.5,131.1,6300.0,60.0,6700.0,50.0,13.009,0.01,1.996,12.933,0.008,2.7,2.332,2N000,0.055,-0.025,1.389,-0.033,4.109,158.8295,0.019,-62.224952,0.02,0.008,0.039,0.016,0.04,0.194,0.399,14.4,15.6,3,3,3,3,0.016,0.02,0.009,0.02,0.07,hhh0,00,WISEA
