separation,name,ra,dec,err_ellipse_r0,err_ellipse_r1,err_ellipse_ang,significance,likelihood_class,conf_flag,dither_warning_flag,extent_flag,pileup_flag,sat_src_flag,streak_src_flag,var_flag,var_inter_hard_flag,flux_aper90_b,flux_aper90_lolim_b,flux_aper90_hilim_b,flux_aper90_h,flux_aper90_lolim_h,flux_aper90_hilim_h,flux_aper90_m,flux_aper90_lolim_m,flux_aper90_hilim_m,flux_aper90_s,flux_aper90_lolim_s,flux_aper90_hilim_s,var_intra_index_b,var_intra_prob_b,ks_intra_prob_b,kp_intra_prob_b,var_inter_index_b,var_inter_prob_b,var_inter_sigma_b,nh_gal,flux_powlaw,flux_powlaw_lolim,flux_powlaw_hilim,powlaw_gamma,powlaw_gamma_lolim,powlaw_gamma_hilim,powlaw_gamma_rhat,powlaw_nh,powlaw_nh_lolim,powlaw_nh_hilim,powlaw_nh_rhat,powlaw_ampl,powlaw_ampl_lolim,powlaw_ampl_hilim,powlaw_ampl_rhat,powlaw_stat,flux_bb,flux_bb_lolim,flux_bb_hilim,bb_kt,bb_kt_lolim,bb_kt_hilim,bb_kt_rhat,bb_nh,bb_nh_lolim,bb_nh_hilim,bb_nh_rhat,bb_ampl,bb_ampl_lolim,bb_ampl_hilim,bb_ampl_rhat,bb_stat,flux_brems,flux_brems_lolim,flux_brems_hilim,brems_kt,brems_kt_lolim,brems_kt_hilim,brems_kt_rhat,brems_nh,brems_nh_lolim,brems_nh_hilim,brems_nh_rhat,brems_norm,brems_norm_lolim,brems_norm_hilim,brems_norm_rhat,brems_stat,flux_apec,flux_apec_lolim,flux_apec_hilim,apec_kt,apec_kt_lolim,apec_kt_hilim,apec_kt_rhat,apec_abund,apec_abund_lolim,apec_abund_hilim,apec_abund_rhat,apec_z,apec_z_lolim,apec_z_hilim,apec_z_rhat,apec_nh,apec_nh_lolim,apec_nh_hilim,apec_nh_rhat,apec_norm,apec_norm_lolim,apec_norm_hilim,apec_norm_rhat,apec_stat,obsid,region_id,obi,ra_pnt,dec_pnt,gti_obs,gti_end,instrument,grating,datamode,theta,phi,src_cnts_aper90_b,src_cnts_aper90_lolim_b,src_cnts_aper90_hilim_b,flux_significance_b,conf_code,dither_warning_flag.1,edge_code,extent_code,multi_chip_code,pileup_warning,sat_src_flag.1,streak_src_flag.1,var_code,flux_aper90_b.1,flux_aper90_lolim_b.1,flux_aper90_hilim_b.1,flux_aper90_h.1,flux_aper90_lolim_h.1,flux_aper90_hilim_h.1,flux_aper90_m.1,flux_aper90_lolim_m.1,flux_aper90_hilim_m.1,flux_aper90_s.1,flux_aper90_lolim_s.1,flux_aper90_hilim_s.1,var_index_b,var_prob_b,ks_prob_b,kp_prob_b,var_sigma_b,var_mean_b,var_min_b,var_max_b,usrid
17.54, 2CXO J084229.2-480705, 08 42 29.22,-48 07 06.00,0.87,0.78,47.8,2.26,                TRUE,FALSE,FALSE,FALSE,False,False,False,FALSE, TRUE,1.079e-15,4.858e-16,1.673e-15,6.038e-16,1.208e-16,1.063e-15,3.637e-16,1.137e-16,6.024e-16,0.000e+00,0.000e+00,4.100e-16,  ,         ,         ,         , 0,    0.462,1.556e-07,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,24613,48,0, 08 42 26.84,-48 07 04.72,2020-08-19T22:36:31,2020-08-20T10:17:50,ACIS,NONE,    VFAINT,0.397,343.29,3.246,0.89544,5.5965,1.37,0,FALSE,0,0,0,0.0002269182,False,False,0,0.000e+00,0.000e+00,6.393e-16,7.812e-16,0.0,2.074e-15,3.976e-16,0.000e+00,1.056e-15,0.000e+00,0.000e+00,4.100e-16,  ,         ,         ,         ,         ,         ,         ,         ,1.0
17.54, 2CXO J084229.2-480705, 08 42 29.22,-48 07 06.00,0.87,0.78,47.8,2.26,                TRUE,FALSE,FALSE,FALSE,False,False,False,FALSE, TRUE,1.079e-15,4.858e-16,1.673e-15,6.038e-16,1.208e-16,1.063e-15,3.637e-16,1.137e-16,6.024e-16,0.000e+00,0.000e+00,4.100e-16,  ,         ,         ,         , 0,    0.462,1.556e-07,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,21137,48,0, 08 42 26.66,-48 07 04.90,2020-08-19T05:26:54,2020-08-19T12:09:32,ACIS,NONE,    VFAINT,0.427,342.65,3.2469,0.89571,5.5982,1.37,0,FALSE,0,0,0,0.0003952211,False,False,0,2.078e-15,8.043e-16,3.284e-15,1.909e-15,3.818e-16,3.436e-15,7.723e-16,1.817e-16,1.340e-15,         ,         ,         ,  ,         ,         ,         ,         ,         ,         ,         ,1.0
36.25, 2CXO J084225.2-480704, 08 42 25.28,-48 07 04.23,0.79,0.75,144.5,2.15,                TRUE,FALSE,FALSE,FALSE,False,False,False,FALSE, TRUE,1.441e-15,8.103e-16,2.071e-15,1.308e-15,7.238e-16,1.865e-15,6.456e-16,0.000e+00,1.714e-15,9.999e-16,1.304e-16,1.869e-15, 0,    0.394,    0.692,    0.676, 0,    0.212,1.206e-07,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,21137,49,0, 08 42 26.66,-48 07 04.90,2020-08-19T05:26:54,2020-08-19T12:09:32,ACIS,NONE,    VFAINT,0.232,162.97,2.351,0.4702,4.2318,1.15,0,FALSE,7,0,1,0.0002634807,False,False,0,1.265e-15,4.639e-16,2.066e-15,1.065e-15,1.774e-16,1.952e-15,6.456e-16,0.000e+00,1.714e-15,         ,         ,         ,  ,         ,         ,         ,         ,         ,         ,         ,2.0
36.25, 2CXO J084225.2-480704, 08 42 25.28,-48 07 04.23,0.79,0.75,144.5,2.15,                TRUE,FALSE,FALSE,FALSE,False,False,False,FALSE, TRUE,1.441e-15,8.103e-16,2.071e-15,1.308e-15,7.238e-16,1.865e-15,6.456e-16,0.000e+00,1.714e-15,9.999e-16,1.304e-16,1.869e-15, 0,    0.394,    0.692,    0.676, 0,    0.212,1.206e-07,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,24613,49,0, 08 42 26.84,-48 07 04.72,2020-08-19T22:36:31,2020-08-20T10:17:50,ACIS,NONE,    VFAINT,0.261,161.97,4.5721,1.9051,7.1122,1.76,0,FALSE,7,0,1,0.0003025576,False,False,0,2.104e-15,8.765e-16,3.331e-15,1.68e-15,7.043e-16,2.601e-15,         ,         ,         ,9.999e-16,1.304e-16,1.869e-15, 0,    0.394,    0.692,    0.676, 0.005770, 0.001513,0.0001892,  0.04359,2.0
46.46, 2CXO J084232.9-480634, 08 42 32.97,-48 06 34.46,0.92,0.79,35.9,1.91,            MARGINAL,FALSE,FALSE,FALSE,False,False,False,FALSE, TRUE,8.562e-16,3.373e-16,1.375e-15,1.986e-15,2.942e-16,3.604e-15,5.335e-16,1.778e-16,8.731e-16,0.000e+00,0.000e+00,7.119e-15,  ,         ,         ,         , 5,    0.714,1.159e-06,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,24613,125,0, 08 42 26.84,-48 07 04.72,2020-08-19T22:36:31,2020-08-20T10:17:50,ACIS,NONE,    VFAINT,1.141,313.98,2.5319,0.52748,4.4308,1.24,0,FALSE,7,0,5,0.0001512788,False,False,0,6.151e-16,1.295e-16,1.101e-15,0.0,0.0,4.923e-15,6.529e-16,1.536e-16,1.133e-15,         ,         ,         ,  ,         ,         ,         ,         ,         ,         ,         ,3.0
46.46, 2CXO J084232.9-480634, 08 42 32.97,-48 06 34.46,0.92,0.79,35.9,1.91,            MARGINAL,FALSE,FALSE,FALSE,False,False,False,FALSE, TRUE,8.562e-16,3.373e-16,1.375e-15,1.986e-15,2.942e-16,3.604e-15,5.335e-16,1.778e-16,8.731e-16,0.000e+00,0.000e+00,7.119e-15,  ,         ,         ,         , 5,    0.714,1.159e-06,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,21137,125,0, 08 42 26.66,-48 07 04.90,2020-08-19T05:26:54,2020-08-19T12:09:32,ACIS,NONE,    VFAINT,1.169,314.49,3.7088,1.2749,6.0268,1.56,0,FALSE,7,0,21,0.0003952211,False,False,0,2.369e-15,7.897e-16,3.861e-15,1.973e-15,2.69e-16,3.587e-15,1.031e-15,0.000e+00,2.748e-15,0.000e+00,0.000e+00,7.119e-15,  ,         ,         ,         ,         ,         ,         ,         ,3.0
48.62, 2CXO J084227.5-480737, 08 42 27.51,-48 07 37.03,0.86,0.79,84.6,2.92,                TRUE,FALSE,FALSE,FALSE,False,False,False,FALSE, TRUE,1.519e-15,8.543e-16,2.183e-15,1.974e-16,0.0,6.579e-16,1.020e-15,6.278e-16,1.393e-15,6.643e-16,1.533e-16,1.150e-15, 0,    0.468,    0.353,    0.705, 3,    0.554,2.277e-07,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,21137,44,0, 08 42 26.66,-48 07 04.90,2020-08-19T05:26:54,2020-08-19T12:09:32,ACIS,NONE,    VFAINT,0.554,55.44,2.5309,0.60259,4.4592,1.5,0,FALSE,0,0,0,0.0002634807,False,False,0,1.524e-15,1.988e-16,2.783e-15,0.0,0.0,1.655e-15,6.385e-16,7.982e-17,1.171e-15,1.341e-15,0.000e+00,3.039e-15,  ,         ,         ,         ,         ,         ,         ,         ,4.0
48.62, 2CXO J084227.5-480737, 08 42 27.51,-48 07 37.03,0.86,0.79,84.6,2.92,                TRUE,FALSE,FALSE,FALSE,False,False,False,FALSE, TRUE,1.519e-15,8.543e-16,2.183e-15,1.974e-16,0.0,6.579e-16,1.020e-15,6.278e-16,1.393e-15,6.643e-16,1.533e-16,1.150e-15, 0,    0.468,    0.353,    0.705, 3,    0.554,2.277e-07,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,24613,44,0, 08 42 26.84,-48 07 04.72,2020-08-19T22:36:31,2020-08-20T10:17:50,ACIS,NONE,    VFAINT,0.55,58.53,8.0454,4.5712,11.337,2.67,0,FALSE,0,0,0,0.0004538365,False,False,0,1.672e-15,8.760e-16,2.469e-15,3.904e-16,0.0,1.041e-15,1.343e-15,6.858e-16,2.000e-15,5.870e-16,5.591e-17,1.118e-15, 0,    0.468,    0.353,    0.705,1.159e-05,0.0002139,0.0002098,0.0003075,4.0
69.49, 2CXO J084229.4-480540, 08 42 29.45,-48 05 40.68,0.92,0.87,153.0,2.85,                TRUE, TRUE,FALSE,FALSE,False,False,False, TRUE, TRUE,1.479e-15,8.038e-16,2.122e-15,9.804e-16,3.922e-16,1.569e-15,6.514e-16,2.947e-16,1.008e-15,2.270e-16,0.000e+00,7.843e-16, 4,    0.665,    0.629,    0.704, 5,    0.823,1.456e-06,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,24613,61,0, 08 42 26.84,-48 07 04.72,2020-08-19T22:36:31,2020-08-20T10:17:50,ACIS,NONE,    VFAINT,1.467,267.5,4.5404,1.9262,7.1546,1.5,15,FALSE,7,0,5,0.0003781971,False,False,16,1.165e-15,4.576e-16,1.872e-15,5.19e-16,0.0,1.107e-15,8.733e-16,2.911e-16,1.426e-15,1.108e-15,0.000e+00,2.585e-15, 4,    0.665,    0.481,    0.342,  0.02073, 0.005833,0.0002199,   0.1792,5.0
69.49, 2CXO J084229.4-480540, 08 42 29.45,-48 05 40.68,0.92,0.87,153.0,2.85,                TRUE, TRUE,FALSE,FALSE,False,False,False, TRUE, TRUE,1.479e-15,8.038e-16,2.122e-15,9.804e-16,3.922e-16,1.569e-15,6.514e-16,2.947e-16,1.008e-15,2.270e-16,0.000e+00,7.843e-16, 4,    0.665,    0.629,    0.704, 5,    0.823,1.456e-06,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,21137,61,0, 08 42 26.66,-48 07 04.90,2020-08-19T05:26:54,2020-08-19T12:09:32,ACIS,NONE,    VFAINT,1.479,268.57,4.4852,1.9788,6.9917,2.16,15,FALSE,7,0,1,0.0005269615,False,False,0,2.268e-15,8.246e-16,3.711e-15,1.721e-15,3.97e-16,3.044e-15,4.786e-16,2.393e-17,9.093e-16,0.000e+00,0.000e+00,9.054e-16, 0,    0.313,    0.629,    0.704, 0.001437, 0.001035,0.0006309,  0.01171,5.0
