_rs_unwise,_q,_r_unwise,objID_unwise,RAJ2000_unwise,DEJ2000_unwise,XposW1_unwise,XposW2_unwise,YposW1_unwise,YposW2_unwise,FW1_unwise,FW2_unwise,e_XposW1_unwise,e_XposW2_unwise,e_YposW1_unwise,e_YposW2_unwise,e_FW1_unwise,e_FW2_unwise,q_W1_unwise,q_W2_unwise,rchi2W1_unwise,rchi2W2_unwise,fFW1_unwise,fFW2_unwise,FW1lbs_unwise,FW2lbs_unwise,e_FW1lbs_unwise,e_FW2lbs_unwise,fwhmW1_unwise,fwhmW2_unwise,SpModW1_unwise,SpModW2_unwise,e_SpModW1_unwise,e_SpModW2_unwise,skyW1_unwise,skyW2_unwise,RAW1deg_unwise,RAW2deg_unwise,DEW1deg_unwise,DEW2deg_unwise,coaddID_unwise,detIDW1_unwise,detIDW2_unwise,nmW1_unwise,nmW2_unwise,PrimW1_unwise,PrimW2_unwise,FlagsW1_unwise,FlagsW2_unwise,f_FlagsW1_unwise,f_FlagsW2_unwise,Prim_unwise
"[0.414, 7.213]",1.0,0.414,1304m485o0036949,130.6218867,-48.1182633,1473.694,1473.687,916.967,916.977,4187.4,3934.1,0.005,0.014,0.005,0.014,13.793,32.978,1.0,1.0,43.24,7.157,0.7388,0.687,4229.3,4143.4,14.042,33.778,2.6414,2.8661,-0.00148886,-0.00324464,0.000144939,0.000349,-7.1285,-2.2088,130.6218867,130.6218762,-48.1182633,-48.1182691,1304m485,1304m485w1o0038011,1304m485w2o0032464,225.0,233.0,1.0,1.0,40.0,40.0,160.0,0.0,1.0
[7.43],2.0,7.43,1304m485o0100094,130.6022421,-48.1178582,1474.25,1474.151,934.135,934.061,828.47,606.4,0.017,0.074,0.016,0.071,8.7014,24.311,1.0,1.0,13.53,3.674,0.6222,0.5361,920.49,753.22,8.8881,24.957,2.6418,2.8651,-0.00510836,-0.00824481,0.000421477,0.001598,-8.2328,-1.4033,130.6022421,130.6023277,-48.1178582,-48.1179331,1304m485,1304m485w1o0111756,1304m485w2o0093638,219.0,225.0,1.0,1.0,32.0,32.0,160.0,0.0,1.0
[9.147],3.0,9.147,1304m485o0127502,130.6370941,-48.1070383,1488.367,1487.798,903.65,903.679,336.83,214.1,0.04,0.203,0.036,0.191,7.5207,22.661,1.0,1.0,20.06,4.023,0.3836,0.2841,375.02,293.65,7.7207,23.353,2.6458,2.8677,-0.00799376,-0.00738823,0.000848484,0.004055,-19.881,-16.745,130.6370941,130.6370624,-48.1070383,-48.107473,1304m485,1304m485w1o0154824,1304m485w2o0142398,223.0,223.0,1.0,1.0,32.0,32.0,160.0,0.0,1.0
[0.332],4.0,0.332,1304m485o0099834,130.6147328,-48.1270106,1462.252,1462.335,923.237,923.286,4467.6,4937.1,0.006,0.014,0.005,0.013,16.153,38.893,1.0,1.0,50.45,6.951,0.3961,0.3548,4674.4,5031.7,16.406,39.699,2.6433,2.8683,-0.00353473,-0.000970304,0.000155353,0.000324,1.9011,18.368,130.6147328,130.6146762,-48.1270106,-48.1269472,1304m485,1304m485w1o0111435,1304m485w2o0093373,232.0,236.0,1.0,1.0,34.0,32.0,160.0,0.0,1.0
[0.313],5.0,0.313,1304m485o0037700,130.6225802,-48.0946182,1504.648,1504.612,916.312,916.246,30201.0,46180.0,0.001,0.002,0.001,0.002,30.629,76.623,1.0,1.0,156.3,20.2,0.8293,0.8665,30149.0,46072.0,31.105,78.063,2.6449,2.868,0.00058794,0.000959337,5.36911e-05,8.3e-05,-22.136,-15.752,130.6225802,130.6226559,-48.0946182,-48.0946455,1304m485,1304m485w1o0038801,1304m485w2o0033134,220.0,230.0,1.0,1.0,32.0,32.0,160.0,0.0,1.0
[1.639],6.0,1.639,1304m485o0037700,130.6225802,-48.0946182,1504.648,1504.612,916.312,916.246,30201.0,46180.0,0.001,0.002,0.001,0.002,30.629,76.623,1.0,1.0,156.3,20.2,0.8293,0.8665,30149.0,46072.0,31.105,78.063,2.6449,2.868,0.00058794,0.000959337,5.36911e-05,8.3e-05,-22.136,-15.752,130.6225802,130.6226559,-48.0946182,-48.0946455,1304m485,1304m485w1o0038801,1304m485w2o0033134,220.0,230.0,1.0,1.0,32.0,32.0,160.0,0.0,1.0
"[0.156, 5.345]",7.0,0.156,1304m485o0037373,130.6458039,-48.1041358,1492.153,1492.164,896.029,895.948,1688.3,1764.1,0.01,0.027,0.009,0.026,10.147,27.192,1.0,1.0,15.41,1.973,0.7192,0.7231,1772.0,1863.1,10.361,27.907,2.6403,2.8652,-0.00336111,-0.00133508,0.000260738,0.000624,-20.816,-15.849,130.6458039,130.6458975,-48.1041358,-48.1041272,1304m485,1304m485w1o0038456,1304m485w2o0032835,212.0,212.0,1.0,1.0,32.0,32.0,160.0,0.0,1.0
"[0.064, 8.317]",8.0,0.064,1304m485o0036623,130.6408483,-48.1285632,1460.182,1460.183,900.42,900.416,6671.9,6796.2,0.004,0.009,0.003,0.009,16.044,37.686,1.0,1.0,21.77,1.665,0.9148,0.9051,6496.3,6811.9,16.325,38.527,2.6453,2.8684,0.000360668,-0.000394344,0.00011493,0.000244,25.057,31.36,130.6408483,130.640853,-48.1285632,-48.1285627,1304m485,1304m485w1o0037670,1304m485w2o0032176,223.0,219.0,1.0,1.0,32.0,32.0,160.0,0.0,1.0
[0.306],9.0,0.306,1304m485o0036881,130.5893937,-48.1199938,1471.468,1471.457,945.367,945.445,2261.4,2660.4,0.007,0.019,0.007,0.018,10.855,29.528,1.0,1.0,18.31,5.487,0.8522,0.8258,2323.9,2831.5,11.076,30.252,2.6464,2.8701,-0.000891149,-0.00264543,0.000210701,0.000461,-4.984,3.4882,130.5893937,130.5893054,-48.1199938,-48.1200022,1304m485,1304m485w1o0037941,1304m485w2o0032405,225.0,224.0,1.0,1.0,32.0,32.0,160.0,0.0,1.0
"[0.145, 7.24, 8.43]",10.0,0.145,1304m485o0201320,130.6020889,-48.0959933,0.0,1502.874,0.0,934.231,0.0,3252.5,0.0,0.022,0.0,0.02,0.0,39.514,0.0,1.0,0.0,3.139,0.0,0.1842,0.0,3160.3,0.0,40.221,0.0,2.8663,0.0,0.000741363,0.0,0.000495,0.0,-7.4329,0.0,130.6020889,0.0,-48.0959933,1304m485,,1304m485w2o0094278,0.0,230.0,0.0,1.0,0.0,32.0,0.0,0.0,1.0
"[0.196, 8.396]",11.0,0.196,1304m485o0037701,130.604572,-48.0943838,1504.978,1504.994,932.057,932.038,76628.0,71801.0,0.001,0.002,0.001,0.002,44.15,90.372,1.0,1.0,412.4,13.75,0.9925,0.979,75126.0,71648.0,44.958,92.069,2.64,2.8646,0.00224668,0.000335097,3.52434e-05,6.7e-05,-16.63,-9.4479,130.604572,130.6045937,-48.0943838,-48.0943717,1304m485,1304m485w1o0038802,1304m485w2o0033135,228.0,232.0,1.0,1.0,32.0,32.0,160.0,0.0,1.0
