name,ra,dec,source_id,solution_id,source_id_2,classprob_dsc_combmod_quasar,classprob_dsc_combmod_galaxy,classprob_dsc_combmod_star,classprob_dsc_combmod_whitedwarf,classprob_dsc_combmod_binarystar,classprob_dsc_specmod_quasar,classprob_dsc_specmod_galaxy,classprob_dsc_specmod_star,classprob_dsc_specmod_whitedwarf,classprob_dsc_specmod_binarystar,classprob_dsc_allosmod_quasar,classprob_dsc_allosmod_galaxy,classprob_dsc_allosmod_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,azero_gspphot,azero_gspphot_lower,azero_gspphot_upper,ag_gspphot,ag_gspphot_lower,ag_gspphot_upper,abp_gspphot,abp_gspphot_lower,abp_gspphot_upper,arp_gspphot,arp_gspphot_lower,arp_gspphot_upper,ebpminrp_gspphot,ebpminrp_gspphot_lower,ebpminrp_gspphot_upper,mg_gspphot,mg_gspphot_lower,mg_gspphot_upper,radius_gspphot,radius_gspphot_lower,radius_gspphot_upper,logposterior_gspphot,mcmcaccept_gspphot,libname_gspphot,teff_gspspec,teff_gspspec_lower,teff_gspspec_upper,logg_gspspec,logg_gspspec_lower,logg_gspspec_upper,mh_gspspec,mh_gspspec_lower,mh_gspspec_upper,alphafe_gspspec,alphafe_gspspec_lower,alphafe_gspspec_upper,fem_gspspec,fem_gspspec_lower,fem_gspspec_upper,fem_gspspec_nlines,fem_gspspec_linescatter,sife_gspspec,sife_gspspec_lower,sife_gspspec_upper,sife_gspspec_nlines,sife_gspspec_linescatter,cafe_gspspec,cafe_gspspec_lower,cafe_gspspec_upper,cafe_gspspec_nlines,cafe_gspspec_linescatter,tife_gspspec,tife_gspspec_lower,tife_gspspec_upper,tife_gspspec_nlines,tife_gspspec_linescatter,mgfe_gspspec,mgfe_gspspec_lower,mgfe_gspspec_upper,mgfe_gspspec_nlines,mgfe_gspspec_linescatter,ndfe_gspspec,ndfe_gspspec_lower,ndfe_gspspec_upper,ndfe_gspspec_nlines,ndfe_gspspec_linescatter,feiim_gspspec,feiim_gspspec_lower,feiim_gspspec_upper,feiim_gspspec_nlines,feiim_gspspec_linescatter,sfe_gspspec,sfe_gspspec_lower,sfe_gspspec_upper,sfe_gspspec_nlines,sfe_gspspec_linescatter,zrfe_gspspec,zrfe_gspspec_lower,zrfe_gspspec_upper,zrfe_gspspec_nlines,zrfe_gspspec_linescatter,nfe_gspspec,nfe_gspspec_lower,nfe_gspspec_upper,nfe_gspspec_nlines,nfe_gspspec_linescatter,crfe_gspspec,crfe_gspspec_lower,crfe_gspspec_upper,crfe_gspspec_nlines,crfe_gspspec_linescatter,cefe_gspspec,cefe_gspspec_lower,cefe_gspspec_upper,cefe_gspspec_nlines,cefe_gspspec_linescatter,nife_gspspec,nife_gspspec_lower,nife_gspspec_upper,nife_gspspec_nlines,nife_gspspec_linescatter,cn0ew_gspspec,cn0ew_gspspec_uncertainty,cn0_gspspec_centralline,cn0_gspspec_width,dib_gspspec_lambda,dib_gspspec_lambda_uncertainty,dibew_gspspec,dibew_gspspec_uncertainty,dibewnoise_gspspec_uncertainty,dibp0_gspspec,dibp2_gspspec,dibp2_gspspec_uncertainty,dibqf_gspspec,flags_gspspec,logchisq_gspspec,ew_espels_halpha,ew_espels_halpha_uncertainty,ew_espels_halpha_flag,ew_espels_halpha_model,classlabel_espels,classlabel_espels_flag,classprob_espels_wcstar,classprob_espels_wnstar,classprob_espels_bestar,classprob_espels_ttauristar,classprob_espels_herbigstar,classprob_espels_dmestar,classprob_espels_pne,azero_esphs,azero_esphs_uncertainty,ag_esphs,ag_esphs_uncertainty,ebpminrp_esphs,ebpminrp_esphs_uncertainty,teff_esphs,teff_esphs_uncertainty,logg_esphs,logg_esphs_uncertainty,vsini_esphs,vsini_esphs_uncertainty,flags_esphs,spectraltype_esphs,activityindex_espcs,activityindex_espcs_uncertainty,activityindex_espcs_input,teff_espucd,teff_espucd_uncertainty,flags_espucd,radius_flame,radius_flame_lower,radius_flame_upper,lum_flame,lum_flame_lower,lum_flame_upper,mass_flame,mass_flame_lower,mass_flame_upper,age_flame,age_flame_lower,age_flame_upper,flags_flame,evolstage_flame,gravredshift_flame,gravredshift_flame_lower,gravredshift_flame_upper,bc_flame,mh_msc,mh_msc_upper,mh_msc_lower,azero_msc,azero_msc_upper,azero_msc_lower,distance_msc,distance_msc_upper,distance_msc_lower,teff_msc1,teff_msc1_upper,teff_msc1_lower,teff_msc2,teff_msc2_upper,teff_msc2_lower,logg_msc1,logg_msc1_upper,logg_msc1_lower,logg_msc2,logg_msc2_upper,logg_msc2_lower,ag_msc,ag_msc_upper,ag_msc_lower,logposterior_msc,mcmcaccept_msc,mcmcdrift_msc,flags_msc,neuron_oa_id,neuron_oa_dist,neuron_oa_dist_percentile_rank,flags_oa,source_id_3,rgeo_gaiadist,b_rgeo_gaiadist,B_rgeo_gaiadist,rpgeo_gaiadist,b_rpgeo_gaiadist,B_rpgeo_gaiadist,flag,ph_qual,tmass_oid,_2MASS_2mass,RAJ2000_2mass,DEJ2000_2mass,err_maj,err_min,err_ang,Jmag_2mass,e_Jmag_2mass,Hmag_2mass,e_Hmag_2mass,Kmag_2mass,e_Kmag_2mass,ext_key,j_date,allwise_oid,AllWISE_allwise,RAJ2000_allwise,DEJ2000_allwise,ra_error,dec_error,radec_co_error,W1mag_allwise,e_W1mag_allwise,W2mag_allwise,e_W2mag_allwise,W3mag_allwise,e_W3mag_allwise,W4mag_allwise,e_W4mag_allwise,cc_flags,ext_flag,var_flag,ph_qual_2,w1mjd_mean,w2mjd_mean,w3mjd_mean,w4mjd_mean,w1gmag,w1gmag_error,w2gmag,w2gmag_error,w3gmag,w3gmag_error,w4gmag,w4gmag_error,tmass_key
2CXO J084229.2-480705,130.62174999999996,-48.11833333333333,5329110144320086400,1636148068921376768,5329110144320086016,1.02096e-13,5.230824e-13,0.9999927,2.0040191e-12,7.2931634e-06,0.0,0.0,0.99927115,0.0,0.0007288007,1.007663e-16,2.572338e-10,1.0,5716.323,5688.918,5743.363,4.4615,4.441,4.4815,-0.4719,-0.5046,-0.4395,884.8193,856.0472,914.5655,1.4293,1.4107,1.4463,1.1422,1.1265,1.1564,1.4682,1.4485,1.486,0.846,0.8349,0.8561,0.6223,0.6136,0.63,5.0644,4.9804,5.1495,0.8534,0.8286,0.8793,-647.1669,0.47899687,MARCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.016180007,0.062977895,0,0.102447,,,,,,,,,,,,,,,,,,,,,,93,F,,,,,,,1.3493981,1.2851871,1.4431046,1.7209557,1.5723414,1.9498454,0.978781,0.93625367,1.0219043,10.808581,9.616422,12.010567,00,408,0.5711744,0.5614867,0.58384115,0.05273896,-0.3194937,-0.120140016,-0.5916059,0.48820484,0.5978708,0.27030218,825.4893,891.2266,743.5319,4638.482,4672.388,4588.9556,3902.6523,4054.0317,3745.5186,4.397747,4.439356,4.34828,4.6996994,4.8675175,4.486844,0.37047756,0.4550947,0.20977628,121.85632,0.23264916,0.2969984,0,,,,,5329110144320086016,1429.418,1347.937,1519.9075,1414.8129,1342.181,1507.6113,10033,AAA,101983866,08422924-4807058,130.621856,-48.118294,0.07,0.06,0,14.218,0.029,13.628,0.03,13.437,0.049,,2451138.849,108252977,J084229.25-480705.7,130.6218797,-48.1182602,0.06,0.0534,-0.0095,13.438,0.027,13.588,0.034,12.556,,9.077,,hhH0,0,76nn,AAUU,55432.2162785,55432.2162785,55342.01486218,55342.04793462,,,,,,,,,157282581
2CXO J084227.5-480737,130.61462499999996,-48.12695277777778,5329110041240868992,1636148068921376768,5329110041240868864,1.287644e-13,1.917322e-12,0.9976672,2.46507e-12,0.0023327759,0.0,0.0,0.81048465,0.0,0.18951534,2.5320587e-10,2.056524e-08,1.0,3654.1316,3607.146,3680.2632,4.3848,4.3104,4.4768,-0.2857,-0.3412,-0.2593,546.2098,449.5802,608.4435,0.6993,0.6503,0.7298,0.4727,0.4391,0.4937,0.6692,0.6214,0.6979,0.3899,0.3623,0.4072,0.2791,0.2592,0.2912,7.7463,7.4948,8.2148,0.8234,0.6853,0.9147,-415.7593,0.41708463,PHOENIX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11407604,0.12606204,1,-0.716731,,,,,,,,,,,,,,,,,,,,,,93,M,,,,,,,1.0266476,0.991503,1.0639226,0.17357367,0.1614153,0.18479915,0.6852582,0.6452582,0.72525823,,,,00,312,0.41752613,0.4057957,0.42648754,-0.62152535,0.1200298,0.47971082,-0.15886524,0.4065173,0.8476987,0.13049415,595.5493,647.1753,528.42773,3867.2424,4011.9202,3652.2473,3281.7134,3488.7007,3000.0,4.6412277,5.10777,4.1671658,4.9277196,5.2,4.361113,0.27725804,0.57962376,0.08945811,247.60785,0.22100239,0.06967722,0,202105281205440288,7.3844362e-06,0,0051,5329110041240868864,708.9902,682.9055,734.7565,709.01636,680.4301,737.4466,10033,AAA,101946547,08422754-4807371,130.614773,-48.126987,0.07,0.06,0,14.422,0.039,13.696,0.043,13.49,0.044,,2451138.849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2CXO J084229.4-480540,130.6227083333333,-48.09463333333333,5329121929710325760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5329121929710325760,675.78845,653.44745,702.9268,,,,10099,AAA,102085898,08422940-4805406,130.622535,-48.09462,0.07,0.06,0,13.191,0.038,12.38,0.042,11.939,0.027,,2451138.849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2CXO J084229.2-480540,130.62191666666664,-48.09451388888889,5329121929710324480,1636148068921376768,5329121929710324736,1.06840365e-13,3.5295591e-10,0.99952716,2.09632e-12,0.00047284842,0.0,0.0,0.95482844,0.0,0.04517154,3.8686216e-12,6.6064044e-06,0.9999934,4739.5527,4703.777,4750.8794,4.2417,4.2196,4.2692,-0.9977,-1.0233,-0.9632,617.3137,588.7731,629.3826,2.1636,2.1239,2.174,1.5998,1.5671,1.6082,2.1306,2.088,2.1415,1.2533,1.2299,1.2595,0.8772,0.8582,0.882,5.459,5.4185,5.6085,1.108,1.0644,1.132,-1391.5723,0.43714735,MARCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.52951413,0.27929568,1,0.057156,,,,,,,,,,,,,,,,,,,,,,999,K,,,,,,,1.2390541,1.2047575,1.2777348,0.69226927,0.6657756,0.7254566,,,,,,,20,354,0.43061063,0.42176697,0.43850195,-0.103407905,0.21339011,0.28835562,0.11493933,0.081082925,0.30428874,0.0,555.97144,597.43445,523.9597,4101.127,4184.213,4040.419,3796.9124,4043.7166,3584.8347,5.080138,5.177108,4.8798714,4.4914885,4.603669,4.3007584,0.05644817,0.20768714,0.0,-184.77597,0.29534605,0.15369014,0,,,,,5329121929710324736,701.99097,684.7623,716.5635,702.9995,685.53357,718.211,10033,AAA,102085898,08422940-4805406,130.622535,-48.09462,0.07,0.06,0,13.191,0.038,12.38,0.042,11.939,0.027,,2451138.849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2CXO J084234.9-480614,130.64583333333331,-48.10409722222222,5329110178679846656,1636148068921376768,5329110178679846912,1.4386062e-12,3.945881e-10,0.99999446,2.0036748e-12,5.5573196e-06,0.0,0.0,0.9994446,0.0,0.0005554321,1.3093032e-07,7.728831e-06,0.99999213,5136.983,5072.1055,5208.8237,4.7298,4.7018,4.7537,-1.3793,-1.5238,-1.1685,782.4047,755.3231,809.9105,2.0,1.9512,2.0569,1.523,1.483,1.5695,2.0054,1.9533,2.066,1.1672,1.1385,1.201,0.8384,0.8148,0.8654,6.532,6.4221,6.6422,0.5541,0.5395,0.5738,-460.9926,0.46996865,MARCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45288244,0.18166791,0,0.10149,,,,,,,,,,,,,,,,,,,,,,95,F,,,,,,,1.1225119,1.0030545,1.2260839,0.7723054,0.6298687,0.9262249,0.8528194,0.80870706,0.9203645,,,,00,360,0.6785411,0.66286844,0.7018597,-0.024861148,0.3438233,0.5,0.008117735,1.0979116,2.7528512,0.2169776,1092.594,1295.0781,821.17065,4129.377,5213.171,3821.9307,3182.2031,3933.4165,3000.0,5.0203314,5.2,4.700755,4.7157955,5.2,4.4148207,0.7521131,1.8534347,0.1366725,85.04654,0.22221957,0.02427181,0,,,,,5329110178679846912,1609.9664,1450.8303,1772.9928,1596.9274,1422.2386,1791.5991,10033,AAA,102044703,08423500-4806150,130.645846,-48.104168,0.08,0.07,7,15.385,0.051,14.717,0.08,14.457,0.098,,2451138.849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2CXO J084233.8-480742,130.64087499999997,-48.12856388888889,5329110075591309952,1636148068921376768,5329110075591310336,1.1412301e-10,2.5924535e-05,0.99996305,2.0049036e-12,1.10285855e-05,6.0258276e-06,9.1679794e-05,0.99880064,0.0,0.0011015978,8.510236e-09,5.5405904e-05,0.99994457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06488986,0.5417567,1,-0.726985,,,,,,,,,,,,,,,,,,,,,,93,O,,,,,,,,,,,,,,,,,,,,,,,,,0.0055602207,0.1201226,-0.04582209,0.0033721607,0.049124986,0.0,486.4218,528.483,447.00348,3807.4304,3872.9504,3769.3445,3065.6877,3764.799,3000.0,4.80207,4.8567014,4.773069,4.757719,5.2,4.3207455,0.0022728862,0.033214565,0.0,-251.30957,0.31582338,0.34822276,0,,,,,5329110075591310336,802.4916,757.7632,851.8806,773.22296,732.8203,811.0304,10033,AAA,101939871,08423381-4807427,130.640884,-48.128551,0.07,0.06,0,14.038,0.036,13.276,0.035,13.141,0.038,,2451138.849,108203303,J084233.81-480742.8,130.6409124,-48.1285812,0.0744,0.0766,-0.0169,13.006,0.038,13.013,0.036,10.902,,8.065,,hhh0,0,nnnn,AAUU,55432.2162785,55432.2162785,55342.04793462,55342.04793462,,,,,,,,,157282501
2CXO J084221.4-480711,130.58949999999996,-48.11994722222222,5329121787965559808,1636148068921376768,5329121787965559808,1.0206264e-13,5.957861e-11,0.999996,2.003364e-12,3.9785837e-06,0.0,1.1584491e-06,0.9996011,0.0,0.0003977025,1.963036e-23,1.9044462e-12,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5329121787965559808,4041.8171,1977.059,5508.732,652.0989,505.31967,832.41064,10033,AAA,101976386,08422148-4807121,130.589501,-48.120037,0.07,0.06,7,15.237,0.034,14.58,0.063,14.155,0.068,,2451138.849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2CXO J084224.5-480545,130.6020833333333,-48.09603333333334,5329121959764294912,1636148068921376768,5329121959764294656,1.10982865e-13,5.445804e-13,0.9995907,2.083725e-12,0.00040931956,0.0,0.0,0.96066105,0.0,0.03933894,4.546299e-10,2.7031047e-10,1.0,3299.6775,3287.9854,3310.326,4.4787,4.4429,4.52,-0.4003,-0.4644,-0.3513,342.5792,336.104,361.0849,1.1304,1.0892,1.1739,0.7104,0.6843,0.7383,1.0833,1.0447,1.1246,0.6099,0.5875,0.6337,0.4734,0.4573,0.4907,9.5403,9.3912,9.5744,0.4953,0.4872,0.524,-306.7379,0.4661442,MARCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49008465,0.4386306,0.54324853,0.025720278,0.020418424,0.031204835,,,,,,,20,,0.35339618,0.33195463,0.37764353,-0.87927204,-0.09606377,-0.024748228,-0.19200587,0.12695901,0.9185986,0.0,385.051,503.3524,263.84555,3195.725,3603.6304,3000.0,3155.2148,3786.1548,3000.0,4.7263756,5.0170507,4.47945,5.0808625,5.1658206,4.918781,0.078516185,0.56887805,0.0,128.74968,0.26338902,0.034723945,0,,,,,5329121959764294656,342.84375,331.3874,358.72168,342.63306,329.68735,354.8078,10033,AAA,102079723,08422451-4805458,130.602148,-48.096066,0.07,0.06,0,14.947,0.069,14.274,0.079,14.041,0.075,,2451138.849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2CXO J084225.0-480539,130.60454166666662,-48.09433333333334,5329121959764295296,1636148068921376768,5329121959764295680,1.02441425e-13,5.1168976e-13,0.9999585,3.5583342e-10,4.147533e-05,0.0,0.0,0.9958676,1.7596118e-06,0.004130672,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2975.0,2975.0,4123.0,4.95,4.39,5.04,-3.48,-3.53,-1.53,0.28,0.09,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21222231000009999999999999999999999999999,-2.9120374,-0.021294136,0.03370927,0,0.102973,,,,,,,,,,,,,,,,,,,,,,92,G,,,M2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AAA,102086856,08422512-4805398,130.604701,-48.09441,0.07,0.06,0,10.817,0.026,10.393,0.021,10.302,0.021,,2451138.849,108368816,J084225.10-480539.7,130.6045856,-48.0943794,0.0366,0.035,-0.0096,10.278,0.022,10.317,0.019,10.251,0.059,9.195,,dddD,0,011n,AAAU,55434.70518865,55434.70518865,55341.99501942,55341.99501942,,,,,,,,,157282789
2CXO J084236.6-480608,130.65266666666662,-48.10225,5329110487917499136,1636148068921376768,5329110487917499392,1.1961616e-13,3.2897898e-10,0.9982583,2.3478895e-12,0.0017417322,0.0,0.0,0.8514392,0.0,0.14856084,6.781947e-14,5.4961765e-06,0.9999945,5883.1436,5857.102,5908.7397,4.3687,4.3537,4.383,-0.5172,-0.5602,-0.4859,643.8214,630.4019,658.2345,2.8754,2.8595,2.8906,2.2061,2.1925,2.2193,2.8967,2.8792,2.9139,1.6802,1.6708,1.6892,1.2165,1.2082,1.2245,4.6743,4.6184,4.727,0.9636,0.9445,0.9835,-1704.8038,0.53103447,MARCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.34374458,0.11212555,0,0.125626,,,,,,,,,,,,,,,,,,,,,,95,M,,,,,,,1.0376643,1.0050144,1.0631363,1.1612564,1.1048414,1.1943126,1.0445434,1.0006199,1.0869278,3.521689,2.1410837,4.784372,00,242,0.52522296,0.51607054,0.5326458,0.055751152,0.36528206,0.4426775,0.28241283,0.13193934,0.90448064,0.0,623.64014,742.9651,536.8097,3758.7148,3997.4893,3365.4897,3093.3389,3896.8325,3000.0,4.5163803,4.596279,4.4199877,4.8790336,5.2,4.668081,0.08785498,0.6091275,0.0,311.3161,0.25849643,0.25180706,0,202105281205440384,1.5875063e-05,0,0052,5329110487917499392,689.53467,677.781,703.01013,690.1836,676.9938,704.1364,10033,AAA,102052752,08423666-4806082,130.652757,-48.102291,0.07,0.06,0,13.53,0.026,12.779,0.022,12.609,0.027,,2451138.849,108330300,J084236.65-480608.1,130.6527199,-48.1022756,0.0403,0.0396,-0.0077,12.585,0.023,12.567,0.022,12.816,,9.33,,hhH0,0,22nn,AAUU,55434.78320445,55434.78320445,55342.07440177,55342.07440177,,,,,,,,,157282710
