_rs_2mass,_q,_r_2mass,RAJ2000_2mass,DEJ2000_2mass,errMaj_2mass,errMin_2mass,errPA_2mass,_2MASS_2mass,Jmag_2mass,Jcmsig_2mass,e_Jmag_2mass,Jsnr_2mass,Hmag_2mass,Hcmsig_2mass,e_Hmag_2mass,Hsnr_2mass,Kmag_2mass,Kcmsig_2mass,e_Kmag_2mass,Ksnr_2mass,Qflg_2mass,Rflg_2mass,Bflg_2mass,Cflg_2mass,Ndet_2mass,prox_2mass,pxPA_2mass,pxCntr_2mass,Xflg_2mass,Aflg_2mass,Cntr_2mass,Hemis_2mass,Date_2mass,Scan_2mass,GLON_2mass,GLAT_2mass,Xscan_2mass,_tab1_36_2mass,Jpsfchi_2mass,Hpsfchi_2mass,Kpsfchi_2mass,Jstdap_2mass,e_Jstdap_2mass,Hstdap_2mass,e_Hstdap_2mass,Kstdap_2mass,e_Kstdap_2mass,edgeNS_2mass,edgeEW_2mass,edge_2mass,dup_2mass,use_2mass,opt_2mass,Dopt_2mass,PAopt_2mass,Bmag_2mass,Rmag_2mass,Nopt_2mass,extKey_2mass,scanKey_2mass,coaddKey_2mass,coadd_2mass,Opt_2mass
[0.102],1.0,0.102,130.549113,-48.109165,0.07,0.06,0.0,08421178-4806329,10.21,0.023,0.026,2974.6,10.067,0.02,0.021,1265.1,10.03,0.019,0.021,715.2,AAA,222,111,000,666655,11.4,237.0,157282639.0,0.0,0.0,157282654.0,s,1998-11-21,114.0,266.602,-3.629,87.2,2451138.849,0.96,0.88,1.24,10.167,0.005,10.078,0.025,10.045,0.017,941.0,165.0,nw,0.0,1.0,0,,,,,0.0,,9546.0,219557.0,257.0,Opt
"[0.409, 7.974, 8.483]",2.0,0.409,130.604701,-48.09441,0.07,0.06,0.0,08422512-4805398,10.817,0.023,0.026,1700.7,10.393,0.02,0.021,936.9,10.302,0.019,0.021,556.7,AAA,222,111,000,666666,7.6,128.0,157282782.0,0.0,0.0,157282789.0,s,1998-11-21,114.0,266.613,-3.591,-46.4,2451138.849,1.05,0.84,1.14,10.777,0.003,10.403,0.021,10.325,0.013,887.0,206.0,ne,0.0,1.0,U,1.3,358,14.1,11.6,1.0,,9546.0,219557.0,257.0,Opt
"[0.089, 8.315]",3.0,0.089,130.579247,-48.136833,0.07,0.06,0.0,08421901-4808125,11.686,0.025,0.027,763.9,11.216,0.02,0.022,439.1,11.074,0.017,0.019,273.4,AAA,222,111,000,665566,8.3,91.0,157282439.0,0.0,0.0,157282440.0,s,1998-11-21,114.0,266.636,-3.63,14.7,2451138.8489,1.0,0.86,1.04,11.676,0.017,11.22,0.043,11.104,0.016,1040.0,238.0,nw,0.0,1.0,U,0.5,267,15.4,13.1,1.0,,9546.0,219557.0,257.0,Opt
"[0.207, 6.83]",4.0,0.207,130.614987,-48.177448,0.07,0.06,0.0,08422759-4810388,11.192,0.021,0.024,1204.0,10.632,0.02,0.022,751.8,10.492,0.019,0.021,467.3,AAA,222,111,000,556666,7.0,292.0,157282139.0,0.0,0.0,157282131.0,s,1998-11-21,114.0,266.683,-3.637,-71.1,2451138.8489,0.95,0.99,1.58,11.181,0.018,10.626,0.033,10.501,0.014,1186.0,181.0,ne,0.0,1.0,U,0.3,116,13.7,12.0,1.0,,9546.0,219557.0,257.0,Opt
[0.167],5.0,0.167,130.744889,-48.124138,0.06,0.06,90.0,08425877-4807268,11.359,0.021,0.024,1032.4,10.884,0.023,0.024,617.0,10.773,0.021,0.023,373.4,AAA,222,111,000,666666,13.3,177.0,157286980.0,0.0,0.0,157286958.0,s,1998-11-21,115.0,266.694,-3.535,52.0,2451138.8497,1.2,1.29,2.26,11.313,0.012,10.853,0.022,10.762,0.028,992.0,200.0,nw,0.0,1.0,0,,,,,0.0,,9547.0,219560.0,21.0,Opt
[8.876],6.0,8.876,130.479582,-48.142826,0.07,0.06,176.0,08415509-4808341,14.885,0.026,0.029,40.1,14.469,0.047,0.048,22.7,14.345,0.074,0.075,13.9,AAA,222,111,000,661516,8.7,318.0,157209373.0,0.0,0.0,157209393.0,s,1998-11-21,113.0,266.6,-3.687,-180.6,2451138.84,0.81,1.07,0.75,14.947,0.053,14.602,0.15,14.592,0.269,1057.0,71.0,ne,0.0,1.0,U,0.4,335,17.0,16.2,1.0,,9545.0,219514.0,21.0,Opt
[0.116],7.0,0.116,130.619605,-48.155514,0.07,0.06,0.0,08422870-4809198,12.814,0.023,0.026,270.3,12.178,0.023,0.024,181.0,12.027,0.019,0.021,113.7,AAA,222,111,000,666666,16.3,333.0,157282331.0,0.0,0.0,157282307.0,s,1998-11-21,114.0,266.668,-3.621,-82.2,2451138.8489,0.94,1.07,0.79,12.802,0.018,12.203,0.04,12.032,0.029,1107.0,170.0,ne,0.0,1.0,U,0.1,121,15.9,14.3,1.0,,9546.0,219557.0,257.0,Opt
"[0.166, 8.007, 8.634, 9.421]",8.0,0.166,130.560415,-48.122578,0.07,0.06,0.0,08421449-4807212,11.195,0.021,0.024,1200.7,10.756,0.02,0.021,670.7,10.722,0.019,0.021,378.1,AAA,222,111,000,664466,8.2,329.0,157282562.0,0.0,0.0,157282548.0,s,1998-11-21,114.0,266.617,-3.632,60.0,2451138.849,1.1,1.03,1.11,11.165,0.02,10.772,0.05,10.725,0.023,989.0,192.0,nw,0.0,1.0,U,2.3,165,13.3,11.2,1.0,,9546.0,219557.0,257.0,Opt
"[0.282, 5.515]",9.0,0.282,130.471972,-47.986561,0.08,0.06,0.0,08415327-4759116,12.826,0.021,0.024,267.3,12.224,0.024,0.025,179.6,12.101,0.027,0.029,109.9,AAA,222,111,000,666666,5.8,63.0,157208010.0,0.0,0.0,157208014.0,s,1998-11-21,113.0,266.473,-3.595,-162.7,2451138.8399,0.93,0.82,1.15,12.848,0.027,12.236,0.032,12.108,0.02,494.0,89.0,ne,1.0,1.0,U,0.1,243,15.2,13.4,1.0,,9545.0,219513.0,9.0,Opt
[0.155],10.0,0.155,130.636131,-48.14452,0.07,0.06,0.0,08423267-4808402,14.089,0.021,0.024,83.5,13.254,0.027,0.028,67.2,13.087,0.034,0.035,42.8,AAA,222,111,000,666666,13.8,337.0,157282402.0,0.0,0.0,157282380.0,s,1998-11-21,114.0,266.666,-3.605,-121.9,2451138.8489,0.61,0.92,0.79,14.149,0.038,13.3,0.05,13.107,0.058,1067.0,130.0,ne,0.0,1.0,U,0.2,12,19.1,17.3,1.0,,9546.0,219557.0,257.0,Opt
