name,ra,dec,PU,significance,Fcsc_s,e_Fcsc_s,Fcsc_m,e_Fcsc_m,Fcsc_h,e_Fcsc_h,flux_aper90_ave_b,e_flux_aper90_ave_b,var_intra_prob,var_inter_prob,CSC_flags,DR3Name_gaia,_r_gaia,PU_gaia,RA_ICRS_gaia,DE_ICRS_gaia,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,Plx,e_Plx,PM,rgeo,b_rgeo,B_rgeo,rpgeo,b_rpgeo,B_rpgeo,cp_flag_gaia,_2MASS_2mass,_r_2mass,PU_2mass,RAJ2000_2mass,DEJ2000_2mass,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,cp_flag_2mass,Name_catwise,_r_catwise,PU_catwise,RA_ICRS_catwise,DE_ICRS_catwise,W1mag_catwise,e_W1mag_catwise,W2mag_catwise,e_W2mag_catwise,cp_flag_catwise,objID_unwise,_r_unwise,PU_unwise,RAJ2000_unwise,DEJ2000_unwise,W1mag_unwise,e_W1mag_unwise,W2mag_unwise,e_W2mag_unwise,cp_flag_unwise,AllWISE_allwise,_r_allwise,PU_allwise,RAJ2000_allwise,DEJ2000_allwise,W1mag_allwise,e_W1mag_allwise,W2mag_allwise,e_W2mag_allwise,W3mag,e_W3mag,W4mag,e_W4mag,cp_flag_allwise,gaia_precomputed,cp_flag_wise12,which_wise12,W1mag,e_W1mag,W2mag,e_W2mag
IC2395_CXO-18.0,130.54910025136317,-48.10913807004356,0.171793492605582,200.41777,1.0436802870168641e-13,8.862309083593604e-15,6.013996381579187e-14,2.886511033645992e-15,1.2405866995098917e-13,6.2810869879747805e-15,2.885666624684674e-13,1.1239418222978086e-14,1.0,0.997,,Gaia DR3 5329116157274185088,0.0281859178264156,0.0028584774828569,130.54908862481,-48.10913705397,10.337222,0.002785,10.349617,0.002867,10.291006,0.003792,1.4137,0.0215,4.332,702.3665771484375,691.4437255859375,710.9074096679688,707.1399536132812,697.0555419921875,716.928466796875,0,08421178-4806329,0.102,0.1400291723026313,130.549113,-48.109165,10.210000038146973,0.0260000005364418,10.06700038909912,0.0209999997168779,10.029999732971191,0.0209999997168779,0,,,,,,,,,,-8,1304m485o0037241,0.074,0.0061983139449369,130.5490696,-48.1091401,10.04673080539825,-0.0005662756807443,10.03412978939324,-0.0011765382814205,0,J084211.78-480632.9,0.046,0.0772528905333645,130.5490837,-48.1091445,10.027,0.023,10.047,0.021,10.656,0.114,9.211,,0,True,0.0,allwise,10.027,0.023,10.047,0.021
IC2395_CXO-21.0,130.60455996446296,-48.09434647842238,0.0917846127214073,146.5676,7.630357776508506e-14,6.962797143061813e-15,2.8274870905124143e-14,1.9628264211753817e-15,2.2280522661305497e-14,2.5476187750407928e-15,1.2685897133151468e-13,7.669654036397878e-15,0.9999898812107648,1.0,,,,,,,,,,,,,,,,,,,,,,-4,,,,,,,,,,,,-8,J084225.09-480539.7,0.085,0.0490504460326305,130.6045792,-48.0943662,10.108,0.009,10.274,0.007,0,,,,,,,,,,-4,,,,,,,,,,,,,,-4,True,0.0,catwise,10.108,0.009,10.274,0.007
IC2395_CXO-2.0,130.61490136081335,-48.17744097214102,0.257195671012395,81.80928,6.768376613067926e-14,6.351588349692065e-15,2.8231828990430488e-14,2.0406154402591424e-15,2.0654981227271548e-14,2.4980188147527214e-15,1.165705763483813e-13,7.123684716340734e-15,0.9999308525434456,0.833,,,,,,,,,,,,,,,,,,,,,,-4,08422759-4810388,0.207,0.1413199663883345,130.614987,-48.177448,11.19200038909912,0.0240000002086162,10.631999969482422,0.0219999998807907,10.491999626159668,0.0209999997168779,0,J084227.58-481038.7,0.077,0.0460279578082712,130.6149315,-48.1774337,10.491,0.012,10.482,0.008,0,1304m485o0035062,0.068,0.0221885758894075,130.6149266,-48.1774325,10.471612662656293,-0.0006952655620421,10.457310582177264,-0.0014545320995444,0,J084227.58-481038.7,0.119,0.0785988097874261,130.6149447,-48.1774252,10.478,0.022,10.484,0.02,10.374,0.086,8.165,0.217,0,True,0.0,allwise,10.478,0.022,10.484,0.02
IC2395_CXO-11.0,130.5792457691213,-48.13680822935239,0.1780834015864659,106.086174,6.305021834654077e-14,6.494209161739505e-15,2.3124285165837522e-14,1.790219792403935e-15,2.896373855564486e-14,3.0098575669048703e-15,1.1513824206802314e-13,7.378270943425067e-15,0.9922859157010132,0.131,,Gaia DR3 5329121757911610112,0.0749100062241968,0.0028277919937647,130.57922100367,-48.13682087191,13.13468,0.003069,13.594873,0.005221,12.500044,0.00513,1.4138,0.0117,5.614,691.886962890625,686.6133422851562,697.3328857421875,692.2452392578125,686.6552734375,697.6875610351562,0,08421901-4808125,0.089,0.1400285537642948,130.579247,-48.136833,11.685999870300291,0.0270000007003545,11.215999603271484,0.0219999998807907,11.074000358581545,0.0189999993890523,0,J084219.01-480812.5,0.072,0.0399003241756254,130.5792263,-48.1368234,10.99,0.011,11.051,0.008,0,1304m485o0036357,0.116,0.0167405456697205,130.5792226,-48.1368365,11.052845116035463,-0.0009433375045311,11.05258414547146,-0.0020175760022922,0,,,,,,,,,,,,,,-4,True,0.0,catwise,10.99,0.011,11.051,0.008
IC2395_CXO-15.0,130.74482790072577,-48.12411586840355,0.3620770781442157,62.383522,4.880925362507072e-14,5.894476491837713e-15,2.2758615035358723e-14,1.8181317121616638e-15,2.262030992767584e-14,2.5047975067661078e-15,9.418817858810528e-14,6.6576622462766205e-15,0.9078374160666438,0.998,,Gaia DR3 5329109560204681088,0.0243122548604223,0.0028383649448229,130.74483737371,-48.12411823971,12.808494,0.003035,13.277166,0.005222,12.16748,0.005399,1.4183,0.01,5.438,698.7720947265625,694.4556884765625,703.890869140625,698.300537109375,692.8553466796875,703.4498291015625,0,08425877-4807268,0.167,0.1200335616215731,130.744889,-48.124138,11.359000205993652,0.0240000002086162,10.883999824523926,0.0240000002086162,10.77299976348877,0.0230000000447034,0,J084258.76-480726.8,0.101,0.0385047518568812,130.7448681,-48.1241242,10.635,0.012,10.654,0.008,0,1304m485o0036767,0.081,0.0113602779701906,130.7448577,-48.1241265,10.6828343949814,-0.0008323548352359,10.648984212502118,-0.0017267328395736,0,,0.263,0.0772521579993724,,,,,,,,,,,0,True,0.0,allwise,,,,
IC2395_CXO-5.0,130.61958014507596,-48.15548633225576,0.2044123271407645,90.481026,4.2163126411567565e-14,4.937042163860758e-15,1.89565175900942e-14,1.6372276772084877e-15,2.6558525561313368e-14,2.9069643952095288e-15,8.767816956297517e-14,5.958635900084206e-15,0.9999999848452948,1.0,,Gaia DR3 5329109766362994048,0.0465925294853035,0.0027765416834616,130.61957082813,-48.15549768449,14.44697,0.00319,15.032154,0.006427,13.708187,0.006661,1.3881,0.0154,5.471,703.2642211914062,695.2764282226562,713.6870727539062,701.7664794921875,695.765380859375,707.6013793945312,0,08422870-4809198,0.116,0.140027526704859,130.619605,-48.155514,12.814000129699709,0.0260000005364418,12.178000450134276,0.0240000002086162,12.027000427246094,0.0209999997168779,0,J084228.69-480919.8,0.073,0.0434887138816498,130.6195621,-48.1555026,11.99,0.013,12.021,0.008,0,1304m485o0035772,0.056,0.0276397944109575,130.6195619,-48.1554961,11.94907061009877,-0.0015003091141705,11.952825190649516,-0.0033429352969422,0,J084228.69-480919.7,0.043,0.0792486481593219,130.6195782,-48.1554982,11.947,0.022,12.007,0.021,11.607,,8.891,,0,True,0.0,allwise,11.947,0.022,12.007,0.021
IC2395_CXO-16.0,130.56037242560387,-48.12254164797685,0.2030622227321707,79.39858,5.775456274177518e-14,6.017530823415323e-15,1.8357145439680893e-14,1.5597693179223526e-15,1.1113666014132097e-14,1.7290926803086018e-15,8.722537419558816e-14,6.452388630033241e-15,0.7381067161266972,0.363,,Gaia DR3 5329115946810034176,0.0559465122337907,0.0028003644262845,130.56037297606,-48.12255718433,12.371748,0.002968,12.741375,0.004922,11.824839,0.004601,1.3771,0.0239,7.935,719.8119506835938,708.6423950195312,731.2920532226562,719.009521484375,709.8050537109375,731.127197265625,0,08421449-4807212,0.166,0.1400279968666266,130.560415,-48.122578,11.19499969482422,0.0240000002086162,10.755999565124512,0.0209999997168779,10.722000122070312,0.0209999997168779,0,,,,,,,,,,-8,1304m485o0036821,0.108,0.0113507667793854,130.5603366,-48.1225236,10.596584945226494,-0.000733470845956,10.624163662789236,-0.0015964850498674,0,J084214.49-480721.3,0.153,0.081847907160049,130.5603752,-48.1225842,10.629,0.023,10.672,0.021,10.95,0.2,8.689,,0,True,0.0,allwise,10.629,0.023,10.672,0.021
IC2395_CXO-35.0,130.48276809755467,-48.14407606173332,0.4918581411741063,35.818398,7.184293340371026e-15,2.2292603552063283e-15,9.561493600442376e-15,1.1861138260575049e-15,5.543744171344632e-14,4.480659097057087e-15,7.218322865425974e-14,5.143225999671787e-15,0.6829538817069192,0.296,,,,,,,,,,,,,,,,,,,,,,-8,,,,,,,,,,,,-8,,,,,,,,,,-8,,,,,,,,,,-8,,,,,,,,,,,,,,-8,,,,,,,
IC2395_CXO-106.0,130.57078683070668,-47.98650832366783,1.2469440877499758,15.278761,3.8349125714860295e-14,2.5140529859470043e-14,5.3089342830554296e-15,9.476888996883014e-16,2.744121969334606e-14,3.4387674224174238e-15,7.10992796912618e-14,2.5392311380632048e-14,0.9764211935617276,,,,,,,,,,,,,,,,,,,,,,,-4,,,,,,,,,,,,-4,,,,,,,,,,-4,1304m485o0104164,1.116,0.2585005427485985,130.5712116,-47.9863846,15.095286941798422,-0.0105029490832291,14.947777659271056,-0.0274045018701956,0,,,,,,,,,,,,,,-8,True,0.0,unwise,15.095286941798422,-0.0105029490832291,14.947777659271056,-0.0274045018701956
IC2395_CXO-139.0,130.47209366151364,-47.986514145037525,2.0505399188091142,12.086986,4.3188280780773046e-14,8.52975087078651e-15,8.792284712213984e-15,1.3473327982331117e-15,1.867416395423128e-14,3.724225388514959e-15,7.06547294472183e-14,9.404350606572326e-15,0.9999999767669334,0.803,,Gaia DR3 5329126533914974720,0.4659381012835746,0.0028372245099744,130.47190880083,-47.98655212844,14.684675,0.003032,15.318529,0.007348,13.918312,0.005541,1.4184,0.0171,5.463,687.9396362304688,681.5855102539062,696.4024658203125,686.60693359375,679.9161987304688,696.017578125,0,08415327-4759116,0.338,0.1600251499105062,130.471972,-47.986561,12.826000213623049,0.0240000002086162,12.223999977111816,0.025000000372529,12.10099983215332,0.0289999991655349,0,J084153.25-475911.6,0.553,0.0524767434572687,130.4718743,-47.986559,12.071,0.014,12.061,0.011,0,1304m485o0041047,0.506,0.0276459509490992,130.4718922,-47.9865536,12.044037162566402,-0.0015397791563093,12.012605584163046,-0.0033846189834475,0,J084153.27-475911.5,0.342,0.0808497903762279,130.4719589,-47.9865442,12.017,0.023,12.019,0.021,12.035,0.305,8.77,,0,True,0.0,allwise,12.017,0.023,12.019,0.021
