name,ra,dec,PU_X,significance,F_b,HR_hms,P_inter,P_intra,G,J,W1,cp_counts,CSC_flags,Class,Class_prob,Class_prob_e,CT,PU_TeV,TeV_extent,true_Class,P_AGN,P_CV,P_HM-STAR,P_LM-STAR,P_HMXB,P_LMXB,P_NS,P_YSO,e_P_AGN,e_P_CV,e_P_HM-STAR,e_P_LM-STAR,e_P_HMXB,e_P_LMXB,e_P_NS,e_P_YSO
IC2395_CXO-1.0,130.60830585289628,-48.19215380879279,0.5082845551126374,10.615701,1.6521599718538043e-14,-0.4107767353053374,0.731,0.9999052286807372,,,,0,,LMXB,0.5243,0.12156600235794932,1.0066133492339666,12,p,,0.03,0.0241,0.0005,0.1134,0.0,0.5243,0.3032,0.0045000000000000005,0.0337848211688939,0.021700207139541083,0.0021904291355759036,0.05632194613258332,0.0,0.12156600235794932,0.09808139271013434,0.0074366007223078965
IC2395_CXO-10.0,130.61568133588983,-48.13707205600194,0.9009445020723782,3.244619,4.518878423757295e-15,-0.6361104443197414,,0.4626431652276311,20.224592,,,3,,NS,0.34630000000000005,0.15989046124131237,0.137898378064051,12,p,,0.036699999999999997,0.1591,0.0294,0.0621,0.0012,0.3085,0.34630000000000005,0.0567,0.02923450984122302,0.09671466937712844,0.02364809343757596,0.056965256113181865,0.0049807711057707526,0.11422443793786959,0.15989046124131237,0.04653780911009539
IC2395_CXO-100.0,130.57573266057057,-48.05383916235621,1.1735104196892188,5.0337744,9.724369235617244e-15,0.1970987903556492,,0.6025730698478202,17.882193,,,3,,CV,0.3997,0.09139165357643085,0.8716467069613754,12,p,,0.026000000000000002,0.3997,0.030699999999999998,0.016300000000000002,0.0036,0.2556,0.11,0.15810000000000002,0.01959179378817529,0.09139165357643085,0.028078353573419146,0.013973640408376993,0.00882146143324233,0.07392761952946227,0.06066966359563961,0.07689288101973521
IC2395_CXO-101.0,130.58764301943748,-48.05011273620167,1.1888156676890855,4.5857134,3.016217043064372e-15,0.5948882247083708,,,,,,0,,NS,0.4769,0.198095451943774,0.16839144884425022,12,p,,0.4104,0.0009,0.0622,0.0,0.0,0.0333,0.4769,0.016300000000000002,0.19681771292546849,0.005522223238420328,0.07842618610302728,0.0,0.0,0.07533165726212708,0.198095451943774,0.02611764371323173
IC2395_CXO-102.0,130.5713452581979,-48.021240382931005,1.3751330287326955,6.3894906,5.411143049234996e-15,0.3077464158902427,0.192,0.0129217183677687,,,,0,,AGN,0.37549999999999994,0.19590440360935063,0.2203867078928116,12,p,,0.37549999999999994,0.0151,0.0614,0.0013,0.0,0.29359999999999997,0.2492,0.0039000000000000003,0.19590440360935063,0.028762173531613124,0.0384029670570892,0.004852365870939098,0.0,0.17571510458636722,0.151255219460822,0.0064970855937197865
IC2395_CXO-103.0,130.5368140073166,-48.01789408460714,1.390909763866515,10.280297,1.0936364832428434e-14,-0.7347969950389354,0.97,0.7201436152670818,12.34317,,,3,,HM-STAR,0.3583,0.07940504780026024,0.9198872115617198,12,p,,0.008100000000000001,0.0863,0.3583,0.1484,0.0006,0.16879999999999998,0.0006,0.2289,0.012925192689496202,0.05010403318510539,0.07940504780026024,0.04846575381575421,0.006,0.046823977281782114,0.0023868325657594204,0.06126437163901407
IC2395_CXO-104.0,130.63528276119044,-48.01290043415588,1.4363293438468463,6.064333,8.466922562422535e-15,-0.36027690161519527,,0.05125010536451,,,,0,,LMXB,0.5106,0.2412836881801548,0.1472776403313749,12,p,,0.024700000000000003,0.0167,0.0047,0.002,0.0,0.5106,0.4407,0.0006000000000000001,0.03500230872616286,0.029680282881387635,0.007971540286886502,0.005124707431905382,0.0,0.2412836881801548,0.23333010820281935,0.0027779797906341427
IC2395_CXO-105.0,130.52440104618242,-48.00601696824588,1.7488553206123203,8.865565,1.729724252663469e-14,0.146298692334537,,0.5845220374788258,16.957285,13.6899995803833,12.669,9,,YSO,0.4362,0.16634380849993377,0.6189751440531323,12,p,,0.0125,0.2263,0.0405,0.0661,0.0254,0.18760000000000002,0.0054,0.4362,0.012583057392117918,0.17276512344448428,0.05107678909092059,0.03606657704576329,0.026908749656585837,0.084568064751167,0.011319064100941037,0.16634380849993377
IC2395_CXO-106.0,130.57078683070668,-47.98650832366783,1.2469440877499758,15.278761,7.10992796912618e-14,-0.22808726579212782,,0.9764211935617276,,,15.095286941798422,2,,AGN,0.3516,0.12239792696468568,0.7223393339692636,12,p,,0.3516,0.07200000000000001,0.0027,0.1884,0.0012000000000000001,0.11900000000000001,0.2155,0.0496,0.12239792696468568,0.032504855892091816,0.005835281060112276,0.072288982353447,0.0035618630921006337,0.04839859752538541,0.06601767440112787,0.026549743668986502
IC2395_CXO-107.0,130.6381544019645,-48.22051209113088,1.7127907143465826,4.759611,5.232756310037579e-15,0.0775839252707167,0.064,0.9682745417794584,17.413223,,,3,,YSO,0.396,0.07318166133366716,1.0641735694906957,12,p,,0.042800000000000005,0.0959,0.1567,0.0177,0.0023,0.24059999999999998,0.048,0.396,0.029612991961794285,0.05348642799624949,0.08852386541195967,0.02154886389936916,0.005096047190685833,0.0728471486793208,0.03324229993623343,0.07318166133366716
