_rs_gaia,_q,_r_gaia,DR3Name_gaia,RA_ICRS_gaia,DE_ICRS_gaia,SolID_gaia,Source_gaia,RandomI_gaia,e_RA_ICRS_gaia,e_DE_ICRS_gaia,Plx_gaia,e_Plx_gaia,RPlx_gaia,PM_gaia,pmRA_gaia,e_pmRA_gaia,pmDE_gaia,e_pmDE_gaia,RADEcor_gaia,RAPlxcor_gaia,RApmRAcor_gaia,RApmDEcor_gaia,DEPlxcor_gaia,DEpmRAcor_gaia,DEpmDEcor_gaia,PlxpmRAcor_gaia,PlxpmDEcor_gaia,pmRApmDEcor_gaia,NAL_gaia,NAC_gaia,NgAL_gaia,NbAL_gaia,gofAL_gaia,chi2AL_gaia,epsi_gaia,sepsi_gaia,Solved_gaia,APF_gaia,nueff_gaia,pscol_gaia,e_pscol_gaia,RApscolCorr_gaia,DEpscolCorr_gaia,PlxpscolCorr_gaia,pmRApscolCorr_gaia,pmDEpscolCorr_gaia,MatchObsA_gaia,Nper_gaia,amax_gaia,MatchObs_gaia,NewMatchObs_gaia,MatchObsrm_gaia,IPDgofha_gaia,IPDgofhp_gaia,IPDfmp_gaia,IPDfow_gaia,RUWE_gaia,SDSk1_gaia,SDSk2_gaia,SDSk3_gaia,SDSk4_gaia,SDMk1_gaia,SDMk2_gaia,SDMk3_gaia,SDMk4_gaia,Dup_gaia,o_Gmag_gaia,FG_gaia,e_FG_gaia,RFG_gaia,Gmag_gaia,e_Gmag_gaia,o_BPmag_gaia,FBP_gaia,e_FBP_gaia,RFBP_gaia,BPmag_gaia,e_BPmag_gaia,o_RPmag_gaia,FRP_gaia,e_FRP_gaia,RFRP_gaia,RPmag_gaia,e_RPmag_gaia,E_BP_RP__gaia,NBPcont_gaia,NBPblend_gaia,NRPcont_gaia,NRPblend_gaia,Mode_gaia,BP-RP_gaia,BP-G_gaia,G-RP_gaia,RV_gaia,e_RV_gaia,n_RV_gaia,o_RV_gaia,o_RVd_gaia,RVNper_gaia,RVS_N_gaia,RVgof_gaia,RVchi2_gaia,RVTdur_gaia,RVamp_gaia,RVtempTeff_gaia,RVtemplogg_gaia,RVtemp_Fe_H__gaia,Vatmparam_gaia,Vbroad_gaia,e_Vbroad_gaia,o_Vbroad_gaia,GRVSmag_gaia,e_GRVSmag_gaia,o_GRVSmag_gaia,RVSS_N_gaia,VarFlag_gaia,GLON_gaia,GLAT_gaia,ELON_gaia,ELAT_gaia,QSO_gaia,Gal_gaia,NSS_gaia,XPcont_gaia,XPsamp_gaia,RVS_gaia,EpochPh_gaia,EpochRV_gaia,MCMCGSP_gaia,MCMCMSC_gaia,And_gaia,PQSO_gaia,PGal_gaia,PSS_gaia,Teff_gaia,b_Teff_gaia,B_Teff_gaia,logg_gaia,b_logg_gaia,B_logg_gaia,__Fe_H__gaia,b__Fe_H__gaia,B__Fe_H__gaia,Dist_gaia,b_Dist_gaia,B_Dist_gaia,A0_gaia,b_A0_gaia,B_A0_gaia,AG_gaia,b_AG_gaia,B_AG_gaia,E_BP-RP__gaia,b_E_BP-RP__gaia,B_E_BP-RP__gaia,Lib_gaia,HIP_gaia,dHIP_gaia,nHIP_gaia,f_HIP_gaia,PS1coid_gaia,PS1_gaia,dPS1_gaia,nPS1_gaia,mPS1_gaia,f_PS1_gaia,SDSS13coid_gaia,SDSS13_gaia,dSDSS13_gaia,nSDSS13_gaia,mSDSS13_gaia,f_SDSS13_gaia,SKYM2_gaia,dSKYM2_gaia,nSKYM2_gaia,mSKYM2_gaia,f_SKYM2_gaia,TYC2_gaia,dTYC2_gaia,f_TYC2_gaia,TYC2moid_gaia,nTYC2_gaia,URAT1_gaia,dURAT1_gaia,f_URAT1_gaia,URAT1oid_gaia,nURAT1_gaia,mURAT1_gaia,AllWISE_gaia,dAllWISE_gaia,f_AllWISE_gaia,AllWISEoid_gaia,nAllWISE_gaia,mAllWISE_gaia,APASS9coid_gaia,APASS9_gaia,dAPASS9_gaia,nAPASS9_gaia,mAPASS9_gaia,f_APASS9_gaia,GSC23_gaia,dGSC23_gaia,f_GSC23_gaia,GSC23coid_gaia,nGSC23_gaia,mGSC23_gaia,RAVE5_gaia,dRAVE5_gaia,f_RAVE5_gaia,RAVE5coid_gaia,nRAVE5_gaia,_2MASS_gaia,d2MASS_gaia,f_2MASS_gaia,_2MASScoid_gaia,n2MASS_gaia,m2MASS_gaia,RAVE6_gaia,dRAVE6_gaia,f_RAVE6_gaia,RAVE6oid_gaia,nRAVE6_gaia,RAJ2000_gaia,DEJ2000_gaia,e_RAJ2000_gaia,e_DEJ2000_gaia,RADEcorJ2000_gaia
[0.02750042665010721],1.0,0.02750042665010721,Gaia DR3 5329116157274185088,130.54908862481,-48.10913705397,1.6361480689213768e+18,5329116157274185088,696121211.0,0.0183,0.0212,1.4137,0.0215,65.7684,4.332,-3.281,0.023,2.828,0.025,-0.1156,-0.1019,-0.1864,0.1749,0.047,0.1749,-0.322,0.0988,-0.0717,-0.0986,322.0,322.0,321.0,1.0,3.7692,2116.0,0.208,53.44,31.0,0.0,1.74,,,,,,,,36.0,25.0,0.037183,42.0,19.0,0.0,0.0172,122.0,0.0,0.0,1.153,,,,,,,,,0.0,335.0,1380568.49261,513.09,2690.7,10.337222,0.002785,39.0,989850.0,599.71,1650.5,10.349617,0.002867,39.0,606400.0,175.35,3458.2,10.291006,0.003792,1.156,0,0,0,0,0.0,0.058611,0.012395,0.046216,19.02,6.46,1,11,4,9,44.51,-0.4226,0.765838,858.62,59.71,9000.0,4.5,0.25,555,291.801,117.9935,6,10.232504,0.012995,6,49.776,NOT_AVAILABLE,266.60199324171,-3.62937351578,158.68372108514,-62.22779039277,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.999482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441247194,0.165817,1,0,8,,,,,,,,,,,,J084211.78-480632.9,0.031627,8,108297089,1,0,10775786,40281751,0.527403,1,0,8,,,,,,,,,,,,08421178-4806329,0.052277,8,102030632,1,0,,,,,,130.5491104669,-48.109149621,0.36816,0.414742,-0.1135
"[0.11220621665416848, 2.5105200248933808, 5.34920517049661, 7.6781758101387005, 8.135861538179256, 8.519299879263087, 9.369550490876827, 9.83363929345625]",2.0,0.11220621665416848,Gaia DR3 5329121959764295296,130.6046037565,-48.09435733786,1.6361480689213768e+18,5329121959764295296,1279087237.0,1.0906,1.2238,,,,,,,,,0.1456,,,,,,,,,,403.0,403.0,367.0,36.0,977.4113,5804000.0,14.742,269800.0,3.0,0.0,,,,,,,,,45.0,26.0,2.298318,49.0,21.0,0.0,0.169,153.0,27.0,0.0,,,,,,,,,,0.0,330.0,291198.87676,478.43,608.65,12.026893,0.003282,48.0,153290.0,334.98,457.6,12.374782,0.003663,47.0,206560.0,333.9,618.62,11.460295,0.004167,1.236,0,0,0,1,0.0,0.914487,0.347889,0.566598,15.19,4.51,1,16,6,14,27.86,9.444,0.0,858.62,32.54,5250.0,1.0,-1.0,111,38.8809,37.8405,7,11.234878,0.035985,9,,NOT_AVAILABLE,266.6131049332,-3.59103413576,158.7322772591,-62.19492042493,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J084225.10-480539.7,0.090631,16,108368816,1,0,10782799,40281873,0.231728,1,1,16,,,,,,,,,,,,08422512-4805398,0.30102,16,102094162,1,0,,,,,,130.6046037565,-48.09435733786,1.090559,1.223848,0.1456
"[0.07477377134437187, 8.284416434384662]",3.0,0.07477377134437187,Gaia DR3 5329121757911610112,130.57922100367,-48.13682087191,1.6361480689213768e+18,5329121757911610112,1161288893.0,0.0091,0.0116,1.4138,0.0117,121.1193,5.614,-4.599,0.012,3.22,0.014,0.0502,-0.0784,-0.0755,0.054,0.166,0.0727,-0.4164,0.1828,-0.2317,0.0204,324.0,9.0,322.0,2.0,0.7669,354.5,0.0,2.258e-15,31.0,0.0,1.497,,,,,,,,37.0,23.0,0.020694,43.0,16.0,0.0,0.00657,138.0,0.0,0.0,1.03,,,,,,,,,0.0,314.0,104972.35575,130.65,803.45,13.13468,0.003069,35.0,49827.0,202.5,246.06,13.594873,0.005221,33.0,79276.0,253.27,313.01,12.500044,0.00513,1.23,0,1,0,0,0.0,1.09483,0.460194,0.634636,-15.13,6.12,2,10,5,9,9.124,,,915.346,,4750.0,3.5,-1.5,111,,,,12.145165,0.064789,5,,VARIABLE,266.63626365748,-3.63048193703,158.75262567917,-62.23964588666,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.999942,5535.2,5526.3,5543.9,4.0737,4.0706,4.0767,-0.4908,-0.5011,-0.482,655.2319,649.5748,660.5033,0.585,0.5792,0.5906,0.4778,0.473,0.4825,0.2586,0.2559,0.2612,MARCS,,,,,,,,,,,,,,,,,441247233,0.134326,1,0,8,,,,,,,,,,,,J084218.99-480812.5,0.190024,8,108163452,1,0,10762517,40281871,0.152186,1,0,8,S66G002821,0.2546,8,178760566,1,0,,,,,,08421901-4808125,0.019858,8,101911428,1,0,,,,,,130.57925162877,-48.13683518237,0.200797,0.234291,0.014
"[0.2796622044301381, 0.2916492714194706, 3.8142918196623583, 6.630586934729, 6.934702217286739, 8.814833816745633]",4.0,0.2796622044301381,Gaia DR3 5329109663274476032,130.61500175187,-48.17748032359,1.6361480689213768e+18,5329109663274476032,1370025008.0,0.8757,0.8714,,,,,,,,,0.1306,,,,,,,,,,292.0,0.0,278.0,14.0,689.1545,2408000.0,9.635,70820.0,3.0,0.0,,,,,,,,,32.0,19.0,1.898897,47.0,18.0,0.0,0.249,56.0,80.0,14.0,,0.191,0.096,0.203,0.0858,-30.297,-57.974,-1.947,-21.891,0.0,246.0,61427.17928,206.57,297.37,13.716465,0.004574,28.0,48326.0,253.1,190.94,13.62809,0.006334,28.0,96186.0,443.54,216.86,12.290117,0.006273,2.353,0,28,0,28,0.0,1.337973,-0.088375,1.426348,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,266.68310610334,-3.63660702939,158.84378299098,-62.26017394249,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441242543,0.137047,1,1,16,,,,,,,,,,,,J084227.58-481038.7,0.241118,16,107967237,1,1,10742795,40281565,0.314466,1,1,16,S66G002904,0.183585,16,178421695,1,1,,,,,,08422759-4810388,0.121634,16,101735900,1,1,,,,,,130.61500175187,-48.17748032359,0.875693,0.871397,0.1306
"[0.024440569799406158, 2.065635535677038, 4.552423021673673, 9.562785955523328]",5.0,0.024440569799406158,Gaia DR3 5329109560204681088,130.74483737371,-48.12411823971,1.6361480689213768e+18,5329109560204681088,581733685.0,0.0086,0.01,1.4183,0.01,141.508,5.438,-4.41,0.011,3.182,0.013,-0.0471,-0.1401,-0.0978,0.1381,0.0155,0.1515,-0.4008,0.044,-0.0305,-0.0759,393.0,348.0,393.0,0.0,-2.6288,494.1,0.048,2.49,31.0,0.0,1.495,,,,,,,,44.0,27.0,0.018416,49.0,20.0,0.0,0.0118,178.0,0.0,0.0,0.906,,,,,,,,,0.0,385.0,141758.50741,166.13,853.29,12.808494,0.003035,43.0,66765.0,271.43,245.97,13.277166,0.005222,42.0,107690.0,382.45,281.57,12.16748,0.005399,1.231,0,29,0,25,0.0,1.109687,0.468673,0.641014,,,,,,,,,,,,,,,,,,,,,,,VARIABLE,266.69430127476,-3.53548252562,158.93453894751,-62.16764797018,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.999913,5606.2,5599.4,5613.2,4.007,4.0037,4.0106,-0.2386,-0.2471,-0.2307,667.8005,662.7487,672.6385,0.6343,0.6291,0.6393,0.5183,0.5139,0.5224,0.2793,0.277,0.2816,MARCS,,,,,,,,,,,,,,,,,441241645,0.135581,1,0,8,,,,,,,,,,,,,,,,,,,,,,,,S66G002787,0.131578,8,178865986,1,0,,,,,,08425877-4807268,0.051389,8,101966049,1,0,,,,,,130.74486673426,-48.12413238044,0.183354,0.206994,-0.0877
"[8.775994683817647, 8.95951604681737]",6.0,8.775994683817647,Gaia DR3 5329115671927925760,130.47927507383,-48.14478984195,1.6361480689213768e+18,5329115671927925760,92793102.0,0.249,0.2678,0.1446,0.3065,0.4716,1.905,-1.905,0.339,0.003,0.407,0.0264,-0.0388,-0.0383,-0.0384,0.131,0.0346,-0.2228,0.1929,-0.2823,-0.0454,297.0,0.0,297.0,0.0,-0.0603,304.9,0.0,0.0,95.0,0.0,,1.3361,0.0857,-0.225,0.065,-0.11,0.04,0.22,35.0,22.0,0.571992,38.0,16.0,0.0,0.0148,113.0,0.0,0.0,0.996,0.221,0.137,0.228,0.144,-38.133,-74.507,12.923,-2.69,0.0,303.0,239.49489,0.80163,298.76,19.739126,0.004561,29.0,65.586,4.4003,14.905,20.796511,0.072897,34.0,210.47,5.4325,38.742,18.939943,0.028278,1.153,0,0,0,2,0.0,1.856567,1.057384,0.799183,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,266.60158072749,-3.68804588055,158.6429710165,-62.28331284604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441249892,0.148174,1,0,8,,,,,,,,,,,,,,,,,,,,,,,,S66G126003,0.434365,8,178694252,1,0,,,,,,,,,,,,,,,,,130.47928776516,-48.14478985515,5.441706,6.573954,-0.0444
"[0.04649482914501168, 6.657838429407954, 8.011854163847795, 8.113606121466304, 8.642077932817719]",7.0,0.04649482914501168,Gaia DR3 5329109766362994048,130.61957082813,-48.15549768449,1.6361480689213768e+18,5329109766362994048,1696094313.0,0.0131,0.0154,1.3881,0.0154,90.4161,5.471,-4.478,0.018,3.144,0.02,-0.0576,-0.1018,-0.136,0.1616,-0.0494,0.1813,-0.4083,0.1519,0.0191,-0.1246,382.0,0.0,382.0,0.0,-0.6641,362.6,0.0,0.0,31.0,0.0,1.454,,,,,,,,43.0,26.0,0.028961,47.0,19.0,0.0,0.00994,141.0,0.0,0.0,0.975,0.194,0.12,0.169,0.013,-71.317,-73.009,12.511,39.829,0.0,386.0,31344.31954,46.4,675.53,14.44697,0.00319,43.0,13260.0,70.717,187.51,15.032154,0.006427,44.0,26054.0,131.63,197.93,13.708187,0.006661,1.254,1,1,2,3,0.0,1.323967,0.585184,0.738783,27.13,6.29,2,13,5,13,5.045,,,915.272,,4500.0,2.5,-1.5,111,,,,13.381283,0.136472,8,,VARIABLE,266.66759904197,-3.62070050516,158.82296476523,-62.24020984955,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.999899,4896.5,4881.5,4929.6,4.1651,4.1598,4.1803,-0.6358,-0.6552,-0.5919,677.1318,669.9721,686.2021,0.5951,0.5823,0.6237,0.4673,0.4569,0.4902,0.2519,0.2463,0.2642,MARCS,,,,,,,,,,,,,,,,,441247196,0.071308,1,0,8,,,,,,,,,,,,J084228.69-480919.7,0.016181,8,108073138,1,0,10753429,40281566,1.400635,1,0,8,S66G052863,0.227055,8,178604119,1,0,,,,,,08422870-4809198,0.007352,8,101830608,1,0,,,,,,130.61960066082,-48.15551165579,0.284971,0.320644,-0.1372
"[0.05591984706382191, 8.10456038737267, 8.574597837054185, 8.733740753850178, 8.766157207880887, 9.392000530574531, 9.625097438241871]",8.0,0.05591984706382191,Gaia DR3 5329115946810034176,130.56037297606,-48.12255718433,1.6361480689213768e+18,5329115946810034176,1417537741.0,0.0193,0.0231,1.3771,0.0239,57.7003,7.935,-5.987,0.026,5.208,0.03,0.0192,-0.1062,-0.0993,0.0846,-0.0131,0.0796,-0.2885,0.1511,-0.1343,-0.0333,365.0,365.0,364.0,1.0,27.0454,2586.0,0.251,80.54,31.0,0.0,1.535,,,,,,,,42.0,26.0,0.042034,46.0,18.0,0.0,0.0151,99.4,0.0,0.0,2.163,,,,,,,,,0.0,369.0,211956.82607,215.32,984.38,12.371748,0.002968,43.0,109360.0,408.47,267.73,12.741375,0.004922,43.0,147650.0,356.84,413.76,11.824839,0.004601,1.213,0,0,0,0,0.0,0.916536,0.369627,0.546909,21.05,11.46,1,16,6,15,21.68,25.88,0.0,915.272,118.03,5250.0,3.5,-1.0,111,,,,11.578919,0.021811,10,21.0116,VARIABLE,266.6172432777,-3.63165954975,158.71316059375,-62.23477101633,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.999974,5847.6,5837.0,5860.0,3.9794,3.9716,3.9858,-0.5323,-0.5431,-0.5194,645.451,637.342,655.6764,0.3794,0.3731,0.3869,0.3178,0.3124,0.3242,0.1724,0.1694,0.1758,MARCS,,,,,,,,,,,,,,,,,441247313,0.055165,1,0,8,,,,,,,,,,,,J084214.49-480721.3,0.074365,8,108232184,1,0,10769483,40281742,0.802513,1,0,8,,,,,,,,,,,,08421449-4807212,0.014263,8,101972821,1,0,,,,,,130.56041283403,-48.12258033272,0.421271,0.48242,-0.0402
"[0.4177557518691816, 5.480246431576988, 5.593650907415182, 6.042423947364779]",9.0,0.4177557518691816,Gaia DR3 5329126533914974720,130.47190880083,-47.98655212844,1.6361480689213768e+18,5329126533914974720,1128304703.0,0.015,0.0176,1.4184,0.0171,83.0652,5.463,-4.327,0.02,3.335,0.022,-0.0605,-0.047,-0.2442,0.1912,0.1299,0.2064,-0.4292,0.0943,-0.1203,-0.0608,371.0,0.0,369.0,2.0,-1.0093,341.3,0.0,0.0,31.0,0.0,1.436,,,,,,,,42.0,27.0,0.032284,47.0,22.0,0.0,0.0231,130.0,0.0,0.0,0.962,0.129,0.143,0.0579,0.0619,-46.52,-68.459,9.341,-23.836,0.0,378.0,25181.21594,29.321,858.81,14.684675,0.003032,40.0,10186.0,63.773,159.72,15.318529,0.007348,43.0,21470.0,80.118,267.98,13.918312,0.005541,1.257,0,1,0,0,0.0,1.400217,0.633854,0.766363,50.33,8.55,2,15,4,13,4.021,,,759.226,,4500.0,3.0,-1.5,111,,,,13.543295,0.090889,11,,VARIABLE,266.47326681801,-3.59495792067,158.44610400004,-62.15430220476,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.999938,4925.7,4908.5,5043.6,4.2436,4.2107,4.2685,-0.9594,-0.9891,-0.7895,621.3792,603.6051,633.2608,0.8263,0.8108,0.9184,0.6445,0.6321,0.7189,0.3479,0.3412,0.3876,PHOENIX,,,,,,,,,,,,,,,,,441248234,0.127378,1,0,8,,,,,,,,,,,,J084153.27-475911.5,0.108096,8,108892461,1,0,10833922,40282001,0.173893,1,0,8,S66G062363,0.11343,8,180024037,1,0,,,,,,08415327-4759116,0.082168,8,102564677,1,0,,,,,,130.47193753439,-47.98656694846,0.321268,0.359472,-0.0776
"[0.03353747245599249, 7.215421699375141, 8.23118522706236]",10.0,0.03353747245599249,Gaia DR3 5329109869442221824,130.6360890013,-48.14450004734,1.6361480689213768e+18,5329109869442221824,494186595.0,0.0441,0.05,1.3552,0.0531,25.5169,5.252,-4.203,0.059,3.15,0.064,0.018,-0.0424,-0.0817,0.0171,-0.0553,0.02,-0.2634,0.2381,0.0559,-0.0442,334.0,0.0,334.0,0.0,-0.0602,342.4,0.0,0.0,31.0,0.0,1.278,,,,,,,,38.0,25.0,0.090115,43.0,18.0,0.0,0.00853,120.0,1.0,0.0,0.997,0.228,0.0982,0.151,0.0732,-51.607,-68.46,9.418,-0.176,0.0,351.0,3130.86801,6.2631,499.89,16.948204,0.003508,37.0,604.5,10.197,59.282,18.38505,0.018526,36.0,3876.3,18.015,215.17,15.77686,0.006304,1.431,0,0,0,0,0.0,2.60819,1.436846,1.171344,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,266.66568750459,-3.60524854484,158.82950357468,-62.22494150152,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.992964,3511.9,3507.2,3517.3,4.0087,4.0035,4.0178,-0.5586,-0.576,-0.5388,536.8167,528.9,545.0094,1.1203,1.1028,1.1367,0.733,0.7216,0.7439,0.4587,0.452,0.4651,MARCS,,,,,,,,,,,,,,,,,441247061,0.103742,1,0,8,,,,,,,,,,,,J084232.65-480840.1,0.060811,8,108126518,1,0,,,,,,,S66G053434,0.143191,8,178695635,1,0,,,,,,08423267-4808402,0.034063,8,101878269,1,0,,,,,,130.63611699797,-48.14451404588,0.94563,1.03708,-0.0451
