_rs_unwise,_q,_r_unwise,objID_unwise,RAJ2000_unwise,DEJ2000_unwise,XposW1_unwise,XposW2_unwise,YposW1_unwise,YposW2_unwise,FW1_unwise,FW2_unwise,e_XposW1_unwise,e_XposW2_unwise,e_YposW1_unwise,e_YposW2_unwise,e_FW1_unwise,e_FW2_unwise,q_W1_unwise,q_W2_unwise,rchi2W1_unwise,rchi2W2_unwise,fFW1_unwise,fFW2_unwise,FW1lbs_unwise,FW2lbs_unwise,e_FW1lbs_unwise,e_FW2lbs_unwise,fwhmW1_unwise,fwhmW2_unwise,SpModW1_unwise,SpModW2_unwise,e_SpModW1_unwise,e_SpModW2_unwise,skyW1_unwise,skyW2_unwise,RAW1deg_unwise,RAW2deg_unwise,DEW1deg_unwise,DEW2deg_unwise,coaddID_unwise,detIDW1_unwise,detIDW2_unwise,nmW1_unwise,nmW2_unwise,PrimW1_unwise,PrimW2_unwise,FlagsW1_unwise,FlagsW2_unwise,f_FlagsW1_unwise,f_FlagsW2_unwise,Prim_unwise
[0.073],1.0,0.073,1304m485o0037241,130.5490696,-48.1091401,1485.709,1485.713,980.599,980.59,95435.0,94091.0,0.001,0.001,0.001,0.001,49.775,101.96,1.0,1.0,325.2,40.52,0.9886,0.9834,95620.0,94241.0,50.782,104.02,2.6457,2.8689,8.04663e-05,-0.0002895,3.237e-05,5.9e-05,-6.7675,-9.2265,130.5490696,130.5490798,-48.1091401,-48.1091365,1304m485,1304m485w1o0038318,1304m485w2o0032716,222.0,221.0,1.0,1.0,32.0,32.0,160.0,0.0,1.0
"[0.138, 8.394]",2.0,0.138,1304m485o0037701,130.604572,-48.0943838,1504.978,1504.994,932.057,932.038,76628.0,71801.0,0.001,0.002,0.001,0.002,44.15,90.372,1.0,1.0,412.4,13.75,0.9925,0.979,75126.0,71648.0,44.958,92.069,2.64,2.8646,0.00224668,0.000335097,3.52434e-05,6.7e-05,-16.63,-9.4479,130.604572,130.6045937,-48.0943838,-48.0943717,1304m485,1304m485w1o0038802,1304m485w2o0033135,228.0,232.0,1.0,1.0,32.0,32.0,160.0,0.0,1.0
"[0.116, 8.276]",3.0,0.116,1304m485o0036357,130.5792226,-48.1368365,1449.428,1449.443,954.279,954.269,37780.0,36827.0,0.001,0.003,0.001,0.003,32.825,68.434,0.99988,0.99992,84.21,13.94,0.9622,0.9592,37694.0,36708.0,33.401,69.79,2.6448,2.8684,-0.000159919,-0.000286996,4.90593e-05,9.3e-05,-0.5331,17.781,130.5792226,130.5792343,-48.1368365,-48.1368253,1304m485,1304m485w1o0037390,1304m485w2o0031957,230.0,231.0,1.0,1.0,32.0,32.0,160.0,0.0,1.0
[0.068],4.0,0.068,1304m485o0035062,130.6149266,-48.1774325,1396.243,1396.251,923.166,923.168,64529.0,63720.0,0.001,0.002,0.001,0.002,41.322,85.364,1.0,1.0,119.7,18.73,0.9973,0.997,64228.0,63674.0,42.097,87.008,2.6421,2.8664,0.00107312,0.000613809,3.90183e-05,7.1e-05,42.545,45.883,130.6149266,130.614925,-48.1774325,-48.1774269,1304m485,1304m485w1o0036061,1304m485w2o0030845,236.0,238.0,1.0,1.0,32.0,32.0,160.0,0.0,1.0
[0.081],5.0,0.081,1304m485o0036767,130.7448577,-48.1241265,1465.762,1465.752,809.52,809.469,53121.0,53408.0,0.001,0.002,0.001,0.002,40.724,84.939,0.9789,1.0,239.7,17.39,0.898,0.7825,53542.0,53499.0,41.264,86.248,2.6458,2.8688,-0.000478387,8.41618e-05,4.17292e-05,7.9e-05,29.67,33.369,130.7448577,130.7449161,-48.1241265,-48.1241343,1304m485,1304m485w1o0037822,1304m485w2o0032308,219.0,223.0,1.0,1.0,33.0,0.0,160.0,0.0,1.0
[9.242],6.0,9.242,1304m485o0099390,130.4794358,-48.1427915,1441.665,1441.545,1041.455,1041.282,2280.2,2431.2,0.011,0.028,0.01,0.026,14.517,36.338,1.0,1.0,70.19,9.055,0.2795,0.2324,2269.6,2331.7,14.805,37.278,2.6466,2.8688,0.00353116,0.00673986,0.000246184,0.000583,-1.2611,-19.301,130.4794358,130.4796341,-48.1427915,-48.1428837,1304m485,1304m485w1o0110884,1304m485w2o0092896,234.0,223.0,1.0,1.0,33.0,32.0,0.0,0.0,1.0
[0.056],7.0,0.056,1304m485o0035772,130.6195619,-48.1554961,1424.955,1424.958,919.075,919.071,16549.0,16072.0,0.002,0.005,0.002,0.004,22.868,49.485,1.0,1.0,20.42,4.302,0.976,0.9746,16434.0,16098.0,23.279,50.546,2.6401,2.8647,0.000517666,-7.42078e-05,7.49796e-05,0.000147,45.101,50.606,130.6195619,130.6195673,-48.1554961,-48.1554934,1304m485,1304m485w1o0036786,1304m485w2o0031453,231.0,229.0,1.0,1.0,32.0,32.0,160.0,0.0,1.0
"[0.108, 9.73, 9.826]",8.0,0.108,1304m485o0036821,130.5603366,-48.1225236,1468.181,1468.133,970.764,970.754,57513.0,54643.0,0.001,0.002,0.001,0.002,38.853,80.348,1.0,1.0,704.3,17.04,0.9872,0.9727,56856.0,54538.0,39.481,81.781,2.6427,2.8665,0.00323969,0.000378847,3.99975e-05,7.7e-05,3.0973,2.8885,130.5603366,130.5603483,-48.1225236,-48.1225599,1304m485,1304m485w1o0037878,1304m485w2o0032359,232.0,234.0,1.0,1.0,32.0,32.0,160.0,0.0,1.0
"[0.458, 4.984]",9.0,0.458,1304m485o0041047,130.4718922,-47.9865536,1646.203,1646.204,1048.12,1048.119,15163.0,15211.0,0.002,0.005,0.002,0.004,21.504,47.418,1.0,1.0,15.78,2.667,0.9653,0.9683,15154.0,15226.0,21.89,48.41,2.6412,2.8657,0.000520408,-2.98023e-07,7.88398e-05,0.00015,-19.61,-17.639,130.4718922,130.4718925,-47.9865536,-47.9865529,1304m485,1304m485w1o0042258,1304m485w2o0035982,211.0,217.0,1.0,1.0,32.0,32.0,0.0,0.0,1.0
[0.074],10.0,0.074,1304m485o0036116,130.636055,-48.1445027,1439.323,1439.34,904.646,904.636,6571.5,7364.6,0.004,0.009,0.003,0.008,16.093,38.803,1.0,1.0,14.01,2.9,0.9072,0.8868,6543.3,7419.9,16.393,39.703,2.6456,2.8691,3.98159e-05,-0.000525832,0.000116804,0.000232,40.068,46.079,130.636055,130.6360661,-48.1445027,-48.144489,1304m485,1304m485w1o0037140,1304m485w2o0031739,230.0,233.0,1.0,1.0,32.0,32.0,160.0,0.0,1.0
"[0.299, 8.898]",11.0,0.299,1304m485o0039676,130.6082609,-48.0319602,1586.696,1586.686,928.716,928.702,28168.0,27113.0,0.001,0.003,0.001,0.003,28.495,60.034,1.0,1.0,71.98,11.09,0.9573,0.9426,28201.0,27135.0,28.967,61.174,2.6443,2.8681,-0.000133872,-0.000834882,5.78155e-05,0.00011,-30.643,-27.842,130.6082609,130.6082765,-48.0319602,-48.0319679,1304m485,1304m485w1o0040840,1304m485w2o0034836,215.0,223.0,1.0,1.0,32.0,32.0,0.0,0.0,1.0
"[1.674, 9.243, 9.594]",12.0,1.674,1304m485o0097190,130.7160051,-48.2112375,1351.799,1351.797,835.055,835.024,721.37,994.65,0.025,0.052,0.024,0.05,10.24,27.904,1.0,1.0,9.635,1.257,0.5265,0.5631,729.68,1015.7,10.463,28.637,2.6407,2.8654,0.00477064,0.00223929,0.000530788,0.001086,91.291,81.3,130.7160051,130.7160409,-48.2112375,-48.2112391,1304m485,1304m485w1o0108182,1304m485w2o0125732,231.0,224.0,1.0,1.0,0.0,0.0,160.0,0.0,1.0
"[0.263, 8.318]",13.0,0.263,1304m485o0035848,130.5444117,-48.153592,1427.517,1427.525,984.704,984.709,18374.0,18374.0,0.002,0.004,0.002,0.004,23.752,52.19,1.0,1.0,48.63,8.616,0.9506,0.9205,18399.0,18287.0,24.157,53.399,2.6451,2.8687,-0.000531793,-0.000319779,7.07155e-05,0.000136,-3.6395,8.8261,130.5444117,130.5444062,-48.153592,-48.1535863,1304m485,1304m485w1o0036866,1304m485w2o0031517,228.0,229.0,1.0,1.0,32.0,32.0,160.0,0.0,1.0
