src,KS,KP,RA,DEC,COMPONENT,NET_COUNTS,NET_ERR,SRC_SIGNIFICANCE_0.7-1.2,THETA_0.7-1.2,NET_COUNTS_0.7-1.2,NET_ERR_0.7-1.2,NET_FLUX_APER_0.7-1.2,NET_FLUX_APER_LO_0.7-1.2,NET_FLUX_APER_HI_0.7-1.2,NET_MFLUX_APER_0.7-1.2,NET_MFLUX_APER_LO_0.7-1.2,NET_MFLUX_APER_HI_0.7-1.2,NET_UMFLUX_APER_0.7-1.2,NET_UMFLUX_APER_LO_0.7-1.2,NET_UMFLUX_APER_HI_0.7-1.2,SRC_SIGNIFICANCE_soft,THETA_soft,NET_COUNTS_soft,NET_ERR_soft,NET_FLUX_APER_soft,NET_FLUX_APER_LO_soft,NET_FLUX_APER_HI_soft,NET_MFLUX_APER_soft,NET_MFLUX_APER_LO_soft,NET_MFLUX_APER_HI_soft,NET_UMFLUX_APER_soft,NET_UMFLUX_APER_LO_soft,NET_UMFLUX_APER_HI_soft,SRC_SIGNIFICANCE_medium,THETA_medium,NET_COUNTS_medium,NET_ERR_medium,NET_FLUX_APER_medium,NET_FLUX_APER_LO_medium,NET_FLUX_APER_HI_medium,NET_MFLUX_APER_medium,NET_MFLUX_APER_LO_medium,NET_MFLUX_APER_HI_medium,NET_UMFLUX_APER_medium,NET_UMFLUX_APER_LO_medium,NET_UMFLUX_APER_HI_medium,SRC_SIGNIFICANCE_hard,THETA_hard,NET_COUNTS_hard,NET_ERR_hard,NET_FLUX_APER_hard,NET_FLUX_APER_LO_hard,NET_FLUX_APER_HI_hard,NET_MFLUX_APER_hard,NET_MFLUX_APER_LO_hard,NET_MFLUX_APER_HI_hard,NET_UMFLUX_APER_hard,NET_UMFLUX_APER_LO_hard,NET_UMFLUX_APER_HI_hard,SRC_SIGNIFICANCE_broad,THETA_broad,NET_COUNTS_broad,NET_ERR_broad,NET_FLUX_APER_broad,NET_FLUX_APER_LO_broad,NET_FLUX_APER_HI_broad,NET_MFLUX_APER_broad,NET_MFLUX_APER_LO_broad,NET_MFLUX_APER_HI_broad,NET_UMFLUX_APER_broad,NET_UMFLUX_APER_LO_broad,NET_UMFLUX_APER_HI_broad,SRC_SIGNIFICANCE_0.7-7.0,THETA_0.7-7.0,NET_COUNTS_0.7-7.0,NET_ERR_0.7-7.0,NET_FLUX_APER_0.7-7.0,NET_FLUX_APER_LO_0.7-7.0,NET_FLUX_APER_HI_0.7-7.0,NET_MFLUX_APER_0.7-7.0,NET_MFLUX_APER_LO_0.7-7.0,NET_MFLUX_APER_HI_0.7-7.0,NET_UMFLUX_APER_0.7-7.0,NET_UMFLUX_APER_LO_0.7-7.0,NET_UMFLUX_APER_HI_0.7-7.0
1,0.0001303174268657,9.477131926292989e-05,130.60830496188694,-48.19215336443387,1,29.0,5.385164807134504,2.73239,4.718092446342405,7.8342666868472834,2.829640769209432,7.052044270370494e-15,4.7953887512855824e-15,9.949782427067688e-15,3.223812274e-15,2.192191728e-15,4.548501042e-15,2.724744945e-14,1.8528260400000002e-14,3.8443631850000005e-14,2.85942,4.718092446342405,8.709966701982745,3.002002172692627,2.0906900507202454e-14,1.439610757486529e-14,2.9009268555133934e-14,3.6401006e-15,2.506506395e-15,5.05080396e-15,4.8236274e-14,3.321461205e-14,6.69300084e-14,2.85162,4.718092446342405,8.667938999059066,3.002296298426129,2.1339452800472164e-15,1.4721958749248534e-15,2.9741348495659884e-15,2.0518582976e-15,1.4155645648e-15,2.8597280944e-15,3.924794848e-15,2.707692104e-15,5.470088312000001e-15,2.91123,4.718092446342405,9.791362425623833,3.3242100683973437,5.531690458478906e-15,3.8325281322933965e-15,7.627299440245718e-15,5.709323592000001e-15,3.955597922e-15,7.872226576e-15,6.275472336000001e-15,4.347843476e-15,8.652853408e-15,5.04889,4.718092446342405,27.34006166756731,5.391556814287222,1.9993680733205858e-14,1.631895344339581e-14,2.4221611808947144e-14,1.2560250219e-14,1.0251746104e-14,1.5216283039e-14,2.2505219484000004e-14,1.8368885344e-14,2.7264249004000002e-14,4.96797,4.718092446342405,26.50605550081058,5.297357491572406,1.5006473878610066e-14,1.2185256368394979e-14,1.8187845919839005e-14,1.2188765664999999e-14,9.897277378e-15,1.4772783644e-14,1.9084731455e-14,1.5496801406000002e-14,2.3130693988000002e-14
2,0.000198870493787,6.914745655443074e-05,130.61490120530962,-48.1774416249395,2,292.0,17.08800749063506,7.94552,3.820082419630921,63.709960538848826,8.000751061967557,3.787045275263299e-14,3.316222599427409e-14,4.262632607194716e-14,2.67424038e-14,2.3417666649999998e-14,3.0100786799999996e-14,2.270819016e-13,1.9885004779999998e-13,2.555994576e-13,8.18718,3.820082419630921,67.66852633011294,8.247043976433527,1.2333027659067627e-13,1.0844996400513141e-13,1.383607185571457e-13,2.8777788370000004e-14,2.53056281e-14,3.2284979710000003e-14,3.832031174e-13,3.36968062e-13,4.299046442e-13,12.025,3.820082419630921,145.6260379969804,12.083688949156501,3.3884134253444673e-14,3.1100566802885616e-14,3.6695731696864744e-14,3.6357586188e-14,3.3370825696e-14,3.9374422788000005e-14,6.965075964000001e-14,6.392897888e-14,7.543015764e-14,8.7782,3.820082419630921,78.21023315206622,8.890040943822875,4.0414081369179146e-14,3.586617085317527e-14,4.5008042789066275e-14,4.838220933000001e-14,4.2937622910000005e-14,5.388192615e-14,5.3192838650000003e-14,4.7206898550000006e-14,5.923939075e-14,16.9589,3.820082419630921,290.46252346661436,17.089876752272293,1.9565873273807828e-13,1.8426192898232877e-13,2.0717069112475622e-13,1.4041156559999998e-13,1.322328197e-13,1.486729505e-13,2.5176383808e-13,2.3709900296000004e-13,2.665768484e-13,16.8435,3.820082419630921,286.5040768864356,16.972394077476466,1.107176068497521e-13,1.0422433809812538e-13,1.1727650769434972e-13,1.3844414814000001e-13,1.3032479760000001e-13,1.4664556673999999e-13,2.1690970888000002e-13,2.0418857920000001e-13,2.2975942008e-13
3,0.644678539156085,0.8643040833084007,130.62959775403456,-48.17518070525889,3,94.0,9.695359714832659,1.29515,3.7073233798863554,1.913343677269201,1.4155404123989581,1.1210155696555893e-15,4.501048538972611e-16,2.2250448789609253e-15,7.225468825e-16,2.901135968e-16,1.434145327e-15,6.157800025e-15,2.472450656e-15,1.222229359e-14,1.60601,3.7073233798863554,2.8700155159038014,1.7336758603331586,6.669033439505379e-15,3.273146744795571e-15,1.1701510952416384e-14,1.1068289011e-15,5.432291572000001e-16,1.9420461189999997e-15,1.4796200679000002e-14,7.261942308e-15,2.596146891e-14,5.20323,3.7073233798863554,26.82588117178816,5.196881694014639,6.296700033947079e-15,5.176734566005985e-15,7.578440937685462e-15,6.0603615324e-15,4.9824325215e-15,7.293993947099999e-15,1.1623980311999999e-14,9.55647567e-15,1.3990129397999999e-14,7.87688,3.7073233798863554,63.17144281086469,8.002257928122102,3.781963465999715e-14,3.307689787871997e-14,4.2610473575131486e-14,3.5826703920000004e-14,3.13338888e-14,4.0365086400000004e-14,3.9394769190000004e-14,3.44545041e-14,4.4385139800000005e-14,9.58253,3.7073233798863554,93.12923688088678,9.697314649967815,5.073903853793809e-14,4.550850345263214e-14,5.6022468960551674e-14,4.118109312e-14,3.693585792e-14,4.546925952e-14,7.387507021e-14,6.625951111e-14,8.156764390999999e-14,9.53505,3.7073233798863554,92.17277503684244,9.64551791504512,4.531831160328522e-14,4.062326548988864e-14,5.0060724935907404e-14,4.074094199999999e-14,3.652011835e-14,4.500434854999999e-14,6.38649132e-14,5.724841090999999e-14,7.054816783e-14
4,0.990654623994341,0.9553787653944634,130.64744417043465,-48.15703924833157,4,46.0,6.782329983125268,0.922835,2.837345338426979,1.0,1.0,4.0337801405442356e-16,9.736708909980831e-17,1.0293091786278284e-15,3.2438086920000003e-16,7.829881623e-17,8.277303036e-16,2.786321352e-15,6.725602038e-16,7.109921816e-15,0.889164,2.837345338426979,0.9584569732937686,1.0008625395467226,,,,3.438959908e-16,7.558161778e-17,8.918631736e-16,4.6349378740000004e-15,1.0186687609e-15,1.2020292508000001e-14,3.74827,2.837345338426979,13.958546977684698,3.7418870043146777,2.996277888507288e-15,2.262314037400985e-15,3.859754417064765e-15,2.9503839748e-15,2.2276622296999997e-15,3.8006346548999996e-15,5.673581627999999e-15,4.283789366999999e-15,7.308611738999999e-15,5.46797,2.837345338426979,30.542593406593408,5.569472153801649,2.05240211254761e-14,1.7003469770608876e-14,2.449399391279629e-14,1.6808419000999998e-14,1.3925216828999999e-14,2.0059680808999997e-14,1.8489506794e-14,1.5317942226e-14,2.2065942346e-14,6.69292,2.837345338426979,45.50359712230216,6.783843648803793,2.32011204663058e-14,1.97767374391543e-14,2.6660041180290824e-14,1.951868217e-14,1.663781079e-14,2.2428609479999997e-14,3.50541087e-14,2.98802769e-14,4.0280122799999997e-14,6.69913,2.837345338426979,45.54496402877698,6.783717522897328,2.376897676768529e-14,2.026398040718504e-14,2.730912855808022e-14,1.9527982e-14,1.664836684e-14,2.243647996e-14,3.0646494e-14,2.6127332280000002e-14,3.521098332e-14
5,1.00616656422632e-07,1.5154705223386452e-08,130.61957984727195,-48.15548620192232,5,210.0,14.491376746189438,8.08024,2.500032264430643,65.79286892003297,8.124566490395514,4.2931124362520315e-14,3.7682696041931116e-14,4.823245000016088e-14,2.4408896870000002e-14,2.1424853300000002e-14,2.742301571e-14,2.0847007309999997e-13,1.8298412899999998e-13,2.342128823e-13,8.31798,2.500032264430643,69.75144270403958,8.367215593507149,1.4951312982223878e-13,1.3175719100492938e-13,1.6744838949810173e-13,2.620914597e-14,2.309658995e-14,2.935313633e-14,3.511637388e-13,3.09460098e-13,3.9328855319999995e-13,9.02144,2.500032264430643,81.87495459498729,9.055672924624188,1.8410274912728443e-14,1.6394418401462232e-14,2.044653262062277e-14,1.8052500664e-14,1.60758191e-14,2.004918696e-14,3.4651573720000003e-14,3.08573555e-14,3.84841908e-14,7.72818,2.500032264430643,60.502012822424334,7.811572564839456,2.7931776443545342e-14,2.4361527376072166e-14,3.1538175573900364e-14,3.3084610099999996e-14,2.88557241e-14,3.73563151e-14,3.6383335569999996e-14,3.173280537e-14,4.1080954069999994e-14,14.3843,2.500032264430643,208.9292438029495,14.492898153171861,1.9432237841625503e-13,1.8097732438908564e-13,2.0780199805423068e-13,9.019996199999999e-14,8.400549599999999e-14,9.645689025e-14,1.6186305544e-13,1.5074713952e-13,1.7309105933e-13,14.2511,2.500032264430643,205.01160966426107,14.354118043636731,8.799063471794261e-14,8.18914939715256e-14,9.415139578020198e-14,8.846974592e-14,8.233739520000001e-14,9.466405248e-14,1.3873261760000001e-13,1.29116256e-13,1.484461344e-13
6,0.0125546546627882,0.0001364701786952,130.54452069483898,-48.15358729208979,6,119.0,10.908712114635714,5.20854,3.80912745000281,27.66801477052928,5.292804244828383,1.3942890030307541e-14,1.1432110607964042e-14,1.67742120545199e-14,1.1176076506000001e-14,9.163533708000001e-15,1.3445553743999999e-14,9.392272763999999e-14,7.700950151999999e-14,1.1299520735999998e-13,5.34554,3.80912745000281,29.543520309477756,5.478954559434751,4.219287263217168e-14,3.489928569831411e-14,5.05843914156103e-14,1.208783625e-14,9.998296499999999e-15,1.4491922499999998e-14,1.592265276e-13,1.3170215088e-13,1.908942552e-13,7.5823,3.80912745000281,57.87473233404711,7.616116507952796,1.261450854830824e-14,1.0971047972979627e-14,1.427447411833813e-14,1.3960071818000002e-14,1.2141306737e-14,1.5797102447000002e-14,2.6653498300000003e-14,2.318099095e-14,3.016087945e-14,5.47795,3.80912745000281,31.10538865045303,5.6602218089919,1.5297940759999464e-14,1.267862224671297e-14,1.8251639191291657e-14,1.8627059424e-14,1.5437728104000002e-14,2.2223538000000003e-14,2.0468378e-14,1.69637755e-14,2.4420375e-14,10.7475,3.80912745000281,117.52998790113499,10.91154164251362,6.992619859428421e-14,6.349898198520574e-14,7.641808550977526e-14,5.541846102e-14,5.0324712750000005e-14,6.056346231000001e-14,9.922107527999999e-14,9.0101241e-14,1.0843267284e-13,10.6664,3.80912745000281,115.65598893818056,10.819262864409787,4.154678753240386e-14,3.7699102783418734e-14,4.5433386079029825e-14,5.4509756250000004e-14,4.9461559500000005e-14,5.960900825e-14,8.528547975e-14,7.738711602000001e-14,9.326372407e-14
7,0.0475909347350783,0.2574621556521964,130.65270252720407,-48.14679738726366,7,6.0,2.449489742783178,0.0,2.40232939806607,-0.04120317820658343,0.04120317820658343,,,,0.0,,4.158201535e-16,0.0,,3.583747449e-15,0.0,2.40232939806607,-0.08240635641316686,0.05827009343262583,,,,0.0,,4.2746341699999996e-16,0.0,,5.782193538e-15,0.849279,2.40232939806607,0.9164835164835164,1.0017422330667103,3.1239575275145487e-16,5.67993797244673e-17,8.342403673699165e-16,1.9822625865e-16,3.6041234355e-17,5.293552981499999e-16,3.8160711140000006e-16,6.938329678000001e-17,1.0190665334000002e-15,2.27567,2.40232939806607,5.66930775646372,2.452278465018172,2.5307733301247005e-15,1.5624760639746082e-15,3.796159995187051e-15,3.0787099719999997e-15,1.9007670825e-15,4.618064958e-15,3.387170384e-15,2.09120769e-15,5.0807555760000005e-15,2.23609,2.40232939806607,5.586576716830998,2.4529761273005946,,,,2.406626478e-15,1.4801866023999998e-15,3.641902985999999e-15,4.324184838e-15,2.6595736904e-15,6.543708306e-15,2.27567,2.40232939806607,5.669261373464798,2.4522792469221972,2.551382932262263e-15,1.575204520352638e-15,3.8270909808900294e-15,2.4476048799999997e-15,1.511132736e-15,3.6714232279999996e-15,3.8428073599999995e-15,2.372520192e-15,5.7642360159999994e-15
8,5.63446316513561e-18,2.385059133041288e-21,130.63608195347942,-48.144492795654386,8,199.0,14.106735979665885,5.32169,1.9677885324619684,27.837640821736247,5.292125293839104,2.8559104620077776e-14,2.3548731361488422e-14,3.418184918120087e-14,1.0125010071e-14,8.348691087e-15,1.2118431995999998e-14,8.701402152000001e-14,7.174839144e-14,1.0414542752e-13,5.32169,1.9677885324619684,27.837640821736247,5.292125293839104,2.8559104620077776e-14,2.3548731361488422e-14,3.418184918120087e-14,1.0252664478e-14,8.453949965999999e-15,1.2271219127999999e-14,1.3826241357000001e-13,1.1400583029e-13,1.6548365331999998e-13,9.8984,1.9677885324619684,98.71048158640227,9.950476089915155,2.2148710996758568e-14,1.9938356969345816e-14,2.4381365525073858e-14,2.2201045434999998e-14,1.9985468636999997e-14,2.4438975427e-14,4.26979815e-14,3.84368913e-14,4.70020623e-14,8.53915,1.9677885324619684,73.62584522915101,8.603229314833854,3.620522132614818e-14,3.201696511938259e-14,4.043594957767161e-14,4.017261384e-14,3.55254057e-14,4.486694814e-14,4.41912596e-14,3.9079170500000003e-14,4.93551891e-14,14.0282,1.9677885324619684,198.3403041825095,14.107700021999543,8.663847662547215e-14,8.053760079491382e-14,9.280088122122301e-14,8.517772345000001e-14,7.917971039000001e-14,9.123622788000001e-14,1.5298942745e-13,1.4221627518999998e-13,1.6387122948e-13,14.0282,1.9677885324619684,198.3403041825095,14.107700021999543,8.663847662547215e-14,8.053760079491382e-14,9.280088122122301e-14,8.514553435e-14,7.914978797000001e-14,9.120174924000001e-14,1.336276838e-13,1.2421793955999999e-13,1.4313232752e-13
9,0.896888273600609,0.6468902143202885,130.63384634336762,-48.14100537908904,9,15.0,3.872983346207417,2.20497,1.740430385839003,4.9589093701996925,2.236445492261635,1.983721798663153e-15,1.2133400248504607e-15,3.0140866855944448e-15,1.785182548e-15,1.0919038338000001e-15,2.712424168e-15,1.53448844e-14,9.385672140000001e-15,2.33151704e-14,2.14528,1.740430385839003,4.876728110599078,2.2372003306749617,1.302776823596821e-15,7.816660941580926e-16,1.9996080522989913e-15,1.8874059220000002e-15,1.1324435532e-15,2.896944443e-15,2.5458350720000003e-14,1.5275010432000002e-14,3.9075551679999995e-14,1.91764,1.740430385839003,3.9170403587443947,2.000860102815444,9.04437363318908e-16,5.061079304467271e-16,1.457406562735455e-15,8.599061399999999e-16,4.8118900716e-16,1.3856491368e-15,1.6539351999999999e-15,9.255143088e-16,2.665144224e-15,2.16683,1.740430385839003,5.415360295086287,2.4544682808613354,2.502351065064328e-15,1.5082668493352176e-15,3.827792034999218e-15,2.940889056e-15,1.7725911974e-15,4.498614068e-15,3.2350066560000006e-15,1.9498676124e-15,4.9485193680000005e-15,3.72598,1.740430385839003,14.585729221118662,3.875198321095773,5.194336102563476e-15,3.933846263372083e-15,6.718011362667111e-15,6.329292277e-15,4.7933869279999995e-15,8.185888744000001e-15,1.1368196098e-14,8.609519072e-15,1.4702874256000002e-14,3.75579,1.740430385839003,14.66858337689493,3.874755427412006,5.851036907274066e-15,4.426973456803209e-15,7.538238997018631e-15,6.376422286000001e-15,4.824487122e-15,8.215124242000002e-15,1.0007826974000001e-14,7.572056898e-15,1.2893678978e-14
10,0.139597800975102,0.5373568347723688,130.6156803244671,-48.137071705999354,10,5.0,2.23606797749979,1.68053,1.4000440936818304,2.9584295612009237,1.732549595648548,1.6336708683676928e-15,8.370032709596959e-16,2.8034670955755177e-15,1.0701416284e-15,5.482818239e-16,1.836420604e-15,9.17139418e-15,4.6989189050000004e-15,1.57386058e-14,1.68053,1.4000440936818304,2.9584295612009237,1.732549595648548,1.6336708683676928e-15,8.370032709596959e-16,2.8034670955755177e-15,1.0837259368e-15,5.552416778000001e-16,1.859732008e-15,1.457334138e-14,7.466580105e-15,2.50086378e-14,0.807367,1.4000440936818304,0.8761869978086194,1.0025516876968892,2.5269784297735885e-16,3.609970761218566e-17,6.919098675642004e-16,1.8603224388e-16,2.6576046441000003e-17,5.0937334371e-16,3.57485582e-16,5.1069391150000006e-17,9.788283065e-16,0.479424,1.4000440936818304,0.7104896080345934,1.005969061371455,4.45673614533558e-16,0.0,1.3632359393645725e-15,3.7065857559999996e-16,0.0,1.1337783414e-15,4.076840284e-16,0.0,1.2470325846e-15,2.09757,1.4000440936818304,4.792873696407879,2.2379857598134865,2.397205262718322e-15,1.4247538948647112e-15,3.731491173942859e-15,2.024512947e-15,1.203248112e-15,3.151358088e-15,3.634737381e-15,2.160268176e-15,5.657834424e-15,2.09757,1.4000440936818304,4.792873696407879,2.2379857598134865,2.397205262718322e-15,1.4247538948647112e-15,3.731491173942859e-15,2.0236153860000003e-15,1.202714656e-15,3.1499609440000003e-15,3.1748014800000004e-15,1.88691008e-15,4.9418979200000005e-15
