name,ra,dec,PU,significance,flux_significance_b_max,Fcsc_s,e_Fcsc_s,Fcsc_m,e_Fcsc_m,Fcsc_h,e_Fcsc_h,flux_aper90_ave_b,e_flux_aper90_ave_b,var_intra_prob,var_inter_prob,CSC_flags,DR3Name_gaia,_r_gaia,PU_gaia,RA_ICRS_gaia,DE_ICRS_gaia,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,Plx,e_Plx,PM,rgeo,b_rgeo,B_rgeo,rpgeo,b_rpgeo,B_rpgeo,cp_flag_gaia,_2MASS_2mass,_r_2mass,PU_2mass,RAJ2000_2mass,DEJ2000_2mass,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,cp_flag_2mass,Name_catwise,_r_catwise,PU_catwise,RA_ICRS_catwise,DE_ICRS_catwise,W1mag_catwise,e_W1mag_catwise,W2mag_catwise,e_W2mag_catwise,cp_flag_catwise,objID_unwise,_r_unwise,PU_unwise,RAJ2000_unwise,DEJ2000_unwise,W1mag_unwise,e_W1mag_unwise,W2mag_unwise,e_W2mag_unwise,cp_flag_unwise,AllWISE_allwise,_r_allwise,PU_allwise,RAJ2000_allwise,DEJ2000_allwise,W1mag_allwise,e_W1mag_allwise,W2mag_allwise,e_W2mag_allwise,W3mag,e_W3mag,W4mag,e_W4mag,cp_flag_allwise,gaia_precomputed,cp_flag_wise12,which_wise12,W1mag,e_W1mag,W2mag,e_W2mag
IC2395_CXO_noconversion-141.0,130.5860519083392,-47.96367742427712,2.4132261052696964,7.383049,6.03985,1.1237714199721644e-12,6.875887657174618e-13,3.376925360248367e-15,9.014314452883698e-16,1.949989548755603e-14,3.301312932006772e-15,1.146648240819969e-12,6.875972818347875e-13,0.5924135642377114,,,Gaia DR3 5329123888205164416,0.7318653716345428,0.0090034660681317,130.5863375057,-47.96374640187,20.824003,0.013741,21.523256,0.218377,19.888735,0.092519,1.2155,1.2109,8.988,5611.154296875,2669.693115234375,9468.8408203125,6205.560546875,5164.650390625,9273.201171875,0,,,,,,,,,,,,-8,J084220.65-475750.3,1.102,0.099184835293708,130.5860602,-47.9639835,15.631,0.026,14.594,0.018,0,1304m485o0136335,0.172,0.1872036098803652,130.5860158,-47.9637185,15.929097222820726,-0.0217939599392074,14.515965560614008,-0.0197779551464216,0,,,,,,,,,,,,,,-8,True,0.0,catwise,15.631,0.026,14.594,0.018
IC2395_CXO_noconversion-129.0,130.47546193912203,-48.18229715188544,1.9731966862017656,5.0698414,3.21925,7.071498599812541e-13,4.772543945787012e-13,1.2374303516970477e-15,4.821595680744301e-16,6.60414651141149e-15,1.8866277253392075e-15,7.149914368443626e-13,4.772583671206883e-13,0.8039445049185452,,,,,,,,,,,,,,,,,,,,,,,-8,,,,,,,,,,,,-8,,,,,,,,,,-8,,,,,,,,,,-8,,,,,,,,,,,,,,-8,,,,,,,
IC2395_CXO_noconversion-82.0,130.79768569912983,-48.17047387298619,1.991006015882325,7.9161158,4.29233,6.544322962716035e-13,2.556160051038575e-13,5.044073603663249e-15,1.046296008195952e-15,3.458523397958975e-15,1.1262710473124977e-15,6.629348932732258e-13,2.556206276634655e-13,0.4424299767383013,0.725,,Gaia DR3 5329106257355993984,0.2848698209356395,0.0027508682193082,130.79780427161,-48.17047675661,17.586832,0.003094,19.000807,0.035135,16.398457,0.007529,1.3437,0.0723,5.537,741.5319213867188,703.4283447265625,788.3271484375,728.0615844726562,699.2266845703125,756.9580688476562,0,08431148-4810137,0.418,0.1200314447631119,130.797856,-48.170498,14.54800033569336,0.0230000000447034,13.798999786376951,0.0320000015199184,13.66100025177002,0.0610000006854534,0,J084311.46-481013.7,0.171,0.172821838122154,130.7977571,-48.1704736,13.664,0.039,13.524,0.029,0,1304m485o0098519,0.089,0.0880428743960577,130.7976548,-48.1704874,13.626593994365678,-0.0044990122856163,13.500182438803842,-0.0101870643388892,0,,,,,,,,,,,,,,-8,True,0.0,catwise,13.664,0.039,13.524,0.029
IC2395_CXO_noconversion-78.0,130.6938429527593,-48.21748004299035,1.3254427952978036,10.668064,5.30832,4.030934690357579e-13,1.473664605931781e-13,4.30370025388777e-15,8.5121482716828675e-16,6.1131462290601e-15,1.880529468063102e-15,4.135103155187058e-13,1.473809168974157e-13,0.234746356357589,,,Gaia DR3 5329108598132012544,0.2897706264801203,0.0061425468105664,130.69376021495,-48.21753869259,15.539557,0.003725,16.465145,0.007261,14.507289,0.005974,1.317,0.2347,5.321,812.2284545898438,697.53271484375,1062.9149169921875,864.1285400390625,709.4925537109375,1037.8848876953125,0,08424650-4813032,0.357,0.1201563166727409,130.693784,-48.217571,13.128999710083008,0.0240000002086162,12.428999900817873,0.0209999997168779,12.223999977111816,0.0260000005364418,0,J084246.50-481303.3,0.446,0.0406642402653732,130.6937471,-48.2175861,12.146,0.011,12.131,0.008,0,1304m485o0033810,0.37,0.0281742867941674,130.693734,-48.2175528,12.14472989240455,-0.0017278289689757,12.071189366373671,-0.0036771290698198,0,J084246.50-481303.2,0.348,0.0896097117301467,130.6937562,-48.2175575,12.2,0.025,12.132,0.023,10.566,,7.597,,0,True,0.0,allwise,12.2,0.025,12.132,0.023
IC2395_CXO_noconversion-108.0,130.75106341514618,-48.2183949771552,1.9569593610975955,9.683431,4.84933,3.372907253753645e-13,1.5369622991017916e-13,3.672560533614267e-15,8.831414423801441e-16,6.451222622598015e-15,2.2928446516716404e-15,3.474145085315769e-13,1.5371586828953804e-13,0.3215628124331235,,,Gaia DR3 5329105505755618304,0.3929258295276075,0.0029287889715716,130.75095915483,-48.21847916194,10.333393,0.002773,10.338595,0.00284,10.297071,0.003796,1.4536,0.0167,5.646,684.0032348632812,676.7658081054688,693.0256958007812,682.7327270507812,674.5005493164062,691.106201171875,0,08430023-4813065,0.408,0.1200357314777562,130.750993,-48.218498,10.208000183105469,0.0230000000447034,10.173999786376951,0.0219999998807907,10.138999938964844,0.0189999993890523,0,J084300.23-481306.5,0.409,0.0391098047987969,130.750957,-48.2184836,10.15,0.011,10.161,0.008,0,1304m485o0033765,0.445,0.0113831819540935,130.7509398,-48.218487,10.14412374346767,-0.0005987869951327,10.150472827560874,-0.0012505297160209,0,J084300.23-481306.5,0.367,0.079653856349834,130.750969,-48.2184754,10.129,0.023,10.156,0.021,10.59,0.25,9.161,,0,True,0.0,allwise,10.129,0.023,10.156,0.021
IC2395_CXO_noconversion-18.0,130.54909998755394,-48.10913794331399,0.1083216286485986,200.39622,25.1472,9.801146379622181e-14,8.150140921458703e-15,6.076914267019607e-14,2.905217938044288e-15,1.2448156636128537e-13,6.331053010993062e-15,2.8326217282770324e-13,1.0721348820702287e-14,1.0,0.985,,Gaia DR3 5329116157274185088,0.0275004266501072,0.0028584774828569,130.54908862481,-48.10913705397,10.337222,0.002785,10.349617,0.002867,10.291006,0.003792,1.4137,0.0215,4.332,702.3665771484375,691.4437255859375,710.9074096679688,707.1399536132812,697.0555419921875,716.928466796875,0,08421178-4806329,0.102,0.1400291723026313,130.549113,-48.109165,10.210000038146973,0.0260000005364418,10.06700038909912,0.0209999997168779,10.029999732971191,0.0209999997168779,0,,,,,,,,,,-8,1304m485o0037241,0.073,0.0061983139449369,130.5490696,-48.1091401,10.04673080539825,-0.0005662756807443,10.03412978939324,-0.0011765382814205,0,J084211.78-480632.9,0.046,0.0772528905333645,130.5490837,-48.1091445,10.027,0.023,10.047,0.021,10.656,0.114,9.211,,0,True,0.0,allwise,10.027,0.023,10.047,0.021
IC2395_CXO_noconversion-116.0,130.80745433940547,-48.12243840769288,2.5629981779675,4.7491536,3.22918,1.982218937441989e-13,1.402804817953992e-13,1.632183143672733e-15,6.071107947883678e-16,9.519947605904155e-15,3.446545386496635e-15,2.0937402449377579e-13,1.40324127759155e-13,0.9779443530741562,,,,,,,,,,,,,,,,,,,,,,,-4,,,,,,,,,,,,-4,,,,,,,,,,-4,,,,,,,,,,-4,,,,,,,,,,,,,,-8,True,,,,,,
IC2395_CXO_noconversion-40.0,130.72723007809142,-48.10835283091529,0.4417375429772175,34.183136,8.38197,1.2893499637859368e-13,2.2245785305271555e-14,7.923013794126974e-15,1.0555045606711548e-15,1.0145189020837312e-14,1.8960281111732426e-15,1.4700319919355798e-13,2.235137526695377e-14,0.999979265718721,0.043,,,,,,,,,,,,,,,,,,,,,,-4,,,,,,,,,,,,-4,,,,,,,,,,-4,,,,,,,,,,-4,J084254.52-480630.4,0.439,0.0838819619603642,130.7271902,-48.1084719,12.149,0.024,12.195,0.022,12.579,,8.783,,0,True,0.0,allwise,12.149,0.024,12.195,0.022
IC2395_CXO_noconversion-2.0,130.61490129908267,-48.17744098058,0.2169805460120619,81.80931,16.9589,9.207744716931904e-14,8.709867986151234e-15,2.8449713776788464e-14,2.054594580602845e-15,2.0658809933363563e-14,2.4989358976408703e-15,1.4118597087947114e-13,9.29127762190663e-15,0.9999308525434456,1.0,,,,,,,,,,,,,,,,,,,,,,-4,08422759-4810388,0.207,0.1413199663883345,130.614987,-48.177448,11.19200038909912,0.0240000002086162,10.631999969482422,0.0219999998807907,10.491999626159668,0.0209999997168779,0,J084227.58-481038.7,0.077,0.0460279578082712,130.6149315,-48.1774337,10.491,0.012,10.482,0.008,0,1304m485o0035062,0.068,0.0221885758894075,130.6149266,-48.1774325,10.471612662656293,-0.0006952655620421,10.457310582177264,-0.0014545320995444,0,J084227.58-481038.7,0.119,0.0785988097874261,130.6149447,-48.1774252,10.478,0.022,10.484,0.02,10.374,0.086,8.165,0.217,0,True,0.0,allwise,10.478,0.022,10.484,0.02
IC2395_CXO_noconversion-107.0,130.63815434023763,-48.22051209956987,1.7127909494181606,4.7596087,3.73592,1.1162611498152917e-13,4.982824808368391e-14,1.616075444557907e-15,5.275056131501923e-16,2.821738265782592e-15,9.998721694589895e-16,1.1606392869186965e-13,4.984107055046382e-14,0.9682745417794584,0.64,,Gaia DR3 5329102963134866176,0.4398509105157825,0.0027357286122713,130.6381666809,-48.22063400341,17.413223,0.003316,18.899015,0.021729,16.234291,0.006474,1.3526,0.0662,5.524,731.3782348632812,694.682861328125,769.722412109375,726.05615234375,697.2054443359375,753.2769165039062,0,08423316-4813142,0.448,0.1400266693626611,130.638192,-48.220634,14.493000030517578,0.0289999991655349,13.77299976348877,0.0419999994337558,13.571999549865724,0.0489999987185001,0,J084233.13-481314.1,0.413,0.0662563818269606,130.6380569,-48.2206066,13.279,0.016,13.218,0.013,0,1304m485o0033723,0.468,0.0660565525349302,130.6380022,-48.2205934,13.304997665767402,-0.0033287096544714,13.15983298178282,-0.0073381698064651,0,J084233.13-481314.2,0.479,0.1128330985695243,130.6380678,-48.2206319,13.298,0.028,13.234,0.032,11.996,,9.284,,0,True,0.0,allwise,13.298,0.028,13.234,0.032
