name,usrid,ra,dec,significance,net_counts,remove_code,flux_significance_b_max,theta_mean,theta_median,e_theta,NET_COUNTS_broad,NET_ERR_broad,flux_aper90_ave_s,e_flux_aper90_ave_s,flux_aper90_ave_m,e_flux_aper90_ave_m,flux_aper90_ave_h,e_flux_aper90_ave_h,chisqr,dof,kp_prob_b_max,var_inter_prob,significance_max,flux_flag,flux_aper90_ave_b,e_flux_aper90_ave_b,ra_ave,dec_ave,PU_ave,PU,err_ellipse_r0
IC2395_CXO_noconversion-141.0,141.0,130.5860519083392,-47.963677424277115,7.383049,54.691402,0,6.03985,9.102919934138395,9.102919934138395,0.00041647878949113704,68.0852135446427,9.425043440567727,1.1237714199721644e-12,6.875887657174614e-13,3.376925360248367e-15,9.014314452883698e-16,1.949989548755603e-14,3.301312932006772e-15,,0.0,0.5924135642377114,,3.91476,0,1.146648240819969e-12,6.875972818347871e-13,130.58605260069882,-47.96367711962973,2.1622839096560096,2.4132261052696964,2.4132261052696964
IC2395_CXO_noconversion-129.0,129.0,130.47546193912203,-48.18229715188544,5.0698414,27.745443,0,3.21925,7.063151459785947,7.063151459785947,0.009900433280741971,25.894474390918166,6.1219305775231225,7.071498599812541e-13,4.772543945787012e-13,1.2374303516970477e-15,4.8215956807443e-16,6.60414651141149e-15,1.8866277253392075e-15,,0.0,0.8039445049185452,,3.21925,0,7.149914368443626e-13,4.772583671206883e-13,130.4754619590305,-48.182297144191985,2.037759739013057,1.9731966862017656,1.9731966862017656
IC2395_CXO_noconversion-82.0,82.0,130.79768569912983,-48.17047387298619,7.9161158,43.050816,0,4.29233,7.923376086524999,7.923376086524999,0.008832180184154659,43.821196923087584,7.308561932608304,6.544322962716035e-13,2.556160051038575e-13,5.0440736036632485e-15,1.046296008195952e-15,3.458523397958975e-15,1.1262710473124977e-15,1.1930259781020198,1.0,0.4424299767383013,0.725,4.29233,0,6.629348932732258e-13,2.556206276634655e-13,130.79768526645213,-48.17047395539439,1.9708547883373626,1.991006015882325,1.991006015882325
IC2395_CXO_noconversion-78.0,78.0,130.6938429527593,-48.21748004299035,10.668064,56.9382,0,5.30832,6.905818393839999,6.905818393839999,0.002847416439046402,58.42866107571575,8.271194625653271,4.030934690357579e-13,1.4736646059317808e-13,4.30370025388777e-15,8.512148271682864e-16,6.1131462290601e-15,1.880529468063102e-15,,0.0,0.234746356357589,,5.30832,0,4.135103155187058e-13,1.473809168974157e-13,130.6938435851254,-48.21747978310303,1.309133863923811,1.3254427952978036,1.3254427952978036
IC2395_CXO_noconversion-108.0,108.0,130.75106341514618,-48.2183949771552,9.683431,51.81749,0,4.84933,8.206508463603047,8.206508463603047,0.005376104281999083,50.64063607964137,8.034674196537178,3.372907253753644e-13,1.5369622991017916e-13,3.672560533614267e-15,8.831414423801441e-16,6.451222622598015e-15,2.2928446516716404e-15,,0.0,0.32156281243312357,,4.84933,0,3.474145085315767e-13,1.5371586828953802e-13,130.75106374311434,-48.21839472009787,1.9760835753972543,1.9569593610975953,1.9569593610975953
IC2395_CXO_noconversion-18.0,18.0,130.54909998755394,-48.10913794331399,200.39622,1008.48914,0,25.1472,2.8118899493156673,2.8118899493156673,0.01053168227595691,977.6746823849345,31.32309882742964,9.801146379622181e-14,8.150140921458703e-15,6.076914267019607e-14,2.905217938044288e-15,1.2448156636128537e-13,6.331053010993062e-15,5.917539583724819,1.0,1.0,0.985,25.1472,0,2.8326217282770324e-13,1.0721348820702287e-14,130.54909983259952,-48.109137870692884,0.17562066409316582,0.10832162864859861,0.10832162864859861
IC2395_CXO_noconversion-116.0,116.0,130.80745433940547,-48.122438407692876,4.7491536,21.423208,0,3.22918,7.5687936931669695,7.5687936931669695,0.010619322157987554,20.169285788775294,5.514481299920853,1.982218937441989e-13,1.4028048179539915e-13,1.6321831436727327e-15,6.071107947883678e-16,9.519947605904157e-15,3.446545386496635e-15,,0.0,0.9779443530741562,,3.22918,0,2.0937402449377579e-13,1.4032412775915495e-13,130.80745473869516,-48.12243845754365,2.6335153224586803,2.5629981779674993,2.5629981779674993
IC2395_CXO_noconversion-40.0,40.0,130.72723007809142,-48.10835283091529,34.183136,134.19064,0,8.38197,4.350350335389777,4.350350335389777,0.010899375370614361,130.71312804731335,11.53668440601985,1.2893499637859368e-13,2.2245785305271555e-14,7.923013794126974e-15,1.0555045606711548e-15,1.0145189020837311e-14,1.8960281111732426e-15,0.002924714475259731,1.0,0.999979265718721,0.043,8.38197,0,1.4700319919355796e-13,2.235137526695377e-14,130.72722982659783,-48.108353035131046,0.45793878724742854,0.44173754297721757,0.44173754297721757
IC2395_CXO_noconversion-2.0,2.0,130.61490129908267,-48.17744098058,81.80931,425.1378,0,16.9589,3.8224621297413846,3.8224621297413846,0.0024616464790681025,411.67346576678756,20.349365013761794,9.207744716931904e-14,8.709867986151234e-15,2.8449713776788464e-14,2.054594580602845e-15,2.065880993336356e-14,2.49893589764087e-15,21.69984973970101,1.0,0.9999308525434456,1.0,16.9589,0,1.4118597087947107e-13,9.29127762190663e-15,130.61490148633268,-48.17744031550742,0.2535043435188313,0.2169805460120619,0.2169805460120619
IC2395_CXO_noconversion-107.0,107.0,130.63815434023763,-48.22051209956987,4.7596087,26.632046,0,3.73592,6.449310208950735,6.449310208950735,0.0007107151922434163,24.9250401749933,5.773742991806359,1.1162611498152914e-13,4.9828248083683905e-14,1.616075444557907e-15,5.275056131501923e-16,2.8217382657825913e-15,9.998721694589897e-16,0.8387118619942988,1.0,0.9682745417794584,0.64,3.73592,0,1.1606392869186965e-13,4.984107055046382e-14,130.63815442671316,-48.220511892581364,1.769289900652004,1.7127909494181606,1.7127909494181606
IC2395_CXO_noconversion-11.0,11.0,130.57924570738476,-48.136808237791385,106.0685,395.31366,0,14.9434,2.105982111089305,2.105982111089305,0.009456554174943177,366.0032193279138,19.185491015775053,5.841202750786885e-14,5.8828831560471806e-15,2.3173456505117492e-14,1.7952229823666177e-15,2.868304327494451e-14,3.0004595513018815e-15,1.244820703900411,1.0,0.9922859157010131,0.735,14.9434,0,1.1026852728793086e-13,6.8435295939390526e-15,130.57924602424774,-48.13680805335979,0.18056277680153096,0.1780837193199427,0.1780837193199427
