name,usrid,ra,dec,significance,net_counts,remove_code,flux_significance_b_max,theta_mean,theta_median,e_theta,NET_COUNTS_broad,NET_ERR_broad,flux_aper90_ave_s,e_flux_aper90_ave_s,flux_aper90_ave_m,e_flux_aper90_ave_m,flux_aper90_ave_h,e_flux_aper90_ave_h,chisqr,dof,kp_prob_b_max,var_inter_prob,significance_max,flux_flag,flux_aper90_ave_b,e_flux_aper90_ave_b,ra_ave,dec_ave,PU_ave,PU,err_ellipse_r0
IC2395_CXO_noconversion-141.0,141.0,130.58605197007458,-47.96367741583811,7.399621,54.76921,0,6.03983,9.102919934138395,9.102919934138395,0.00041647878949113704,68.00154211128083,9.42522913761447,7.989333895487519e-13,5.0089419546136e-13,3.32920276252244e-15,8.885723470257815e-16,1.951693462578809e-14,3.303517394679297e-15,,0.0,0.5924135642377114,,3.9114,0,8.217795269370624e-13,5.009058772213359e-13,130.5860526769488,-47.96367709695328,2.1636243071407906,2.411525647829171,2.411525647829171
IC2395_CXO_noconversion-82.0,82.0,130.79768576083043,-48.17047386454723,8.029769,43.374706,0,4.30227,7.923376086524999,7.923376086524999,0.008832180184154659,43.86602328006485,7.3084244589955185,5.240597231263155e-13,2.0959570644310018e-13,4.9616739046728934e-15,1.0285947378758086e-15,3.609942034518387e-15,1.1633852794920888e-15,1.4966353585806926,1.0,0.4424299767383013,0.779,4.30227,0,5.326313390655067e-13,2.0960145904030714e-13,130.7976853297787,-48.17047394429146,1.9698777902746827,1.9836205446375124,1.9836205446375124
IC2395_CXO_noconversion-78.0,78.0,130.69384301447698,-48.21748003455136,10.668069,56.938213,0,5.30832,6.905818393839999,6.905818393839999,0.002847416439046402,58.42976769881718,8.271188851980064,3.8117682543127703e-13,1.393539809968193e-13,4.264059068528094e-15,8.431018906081712e-16,6.120760764481142e-15,1.882269692818209e-15,,0.0,0.234746356357589,,5.30832,0,3.915616452642863e-13,1.3936924258837143e-13,130.69384365206852,-48.21747976924969,1.3091430187175035,1.325442613387729,1.325442613387729
IC2395_CXO_noconversion-129.0,129.0,130.47546200087567,-48.18229714344647,5.069829,27.7454,0,3.21925,7.063151459785947,7.063151459785947,0.009900433280741971,25.894474390918166,6.1219305775231225,3.450220964595023e-13,2.328549025894159e-13,1.2285946083446557e-15,4.760631112561843e-16,6.64757610555744e-15,1.9027161759450125e-15,,0.0,0.8039445049185452,,3.21925,0,3.528982671734044e-13,2.3286316287652383e-13,130.47546202814777,-48.18229712816448,2.037773731108331,1.9731983110679456,1.9731983110679456
IC2395_CXO_noconversion-18.0,18.0,130.54910025136317,-48.10913807004356,200.41777,1008.49335,0,25.167,2.8118899493156673,2.8118899493156673,0.01053168227595691,977.6746823849345,31.323098827429646,9.210974975142462e-14,7.770058839586459e-15,6.013996381579186e-14,2.8865110336459915e-15,1.2405866995098915e-13,6.281086987974781e-15,10.014837496807708,1.0,1.0,0.998,25.167,0,2.763083835182056e-13,1.039989490660852e-14,130.5490998974412,-48.10913785918084,0.17579109195673553,0.17179349260558205,0.17179349260558205
IC2395_CXO_noconversion-116.0,116.0,130.8074544011045,-48.12243839925391,4.749144,21.423183,0,3.22918,7.5687936931669695,7.5687936931669695,0.010619322157987554,20.169285788775294,5.514481299920853,1.5880694608097632e-13,1.1238675248176161e-13,1.6631225634575176e-15,6.187511646436774e-16,9.51798439732765e-15,3.4458346381036618e-15,,0.0,0.9779443530741562,,3.22918,0,1.699880530417615e-13,1.1244126805916791e-13,130.80745478879888,-48.12243846116262,2.6335268743052445,2.562999585000232,2.562999585000232
IC2395_CXO_noconversion-2.0,2.0,130.61490136081335,-48.17744097214102,81.80928,425.13776,0,16.9589,3.822503097925687,3.822503097925687,0.002420678294765999,411.67346576678756,20.349365013761794,8.886308126214215e-14,8.3693820850432e-15,2.8231828990430488e-14,2.0406154402591424e-15,2.0654981227271548e-14,2.4980188147527214e-15,22.10916684118874,1.0,0.9999308525434456,1.0,16.9589,0,1.377498914798442e-13,8.969435091427143e-15,130.61490155855205,-48.17744118755921,0.253624184890672,0.21698288965278179,0.21698288965278179
IC2395_CXO_noconversion-53.0,53.0,130.71572038136011,-48.210846179326204,17.149721,113.31023,0,7.88824,6.993788538195884,6.993788538195884,0.004269748118599814,112.50632663621718,11.110219302670304,7.049202717311973e-14,3.1570275075272394e-14,3.886565826994842e-15,8.075469631041035e-16,4.192119080060392e-14,4.9278191203896506e-15,,0.0,0.02330810374958836,,7.88824,0,1.162997838007185e-13,3.1962756478583975e-14,130.71572053797738,-48.21084607888752,0.9710807981872399,0.9643977422575897,0.9643977422575897
IC2395_CXO_noconversion-40.0,40.0,130.72723013980365,-48.1083528224763,34.183174,134.19066,0,8.38197,4.350350335389777,4.350350335389777,0.010899375370614361,130.71312804731335,11.53668440601985,9.377825271496683e-14,1.6125258938228283e-14,7.860848345229775e-15,1.0479275811720078e-15,1.01363907432531e-14,1.8941533820551456e-15,0.430824581639241,1.0,0.999979265718721,0.488,8.38197,0,1.1177549180344971e-13,1.62699091907436e-14,130.72722988521758,-48.1083530299223,0.4579988051041346,0.44173754297721757,0.44173754297721757
IC2395_CXO_noconversion-11.0,11.0,130.5792457691213,-48.13680822935239,106.086174,395.3169,0,14.9434,2.105982111089305,2.105982111089305,0.009456554174943177,366.0032193279138,19.185491015775053,5.4540220934004047e-14,5.511617321860757e-15,2.312428516583752e-14,1.7902197924039347e-15,2.896373855564486e-14,3.0098575669048703e-15,0.8340169874976322,1.0,0.9922859157010131,0.639,14.9434,0,1.0662824465548643e-13,6.5300884359099485e-15,130.57924608831945,-48.13680804247673,0.18071440554475343,0.17808340158646593,0.17808340158646593
