ra,dec,COMPONENT,significance,net_counts,NET_COUNTS_ERR,KS,KP,ra.1,dec.1,NET_COUNTS_y,NET_ERR,SRC_SIGNIFICANCE_0.7-1.2,THETA_0.7-1.2,NET_COUNTS_0.7-1.2,NET_ERR_0.7-1.2,NET_FLUX_APER_0.7-1.2,NET_FLUX_APER_LO_0.7-1.2,NET_FLUX_APER_HI_0.7-1.2,NET_MFLUX_APER_0.7-1.2,NET_MFLUX_APER_LO_0.7-1.2,NET_MFLUX_APER_HI_0.7-1.2,NET_UMFLUX_APER_0.7-1.2,NET_UMFLUX_APER_LO_0.7-1.2,NET_UMFLUX_APER_HI_0.7-1.2,SRC_SIGNIFICANCE_soft,THETA_soft,NET_COUNTS_soft,NET_ERR_soft,NET_FLUX_APER_soft,NET_FLUX_APER_LO_soft,NET_FLUX_APER_HI_soft,NET_MFLUX_APER_soft,NET_MFLUX_APER_LO_soft,NET_MFLUX_APER_HI_soft,NET_UMFLUX_APER_soft,NET_UMFLUX_APER_LO_soft,NET_UMFLUX_APER_HI_soft,SRC_SIGNIFICANCE_medium,THETA_medium,NET_COUNTS_medium,NET_ERR_medium,flux_aper90_m.1,flux_aper90_lolim_m.1,flux_aper90_hilim_m.1,NET_MFLUX_APER_medium,NET_MFLUX_APER_LO_medium,NET_MFLUX_APER_HI_medium,NET_UMFLUX_APER_medium,NET_UMFLUX_APER_LO_medium,NET_UMFLUX_APER_HI_medium,SRC_SIGNIFICANCE_hard,THETA_hard,NET_COUNTS_hard,NET_ERR_hard,flux_aper90_h.1,flux_aper90_lolim_h.1,flux_aper90_hilim_h.1,NET_MFLUX_APER_hard,NET_MFLUX_APER_LO_hard,NET_MFLUX_APER_HI_hard,NET_UMFLUX_APER_hard,NET_UMFLUX_APER_LO_hard,NET_UMFLUX_APER_HI_hard,flux_significance_b,theta,NET_COUNTS_broad,NET_ERR_broad,NET_FLUX_APER_broad,NET_FLUX_APER_LO_broad,NET_FLUX_APER_HI_broad,NET_MFLUX_APER_broad,NET_MFLUX_APER_LO_broad,NET_MFLUX_APER_HI_broad,NET_UMFLUX_APER_broad,NET_UMFLUX_APER_LO_broad,NET_UMFLUX_APER_HI_broad,SRC_SIGNIFICANCE_0.7-7.0,THETA_0.7-7.0,NET_COUNTS_0.7-7.0,NET_ERR_0.7-7.0,NET_FLUX_APER_0.7-7.0,NET_FLUX_APER_LO_0.7-7.0,NET_FLUX_APER_HI_0.7-7.0,NET_MFLUX_APER_0.7-7.0,NET_MFLUX_APER_LO_0.7-7.0,NET_MFLUX_APER_HI_0.7-7.0,NET_UMFLUX_APER_0.7-7.0,NET_UMFLUX_APER_LO_0.7-7.0,NET_UMFLUX_APER_HI_0.7-7.0,obsid,name,usrid,PU.1,kp_prob_b,ks_prob_b,flux_aper90_s.1,flux_aper90_lolim_s.1,flux_aper90_hilim_s.1,flux_aper90_b.1,flux_aper90_lolim_b.1,flux_aper90_hilim_b.1,per_remove_code,flux_aper90_mean_s.1,e_flux_aper90_mean_s.1,flux_aper90_mean_m.1,e_flux_aper90_mean_m.1,flux_aper90_mean_h.1,e_flux_aper90_mean_h.1,flux_aper90_mean_b.1,e_flux_aper90_mean_b.1,flux_aper90_ave2_b,e_flux_aper90_ave2_b
130.60830585289628,-48.19215380879279,1,10.615701,41.361626,7.0001974,0.922288190937294,0.9569144927216694,130.60830582328205,-48.19215344297122,15.0,3.872983346207417,1.95202,4.724030433085292,3.958477900135767,2.000430974759473,4.167459451381878e-15,2.3814154686245654e-15,6.6811796946436095e-15,2.7325230060000002e-15,1.5614483190000001e-15,4.380721020999999e-15,2.309596638e-14,1.3197750870000001e-14,3.702694733e-14,1.92394,4.724030433085292,3.916955800271534,2.0008618566893293,3.2281398352937017e-15,1.8158364923392986e-15,5.212101708471122e-15,2.8120092e-15,1.581762e-15,4.540224e-15,3.7262727040000005e-14,2.09603744e-14,6.01637888e-14,1.89174,4.724030433085292,3.875398342893563,2.001293379538481,1.571083457903763e-15,8.673698153616904e-16,2.544830224519443e-15,1.5797591198999999e-15,8.721595083000002e-16,2.5588830023999998e-15,3.021746364e-15,1.668257388e-15,4.894604064e-15,2.33503,4.724030433085292,6.29133910286054,2.651328193978328,3.811831374286011e-15,2.3743127956853336e-15,5.653138095986929e-15,6.339003566e-15,3.948437326000001e-15,9.40106186e-15,6.967396331e-15,4.339850491e-15,1.0333000010000001e-14,3.58688,4.724030433085292,14.045946973296587,3.878089047443688,8.614659723692627e-15,6.4192270320154305e-15,1.121575949459785e-14,1.11897786e-14,8.338080849999999e-15,1.4568406599999998e-14,2.0050376892000003e-14,1.4940569387e-14,2.6104363052e-14,3.59681,4.724030433085292,14.087427539674998,3.8778672002165857,9.552171848960582e-15,7.124545417689517e-15,1.2428381898468371e-14,1.1214863024e-14,8.364673734000001e-15,1.4591718282e-14,1.7560651320000002e-14,1.3097718495e-14,2.2848257385e-14,21137.0,IC2395_CXO_noconversion-1.0,1.0,1.4996387553629504,0.043085507278330604,0.07771180906270603,3.2281398352937017e-15,1.8158364923392986e-15,5.212101708471122e-15,8.614659723692627e-15,6.4192270320154305e-15,1.121575949459785e-14,0,3.6842573506099056e-15,1.7090073941270891e-15,1.786538718507459e-15,8.436443580228764e-16,4.134007699500951e-15,1.6450410029317548e-15,9.604803768618316e-15,2.5176580342317358e-15,1.1648278485816226e-14,2.3901365786935884e-15
130.61490136081335,-48.17744097214102,2,81.80928,425.13776,21.023937,0.801088497873782,0.6364744436432392,130.6149022207888,-48.17744036758604,122.0,11.04536101718726,7.10805,3.824923776220453,50.87588171459577,7.141787949544375,4.9716680357352974e-14,4.2807380254659555e-14,5.669574612705677e-14,3.6928989010000004e-14,3.179683888e-14,4.2112960290000005e-14,3.135705415e-13,2.69992552e-13,3.575885535e-13,7.17775,3.824923776220453,51.87588171459577,7.211458598387515,7.301115618635971e-14,6.296324030300102e-14,8.31607509797022e-14,3.8146504910000006e-14,3.289671991e-14,4.3449414600000005e-14,5.079709428e-13,4.380631428e-13,5.78586168e-13,7.24086,3.824923776220453,52.8336258776329,7.280585147304326,2.1755998925789685e-14,1.878792004103761e-14,2.4753991947200163e-14,2.2811067937e-14,1.9699050451e-14,2.5954450262e-14,4.370060862999999e-14,3.773871949e-14,4.972258538e-14,3.96444,3.824923776220453,16.500526870389884,4.125625946520142,1.1823173483671698e-14,9.097025531652706e-15,1.505306916322837e-14,1.7682205757999998e-14,1.3605101664e-14,2.2512692265e-14,1.9439544264e-14,1.4957238912e-14,2.475010662e-14,10.9484,3.824923776220453,121.21094230017316,11.046844303033131,1.0305495570531793e-13,9.375665368993877e-14,1.1244708097619512e-13,1.017452679e-13,9.256513461000001e-14,1.1101803208000003e-13,1.824282375e-13,1.6596835125000002e-13,1.9905421e-13,10.9066,3.824923776220453,120.25247165279562,11.001411017152588,8.319920282343738e-14,7.566375157690977e-14,9.081070857927319e-14,1.008957242e-13,9.175747786000001e-14,1.1012620189000001e-13,1.580900618e-13,1.4377165594e-13,1.7255298181000002e-13,21137.0,IC2395_CXO_noconversion-2.0,2.0,0.4300210865088654,0.36352555635676076,0.198911502126218,7.301115618635971e-14,6.296324030300102e-14,8.31607509797022e-14,1.0305495570531793e-13,9.375665368993877e-14,1.1244708097619512e-13,0,7.309228421879505e-14,1.0098813374687607e-14,2.1779866953579172e-14,2.983052959017652e-15,1.2225106018013542e-14,2.982848555139087e-15,1.0709725719038777e-13,1.09444973404889e-14,1.3629224060250734e-13,9.012783852664024e-15
130.62959735291656,-48.17518050765273,3,35.089256,131.24124,11.747439,0.411648042383149,0.2043129162068298,130.62959674366482,-48.175180883203325,40.0,6.324555320336759,,3.708835580179749,0.0,0.0,0.0,,,,,,,,,0.0,3.708835580179749,-0.0433737741772936,0.0433737741772936,,,,0.0,,7.681418495999999e-16,0.0,,1.0268504172e-14,3.4496,3.708835580179749,11.912890862853256,3.4646491887184228,4.616558812255742e-15,3.4002231961154518e-15,6.0678698878885425e-15,4.665126882799999e-15,3.4359949228000002e-15,6.1317063394e-15,8.947905794e-15,6.590379994000001e-15,1.1760865687e-14,5.23625,3.708835580179749,28.43323545513363,5.387458527766969,2.989245904895537e-14,2.4560741447676892e-14,3.5905027097715835e-14,2.81799453e-14,2.31536773e-14,3.38480584e-14,3.0987300870000004e-14,2.5460303670000003e-14,3.722008536e-14,6.17022,3.708835580179749,39.3458437320023,6.326810257009245,2.3453101547071788e-14,1.9902964986378116e-14,2.7456376853336227e-14,3.0659835840000003e-14,2.6018803440000003e-14,3.589324872e-14,5.5002458760000005e-14,4.6676641410000006e-14,6.439098183000001e-14,6.18016,3.708835580179749,39.38945414986882,6.32665995290176,3.105342985288245e-14,2.631061626276008e-14,3.629566350846872e-14,3.0695465130000005e-14,2.600732376e-14,3.587726956e-14,4.811986803e-14,4.077048456e-14,5.624314436e-14,21137.0,IC2395_CXO_noconversion-3.0,3.0,0.700678839739269,0.7956870837931702,0.588351957616851,,,,2.3453101547071788e-14,1.9902964986378116e-14,2.7456376853336227e-14,0,,,4.804042103552375e-15,1.3361679660279796e-15,3.043569910921697e-14,5.6767739485753845e-15,,,,
130.6474432487236,-48.15703972144032,4,29.446436,78.02806,8.944308,0.993430032180938,0.9856466085366944,130.64744335063827,-48.15703950970543,32.0,5.656854249492381,0.922835,2.832345541895551,1.0,1.0,1.2748991394422259e-14,3.0773446871974044e-15,3.2532059716948165e-14,5.632068524999999e-16,1.359465672e-16,1.437155175e-15,4.837818165e-15,1.1677499471999998e-15,1.2344834550000001e-14,0.845813,2.832345541895551,0.9170084439083231,1.0017204196737026,9.448323106600332e-15,1.7178783808824316e-15,2.52312395792846e-14,5.778635147999999e-16,1.0506618242999999e-16,1.5431534910000001e-15,7.78888318e-15,1.4161617755e-15,2.079979435e-14,2.98484,2.832345541895551,8.917373342030876,3.0005688764471934,3.3892008916216205e-15,2.3689210145892398e-15,4.6440210385319684e-15,3.436668405e-15,2.4020989799999995e-15,4.7090629578e-15,6.608625300000001e-15,4.6191748e-15,9.055407428e-15,4.79084,2.832345541895551,22.87559429477021,4.796369348423649,2.3720280964368856e-14,1.9096752926058464e-14,2.8997024158955714e-14,2.173064998e-14,1.7494938370000002e-14,2.6564785780000002e-14,2.3904668960000003e-14,1.9245200240000003e-14,2.9222430560000005e-14,5.61534,2.832345541895551,31.751947968317342,5.657760596596825,3.411096440507953e-14,2.842580367089961e-14,4.0529679504526133e-14,2.392467936e-14,1.99372328e-14,2.84266248e-14,4.296692322e-14,3.5805769349999994e-14,5.105207835000001e-14,5.68908,2.832345541895551,31.87597398415867,5.657307441195133,3.9297870603204346e-14,3.2820113767887824e-14,4.6567161691646815e-14,2.33996633e-14,1.954252482e-14,2.7728115740000004e-14,3.672151375e-14,3.066843675e-14,4.351423225e-14,21137.0,IC2395_CXO_noconversion-4.0,4.0,0.6222839403833963,0.01435339146330561,0.00656996781906205,9.448323106600332e-15,1.7178783808824322e-15,2.52312395792846e-14,3.411096440507953e-14,2.842580367089961e-14,4.0529679504526133e-14,0,1.5873265989806073e-14,1.2065296249406548e-14,3.576336951843788e-15,1.1402881119902982e-15,2.424147125244428e-14,4.955019761326996e-15,4.369107419409414e-14,1.3092893163828657e-14,4.369107419409414e-14,1.3092893163828657e-14
130.61958014507596,-48.155486332255755,5,90.481026,310.81982,17.776436,0.742845288365593,0.6367336649525588,130.61958109226606,-48.15548633306972,95.0,9.746794344808963,4.59136,2.5038310935465997,20.95849172916881,4.582763678889344,1.7054186245049922e-14,1.3619378504803351e-14,2.1048046267009825e-14,1.2785418074e-14,1.0210363929999999e-14,1.5779590259999998e-14,1.092089713e-13,8.721367849999999e-14,1.3478423699999997e-13,4.594,2.5038310935465997,20.91698345833761,4.5829516551121054,1.6495952063283992e-14,1.3211871570253092e-14,2.0346252124324828e-14,1.3253192626e-14,1.0614693726e-14,1.634660416e-14,1.775797703e-13,1.4222647530000004e-13,2.19028448e-13,7.11983,2.5038310935465997,50.958472812811,7.141549167181855,1.9931570417813437e-14,1.7166184072127758e-14,2.2724825711630743e-14,1.9859042987999998e-14,1.7103719390000002e-14,2.2642134124e-14,3.81171879e-14,3.282865575e-14,4.34590167e-14,4.67983,2.5038310935465997,22.626320750037205,4.797448814872023,2.3328228147800342e-14,1.872200904546408e-14,2.8627756734414344e-14,2.1784397549999998e-14,1.74830118e-14,2.6733210500000003e-14,2.395703376e-14,1.922665536e-14,2.93994096e-14,9.68633,2.5038310935465997,94.62608559580627,9.747591223714158,6.032183296065157e-14,5.4170130644614924e-14,6.65356846254669e-14,7.201555995000001e-14,6.467131550000001e-14,7.943400175e-14,1.2923151024e-13,1.160523056e-13,1.425438616e-13,9.69067,2.5038310935465997,94.66763164071668,9.747502684830692,6.088062403948361e-14,5.4674788448204726e-14,6.714929385272035e-14,7.201588284000002e-14,6.467498028000001e-14,7.94311122e-14,1.1292650226000001e-13,1.0141539642e-13,1.245541583e-13,21137.0,IC2395_CXO_noconversion-5.0,5.0,0.354283624349744,0.3632663350474412,0.25715471163440695,1.6495952063283992e-14,1.3211871570253092e-14,2.0346252124324828e-14,6.032183296065157e-14,5.4170130644614924e-14,6.65356846254669e-14,0,1.694772991462359e-14,3.5722817211155434e-15,1.995380662125348e-14,2.7793366616988223e-15,2.3881409081163747e-14,4.958372586342335e-15,6.078294561704082e-14,6.713521257810282e-15,7.680404084077032e-14,6.303398437275805e-15
130.54452118488726,-48.15358710402552,6,49.411537,205.7403,14.662987,0.0263944846998173,0.0195365203061404,130.54452196021376,-48.153587073807614,79.0,8.888194417315589,4.73076,3.828400818677128,21.875268966474632,4.690968550691293,1.6849801571460912e-14,1.3540051492307331e-14,2.064856887400252e-14,1.50322045e-14,1.2079478924999999e-14,1.8421196750000003e-14,1.2634078520000004e-13,1.0152408798e-13,1.548241618e-13,4.73076,3.828400818677128,21.875268966474632,4.690968550691293,1.6849801571460912e-14,1.3540051492307331e-14,2.064856887400252e-14,1.523999524e-14,1.2246454026e-14,1.867583366e-14,2.0075396180000002e-13,1.6132053357e-13,2.460136987000001e-13,5.77617,3.828400818677128,32.917000480692195,5.744862440485644,1.2670972331320491e-14,1.0609353031934544e-14,1.4964247815368022e-14,1.3106171736e-14,1.0973743704e-14,1.5478212456e-14,2.5022903439999998e-14,2.0951574160000002e-14,2.9551712240000005e-14,4.86862,3.828400818677128,24.52853257815836,5.002020333005982,2.1711395252028685e-14,1.7546287996813975e-14,2.6407980059847184e-14,2.5550062750000002e-14,2.0648546726e-14,3.107702383e-14,2.80762605e-14,2.2690119492e-14,3.4149685859999995e-14,8.79628,3.828400818677128,78.3682099994312,8.88969125299943,5.04639183808478e-14,4.479683488012052e-14,5.618825898549329e-14,6.404387288000001e-14,5.68517644e-14,7.130864648e-14,1.1466299468e-13,1.017863734e-13,1.2766971428000002e-13,8.79628,3.828400818677128,78.3682099994312,8.88969125299943,5.04639183808478e-14,4.479683488012052e-14,5.618825898549329e-14,6.401440032e-14,5.68256016e-14,7.127583071999999e-14,1.0015512702000001e-13,8.89077351e-14,1.1151615642000001e-13,21137.0,IC2395_CXO_noconversion-6.0,6.0,0.5233543308036154,0.9804634796938596,0.9736055153001827,1.6849801571460912e-14,1.3540051492307331e-14,2.064856887400252e-14,5.04639183808478e-14,4.479683488012052e-14,5.618825898549329e-14,0,1.7239980863968906e-14,3.5580708740469484e-15,1.2855807224476466e-14,2.1788441079813446e-15,2.213545298566454e-14,4.4344585785912295e-15,5.2231241074109916e-14,6.088649511744586e-15,5.869049430790632e-14,4.948602002642745e-15
130.65270233273054,-48.14679720713066,7,7.3299537,17.734964,4.3589444,0.592809370927495,0.5654768870677361,130.65270181492664,-48.146797673203146,11.0,3.3166247903554,,2.3934936813235703,0.0,0.0,0.0,,,,,,,,,0.0,2.3934936813235703,-0.0414904560521202,0.0414904560521202,,,,0.0,,7.337478720000002e-16,0.0,,9.9254793e-15,,2.3934936813235703,0.0,0.0,0.0,,,,,,,,,3.22918,2.3934936813235703,10.834083063081913,3.317662144867839,1.0528510134751444e-14,7.612928818396419e-15,1.4124397239505532e-14,1.0264637112e-14,7.422128171999999e-15,1.3770401532000002e-14,1.1292915432e-14,8.165653091999999e-15,1.5149876052e-14,3.25667,2.3934936813235703,10.875782881002088,3.317400081019881,9.955389502745606e-15,7.198508778225081e-15,1.3294277068862616e-14,8.051213787999998e-15,5.821643955999999e-15,1.0751469524e-14,1.4467182935e-14,1.0460880845e-14,1.9319258005e-14,3.29267,2.3934936813235703,10.917188587334724,3.3171416709320405,1.0640093461434696e-14,7.708317281059582e-15,1.4164846416611667e-14,7.998022213999998e-15,5.794243544e-15,1.0647533944e-14,1.2557830376e-14,9.097640096e-15,1.6717873696e-14,21137.0,IC2395_CXO_noconversion-7.0,7.0,0.9280911492703069,0.43452311293226387,0.40719062907250503,,,,9.955389502745606e-15,7.198508778225081e-15,1.3294277068862616e-14,0,,,,,1.1071315619939878e-14,3.2637829936013826e-15,,,,
130.6360816292092,-48.14449215327206,8,88.95247,268.66815,16.492455,0.685387157947835,0.4572035120352845,130.6360812647991,-48.14449163726481,57.0,7.54983443527075,3.11281,1.9639499696107083,9.877947525738955,3.163062693365048,9.781047079911652e-15,6.986471193992147e-15,1.3274272183843263e-14,6.301759512e-15,4.501262589e-15,8.552384045999999e-15,5.4157566399999996e-14,3.86840258e-14,7.34995212e-14,3.11281,1.9639499696107083,9.877947525738955,3.163062693365048,9.781047079911652e-15,6.986471193992147e-15,1.3274272183843263e-14,6.381923896e-15,4.558522937e-15,8.661178518e-15,8.60601948e-14,6.147164685000001e-14,1.167959259e-13,5.6062,1.9639499696107083,30.9177304964539,5.568068258885379,1.189912680382648e-14,9.927407292710911e-15,1.4145914307605596e-14,1.1321844517e-14,9.44578234e-15,1.3459629852e-14,2.1774758940000003e-14,1.81666188e-14,2.588625864e-14,4.08571,1.9639499696107083,16.87559508895014,4.123731181906879,1.587718495078055e-14,1.2318506612270636e-14,2.010065731672622e-14,1.5891153860000003e-14,1.2329344560000001e-14,2.011834208e-14,1.7481053607000003e-14,1.3562887572e-14,2.2131169296e-14,7.48873,1.9639499696107083,56.66983824928639,7.550736775156732,3.6545814983799904e-14,3.172511243908753e-14,4.1415113320293656e-14,4.2285853470000005e-14,3.6707991230000006e-14,4.791994416e-14,7.595114877e-14,6.593254893000002e-14,8.607074256000001e-14,7.48873,1.9639499696107083,56.66983824928639,7.550736775156732,3.6545814983799904e-14,3.172511243908753e-14,4.1415113320293656e-14,4.226983509e-14,3.669408581e-14,4.790179152e-14,6.634012077e-14,5.758929693000001e-14,7.517915856e-14,21137.0,IC2395_CXO_noconversion-8.0,8.0,0.38941408507266845,0.5427964879647156,0.314612842052165,9.781047079911652e-15,6.986471193992147e-15,1.3274272183843263e-14,3.6545814983799904e-14,3.172511243908753e-14,4.1415113320293656e-14,0,1.0338488504380507e-14,3.152689713189517e-15,1.211859930834376e-14,2.111286095933186e-15,1.6407613841385495e-14,3.897508936861073e-15,3.8864701654109765e-14,5.4394445782123495e-15,5.671200084087065e-14,4.326617774036659e-15
130.63384595755124,-48.14100576001342,9,12.190339,32.08624,5.8310046,0.533565893806053,0.6775323298624468,130.63384569170398,-48.14100557692012,16.0,4.0,2.20764,1.7368031395583448,4.958846153846154,2.236446654640628,8.088239117826715e-15,4.929970229176986e-15,1.2324961362719659e-14,3.042995745e-15,1.8547768200000003e-15,4.636955515e-15,2.6158689750000003e-14,1.5944331000000002e-14,3.9860943250000005e-14,2.1729,1.7368031395583448,4.917692307692308,2.2368252676743685,7.642246153515381e-15,4.620888415017679e-15,1.1694423558305939e-14,3.155547668e-15,1.908003664e-15,4.828725776e-15,4.256379309e-14,2.573622132e-14,6.513255588000001e-14,2.36476,1.7368031395583448,5.876283697047497,2.4505309440756053,2.252007489103339e-15,1.4287961511951116e-15,3.3401565368534205e-15,2.2242775976e-15,1.4112027983999998e-15,3.29902782e-15,4.2784272460000004e-15,2.714467164e-15,6.34572345e-15,2.0481,1.7368031395583448,4.665413285836797,2.2391948404866016,3.9148719401999606e-15,2.26950248066027e-15,6.127635055303814e-15,4.3869038600000004e-15,2.5431455600000003e-15,6.866468760000001e-15,4.825811312000001e-15,2.797585952e-15,7.553455392e-15,3.84884,1.7368031395583448,15.626521796046603,4.001936836205804,1.3814697446459692e-14,1.0547471015044492e-14,1.7685657317885576e-14,1.1483866361999999e-14,8.76789e-15,1.4701713587999997e-14,2.0627053544e-14,1.5748680000000003e-14,2.6406875856e-14,3.88496,1.7368031395583448,15.668019374263649,4.001721678475783,1.4251101748277173e-14,1.0861462635565438e-14,1.8187462509817862e-14,1.1537903663999999e-14,8.793601488e-15,1.4724839807999998e-14,1.8108342345e-14,1.3801254615000002e-14,2.311012884e-14,21137.0,IC2395_CXO_noconversion-9.0,9.0,0.6603855491134589,0.3224676701375532,0.466434106193947,7.642246153515381e-15,4.620888415017679e-15,1.1694423558305939e-14,1.3814697446459692e-14,1.0547471015044492e-14,1.7685657317885576e-14,0,8.464721250222413e-15,3.553758779017276e-15,2.463397197360624e-15,9.598348893330845e-16,4.367586577872105e-15,1.938504028368172e-15,1.5295705025455142e-14,4.1603223844100165e-15,6.261045816927652e-15,1.3271284108301797e-15
130.61568133588983,-48.13707205600194,10,3.244619,6.649059,2.645772,0.99999359564523,1.0,130.6156817618956,-48.137071819021486,2.0,1.4142135623730951,0.0,1.406044786027894,-0.0413033501606241,0.0413033501606241,,,,0.0,,7.389750285999999e-16,0.0,,6.333366111e-15,0.0,1.406044786027894,-0.0413033501606241,0.0413033501606241,,,,0.0,,7.484138898e-16,0.0,,1.0063362597999998e-14,1.33842,1.406044786027894,1.9588342440801456,1.4148125739688822,6.870965115366477e-16,2.841374032309917e-16,1.3380291670767948e-15,7.325984794e-16,3.029539898e-16,1.426638204e-15,1.4077187926e-15,5.821388341999999e-16,2.7413453160000002e-15,,1.406044786027894,0.0,0.0,0.0,,,,,,,,,1.29955,1.406044786027894,1.9167148640832847,1.4154392275658936,6.526953084150606e-16,2.600967710132713e-16,1.2906666394682752e-15,1.3952598275e-15,5.560061045e-16,2.7590443650000004e-15,2.5050151100000003e-15,9.98239658e-16,4.95352026e-15,1.29955,1.406044786027894,1.9167148640832847,1.4154392275658936,6.526953084150606e-16,2.600967710132713e-16,1.2906666394682752e-15,1.3947294785e-15,5.557947622999999e-16,2.757995631e-15,2.188043191e-15,8.719274697999999e-16,4.326726906e-15,21137.0,IC2395_CXO_noconversion-10.0,10.0,1.6769706321179076,0.0,6.404354769951048e-06,,,,6.526953084150606e-16,2.600967710132713e-16,1.290666639468275e-15,0,,,8.849507763625683e-16,5.335202081100034e-16,,,,,,
