_rs_catwise,_q,_r_catwise,objID_catwise,RA_ICRS_catwise,e_RA_ICRS_catwise,DE_ICRS_catwise,e_DE_ICRS_catwise,Name_catwise,ePos_catwise,Xpos_catwise,Ypos_catwise,skyW1_catwise,e_skyW1_catwise,confW1_catwise,skyW2_catwise,e_skyW2_catwise,confW2_catwise,nW1_catwise,mW1_catwise,nW2_catwise,mW2_catwise,_tab1_20_catwise,RAPMdeg_catwise,e_RAPMdeg_catwise,DEPMdeg_catwise,e_DEPMdeg_catwise,ePosPM_catwise,pmRA_catwise,e_pmRA_catwise,pmDE_catwise,e_pmDE_catwise,snrW1pm_catwise,snrW2pm_catwise,FW1pm_catwise,e_FW1pm_catwise,FW2pm_catwise,e_FW2pm_catwise,W1mproPM_catwise,e_W1mproPM_catwise,chi2W1pm_catwise,W2mproPM_catwise,e_W2mproPM_catwise,chi2W2pm_catwise,chi2pm_catwise,pmQual_catwise,Dist_catwise,dW1mpro_catwise,chi2dW1mpro_catwise,dW2mpro_catwise,chi2dW2mpro_catwise,ELONavg_catwise,e_ELONavg_catwise,ELATavg_catwise,e_ELATavg_catwise,dELON_catwise,e_dELON_catwise,dELAT_catwise,e_dELAT_catwise,snrdELON_catwise,snrdELAT_catwise,chi2pmRA_catwise,chi2pmDE_catwise,ka_catwise,k1_catwise,k2_catwise,km_catwise,plx1_catwise,e_plx1_catwise,plx2_catwise,e_plx2_catwise,Sep_catwise,ccf_catwise,abf_catwise,WISEA_catwise
[],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.085, 8.976]",2.0,0.085,1304m485_b0-001406,130.6045792,0.0172,-48.0943662,0.0196,J084225.09-480539.7,-0.0077,933.05,1506.003,24.01,17.4,0.0,64.86,23.1,4.7,12,12,12,12,57249.247392,130.6045846,0.016,-48.0943667,0.0182,-0.0073,-0.03126,0.0031,7e-05,0.0035,116.0,147.5,90000.0,800.0,78000.0,500.0,10.108,0.009,7.038,10.274,0.007,2.151,4.558,2N000,0.016,-0.033,2.119,-0.01,0.452,158.732238,0.019,-62.194941,0.017,-0.032,0.039,0.01,0.035,0.829,0.283,14.3,12.0,3,3,3,3,-0.002,0.018,-0.013,0.019,0.053,dddD,H0,WISEA
[0.077],3.0,0.077,1304m485_b0-001633,130.6149315,0.018,-48.1774337,0.0209,J084227.58-481038.7,-0.0005,924.161,1397.243,71.39,17.3,4.45,105.25,23.8,5.68,12,12,12,12,57255.31794,130.6149355,0.0181,-48.1774338,0.021,-0.0011,-0.00545,0.0035,-0.00189,0.004,88.6,137.9,64000.0,700.0,64000.0,500.0,10.491,0.012,0.7026,10.482,0.008,0.7846,0.7379,1N000,0.055,-0.038,2.356,-0.014,0.803,158.843623,0.019,-62.260165,0.02,0.006,0.039,0.021,0.04,0.153,0.515,11.5,3.26,3,3,3,3,0.011,0.019,0.007,0.019,0.039,hhh0,00,WISEA
"[0.072, 8.473]",4.0,0.072,1304m485_b0-002582,130.5792263,0.0193,-48.1368234,0.0199,J084219.01-480812.5,-0.004,955.275,1450.447,36.81,17.9,4.22,77.49,32.3,7.06,12,12,12,12,57253.970395,130.5792294,0.0191,-48.1368241,0.0197,-0.0039,-0.00215,0.0035,0.00245,0.0037,99.1,134.7,40000.0,400.0,38000.0,300.0,10.99,0.011,2.694,11.051,0.008,0.9311,1.8,3N000,0.05,-0.023,0.971,-0.009,0.279,158.752614,0.02,-62.239649,0.019,0.005,0.04,0.006,0.039,0.113,0.161,5.95,8.2,3,3,3,3,0.009,0.02,0.005,0.02,1.045,HdhH,H0,WISEA
[0.101],5.0,0.101,1304m485_b0-001946,130.7448681,0.0181,-48.1241242,0.0192,J084258.76-480726.8,-0.0007,810.51,1466.767,47.84,18.4,4.39,85.82,27.5,3.95,12,12,12,12,57254.055887,130.744871,0.0182,-48.1241248,0.0195,-0.0014,-0.00051,0.0036,0.00205,0.004,91.7,138.7,56000.0,600.0,55000.0,400.0,10.635,0.012,2.838,10.654,0.008,3.427,3.111,1N000,0.059,-0.027,1.261,-0.014,0.81,158.934561,0.019,-62.167645,0.019,0.0,0.037,-0.038,0.038,0.005,1.002,5.13,7.58,3,3,3,3,0.007,0.019,0.003,0.019,0.343,dd00,H0,WISEA
[0.073],6.0,0.073,1304m485_b0-005179,130.6195621,0.0188,-48.1555026,0.0217,J084228.69-480919.8,-0.0037,920.074,1425.948,106.87,25.8,0.0,142.97,33.3,0.0,12,12,12,12,57232.397279,130.6195637,0.0192,-48.1555034,0.0219,-0.0038,-0.01223,0.004,-0.00118,0.0044,84.4,130.6,16000.0,200.0,16000.0,100.0,11.99,0.013,0.9703,12.021,0.008,1.272,1.112,1N000,0.032,-0.022,0.747,-0.022,1.826,158.822939,0.02,-62.240221,0.021,-0.014,0.04,-0.009,0.041,0.348,0.212,2.41,15.6,3,3,3,3,-0.001,0.021,-0.007,0.02,0.038,hhh0,H0,WISEA
[],7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[],8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[1.498, 9.564, 9.671]",9.0,1.498,1304m485_b0-056775,130.5714084,0.039,-47.9864991,0.0457,J084217.13-475911.3,-0.0157,961.921,1647.251,-1.2,13.6,3.1,12.09,19.7,4.78,12,12,12,12,57215.916156,130.5714078,0.0395,-47.9864974,0.0464,-0.0163,-0.03912,0.0139,0.01445,0.0161,73.4,44.9,820.0,10.0,920.0,20.0,15.217,0.015,2.905,15.091,0.024,1.29,2.082,2N000,0.63,0.012,0.163,0.041,0.706,158.564745,0.044,-62.117439,0.041,-0.615,0.089,0.269,0.082,6.943,3.263,0.252,0.418,3,3,3,3,-0.293,0.045,-0.311,0.044,,,00,WISEA
"[0.553, 4.811]",10.0,0.553,1304m485_b0-005580,130.4718743,0.0262,-47.986559,0.0244,J084153.25-475911.6,0.0115,1049.134,1647.198,-2.03,10.2,7.27,6.1,19.5,11.88,12,12,12,12,57256.238052,130.47188,0.0264,-47.9865616,0.0247,0.0118,-0.01134,0.0041,0.01435,0.0046,77.1,101.5,15000.0,200.0,15000.0,200.0,12.071,0.014,0.7377,12.061,0.011,0.8277,0.7767,2N000,0.057,-0.021,0.551,-0.025,1.299,158.446049,0.023,-62.154324,0.027,0.008,0.047,-0.022,0.055,0.17,0.409,18.0,21.3,3,3,3,3,0.018,0.024,0.01,0.024,0.207,hhH0,H0,WISEA
