_rs_2mass,_q,_r_2mass,RAJ2000_2mass,DEJ2000_2mass,errMaj_2mass,errMin_2mass,errPA_2mass,_2MASS_2mass,Jmag_2mass,Jcmsig_2mass,e_Jmag_2mass,Jsnr_2mass,Hmag_2mass,Hcmsig_2mass,e_Hmag_2mass,Hsnr_2mass,Kmag_2mass,Kcmsig_2mass,e_Kmag_2mass,Ksnr_2mass,Qflg_2mass,Rflg_2mass,Bflg_2mass,Cflg_2mass,Ndet_2mass,prox_2mass,pxPA_2mass,pxCntr_2mass,Xflg_2mass,Aflg_2mass,Cntr_2mass,Hemis_2mass,Date_2mass,Scan_2mass,GLON_2mass,GLAT_2mass,Xscan_2mass,_tab1_36_2mass,Jpsfchi_2mass,Hpsfchi_2mass,Kpsfchi_2mass,Jstdap_2mass,e_Jstdap_2mass,Hstdap_2mass,e_Hstdap_2mass,Kstdap_2mass,e_Kstdap_2mass,edgeNS_2mass,edgeEW_2mass,edge_2mass,dup_2mass,use_2mass,opt_2mass,Dopt_2mass,PAopt_2mass,Bmag_2mass,Rmag_2mass,Nopt_2mass,extKey_2mass,scanKey_2mass,coaddKey_2mass,coadd_2mass,Opt_2mass
"[0.366, 4.1]",1.0,0.366,165.981744,-58.798286,0.06,0.06,0.0,11035561-5847538,10.019,0.023,0.026,2599.1,9.849,0.027,0.029,1443.2,9.832,0.026,0.027,858.3,AAA,222,111,s00,666655,4.4,251.0,826796331.0,0.0,0.0,826796338.0,s,2000-02-04,72.0,289.384,1.216,95.5,2451578.7255,6.28,2.38,9.28,9.995,0.011,9.813,0.027,9.773,0.019,4336.0,158.0,sw,0.0,1.0,U,0.5,52,12.3,11.1,2.0,,45126.0,1037880.0,56.0,Opt
"[0.485, 6.72, 9.882]",2.0,0.485,166.061914,-58.884823,0.06,0.06,0.0,11041485-5853053,11.48,0.019,0.023,676.8,11.179,0.024,0.026,424.0,11.092,0.019,0.021,268.9,AAA,222,111,000,666666,7.0,173.0,826795383.0,0.0,0.0,826795408.0,s,2000-02-04,72.0,289.457,1.154,-53.9,2451578.7255,0.59,0.93,0.77,11.499,0.012,11.211,0.042,11.101,0.019,4024.0,198.0,se,0.0,1.0,U,0.6,323,13.3,13.6,1.0,,45126.0,1037880.0,56.0,Opt
"[0.251, 6.229]",3.0,0.251,166.063076,-58.762695,0.06,0.06,0.0,11041513-5845457,13.639,0.023,0.026,92.7,12.993,0.021,0.023,79.8,12.823,0.017,0.019,54.6,AAA,222,111,000,555566,6.4,346.0,826796762.0,0.0,0.0,826796740.0,s,2000-02-04,72.0,289.408,1.266,-56.3,2451578.7256,1.0,1.0,0.92,13.67,0.036,13.065,0.089,12.932,0.039,4464.0,196.0,se,0.0,1.0,0,,,,,0.0,,45126.0,1037880.0,56.0,Opt
[0.579],4.0,0.579,166.077547,-58.791218,0.06,0.06,0.0,11041861-5847283,13.296,0.026,0.029,127.1,12.79,0.034,0.035,96.1,12.645,0.029,0.03,64.3,AAA,222,111,000,666666,12.6,225.0,826796384.0,0.0,0.0,826796409.0,s,2000-02-04,72.0,289.427,1.243,-83.2,2451578.7256,1.32,1.12,1.19,13.268,0.032,12.716,0.039,12.626,0.041,4361.0,169.0,se,0.0,1.0,U,0.1,88,17.8,15.6,1.0,,45126.0,1037880.0,56.0,Opt
"[3.65, 4.067]",5.0,3.65,166.084681,-58.837208,0.07,0.07,17.0,11042032-5850139,15.165,0.088,0.088,22.7,14.439,0.109,0.109,21.1,14.187,0.098,0.099,15.6,ABA,222,111,c00,665616,7.4,17.0,826795922.0,0.0,0.0,826795897.0,s,2000-02-04,72.0,289.449,1.202,-96.4,2451578.7255,9.7,6.88,1.66,14.535,0.102,13.963,0.131,13.933,0.073,4196.0,155.0,se,0.0,1.0,0,,,,,0.0,,45126.0,1037880.0,56.0,Opt
[],6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[4.111, 9.483]",7.0,4.111,166.100069,-58.825665,0.08,0.08,17.0,11042401-5849323,15.598,0.074,0.075,15.3,15.161,0.103,0.104,10.8,15.222,0.178,0.179,6.0,AAC,222,111,sss,160606,8.0,58.0,826796044.0,0.0,0.0,826796025.0,s,2000-02-04,72.0,289.451,1.216,-125.1,2451578.7255,1.36,1.83,1.12,15.572,0.101,14.994,0.215,15.21,0.401,4237.0,127.0,se,0.0,1.0,U,1.2,74,19.5,17.4,1.0,,45126.0,1037880.0,56.0,Opt
"[0.205, 6.084, 6.628]",8.0,0.205,166.10161,-58.809807,0.06,0.06,17.0,11042438-5848353,12.188,0.035,0.037,352.6,11.893,0.04,0.041,219.6,11.802,0.038,0.039,139.8,AAA,222,111,000,666666,6.1,186.0,826796176.0,0.0,0.0,826796193.0,s,2000-02-04,72.0,289.446,1.231,-128.1,2451578.7255,1.19,1.35,1.13,12.157,0.013,11.85,0.031,11.779,0.028,4294.0,124.0,se,0.0,1.0,U,2.2,350,14.5,12.1,1.0,,45126.0,1037880.0,56.0,Opt
"[1.001, 9.132]",9.0,1.001,166.104509,-58.850014,0.21,0.17,87.0,11042508-5851000,16.06,0.093,0.094,10.0,15.848,0.177,0.177,5.8,15.157,0.182,0.182,6.4,BCC,222,111,000,060606,9.3,33.0,826795777.0,0.0,0.0,826795756.0,s,2000-02-04,72.0,289.463,1.195,-133.3,2451578.7255,1.06,1.05,0.93,16.853,0.27,19.544,8.888,18.258,8.087,4149.0,119.0,se,0.0,1.0,0,,,,,0.0,,45126.0,1037880.0,56.0,Opt
[],10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
